$ Bathymetry: Lower Monumental.  Original provided by Mike Schneider - unknown/undocumented source.  Adjusted to NAVD88 Datum provided by Res-Ops team.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,,,,,,,
1,0,385.642,284.392,237.118,183.865,199.181,252.155,258.721,261.901,257.602,243.928,256.331,325.568,273.454,265.972,326.525,432.335,352.723,369.065,402.432,487.071,453.809,513.446,510.106,534.138,839.683,852.816,717.97,0,,17,17803220.55,250032139.8,202704.657,156.022,511.883,1.07,1.0001
1,0,385.603,284.364,237.094,183.846,199.161,252.13,258.695,261.874,257.576,243.904,256.305,325.535,273.427,265.945,326.492,432.291,352.688,369.028,402.392,487.022,453.764,513.395,510.055,534.085,839.599,852.731,707.27,0,,18,17794096.31,232228919.3,188271.329,155.022,508.602,1.07,1.0001
1,0,385.565,284.335,237.07,183.828,199.141,252.104,258.669,261.848,257.55,243.879,256.28,325.503,273.399,265.918,326.459,432.248,352.652,368.991,402.351,486.973,453.719,513.344,510.004,534.031,839.515,852.645,701.107,0,,19,17788107.59,214434822.9,173845.399,154.022,505.321,1.015,1.1
1,0,350.513,258.487,215.518,167.116,181.037,229.186,235.154,238.044,234.137,221.708,232.982,295.912,248.545,241.744,296.781,392.953,320.593,335.446,365.774,442.703,412.472,466.676,463.64,485.483,763.195,775.132,694.945,0,,20,16210790.84,196646715.3,159424.324,153.022,502.04,1.015,1.03
1,0,286.907,179.993,173.227,118.037,103.249,142.707,141.447,149.258,152.609,125.722,132.028,163.493,139.81,173.913,232.223,339.306,248.381,276.057,299.158,371.816,395.598,408.597,431.96,454.331,664.656,649.959,688.782,0,,21,12881831.26,180435924.5,146282.003,152.022,498.759,1.015,1.1
1,0,223.3,101.5,130.935,68.959,25.462,56.228,47.741,60.471,71.08,29.735,31.075,31.075,31.075,106.082,167.664,285.659,176.169,216.668,232.542,300.929,378.725,350.518,400.281,423.18,566.116,524.786,682.62,0,,22,9552871.686,167554093.2,135838.516,151.022,495.478,1.015,1.03
1,0,153.265,101.5,72.065,66.95,24.72,54.59,46.35,58.71,69.01,28.869,30.169,30.169,30.169,102.992,162.78,277.339,171.038,210.358,225.769,292.165,367.694,340.309,388.622,410.854,549.627,509.501,676.457,0,,23,9109464.526,158001221.6,128093.866,150.022,492.198,1.015,1.03
1,0,103,0,39,65,24,53,45,57,67,28.028,29.291,29.291,29.291,99.992,158.039,269.261,166.056,204.231,219.193,283.655,356.984,330.397,377.303,398.887,533.619,494.661,670.294,0,,24,8576648.935,148891757,120708.692,149.022,488.917,1,1.005
1,0,0,0,0,0,0,0,0,0,0,27.889,29.145,29.145,29.145,99.495,157.253,267.921,165.23,203.215,218.103,282.244,355.208,328.754,375.426,396.903,530.964,492.2,666.96,0,,25,7846380.034,140315108.1,113755.479,148.022,485.636,1.85,1.005
1,0,0,0,0,0,0,0,0,0,0,27.75,29,29,29,99,156.471,266.588,164.408,202.204,217.018,280.839,353.441,327.118,373.558,394.928,528.322,489.752,663.641,0,,26,7807343.318,132468728.1,107394.306,147.022,482.355,1.85,
1,0,0,0,0,0,0,0,0,0,0,27.75,28,28,28,98.5,155.971,266.088,163.908,201.704,216.518,280.339,352.941,326.618,373.058,394.428,527.822,489.252,663.141,0,,27,7789415.818,124661384.7,101064.78,146.022,479.074,1.85,
1,0,0,0,0,0,0,0,0,0,0,27.75,27,27,27,98,155.471,265.588,163.408,201.204,216.018,279.839,352.441,326.118,372.558,393.928,527.322,488.752,662.641,0,,28,7771488.318,116871968.9,94749.788,145.022,475.793,1.85,
1,0,0,0,0,0,0,0,0,0,0,27.75,26,26,26,97.5,154.971,265.088,162.908,200.704,215.518,279.339,351.941,325.618,372.058,393.428,526.822,488.252,662.141,0,,29,7753560.818,109100480.6,88449.331,144.022,472.513,1.85,
1,0,0,0,0,0,0,0,0,0,0,0,25,25,25,97,154.471,264.588,162.408,200.204,215.018,278.839,351.441,325.118,371.558,392.928,526.322,487.752,661.641,0,,30,7688097.568,101346919.8,82163.407,143.022,469.232,1.85,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.5,153.971,264.088,161.908,199.704,214.518,278.339,350.941,324.618,371.058,392.428,525.822,487.252,661.141,0,,31,7541386.068,93658822.23,75930.556,142.022,465.951,1.85,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,153.471,263.588,161.408,199.204,214.018,277.839,350.441,324.118,370.558,391.928,525.322,486.752,660.641,0,,32,7528824.568,86117436.16,69816.646,141.022,462.67,1.85,
