$ QGT_LMN_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_LMN_2011_2015_daily_ave.csv ; all outlets scaled to total flow from LOWER MONUMENTAL_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 41141, 41921, 42296 that are  3, 4, 14 days long
"JDAY","POW","SPB1","SPB2","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8.RSW","MISC"
96.000000,2768.325,67.127,57.568,65.605,88.789,176.96,203.829,6.877,172.293,22.528
97.000000,2943.678,56.754,55.33,56.398,95.342,179.517,226.835,0,198.497,22.483
98.000000,2795.427,61.705,60.208,59.771,94.046,158.931,274.887,0,218.335,27.544
99.000000,2595.393,58.127,58.112,59.545,71.78,103.485,294.637,0,208.463,26.043
100.000000,2422.199,55.163,108.102,19.817,23.667,68.851,271.079,0,193.24,20.466
101.000000,2277.343,58.461,147.031,0,0,59.401,287.305,0,208.394,22.72
102.000000,2283.101,54.09,104.546,21.401,25.751,68.505,261.638,0,195.318,21.783
103.000000,2047.104,53.91,54.611,55.722,66.435,101.247,265.563,0,199.308,24.612
104.000000,2136.791,56.317,55.283,56.148,64.118,105.176,269.146,0,212.149,27.444
105.000000,2044.86,58.794,59.682,59.753,65.017,79.07,311.851,0,222.739,21.927
106.000000,1800.398,62.487,62.802,62.041,77.49,110.947,326.745,0,234.709,24.356
107.000000,1883.41,56.218,58.214,58.853,72.943,105.154,298.513,0,216.776,20.033
108.000000,1800.694,52.007,49.683,50.506,58.821,89.624,258.365,0,186.678,21.042
109.000000,1912.349,46.517,46.159,46.363,65.897,82.324,239.199,0,173.212,17.972
110.000000,2014.864,51.461,51.15,52.252,92.918,126.575,241.865,2.064,189.992,23.002
111.000000,2119.999,49.346,49.22,49.652,92.058,175.466,217.85,0,187.751,20.045
112.000000,2043.877,50.684,52.073,52.496,95.415,161.986,222.542,0,192.525,20.092
113.000000,2066.862,55.51,55.17,58.017,102.036,159.335,239.877,0,208.309,19.745
114.000000,2021.17,54.756,55.702,55.735,101.62,125.878,236.21,0,206.575,19.583
115.000000,1920.55,56.696,58.587,58.648,102.964,118.018,238.77,1.864,205.865,19.726
116.000000,1876.56,53.4,53.849,54.319,96.702,103.224,246.84,0,197.348,24.009
117.000000,1812.979,54.415,51.995,53.167,94.04,124.223,253.592,0,199.202,22.26
118.000000,1819.776,55.492,52.759,55.358,96.627,166.481,225.939,0,202.894,22.569
119.000000,1768.736,57.067,55.05,56.657,99.007,171.084,231.862,0,207.65,19.193
120.000000,1777.887,55.97,54.228,56.189,99.532,173.131,232.519,0,210.017,25.218
121.000000,1667.036,53.924,53.149,54.212,96.483,166.764,223.931,0,203.501,20.725
122.000000,1554.988,58.886,57.001,59.099,103.441,177.761,239.665,0,217.541,23.95
123.000000,1566.62,56.311,55.076,56.903,99.925,171.644,235.538,0,210.012,22.617
124.000000,1589.237,50.53,52.265,51.871,91.975,163.054,214.462,0,193.73,23.496
125.000000,1540.35,50.25,50.076,50.444,89.768,154.02,213.658,0,188.872,24.577
126.000000,1620.273,56.464,53.623,53.519,96.005,165.629,230.451,0,203.205,24.289
127.000000,1591.621,57.888,53.234,54.712,98.609,169.501,231.95,0,207.865,25.208
128.000000,1680.704,52.73,47.839,50.339,90.39,155.183,210.894,0,190.802,21.224
129.000000,1879.18,45.084,46.907,44.595,77.314,122.682,201.668,0,175.253,20.191
130.000000,2036.835,50.637,53.922,50.708,83.922,122.202,241.024,0,200.603,22.898
131.000000,2159.554,53.046,53.333,52.776,89.37,154.138,229.009,0,203.13,25.902
132.000000,2030.876,46.615,49.303,46.562,81.365,80.14,240.342,0,182.285,21.343
133.000000,2285.914,43.616,49.703,43.69,66.318,77.768,238.923,0,177.092,20.015
134.000000,2544.695,47.797,53.843,43.434,56.579,78.403,215.576,7.048,162.835,18.385
135.000000,2455.384,149.557,148.886,138.057,149.569,185.627,191.492,135.041,140.337,18.361
136.000000,2577.077,264.645,276.944,273.57,273.471,276.406,284.473,257.314,168.551,17.721
137.000000,3198.773,293.729,312.92,300.22,300.847,311.234,320.993,285.681,211.167,25.776
138.000000,3512.745,230.787,284.706,282.822,275.826,282.202,284.979,225.328,245.81,27.87
139.000000,3615.508,186.271,221.877,192.622,193.634,203.436,212.467,165.75,224.394,37.489
140.000000,3188.846,162.641,171.545,163.965,164.538,170.987,195.541,156.621,203.52,23.31
141.000000,2931.844,186.081,209.906,187.507,189.015,200.704,218.269,176.496,182.829,23.491
142.000000,2999.426,170.736,191.951,175.071,172.81,188.421,195.096,167.515,179.418,20.674
143.000000,3003.601,199.407,225.504,216.011,199.614,218.327,231.019,194.513,182.4,15.764
144.000000,3039.262,230.522,263.833,248.225,229.101,254.471,265.247,227.524,184.986,17.591
145.000000,3160.089,250.449,294.944,263.871,256.928,283.023,296.966,249.395,195.327,23.506
146.000000,3117.731,270.817,314.045,297.714,280.393,313.23,314.75,276.349,193.305,21.466
147.000000,3077.848,308.875,338.335,329.415,327.224,329.869,342.445,309.799,193.585,24.173
148.000000,3505.042,251.309,291.807,267.489,266.041,272.734,293.602,246.3,219.607,29.706
149.000000,3725.184,208.721,247.321,211.171,211.358,230.201,260.444,208.09,218.994,27.296
150.000000,3590.187,146.291,189.638,163.974,164.739,187.87,191.301,146.558,227.902,24.628
151.000000,2770.269,201.79,242.304,209.443,209.329,229.364,244.559,199.338,203.526,23.529
152.000000,3183.561,128.464,148.221,136.929,137.722,139.784,148.887,111.415,203.081,25.964
153.000000,3116.011,126.424,141.815,136.139,136.204,141.103,149.362,116.74,201.99,23.748
154.000000,2879.59,158.663,193.503,177.76,174.071,176.189,202.265,156.481,183.824,21.361
155.000000,3227.371,139.951,162.05,149.398,149.109,153.269,164.728,132.524,199.445,18.825
156.000000,3246.195,141.394,163.607,148.803,147.993,156.587,161.307,124.893,209.026,22.734
157.000000,3102.874,159.618,188.928,171.549,171.77,172.619,192.446,151.497,206.202,23.164
158.000000,2634.219,232.232,255.711,238.414,234.691,237.27,258.51,226.386,174.604,22.242
159.000000,2608.838,313.989,339.487,327.855,321.322,329.436,343.265,311.596,168.272,18.5
160.000000,3035.332,328.073,358.569,343.401,335.315,344.759,370.825,326.281,192.365,27.707
161.000000,3461.325,316.483,363.949,330.191,325.137,351.001,366.115,310.813,213.291,21.639
162.000000,3576.44,240.439,287.457,256.491,247.081,268.025,284.612,235.421,224.3,22.276
163.000000,3536.263,208.235,248.156,235.077,226.169,238.733,258.477,205.724,213.016,24.101
164.000000,3355.289,210.349,237.9,214.787,212.781,219.223,259.202,210.877,204.16,23.088
165.000000,3104.216,239.341,256.91,254.102,241.856,250.242,257.258,225.93,184.305,20.903
166.000000,3092.413,240.722,260.302,253.603,250.117,253.706,269.261,234.518,183.355,20.721
167.000000,3394.654,234.356,249.354,236.57,242.582,243.812,258.144,234.765,201.447,23.278
168.000000,3511.348,224.622,216.874,215.674,217.304,214.41,203.544,213.735,206.984,25.602
169.000000,3613.936,142.59,173.202,150.632,153.255,162.384,168.889,132.883,213.544,25.98
170.000000,3455.056,117.634,140.994,141.919,138.171,139.954,153.033,108.68,221.872,30.298
171.000000,3162.393,145.924,160.649,150.087,149.992,155.431,161.491,124.622,190.873,25.027
172.000000,3124.562,130.837,146.429,133.628,135.832,139.445,143.832,104.419,197.153,32.193
173.000000,3053.218,145.659,152.785,143.934,143.328,144.92,157.919,134.418,185.681,24.182
174.000000,2982.792,188.822,216.113,187.132,187.425,196.74,221.242,187.016,183.746,20.625
175.000000,2999.457,223.591,259.292,245.434,242.563,242.404,267.637,222.219,183.309,22.285
176.000000,3317.674,211.369,252.952,253.97,252.834,251.866,253.944,203.186,204.939,20.363
177.000000,3616.059,190.918,210.002,204.38,195.819,202.123,203.374,171.349,215.363,20.688
178.000000,3214.349,209.175,218.711,207.278,208.689,210.559,217.954,178.728,214.025,29.857
179.000000,2945.102,193.709,202.639,199.469,198.648,196.696,224.323,180.097,203.392,24.349
180.000000,2693.405,195.829,239.444,209.212,208.915,230.304,240.4,195.486,201.134,23.97
181.000000,2638.118,237.236,261.254,253.327,234.625,258.824,261.785,230.775,191.313,25.05
182.000000,2671.653,248.805,281.924,259.301,259.108,264.878,290.271,249.06,198.298,21.878
183.000000,3032.568,182.842,216.08,192.929,192.208,197.832,216.433,179.72,222.336,22.336
184.000000,3038.604,143.191,186.717,163.794,161.499,179.491,188.75,162.054,226.005,22.713
185.000000,2798.34,119.476,152.541,144.474,142.89,146.841,148.97,129.388,204.727,23.203
186.000000,2602.952,153.22,169.757,170.327,170.222,168.245,170.7,127.644,207.772,24.636
187.000000,2285.57,159.863,185.813,190.245,192.696,205.247,212.687,181.835,191.801,26.188
188.000000,2435.974,118.075,112.78,116.744,134.249,231.206,260.062,88.31,212.764,23.638
189.000000,2976.167,40.822,83.391,38.293,42.946,72.973,240.343,0.474,222.654,24.537
190.000000,2814.734,23.79,101.378,18.715,20.504,38.16,231.119,0.755,225.068,24.689
191.000000,2566.218,26.042,97.573,22.827,28.344,45.787,223.182,8.449,218.481,22.381
192.000000,2362.119,16.067,99.099,16.86,17.952,22.278,214.203,0,223.691,21.699
193.000000,2258.02,0,112.975,0,0,0,191.194,5.737,211.61,21.861
194.000000,2161.127,0,109.563,0,0,0,185.337,0,215.347,25.274
195.000000,1927.571,2.146,94.095,2.083,2.144,3.584,170.374,0,191.733,24.806
196.000000,1943.011,0,101.636,0,0,0,176.179,0,202.233,24.205
197.000000,2013.1,3.677,102.326,3.568,3.484,6.042,193.606,0,213.789,22.278
198.000000,1859.728,2.166,104.578,2.343,2.254,2.279,181.788,2.296,201.108,23.321
199.000000,1809.373,0,105.192,0,0,0,180.026,0,207.927,23.453
200.000000,1748.416,0,98.105,0,0,0,183.215,0,206.486,24.347
201.000000,1679.742,0,112.448,0,0,0,204.621,0,233.44,27.659
202.000000,1674.048,0,100.841,0,0,0,186.896,0,211.401,23.228
203.000000,1419.508,1.936,93.376,1.479,1.665,1.638,166.416,1.554,188.676,23.662
204.000000,1511.399,0,100.531,0,0,0,185.432,0,208.313,22.139
205.000000,1444.916,0,97.641,0,0,0,181.553,0,203.785,24.533
206.000000,1319.608,0,111.712,0,0,0,202.515,0,229.199,23.312
207.000000,1286.615,0,106.882,0,0,0,189.102,0,214.825,29.623
208.000000,1142.304,0,113.769,0,0,0,197.418,0,226.944,34.659
209.000000,1091.489,0,97.349,0,0,0,169.173,0,192.983,21.387
210.000000,1068.95,0,101.134,0,0,0,183.345,0,207.838,22.585
211.000000,971.001,1.845,106.679,0,0,0,190.367,0,214.889,22.47
212.000000,1024.787,0,102.989,0,0,0,187.695,0,212.036,26.852
213.000000,869.975,0,102.024,0,0,0,183.245,0,215.891,21.575
214.000000,939.009,0,92.746,0,0,0,163.388,0,186.681,18.332
215.000000,939.61,0,94.873,0,0,0,167.21,0,191.811,22.087
216.000000,969.574,0,99.607,0,0,0,181.007,0,202.875,22.393
217.000000,794.142,0,119.255,0,0,0,221.269,0,247.586,30.266
218.000000,792.29,0,107.675,0,0,0,205.563,0,227.745,22.892
219.000000,687.592,1.604,93.356,1.673,1.692,1.626,174.883,1.631,193.348,23.818
220.000000,622.191,0,94.951,0,0,0,172.071,0,194.337,21.456
221.000000,719.488,1.683,88.229,1.756,1.814,1.738,156.156,1.703,177.646,25.536
222.000000,717.595,0,94.986,0,0,0,171.892,0,195.74,19.911
223.000000,609.735,0,118.323,0,0,0,216.157,0,242.277,27.456
224.000000,678.216,0,102.419,0,0,0,191.608,0,211.921,27.107
225.000000,594.175,0,91.647,0,0,0,170.975,0,186.422,23.219
226.000000,544.996,0,97.732,0,0,0,182.199,0,203.328,24.599
227.000000,563.359,0,103.439,0,0,0,191.36,0,218.441,24.408
228.000000,610.858,0,91.938,0,0,0,172.559,0,195.063,24.818
229.000000,519.49,0,87.667,0,0,0,164.622,0,183.063,21.59
230.000000,546.067,0,109.607,0,0,0,204.095,0,227.988,31.549
231.000000,563.081,0,104.581,0,0,0,193.395,0,219.251,21.65
232.000000,500.756,0,99.582,0,0,0,179.839,0,201.536,18.39
233.000000,482.539,0,97.418,0,0,0,175.189,0,197.867,19.764
234.000000,524.752,0,96.956,0,0,0,175.336,0,198.735,20.333
235.000000,550.054,0,90.754,0,0,0,169.208,0,190.837,20.625
236.000000,578.927,0,102.238,0,0,0,182.775,0,210.18,23.469
237.000000,593.179,0,86.74,0,0,0,161.69,0,181.067,17.986
238.000000,504.897,0,100.348,0,0,0,188.518,0,210.643,23.138
239.000000,598.757,0,110.183,0,0,0,204.986,0,230.847,23.482
240.000000,431.966,0,111.977,0,0,0,200.622,0,227.422,25.393
241.000000,460.269,0,96.33,0,0,0,173.87,0,198.01,18.414
242.000000,514.212,0,92.188,0,0,0,165.102,0,187.667,20.283
243.000000,521.446,0,88.477,0,0,0,157.898,0,179.192,20.713
244.000000,981.319,0,0.328,0,0,0,0.857,0,0.812,26.949
245.000000,1038.576,0,0,0,0,0,0,0,0,32.514
