$ DWR Tailwater Elevation - 2011-2015; NAVD88 (NGVD29+3.3); FEET,
See 'Dworshak-SystemModel-Flows-2015-BOT-v7.xlsm',
JDAY,TW-ELEV
41452.96,977.80
41453.00,977.80
41453.96,977.80
41454.00,977.80
41454.96,977.80
41455.00,977.80
41455.96,979.61
41456.00,979.61
41456.96,981.86
41457.00,981.86
41457.96,982.88
41458.00,982.88
41458.96,982.80
41459.00,982.80
41459.96,982.87
41460.00,982.87
41460.96,981.93
41461.00,981.93
41461.96,981.06
41462.00,981.06
41462.96,981.10
41463.00,981.10
41463.96,981.10
41464.00,981.10
41464.96,981.10
41465.00,981.10
41465.96,981.67
41466.00,981.67
41466.96,982.60
41467.00,982.60
41467.96,981.81
41468.00,981.81
41468.96,981.10
41469.00,981.10
41469.96,981.30
41470.00,981.30
41470.96,982.38
41471.00,982.38
41471.96,981.20
41472.00,981.20
41472.96,981.20
41473.00,981.20
41473.96,981.20
41474.00,981.20
41474.96,981.20
41475.00,981.20
41475.96,981.20
41476.00,981.20
41476.96,981.74
41477.00,981.74
41477.96,982.31
41478.00,982.31
41478.96,981.90
41479.00,981.90
41479.96,981.90
41480.00,981.90
41480.96,981.52
41481.00,981.52
41481.96,981.20
41482.00,981.20
41482.96,981.20
41483.00,981.20
41483.96,981.20
41484.00,981.20
41484.96,981.20
41485.00,981.20
41485.96,981.20
41486.00,981.20
41486.96,981.20
41487.00,981.20
41487.96,981.20
41488.00,981.20
41488.96,981.20
41489.00,981.20
41489.96,981.28
41490.00,981.28
41490.96,981.30
41491.00,981.30
41491.96,981.30
41492.00,981.30
41492.96,981.30
41493.00,981.30
41493.96,981.30
41494.00,981.30
41494.96,981.30
41495.00,981.30
41495.96,981.30
41496.00,981.30
41496.96,981.30
41497.00,981.30
41497.96,981.30
41498.00,981.30
41498.96,981.30
41499.00,981.30
41499.96,979.85
41500.00,979.85
41500.96,979.85
41501.00,979.85
41501.96,979.85
41502.00,979.85
41502.96,979.88
41503.00,979.88
41503.96,979.90
41504.00,979.90
41504.96,979.90
41505.00,979.90
41505.96,979.90
41506.00,979.90
41506.96,979.90
41507.00,979.90
41507.96,979.90
41508.00,979.90
41508.96,979.54
41509.00,979.54
41509.96,979.50
41510.00,979.50
41510.96,980.29
41511.00,980.29
41511.96,980.30
41512.00,980.30
41512.96,980.30
41513.00,980.30
41513.96,979.44
41514.00,979.44
41514.96,979.50
41515.00,979.50
41515.96,979.50
41516.00,979.50
41516.96,979.50
41517.00,979.50
41517.96,979.50
41518.00,979.50
41518.96,979.50
41519.00,979.50
41519.96,979.50
41520.00,979.50
41520.96,979.50
41521.00,979.50
41521.96,979.50
41522.00,979.50
41522.96,979.50
41523.00,979.50
41523.96,979.50
41524.00,979.50
41524.96,979.50
41525.00,979.50
41525.96,979.47
41526.00,979.47
41526.96,978.20
41527.00,978.20
41527.96,978.20
41528.00,978.20
41528.96,978.20
41529.00,978.20
41529.96,977.30
41530.00,977.30
41530.96,977.30
41531.00,977.30
41531.96,977.30
41532.00,977.30
41532.96,977.30
41533.00,977.30
41533.96,975.20
41534.00,975.20
41534.96,974.80
41535.00,974.80
41535.96,974.80
41536.00,974.80
41536.96,974.80
41537.00,974.80
41537.96,974.80
41538.00,974.80
41538.96,974.53
41539.00,974.53
41539.96,973.60
41540.00,973.60
41540.96,973.60
41541.00,973.60
41541.96,973.60
41542.00,973.60
41542.96,973.60
41543.00,973.60
41543.96,973.60
41544.00,973.60
41544.96,973.60
41545.00,973.60
41545.96,973.60
41546.00,973.60
41546.96,973.60
41547.00,973.60
41547.96,973.60
41548.00,973.60
41548.96,973.60
41549.00,973.60
41549.96,973.60
41550.00,973.60
41550.96,973.60
41551.00,973.60
41551.96,973.60
41552.00,973.60
41552.96,973.60
41553.00,973.60
41553.96,973.60
41554.00,973.60
41554.96,973.60
41555.00,973.60
41555.96,973.60
41556.00,973.60
41556.96,973.60
41557.00,973.60
41557.96,973.60
41558.00,973.60
41558.96,973.60
41559.00,973.60
41559.96,973.60
41560.00,973.60
41560.96,973.60
41561.00,973.60
41561.96,973.60
41562.00,973.60
41562.96,973.60
41563.00,973.60
41563.96,973.60
41564.00,973.60
41564.96,973.60
41565.00,973.60
41565.96,973.60
41566.00,973.60
41566.96,973.60
41567.00,973.60
41567.96,973.60
41568.00,973.60
41568.96,973.60
41569.00,973.60
41569.96,973.60
41570.00,973.60
41570.96,973.60
41571.00,973.60
41571.96,974.36
41572.00,974.36
41572.96,973.70
41573.00,973.70
41573.96,973.70
41574.00,973.70
41574.96,973.70
41575.00,973.70
41575.96,973.70
41576.00,973.70
41576.96,973.80
41577.00,973.80
41577.96,973.80
41578.00,973.80
41578.96,973.80
41579.00,973.80
41579.96,973.80
41580.00,973.80
41580.96,973.80
41581.00,973.80
41582.00,973.80
41583.00,973.80
41584.00,973.80
41585.00,973.80
41586.00,973.80
41587.00,973.80
41588.00,973.80
41589.00,973.80
41590.00,973.80
41591.00,973.80
41592.00,973.80
41593.00,973.80
41594.00,973.80
41595.00,973.90
41596.00,973.90
41597.00,973.90
41598.00,973.90
41599.00,973.90
41600.00,973.90
41601.00,973.90
41602.00,973.90
41603.00,973.90
41604.00,973.90
41605.00,973.90
41606.00,973.90
41607.00,973.90
41608.00,973.90
41609.00,973.83
41610.00,973.80
41611.00,973.82
41612.00,973.70
41613.00,973.70
41614.00,973.70
41615.00,973.70
41616.00,973.70
41617.00,973.70
41618.00,973.70
41619.00,973.70
41620.00,973.70
41621.00,973.70
41622.00,973.70
41623.00,973.70
41624.00,973.70
41625.00,973.70
41626.00,973.70
41627.00,973.70
41628.00,973.70
41629.00,973.70
41630.00,973.70
41631.00,973.70
41632.00,973.70
41633.00,973.75
41634.00,973.75
41635.00,973.75
41636.00,973.75
41637.00,973.75
41638.00,973.75
41639.00,973.75
41640.00,973.75
41641.00,973.75
41642.00,973.75
41643.00,973.75
41644.00,973.75
41645.00,973.75
41646.00,973.75
41647.00,973.75
41648.00,973.75
41649.00,973.75
41650.00,973.75
41651.00,973.75
41652.00,973.75
41653.00,973.75
41654.00,973.75
41655.00,973.75
41656.00,973.75
41657.00,973.75
41658.00,973.75
41659.00,973.75
41660.00,973.75
41661.00,973.75
41662.00,973.75
41663.00,973.75
41664.00,973.75
41665.00,973.75
41666.00,973.75
41667.00,973.64
41668.00,973.50
41669.00,973.50
41670.00,973.50
41671.00,973.50
41672.00,973.50
41673.00,973.50
41674.00,973.50
41675.00,973.50
41676.00,976.77
41677.00,977.38
41678.00,977.30
41679.00,973.40
41680.00,973.40
41681.00,975.33
41682.00,975.56
41683.00,973.50
41684.00,973.50
41685.00,973.50
41686.00,973.50
41687.00,973.50
41688.00,973.50
41689.00,973.50
41690.00,973.49
41691.00,973.47
41692.00,973.47
41693.00,973.47
41694.00,973.47
41695.00,973.47
41696.00,973.47
41697.00,973.47
41698.00,976.42
41699.00,977.30
41700.00,977.30
41701.00,977.30
41702.00,980.56
41703.00,981.50
41704.00,981.50
41705.00,981.50
41706.00,981.50
41707.00,981.50
41707.96,981.50
41708.00,981.50
41708.96,981.66
41709.00,981.66
41709.96,982.57
41710.00,982.57
41710.96,983.43
41711.00,983.43
41711.96,983.30
41712.00,983.30
41712.96,983.30
41713.00,983.30
41713.96,983.30
41714.00,983.30
41714.96,984.70
41715.00,984.70
41715.96,984.70
41716.00,984.70
41716.96,984.70
41717.00,984.70
41717.96,984.70
41718.00,984.70
41718.96,984.70
41719.00,984.70
41719.96,984.75
41720.00,984.75
41720.96,985.93
41721.00,985.93
41721.96,985.86
41722.00,985.86
41722.96,985.81
41723.00,985.81
41723.96,985.80
41724.00,985.80
41724.96,985.73
41725.00,985.73
41725.96,985.70
41726.00,985.70
41726.96,985.70
41727.00,985.70
41727.96,985.70
41728.00,985.70
41728.96,985.70
41729.00,985.70
41729.96,985.70
41730.00,985.70
41730.96,985.70
41731.00,985.70
41731.96,985.70
41732.00,985.70
41732.96,985.70
41733.00,985.70
41733.96,985.70
41734.00,985.70
41734.96,985.70
41735.00,985.70
41735.96,985.70
41736.00,985.70
41736.96,985.70
41737.00,985.70
41737.96,985.70
41738.00,985.70
41738.96,985.70
41739.00,985.70
41739.96,985.70
41740.00,985.70
41740.96,985.70
41741.00,985.70
41741.96,985.70
41742.00,985.70
41742.96,985.70
41743.00,985.70
41743.96,985.70
41744.00,985.70
41744.96,985.70
41745.00,985.70
41745.96,985.70
41746.00,985.70
41746.96,985.70
41747.00,985.70
41747.96,983.24
41748.00,983.24
41748.96,981.40
41749.00,981.40
41749.96,981.40
41750.00,981.40
41750.96,981.40
41751.00,981.40
41751.96,981.40
41752.00,981.40
41752.96,981.40
41753.00,981.40
41753.96,981.40
41754.00,981.40
41754.96,981.40
41755.00,981.40
41755.96,981.40
41756.00,981.40
41756.96,981.40
41757.00,981.40
41757.96,981.40
41758.00,981.40
41758.96,981.40
41759.00,981.40
41759.96,981.40
41760.00,981.40
41760.96,981.40
41761.00,981.40
41761.96,981.40
41762.00,981.40
41762.96,977.88
41763.00,977.88
41763.96,976.02
41764.00,976.02
41764.96,976.47
41765.00,976.47
41765.96,976.19
41766.00,976.19
41766.96,975.95
41767.00,975.95
41767.96,975.71
41768.00,975.71
41768.96,975.65
41769.00,975.65
41769.96,975.90
41770.00,975.90
41770.96,975.71
41771.00,975.71
41771.96,975.45
41772.00,975.45
41772.96,975.30
41773.00,975.30
41773.96,976.95
41774.00,976.95
41774.96,977.63
41775.00,977.63
41775.96,977.78
41776.00,977.78
41776.96,976.48
41777.00,976.48
41777.96,976.97
41778.00,976.97
41778.96,976.93
41779.00,976.93
41779.96,976.64
41780.00,976.64
41780.96,976.40
41781.00,976.40
41781.96,976.68
41782.00,976.68
41782.96,977.27
41783.00,977.27
41783.96,977.90
41784.00,977.90
41784.96,977.80
41785.00,977.80
41785.96,977.58
41786.00,977.58
41786.96,977.48
41787.00,977.48
41787.96,977.25
41788.00,977.25
41788.96,977.13
41789.00,977.13
41789.96,976.77
41790.00,976.77
41790.96,976.50
41791.00,976.50
41791.96,978.11
41792.00,978.11
41792.96,978.09
41793.00,978.09
41793.96,978.00
41794.00,978.00
41794.96,978.13
41795.00,978.13
41795.96,978.05
41796.00,978.05
41796.96,978.01
41797.00,978.01
41797.96,977.88
41798.00,977.88
41798.96,977.70
41799.00,977.70
41799.96,977.61
41800.00,977.61
41800.96,977.60
41801.00,977.60
41801.96,977.41
41802.00,977.41
41802.96,975.11
41803.00,975.11
41803.96,975.10
41804.00,975.10
41804.96,975.10
41805.00,975.10
41805.96,974.64
41806.00,974.64
41806.96,974.48
41807.00,974.48
41807.96,974.50
41808.00,974.50
41808.96,974.37
41809.00,974.37
41809.96,974.10
41810.00,974.10
41810.96,974.10
41811.00,974.10
41811.96,974.10
41812.00,974.10
41812.96,974.27
41813.00,974.27
41813.96,974.30
41814.00,974.30
41814.96,974.30
41815.00,974.30
41815.96,974.30
41816.00,974.30
41816.96,974.23
41817.00,974.23
41817.96,976.45
41818.00,976.45
41818.96,982.10
41819.00,982.10
41819.96,981.74
41820.00,981.74
41820.96,981.00
41821.00,981.00
41821.96,981.02
41822.00,981.02
41822.96,980.23
41823.00,980.23
41823.96,979.19
41824.00,979.19
41824.96,979.50
41825.00,979.50
41825.96,979.50
41826.00,979.50
41826.96,979.50
41827.00,979.50
41827.96,982.26
41828.00,982.26
41828.96,982.27
41829.00,982.27
41829.96,982.46
41830.00,982.46
41830.96,982.81
41831.00,982.81
41831.96,982.90
41832.00,982.90
41832.96,983.08
41833.00,983.08
41833.96,983.15
41834.00,983.15
41834.96,982.68
41835.00,982.68
41835.96,982.08
41836.00,982.08
41836.96,982.07
41837.00,982.07
41837.96,982.41
41838.00,982.41
41838.96,982.72
41839.00,982.72
41839.96,982.80
41840.00,982.80
41840.96,982.27
41841.00,982.27
41841.96,981.63
41842.00,981.63
41842.96,981.23
41843.00,981.23
41843.96,981.20
41844.00,981.20
41844.96,981.20
41845.00,981.20
41845.96,981.23
41846.00,981.23
41846.96,982.85
41847.00,982.85
41847.96,982.80
41848.00,982.80
41848.96,982.88
41849.00,982.88
41849.96,983.30
41850.00,983.30
41850.96,983.30
41851.00,983.30
41851.96,983.13
41852.00,983.13
41852.96,981.30
41853.00,981.30
41853.96,981.30
41854.00,981.30
41854.96,981.30
41855.00,981.30
41855.96,981.30
41856.00,981.30
41856.96,981.30
41857.00,981.30
41857.96,981.30
41858.00,981.30
41858.96,981.30
41859.00,981.30
41859.96,981.30
41860.00,981.30
41860.96,982.34
41861.00,982.34
41861.96,982.50
41862.00,982.50
41862.96,982.50
41863.00,982.50
41863.96,982.48
41864.00,982.48
41864.96,981.30
41865.00,981.30
41865.96,981.30
41866.00,981.30
41866.96,981.06
41867.00,981.06
41867.96,978.53
41868.00,978.53
41868.96,978.60
41869.00,978.60
41869.96,978.60
41870.00,978.60
41870.96,978.60
41871.00,978.60
41871.96,978.48
41872.00,978.48
41872.96,978.36
41873.00,978.36
41873.96,978.68
41874.00,978.68
41874.96,979.70
41875.00,979.70
41875.96,979.70
41876.00,979.70
41876.96,979.69
41877.00,979.69
41877.96,979.70
41878.00,979.70
41878.96,979.70
41879.00,979.70
41879.96,979.50
41880.00,979.50
41880.96,979.60
41881.00,979.60
41881.96,979.60
41882.00,979.60
41882.96,979.60
41883.00,979.60
41883.96,979.57
41884.00,979.57
41884.96,979.55
41885.00,979.55
41885.96,979.53
41886.00,979.53
41886.96,979.67
41887.00,979.67
41887.96,979.70
41888.00,979.70
41888.96,979.70
41889.00,979.70
41889.96,979.80
41890.00,979.80
41890.96,979.80
41891.00,979.80
41891.96,979.80
41892.00,979.80
41892.96,979.80
41893.00,979.80
41893.96,979.80
41894.00,979.80
41894.96,979.80
41895.00,979.80
41895.96,979.80
41896.00,979.80
41896.96,979.67
41897.00,979.67
41897.96,978.46
41898.00,978.46
41898.96,978.45
41899.00,978.45
41899.96,978.45
41900.00,978.45
41900.96,978.45
41901.00,978.45
41901.96,978.45
41902.00,978.45
41902.96,977.12
41903.00,977.12
41903.96,977.10
41904.00,977.10
41904.96,976.03
41905.00,976.03
41905.96,974.80
41906.00,974.80
41906.96,974.74
41907.00,974.74
41907.96,974.20
41908.00,974.20
41908.96,973.60
41909.00,973.60
41909.96,973.60
41910.00,973.60
41910.96,973.60
41911.00,973.60
41911.96,973.60
41912.00,973.60
41912.96,973.60
41913.00,973.60
41913.96,973.60
41914.00,973.60
41914.96,973.60
41915.00,973.60
41915.96,973.60
41916.00,973.60
41916.96,973.60
41917.00,973.60
41917.96,973.60
41918.00,973.60
41918.96,973.60
41919.00,973.60
41919.96,973.60
41920.00,973.60
41920.96,973.60
41921.00,973.60
41921.96,973.60
41922.00,973.60
41922.96,973.60
41923.00,973.60
41923.96,973.60
41924.00,973.60
41924.96,973.60
41925.00,973.60
41925.96,973.60
41926.00,973.60
41926.96,973.60
41927.00,973.60
41927.96,973.60
41928.00,973.60
41928.96,973.60
41929.00,973.60
41929.96,973.60
41930.00,973.60
41930.96,973.60
41931.00,973.60
41931.96,973.60
41932.00,973.60
41932.96,973.60
41933.00,973.60
41933.96,973.60
41934.00,973.60
41934.96,973.60
41935.00,973.60
41935.96,973.60
41936.00,973.60
41936.96,973.60
41937.00,973.60
41937.96,973.71
41938.00,973.71
41938.96,973.80
41939.00,973.80
41939.96,973.80
41940.00,973.80
41940.96,973.79
41941.00,973.79
41941.96,973.70
41942.00,973.70
41942.96,973.70
41943.00,973.70
41943.96,973.70
41944.00,973.70
41944.96,973.70
41945.00,973.70
41946.00,973.70
41947.00,973.70
41948.00,973.70
41949.00,973.70
41950.00,973.70
41951.00,973.70
41952.00,973.70
41953.00,973.70
41954.00,973.70
41955.00,973.70
41956.00,973.70
41957.00,973.70
41958.00,973.70
41959.00,973.70
41960.00,973.70
41961.00,973.70
41962.00,973.70
41963.00,973.70
41964.00,973.70
41965.00,973.70
41966.00,973.70
41967.00,973.70
41968.00,973.70
41969.00,973.40
41970.00,973.70
41971.00,973.70
41972.00,973.70
41973.00,973.70
41974.00,973.70
41975.00,973.70
41976.00,973.70
41977.00,973.65
41978.00,973.60
41979.00,973.60
41980.00,973.60
41981.00,973.60
41982.00,973.60
41983.00,973.60
41984.00,973.60
41985.00,973.60
41986.00,973.60
41987.00,973.60
41988.00,973.60
41989.00,973.60
41990.00,973.60
41991.00,973.60
41992.00,974.15
41993.00,973.70
41994.00,973.70
41995.00,973.70
41996.00,973.70
41997.00,973.70
41998.00,973.70
41999.00,973.70
42000.00,973.70
42001.00,973.70
42002.00,973.70
42003.00,973.70
42004.00,973.70
42005.00,973.70
42006.00,973.70
42007.00,973.70
42008.00,973.70
42009.00,973.70
42010.00,973.70
42011.00,973.70
42012.00,973.70
42013.00,973.70
42014.00,973.70
42015.00,973.70
42016.00,973.70
42017.00,973.70
42018.00,973.70
42019.00,973.70
42020.00,973.70
42021.00,973.61
42022.00,973.60
42023.00,973.60
42024.00,973.60
42025.00,973.60
42026.00,973.60
42027.00,973.60
42028.00,973.60
42029.00,973.60
42030.00,973.60
42031.00,973.60
42032.00,973.60
42033.00,973.60
42034.00,973.60
42035.00,973.60
42036.00,973.60
42037.00,973.60
42038.00,973.78
42039.00,973.60
42040.00,973.60
42041.00,973.60
42042.00,973.60
42043.00,973.87
42044.00,973.84
42045.00,976.91
42046.00,977.65
42047.00,977.30
42048.00,978.03
42049.00,978.10
42050.00,980.94
42051.00,981.00
42052.00,981.00
42053.00,981.00
42054.00,981.00
42055.00,981.00
42056.00,981.00
42057.00,978.05
42058.00,978.00
42059.00,978.00
42060.00,978.00
42061.00,978.00
42062.00,976.87
42063.00,978.00
42064.00,978.00
42065.00,978.00
42066.00,978.00
42067.00,976.01
42068.00,976.00
42069.00,973.76
42070.00,973.50
42071.00,973.50
42071.96,973.50
42072.00,973.50
42072.96,973.50
42073.00,973.50
42073.96,973.50
42074.00,973.50
42074.96,973.50
42075.00,973.50
42075.96,973.50
42076.00,973.50
42076.96,973.50
42077.00,973.50
42077.96,973.50
42078.00,973.50
42078.96,973.50
42079.00,973.50
42079.96,973.61
42080.00,973.61
42080.96,973.70
42081.00,973.70
42081.96,973.70
42082.00,973.70
42082.96,973.62
42083.00,973.62
42083.96,973.60
42084.00,973.60
42084.96,973.60
42085.00,973.60
42085.96,973.60
42086.00,973.60
42086.96,973.60
42087.00,973.60
42087.96,973.60
42088.00,973.60
42088.96,977.11
42089.00,977.11
42089.96,980.90
42090.00,980.90
42090.96,981.55
42091.00,981.55
42091.96,982.10
42092.00,982.10
42092.96,982.10
42093.00,982.10
42093.96,981.79
42094.00,981.79
42094.96,980.80
42095.00,980.80
42095.96,980.85
42096.00,980.85
42096.96,980.90
42097.00,980.90
42097.96,980.82
42098.00,980.82
42098.96,978.43
42099.00,978.43
42099.96,978.30
42100.00,978.30
42100.96,978.30
42101.00,978.30
42101.96,978.39
42102.00,978.39
42102.96,978.50
42103.00,978.50
42103.96,978.50
42104.00,978.50
42104.96,978.50
42105.00,978.50
42105.96,978.50
42106.00,978.50
42106.96,978.50
42107.00,978.50
42107.96,978.50
42108.00,978.50
42108.96,978.50
42109.00,978.50
42109.96,978.50
42110.00,978.50
42110.96,978.60
42111.00,978.60
42111.96,981.07
42112.00,981.07
42112.96,981.10
42113.00,981.10
42113.96,981.10
42114.00,981.10
42114.96,981.10
42115.00,981.10
42115.96,981.10
42116.00,981.10
42116.96,981.10
42117.00,981.10
42117.96,981.10
42118.00,981.10
42118.96,979.52
42119.00,979.52
42119.96,979.50
42120.00,979.50
42120.96,979.50
42121.00,979.50
42121.96,979.50
42122.00,979.50
42122.96,979.50
42123.00,979.50
42123.96,979.50
42124.00,979.50
42124.96,979.50
42125.00,979.50
42125.96,979.33
42126.00,979.33
42126.96,977.71
42127.00,977.71
42127.96,977.70
42128.00,977.70
42128.96,977.70
42129.00,977.70
42129.96,981.02
42130.00,981.02
42130.96,981.10
42131.00,981.10
42131.96,981.15
42132.00,981.15
42132.96,981.17
42133.00,981.17
42133.96,977.80
42134.00,977.80
42134.96,974.03
42135.00,974.03
42135.96,974.00
42136.00,974.00
42136.96,974.00
42137.00,974.00
42137.96,974.00
42138.00,974.00
42138.96,974.04
42139.00,974.04
42139.96,974.10
42140.00,974.10
42140.96,977.80
42141.00,977.80
42141.96,979.49
42142.00,979.49
42142.96,977.73
42143.00,977.73
42143.96,974.01
42144.00,974.01
42144.96,974.15
42145.00,974.15
42145.96,974.30
42146.00,974.30
42146.96,974.20
42147.00,974.20
42147.96,974.20
42148.00,974.20
42148.96,974.20
42149.00,974.20
42149.96,974.17
42150.00,974.17
42150.96,974.10
42151.00,974.10
42151.96,974.10
42152.00,974.10
42152.96,974.03
42153.00,974.03
42153.96,974.00
42154.00,974.00
42154.96,973.92
42155.00,973.92
42155.96,973.90
42156.00,973.90
42156.96,973.90
42157.00,973.90
42157.96,973.90
42158.00,973.90
42158.96,974.69
42159.00,974.69
42159.96,976.51
42160.00,976.51
42160.96,974.80
42161.00,974.80
42161.96,974.80
42162.00,974.80
42162.96,975.27
42163.00,975.27
42163.96,977.10
42164.00,977.10
42164.96,977.00
42165.00,977.00
42165.96,975.81
42166.00,975.81
42166.96,975.80
42167.00,975.80
42167.96,975.80
42168.00,975.80
42168.96,975.60
42169.00,975.60
42169.96,975.60
42170.00,975.60
42170.96,975.60
42171.00,975.60
42171.96,975.60
42172.00,975.60
42172.96,977.90
42173.00,977.90
42173.96,977.90
42174.00,977.90
42174.96,977.90
42175.00,977.90
42175.96,977.90
42176.00,977.90
42176.96,977.90
42177.00,977.90
42177.96,977.90
42178.00,977.90
42178.96,979.60
42179.00,979.60
42179.96,979.60
42180.00,979.60
42180.96,980.40
42181.00,980.40
42181.96,980.49
42182.00,980.49
42182.96,982.55
42183.00,982.55
42183.96,983.00
42184.00,983.00
42184.96,982.00
42185.00,982.00
42185.96,981.00
42186.00,981.00
42186.96,980.97
42187.00,980.97
42187.96,978.01
42188.00,978.01
42188.96,977.90
42189.00,977.90
42189.96,977.90
42190.00,977.90
42190.96,977.94
42191.00,977.94
42191.96,979.69
42192.00,979.69
42192.96,979.70
42193.00,979.70
42193.96,979.53
42194.00,979.53
42194.96,982.40
42195.00,982.40
42195.96,982.60
42196.00,982.60
42196.96,982.60
42197.00,982.60
42197.96,982.60
42198.00,982.60
42198.96,981.49
42199.00,981.49
42199.96,979.70
42200.00,979.70
42200.96,979.70
42201.00,979.70
42201.96,980.78
42202.00,980.78
42202.96,981.20
42203.00,981.20
42203.96,981.20
42204.00,981.20
42204.96,981.20
42205.00,981.20
42205.96,981.20
42206.00,981.20
42206.96,981.20
42207.00,981.20
42207.96,981.20
42208.00,981.20
42208.96,981.20
42209.00,981.20
42209.96,979.78
42210.00,979.78
42210.96,979.80
42211.00,979.80
42211.96,981.29
42212.00,981.29
42212.96,981.30
42213.00,981.30
42213.96,981.24
42214.00,981.24
42214.96,979.80
42215.00,979.80
42215.96,979.80
42216.00,979.80
42216.96,981.30
42217.00,981.30
42217.96,981.30
42218.00,981.30
42218.96,981.30
42219.00,981.30
42219.96,978.54
42220.00,978.54
42220.96,979.70
42221.00,979.70
42221.96,979.70
42222.00,979.70
42222.96,979.66
42223.00,979.66
42223.96,978.10
42224.00,978.10
42224.96,978.10
42225.00,978.10
42225.96,978.10
42226.00,978.10
42226.96,978.10
42227.00,978.10
42227.96,978.10
42228.00,978.10
42228.96,978.10
42229.00,978.10
42229.96,978.10
42230.00,978.10
42230.96,979.68
42231.00,979.68
42231.96,979.70
42232.00,979.70
42232.96,978.17
42233.00,978.17
42233.96,978.10
42234.00,978.10
42234.96,978.10
42235.00,978.10
42235.96,978.10
42236.00,978.10
42236.96,978.14
42237.00,978.14
42237.96,977.82
42238.00,977.82
42238.96,978.10
42239.00,978.10
42239.96,978.10
42240.00,978.10
42240.96,977.74
42241.00,977.74
42241.96,977.30
42242.00,977.30
42242.96,977.83
42243.00,977.83
42243.96,978.20
42244.00,978.20
42244.96,978.20
42245.00,978.20
42245.96,978.20
42246.00,978.20
42246.96,978.20
42247.00,978.20
42247.96,978.20
42248.00,978.20
42248.96,978.20
42249.00,978.20
42249.96,978.20
42250.00,978.20
42250.96,978.20
42251.00,978.20
42251.96,978.20
42252.00,978.20
42252.96,978.20
42253.00,978.20
42253.96,978.20
42254.00,978.20
42254.96,978.20
42255.00,978.20
42255.96,978.20
42256.00,978.20
42256.96,978.20
42257.00,978.20
42257.96,978.20
42258.00,978.20
42258.96,978.20
42259.00,978.20
42259.96,978.20
42260.00,978.20
42260.96,978.20
42261.00,978.20
42261.96,978.20
42262.00,978.20
42262.96,977.50
42263.00,977.50
42263.96,977.50
42264.00,977.50
42264.96,977.50
42265.00,977.50
42265.96,975.10
42266.00,975.10
42266.96,975.10
42267.00,975.10
42267.96,974.16
42268.00,974.16
42268.96,973.80
42269.00,973.80
42269.96,973.80
42270.00,973.80
42270.96,975.07
42271.00,975.07
42271.96,973.80
42272.00,973.80
42272.96,973.80
42273.00,973.80
42273.96,973.80
42274.00,973.80
42274.96,973.80
42275.00,973.80
42275.96,973.80
42276.00,973.80
42276.96,973.80
42277.00,973.80
42277.96,973.80
42278.00,973.80
42278.96,973.80
42279.00,973.80
42279.96,973.80
42280.00,973.80
42280.96,973.80
42281.00,973.80
42281.96,973.80
42282.00,973.80
42282.96,973.80
42283.00,973.80
42283.96,973.80
42284.00,973.80
42284.96,973.80
42285.00,973.80
42285.96,973.80
42286.00,973.80
42286.96,973.80
42287.00,973.80
42287.96,973.80
42288.00,973.80
42288.96,973.80
42289.00,973.80
42289.96,973.80
42290.00,973.80
42290.96,973.80
42291.00,973.80
42291.96,973.80
42292.00,973.80
42292.96,973.80
42293.00,973.80
42293.96,973.80
42294.00,973.80
42294.96,973.80
42295.00,973.80
42295.96,973.80
42296.00,973.80
42296.96,973.80
42297.00,973.80
42297.96,973.80
42298.00,973.80
42298.96,973.80
42299.00,973.80
42299.96,973.80
42300.00,973.80
42300.96,973.80
42301.00,973.80
42301.96,973.80
42302.00,973.80
42302.96,973.80
42303.00,973.80
42303.96,973.80
42304.00,973.80
42304.96,973.90
42305.00,973.90
42305.96,973.90
42306.00,973.90
42306.96,973.90
42307.00,973.90
42307.96,973.90
42308.00,973.90
42308.96,973.90
42309.00,973.90
42310.00,973.90
42311.00,973.90
42312.00,973.87
42313.00,973.80
42314.00,973.80
42315.00,973.80
42316.00,973.80
42317.00,973.80
42318.00,973.80
42319.00,973.80
42320.00,973.80
42321.00,973.80
42322.00,973.80
42323.00,973.80
42324.00,973.80
42325.00,973.80
42326.00,973.80
42327.00,973.80
42328.00,974.25
42329.00,973.80
42330.00,973.80
42331.00,973.80
42332.00,973.80
42333.00,973.80
42334.00,973.80
42335.00,973.82
42336.00,973.90
42337.00,973.90
42338.00,973.90
42339.00,973.90
42340.00,973.90
42341.00,973.90
42342.00,973.90
42343.00,973.90
42344.00,973.90
42345.00,974.10
42346.00,974.10
42347.00,974.10
42348.00,974.00
42349.00,974.00
42350.00,974.00
42351.00,974.00
42352.00,974.00
42353.00,974.00
42354.00,974.00
42355.00,974.00
42356.00,974.00
42357.00,974.00
42358.00,974.00
42359.00,974.00
42360.00,974.00
42361.00,974.00
42362.00,974.00
42363.00,974.00
42364.00,973.93
42365.00,973.90
42366.00,973.90
42367.00,973.90
42368.00,973.90
42369.00,973.90
