$ DWR Tailwater Elevation - 2011-2015; NAVD88 (NGVD29+3.3); FEET,
See 'Dworshak-SystemModel-Flows-2015-BOT-v7.xlsm',
JDAY,TW-ELEV
40752.00,983.20
40752.96,983.20
40753.00,983.20
40753.96,983.26
40754.00,983.26
40754.96,983.30
40755.00,983.30
40755.96,983.30
40756.00,983.30
40756.96,983.30
40757.00,983.30
40757.96,983.30
40758.00,983.30
40758.96,983.37
40759.00,983.37
40759.96,983.38
40760.00,983.38
40760.96,983.30
40761.00,983.30
40761.96,983.26
40762.00,983.26
40762.96,983.20
40763.00,983.20
40763.96,983.20
40764.00,983.20
40764.96,983.30
40765.00,983.30
40765.96,983.30
40766.00,983.30
40766.96,983.20
40767.00,983.20
40767.96,983.30
40768.00,983.30
40768.96,983.30
40769.00,983.30
40769.96,983.13
40770.00,983.13
40770.96,983.11
40771.00,983.11
40771.96,983.12
40772.00,983.12
40772.96,983.13
40773.00,983.13
40773.96,983.37
40774.00,983.37
40774.96,983.30
40775.00,983.30
40775.96,983.30
40776.00,983.30
40776.96,983.30
40777.00,983.30
40777.96,983.30
40778.00,983.30
40778.96,983.31
40779.00,983.31
40779.96,983.49
40780.00,983.49
40780.96,983.52
40781.00,983.52
40781.96,983.42
40782.00,983.42
40782.96,983.25
40783.00,983.25
40783.96,983.12
40784.00,983.12
40784.96,983.10
40785.00,983.10
40785.96,983.27
40786.00,983.27
40786.96,983.32
40787.00,983.32
40787.96,983.43
40788.00,983.43
40788.96,983.50
40789.00,983.50
40789.96,983.51
40790.00,983.51
40790.96,982.74
40791.00,982.74
40791.96,981.70
40792.00,981.70
40792.96,981.70
40793.00,981.70
40793.96,981.70
40794.00,981.70
40794.96,981.70
40795.00,981.70
40795.96,981.70
40796.00,981.70
40796.96,980.53
40797.00,980.53
40797.96,980.30
40798.00,980.30
40798.96,980.30
40799.00,980.30
40799.96,979.04
40800.00,979.04
40800.96,977.17
40801.00,977.17
40801.96,977.76
40802.00,977.76
40802.96,977.70
40803.00,977.70
40803.96,977.70
40804.00,977.70
40804.96,975.30
40805.00,975.30
40805.96,975.20
40806.00,975.20
40806.96,975.20
40807.00,975.20
40807.96,974.24
40808.00,974.24
40808.96,974.30
40809.00,974.30
40809.96,974.30
40810.00,974.30
40810.96,974.30
40811.00,974.30
40811.96,974.14
40812.00,974.14
40812.96,974.10
40813.00,974.10
40813.96,974.10
40814.00,974.10
40814.96,974.10
40815.00,974.10
40815.96,974.00
40816.00,974.00
40816.96,974.00
40817.00,974.00
40817.96,974.20
40818.00,974.20
40818.96,974.20
40819.00,974.20
40819.96,974.20
40820.00,974.20
40820.96,974.20
40821.00,974.20
40821.96,974.20
40822.00,974.20
40822.96,974.20
40823.00,974.20
40823.96,974.19
40824.00,974.19
40824.96,974.00
40825.00,974.00
40825.96,974.00
40826.00,974.00
40826.96,974.11
40827.00,974.11
40827.96,974.24
40828.00,974.24
40828.96,974.10
40829.00,974.10
40829.96,974.10
40830.00,974.10
40830.96,974.10
40831.00,974.10
40831.96,974.10
40832.00,974.10
40832.96,974.10
40833.00,974.10
40833.96,974.10
40834.00,974.10
40834.96,974.10
40835.00,974.10
40835.96,974.10
40836.00,974.10
40836.96,974.10
40837.00,974.10
40837.96,974.10
40838.00,974.10
40838.96,974.10
40839.00,974.10
40839.96,974.10
40840.00,974.10
40840.96,974.08
40841.00,974.08
40841.96,974.00
40842.00,974.00
40842.96,974.00
40843.00,974.00
40843.96,974.00
40844.00,974.00
40844.96,973.81
40845.00,973.81
40845.96,973.80
40846.00,973.80
40846.96,973.80
40847.00,973.80
40847.96,973.80
40848.00,973.80
40848.96,973.80
40849.00,973.80
40849.96,973.80
40850.00,973.80
40850.96,973.80
40851.00,973.80
40851.96,973.83
40852.00,973.83
40852.96,973.90
40853.00,973.90
40854.00,973.90
40855.00,973.90
40856.00,973.90
40857.00,973.90
40858.00,973.90
40859.00,973.90
40860.00,973.90
40861.00,973.90
40862.00,973.90
40863.00,973.90
40864.00,973.90
40865.00,973.90
40866.00,973.90
40867.00,973.90
40868.00,973.90
40869.00,973.90
40870.00,973.85
40871.00,973.80
40872.00,973.84
40873.00,973.90
40874.00,973.90
40875.00,973.90
40876.00,973.90
40877.00,973.90
40878.00,973.90
40879.00,973.90
40880.00,973.90
40881.00,973.90
40882.00,973.90
40883.00,973.90
40884.00,973.80
40885.00,973.80
40886.00,973.80
40887.00,973.80
40888.00,973.80
40889.00,973.84
40890.00,973.82
40891.00,973.82
40892.00,973.82
40893.00,973.82
40894.00,973.87
40895.00,973.90
40896.00,973.90
40897.00,973.90
40898.00,973.90
40899.00,973.90
40900.00,973.90
40901.00,973.90
40902.00,973.90
40903.00,973.90
40904.00,973.90
40905.00,973.90
40906.00,973.90
40907.00,973.90
40908.00,973.90
40909.00,973.90
40910.00,973.90
40911.00,973.90
40912.00,973.90
40913.00,973.90
40914.00,973.90
40915.00,973.90
40916.00,973.90
40917.00,973.90
40918.00,973.90
40919.00,973.90
40920.00,973.90
40921.00,973.90
40922.00,973.90
40923.00,973.90
40924.00,973.90
40925.00,973.90
40926.00,973.90
40927.00,973.90
40928.00,973.90
40929.00,973.90
40930.00,973.90
40931.00,973.90
40932.00,973.90
40933.00,973.90
40934.00,973.90
40935.00,973.90
40936.00,973.90
40937.00,973.90
40938.00,973.90
40939.00,973.90
40940.00,973.90
40941.00,973.90
