Seg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,,,,,,,
DLX,1948.3,1948.3,1912.3,1883.7,2028.4,2269.5,2038.2,2047.6,2308.9,2166.7,2560,1914.3,1674.9,1301.1,1502.1,1731,1545.3,1234.3,1259.1,1622.8,1768.4,1779.4,1999.8,1721.2,2223.6,2217.4,3033.4,2953.4,2920.8,3812.1,2044.7,1909.4,1888.8,2022.8,3075.2,1724.3,2050,2185.1,1225.4,1548.1,1939.7,2500,1350,700,600,9.9,9.9,2037.6,1829.2,1797.7,1498.1,2425.9,1170.1,1616.4,1456,1645.9,1643.5,1232.1,1362.5,9.9,9.9,5522.1,3950.6,9.9,,,,,,,
ELWS,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,,,,,,,
PHIO,2.237,2.443460953,1.308996939,2.094395102,1.658062789,1.221730476,1.745329252,1.584758961,1.396263402,0.872664626,0.733038286,1.134464014,1.047197551,0.872664626,0.74,0.698131701,0.174532925,0.535,6.021385919,0.34906585,0.903,0.698131701,0.261799388,5.410520681,6.108652382,0.404,0.948,0.523598776,1.308996939,1.696,0.872664626,1.907,1.946,1.745329252,1.584758961,0.785398163,5.585053606,5.793,5.585053606,0.087266463,1.584758961,0.698131701,5.585053606,0.087266463,0.436332313,0,1.689,1.8,1.317,1.33,0.957,1.022,0.523598776,1.396263402,0.436332313,0.698131701,5.934119457,0.174532925,6.108652382,0,0.745,5.934119457,0.785398163,0,,,,,,,
FRICT,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,,,,,,,
LAYERH,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR2,,,,,,,,,,,,,,BR3,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft)
1,0,68.6664608,79.25425341,118.727189,194.2808547,330.4830411,285.1508417,447.0515539,376.8431816,601.2427084,504.2050752,371.7034764,467.096404,449.0046419,587.0571222,413.2322941,413.2322941,496.0843411,438.2112611,429.7821446,506.980516,580.4782996,555.910509,555.910509,679.4690208,1657.966087,976.5439785,925.146927,729.529749,775.5815071,775.5815071,722.6425441,781.1323887,1310.624813,1439.117442,1523.614195,1516.213019,1490.514494,1490.514494,1542.425516,1900.765759,973.822091,1416.468496,2655.87843,2655.87843,0,0,53.1,26.5,35,61.7,38,69.4,115.6,307.2,708.2,485.9,328.2,708.2,0,0,294.1,749.3,0,,6,68966494.11,4397921046,3565457.928,490.52584,1609.336745
1,0,68.6664608,79.25425341,118.727189,194.2808547,330.4830411,285.1508417,447.0515539,376.8431816,601.2427084,504.2050752,371.7034764,467.096404,449.0046419,587.0571222,413.2322941,413.2322941,496.0843411,438.2112611,429.7821446,506.980516,580.4782996,555.910509,555.910509,679.4690208,1657.966087,976.5439785,925.146927,729.529749,775.5815071,775.5815071,722.6425441,781.1323887,1310.624813,1439.117442,1523.614195,1516.213019,1490.514494,1490.514494,1542.425516,1900.765759,944.6074283,1373.974441,2576.202077,2576.202077,0,0,53.1,26.5,35,61.7,38,69.4,115.6,307.2,708.2,485.9,328.2,708.2,0,0,294.1,749.3,0,,7,68732511.22,4328954551,3509545.798,489.52584,1606.055906
1,0,68.59779434,79.17499916,118.6084618,194.0865738,330.1525581,284.8656909,446.6045024,376.4663384,600.6414657,503.7008701,371.331773,466.6293076,448.5556373,586.4700651,412.8190618,412.8190618,495.5882567,437.7730498,429.3523625,506.4735355,579.8978213,555.3545985,555.3545985,678.7895518,1656.308121,975.5674345,924.2217801,728.8002192,774.8059256,774.8059256,721.9199015,780.3512563,1309.314188,1437.678325,1522.09058,1514.696806,1489.023979,1489.023979,1540.88309,1898.864993,916.2692054,1332.755208,2498.916015,2498.916015,0,0,53.1,26.5,35,61.7,38,69.4,115.6,307.2,708.2,485.9,328.2,708.2,0,0,294.1,749.3,0,,8,68444380.75,4260222040,3453823.362,488.52584,1602.775066
1,0,68.59779434,79.17499916,118.6084618,194.0865738,330.1525581,284.8656909,446.6045024,376.4663384,600.6414657,503.7008701,371.331773,466.6293076,448.5556373,586.4700651,412.8190618,412.8190618,495.5882567,437.7730498,429.3523625,506.4735355,579.8978213,555.3545985,555.3545985,678.7895518,1656.308121,975.5674345,924.2217801,728.8002192,774.8059256,774.8059256,721.9199015,780.3512563,1309.314188,1437.678325,1522.09058,1514.696806,1489.023979,1489.023979,1540.88309,1898.864993,888.7811293,1292.772552,2423.948534,2423.948534,0,0,53.1,26.5,35,61.7,38,69.4,115.6,307.2,708.2,485.9,328.2,708.2,0,0,294.1,749.3,0,,9,68224226.25,4191777660,3398334.517,487.52584,1599.494226
1,0,20.4,46.4,118.4898533,193.8924872,329.8224055,284.5808252,446.1578979,376.0898721,600.0408243,503.1971693,370.9604412,466.1626783,448.1070816,585.883595,412.4062427,412.4062427,495.0926685,437.3352768,428.9230101,505.9670619,579.3179235,554.7992439,554.7992439,678.1107623,1654.651813,974.5918671,923.2975583,728.071419,774.0311197,774.0311197,721.1979816,779.5709051,1308.004874,1436.240646,1520.56849,1513.182109,1487.534955,1487.534955,1539.342207,1896.966128,862.1176954,1253.989375,2351.230078,2351.230078,0,0,28.7,25.6,26.3,53.1,33.8,63.1,105.9,289.4,573.7,461.1,310.2,573.7,0,0,267.4,718.6,0,,10,67793276.15,4123553433,3343024.154,486.52584,1596.213386
1,0,20.4,46.4,118.4898533,193.8924872,329.8224055,284.5808252,446.1578979,376.0898721,600.0408243,503.1971693,370.9604412,466.1626783,448.1070816,585.883595,412.4062427,412.4062427,495.0926685,437.3352768,428.9230101,505.9670619,579.3179235,554.7992439,554.7992439,678.1107623,1654.651813,974.5918671,923.2975583,728.071419,774.0311197,774.0311197,721.1979816,779.5709051,1308.004874,1436.240646,1520.56849,1513.182109,1487.534955,1487.534955,1539.342207,1896.966128,836.2541645,1216.369694,2280.693176,2280.693176,0,0,28.7,25.6,26.3,53.1,33.8,63.1,105.9,289.4,573.7,461.1,310.2,573.7,0,0,267.4,718.6,0,,11,67586132.78,4055760157,3288063.169,485.52584,1592.932546
1,0,0,35.9,118.3713635,193.6985948,329.4925831,284.2962444,445.71174,375.7137822,599.4407834,502.6939721,370.5894808,465.6965156,447.6589745,585.2977115,411.9938365,411.9938365,494.5975758,436.8979415,428.4940871,505.4610949,578.7386056,554.2444447,554.2444447,677.4326515,1652.997161,973.6172752,922.3742607,727.3433476,773.2570886,773.2570886,720.4767837,778.7913341,1306.696869,1434.804406,1519.047921,1511.668927,1486.04742,1486.04742,1537.802865,1895.069162,811.1665396,1179.878603,2212.272381,2212.272381,0,0,0,0,18.5,42.8,29.9,58.2,102.5,284.4,557.9,454.3,305.5,557.9,0,0,261.4,711.1,0,,12,67264619.22,3988174024,3233270.117,484.52584,1589.651706
1,0,0,35.9,118.3713635,193.6985948,329.4925831,284.2962444,445.71174,375.7137822,599.4407834,502.6939721,370.5894808,465.6965156,447.6589745,585.2977115,411.9938365,411.9938365,494.5975758,436.8979415,428.4940871,505.4610949,578.7386056,554.2444447,554.2444447,677.4326515,1652.997161,973.6172752,922.3742607,727.3433476,773.2570886,773.2570886,720.4767837,778.7913341,1306.696869,1434.804406,1519.047921,1511.668927,1486.04742,1486.04742,1537.802865,1895.069162,786.8315434,1144.482245,2145.904209,2145.904209,0,0,0,0,18.5,42.8,29.9,58.2,102.5,284.4,557.9,454.3,305.5,557.9,0,0,261.4,711.1,0,,13,67069718.02,3920909405,3178737.722,483.52584,1586.370866
1,0,0,0,118.2529921,193.5048962,329.1630906,284.0119481,445.2660283,375.3380684,598.8413427,502.1912781,370.2188913,465.2308191,447.2113156,584.7124137,411.5818426,411.5818426,494.1029782,436.4610436,428.065593,504.9556338,578.159867,553.6902002,553.6902002,676.7552188,1651.344164,972.6436579,921.4518865,726.6160043,772.4838315,772.4838315,719.8898527,778.0125428,1305.390173,1433.369601,1519.047921,1510.157258,1484.561373,1484.561373,1536.265062,1893.174093,763.2265971,1110.147778,2081.527083,2081.527083,0,0,0,0,13.7,32.3,26.1,52.9,99.1,279.4,542.3,447.5,300.7,542.3,0,0,255.4,703.7,0,,14,66754187.32,3853839687,3124363.336,482.52584,1583.090026
1,0,0,0,118.2529921,193.5048962,329.1630906,284.0119481,445.2660283,375.3380684,598.8413427,502.1912781,370.2188913,465.2308191,447.2113156,584.7124137,411.5818426,411.5818426,494.1029782,436.4610436,428.065593,504.9556338,578.159867,553.6902002,553.6902002,676.7552188,1651.344164,972.6436579,921.4518865,726.6160043,772.4838315,772.4838315,719.8898527,778.0125428,1305.390173,1433.369601,1519.047921,1510.157258,1484.561373,1484.561373,1536.265062,1893.174093,740.3297992,1076.843344,2019.08127,2019.08127,0,0,0,0,13.7,32.3,26.1,52.9,99.1,279.4,542.3,447.5,300.7,542.3,0,0,255.4,703.7,0,,15,66570804.78,3787085500,3070244.755,481.52584,1579.809186
