Seg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,,,,,,,,,
DLX,1948.3,1948.3,1912.3,1883.7,2028.4,2269.5,2038.2,2047.6,2308.9,2166.7,2560,1914.3,1674.9,1301.1,1502.1,1731,1545.3,1234.3,1259.1,1622.8,1768.4,1779.4,1999.8,1721.2,2223.6,2217.4,3033.4,2953.4,2920.8,3812.1,2044.7,1909.4,1888.8,2022.8,3075.2,1724.3,2050,2185.1,1225.4,1548.1,1939.7,2500,1350,700,600,9.9,9.9,2037.6,1829.2,1797.7,1498.1,2425.9,1170.1,1616.4,1456,1645.9,1643.5,1232.1,1362.5,9.9,9.9,5522.1,3950.6,9.9,,,,,,,,,
ELWS,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,466.489,,,,,,,,,
PHIO,2.237,2.4435,1.309,2.0944,1.6581,1.2217,1.7453,1.5708,1.3963,0.8727,0.733,1.1345,1.0472,0.8727,0.74,0.6981,0.1745,0.535,6.0214,0.3491,0.903,0.6981,0.2618,5.4105,6.1087,0.404,0.948,0.5236,1.309,1.696,0.8727,1.907,1.946,1.7453,1.5708,0.7854,5.5851,5.793,5.5851,0.0873,1.5708,0.6981,5.5851,0.0873,0.4363,0,1.689,1.8,1.317,1.33,0.957,1.022,0.5236,1.3963,0.4363,0.6981,5.9341,0.1745,6.1087,0,0.745,5.9341,0.7854,0,,,,,,,,,
FRICT,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),mult,
1,0,68.6665,79.2543,118.7272,194.2809,330.483,285.1508,447.0516,376.8432,601.2427,504.2051,371.7035,467.0964,449.0046,587.0571,413.2323,413.2323,496.0843,438.2113,429.7821,506.9805,580.4783,555.9105,555.9105,679.469,1657.9661,976.544,925.1469,729.5297,775.5815,775.5815,722.6425,781.1324,1310.6248,1439.1174,1523.6142,1516.213,1490.5145,1490.5145,1542.4255,1900.7658,973.8221,1416.4685,2655.8784,2655.8784,0,0,53.1,26.5,35,61.7,38,69.4,115.6,307.2,708.2,485.9,328.2,708.2,0,0,294.1,749.3,0,,6,78003779.86,4430410801,3591797.841,490.5258,1609.3367,1,1.05
1,0,68.6665,79.2543,118.7272,194.2809,330.483,285.1508,447.0516,376.8432,601.2427,504.2051,371.7035,467.0964,449.0046,587.0571,413.2323,413.2323,496.0843,438.2113,429.7821,506.9805,580.4783,555.9105,555.9105,679.469,1657.9661,976.544,925.1469,729.5297,775.5815,775.5815,722.6425,781.1324,1310.6248,1439.1174,1523.6142,1516.213,1490.5145,1490.5145,1542.4255,1900.7658,944.6074,1373.9744,2576.2021,2576.2021,0,0,53.1,26.5,35,61.7,38,69.4,115.6,307.2,708.2,485.9,328.2,708.2,0,0,294.1,749.3,0,,7,77769796.97,4352407021,3528559.054,489.5258,1606.0559,1,1.05
1,0,68.5978,79.175,118.6085,194.0866,330.1526,284.8657,446.6045,376.4663,600.6415,503.7009,371.3318,466.6293,448.5556,586.4701,412.8191,412.8191,495.5883,437.773,429.3524,506.4735,579.8978,555.3546,555.3546,678.7896,1656.3081,975.5674,924.2218,728.8002,774.8059,774.8059,721.9199,780.3513,1309.3142,1437.6783,1522.0906,1514.6968,1489.024,1489.024,1540.8831,1898.865,916.2692,1332.7552,2498.916,2498.916,0,0,53.1,26.5,35,61.7,38,69.4,115.6,307.2,708.2,485.9,328.2,708.2,0,0,294.1,749.3,0,,8,77481666.5,4274637224,3465509.959,488.5258,1602.7751,1,1.05
1,0,68.5978,79.175,118.6085,194.0866,330.1526,284.8657,446.6045,376.4663,600.6415,503.7009,371.3318,466.6293,448.5556,586.4701,412.8191,412.8191,495.5883,437.773,429.3524,506.4735,579.8978,555.3546,555.3546,678.7896,1656.3081,975.5674,924.2218,728.8002,774.8059,774.8059,721.9199,780.3513,1309.3142,1437.6783,1522.0906,1514.6968,1489.024,1489.024,1540.8831,1898.865,888.7811,1292.7726,2423.9485,2423.9485,0,0,53.1,26.5,35,61.7,38,69.4,115.6,307.2,708.2,485.9,328.2,708.2,0,0,294.1,749.3,0,,9,77261512,4197155558,3402694.456,487.5258,1599.4942,1,1.05
1,0,20.4,46.4,118.4899,193.8925,329.8224,284.5808,446.1579,376.0899,600.0408,503.1972,370.9604,466.1627,448.1071,585.8836,412.4062,412.4062,495.0927,437.3353,428.923,505.9671,579.3179,554.7992,554.7992,678.1108,1654.6518,974.5919,923.2976,728.0714,774.0311,774.0311,721.198,779.5709,1308.0049,1436.2406,1520.5685,1513.1821,1487.535,1487.535,1539.3422,1896.9661,862.1177,1253.9894,2351.2301,2351.2301,0,0,28.7,25.6,26.3,53.1,33.8,63.1,105.9,289.4,573.7,461.1,310.2,573.7,0,0,267.4,718.6,0,,10,75955228.35,4119894046,3340057.436,486.5258,1596.2134,1,1.05
1,0,20.4,46.4,118.4899,193.8925,329.8224,284.5808,446.1579,376.0899,600.0408,503.1972,370.9604,466.1627,448.1071,585.8836,412.4062,412.4062,495.0927,437.3353,428.923,505.9671,579.3179,554.7992,554.7992,678.1108,1654.6518,974.5919,923.2976,728.0714,774.0311,774.0311,721.198,779.5709,1308.0049,1436.2406,1520.5685,1513.1821,1487.535,1487.535,1539.3422,1896.9661,836.2542,1216.3697,2280.6932,2280.6932,0,0,28.7,25.6,26.3,53.1,33.8,63.1,105.9,289.4,573.7,461.1,310.2,573.7,0,0,267.4,718.6,0,,11,75748084.98,4043938818,3278479.438,485.5258,1592.9325,1,1.05
1,0,0,35.9,118.3714,193.6986,329.4926,284.2962,445.7117,375.7138,599.4408,502.694,370.5895,465.6965,447.659,585.2977,411.9938,411.9938,494.5976,436.8979,428.4941,505.4611,578.7386,554.2444,554.2444,677.4327,1652.9972,973.6173,922.3743,727.3433,773.2571,773.2571,720.4768,778.7913,1306.6969,1434.8044,1519.0479,1511.6689,1486.0474,1486.0474,1537.8029,1895.0692,811.1665,1179.8786,2212.2724,2212.2724,0,0,0,0,18.5,42.8,29.9,58.2,102.5,284.4,557.9,454.3,305.5,557.9,0,0,261.4,711.1,0,,12,75136580.54,3968190733,3217069.375,484.5258,1589.6517,1,1.05
1,0,0,35.9,118.3714,193.6986,329.4926,284.2962,445.7117,375.7138,599.4408,502.694,370.5895,465.6965,447.659,585.2977,411.9938,411.9938,494.5976,436.8979,428.4941,505.4611,578.7386,554.2444,554.2444,677.4327,1652.9972,973.6173,922.3743,727.3433,773.2571,773.2571,720.4768,778.7913,1306.6969,1434.8044,1519.0479,1511.6689,1486.0474,1486.0474,1537.8029,1895.0692,786.8315,1144.4822,2145.9042,2145.9042,0,0,0,0,18.5,42.8,29.9,58.2,102.5,284.4,557.9,454.3,305.5,557.9,0,0,261.4,711.1,0,,13,74941679.34,3893054152,3156155.067,483.5258,1586.3709,1,1.05
1,0,0,0,118.253,193.5049,329.1631,284.0119,445.266,375.3381,598.8413,502.1913,370.2189,465.2308,447.2113,584.7124,411.5818,411.5818,494.103,436.461,428.0656,504.9556,578.1599,553.6902,553.6902,676.7552,1651.3442,972.6437,921.4519,726.616,772.4838,772.4838,719.8899,778.0125,1305.3902,1433.3696,1519.0479,1510.1573,1484.5614,1484.5614,1536.2651,1893.1741,763.2266,1110.1478,2081.5271,2081.5271,0,0,0,0,13.7,32.3,26.1,52.9,99.1,279.4,542.3,447.5,300.7,542.3,0,0,255.4,703.7,0,,14,74447205.96,3818112473,3095398.768,482.5258,1583.09,1,1.05
1,0,0,0,118.253,193.5049,329.1631,284.0119,445.266,375.3381,598.8413,502.1913,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,15,56467509.82,3743665267,3035043.346,481.5258,1579.8092,1,1.05
1,0,0,0,118.1347,193.3114,328.8339,283.7279,444.8208,374.9627,598.2425,501.6891,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,16,56461207.18,3687197757,2989264.323,480.5258,1576.5283,1,1.05
1,0,0,0,118.1347,193.3114,328.8339,283.7279,444.8208,374.9627,598.2425,501.6891,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,17,56461207.18,3630736550,2943490.409,479.5258,1573.2475,1,1.05
1,0,0,0,20.3,96.9,328.5051,283.4442,444.3759,374.5878,597.6443,501.1874,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,18,56075673.33,3574275343,2897716.495,478.5258,1569.9667,1,1.05
1,0,0,0,20.3,96.9,328.5051,283.4442,444.3759,374.5878,597.6443,501.1874,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,19,56075673.33,3518199669,2852255.139,477.5258,1566.6858,1,1.05
1,0,0,0,16.2,79,328.1766,283.1608,443.9316,374.2132,597.0466,500.6862,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,20,56025965.8,3462123996,2806793.783,476.5258,1563.405,1,1.05
1,0,0,0,16.2,79,328.1766,283.1608,443.9316,374.2132,597.0466,500.6862,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,21,56025965.8,3406098030,2761372.726,475.5258,1560.1241,1,1.05
1,0,0,0,0,60.6,255.9,213,348.8,315.8,511.9,399.8,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,22,54878676.46,3350072064,2715951.669,474.5258,1556.8433,1,1.05
1,0,0,0,0,60.6,255.9,213,348.8,315.8,511.9,399.8,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,23,54878676.46,3295193388,2671460.735,473.5258,1553.5625,1,1.05
1,0,0,0,0,37.4,248,207.1,341.5,311.8,506.8,393.8,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,24,54751069.9,3240314711,2626969.802,472.5258,1550.2816,1,1.05
1,0,0,0,0,37.4,248,207.1,341.5,311.8,506.8,393.8,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,25,54751069.9,3185563642,2582582.321,471.5258,1547.0008,1,1.05
1,0,0,0,0,25,240.1,201.1,334.4,307.8,501.8,388,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,26,54646304.43,3130812572,2538194.84,470.5258,1543.7199,1,1.05
1,0,0,0,0,25,240.1,201.1,334.4,307.8,501.8,388,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,27,54646304.43,3076166267,2493892.294,469.5258,1540.4391,1,1.05
1,0,0,0,0,0,230.6,195.2,327.3,303.9,496.9,382.2,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,28,54513001.3,3021519963,2449589.748,468.5258,1537.1583,1,1.05
1,0,0,0,0,0,230.6,195.2,327.3,303.9,496.9,382.2,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,29,54513001.3,2967006961,2405395.273,467.5258,1533.8774,1,1.05
1,0,0,0,0,0,162.6,187.3,319,298.5,489,371.1,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,30,54267577.45,2912493960,2361200.798,466.5258,1530.5966,1,1.05
1,0,0,0,0,0,100,165.9,304.9,290,478.4,362.439,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,31,53988253.28,2858226383,2317205.291,465.5258,1527.3157,1,1.05
1,0,0,0,0,0,100,165.9,304.9,290,478.4,362.439,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,32,53988253.28,2804238129,2273436.237,464.5258,1524.0349,1,1.05
1,0,0,0,0,0,100,165.9,304.9,290,478.4,362.439,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,33,53988253.28,2750249876,2229667.182,463.5258,1520.7541,1,1
1,0,0,0,0,0,100,165.9,304.9,290,478.4,362.439,282.546,377.4458,367.8838,413.4793,304.3723,304.3723,333.4608,326.9184,299.8429,385.6993,415.1904,417.1028,417.1028,509.8034,1225.34,699.9904,712.6176,567.3765,580.0587,580.0587,587.7082,632.4985,966.2612,1145.8867,1280.4974,1146.4287,832.1925,1148.4417,1189.0045,1520.9555,415.0383,603.6921,1131.9227,1131.9227,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,34,53988253.28,2696261623,2185898.128,462.5258,1517.4732,1,
1,0,0,0,0,0,100,165.9,304.9,290,478.4,358.8146,279.7205,373.6713,364.205,409.3445,301.3286,301.3286,330.1262,323.6492,296.8445,381.8423,411.0385,412.9317,412.9317,504.7054,1213.0866,692.9905,705.4915,561.7027,574.2581,574.2581,581.8312,626.1735,956.5986,1134.4278,1267.6924,1134.9644,823.8705,1136.9573,1177.1145,1505.746,402.5872,585.5813,1097.965,1097.965,0,0,0,0,0,0,0,0,61.9,226.1,316.1,360.4,249.3,316.1,0,0,192,618.9,0,,35,53468694.08,2642273370,2142129.073,461.5258,1514.1924,1,
1,0,0,0,0,0,100,153.6,297.7,285.7,473.2,355.2265,276.9233,369.9346,360.5629,405.251,298.3153,298.3153,326.8249,320.4127,293.8761,378.0238,406.9281,408.8024,408.8024,499.6584,1200.9557,686.0606,698.4365,556.0857,568.5155,568.5155,576.0129,619.9118,947.0326,1123.0835,1255.0155,1123.6147,815.6318,1125.5877,1165.3434,1490.6885,390.5095,568.0139,1065.026,1065.026,0,0,0,0,0,0,0,0,58.3,218.8,306.6,350.8,243.9,306.6,0,0,187.1,611.6,0,,36,52771960.98,2588804675,2098781.233,460.5258,1510.9115,1,
