$ DLS 2011 2017-11-16 by 1_CWMS_weather_station_read_plot_v3.py,,,,,,
CWMS paths:,DLS.Temp-Air.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.Temp-DewPoint.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.Speed-Wind.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.Dir-Wind.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.%-CloudCover.Inst.1Hour.0.METAR-COMPUTED-REV,TDA.Pres-Air.Inst.1Hour.0.GOES-REV; fill with JHAW/JDA linTrend of TDDO
JDAY,TAIR_C,TDEW_C,WIND_ms,PHI_rad,CLOUD_0_10,BP_mmHg
5.291670,-1.1,-4.4,0,0,10,765.031169
5.333330,-0.6,-4.4,0,0,10,765.994269
5.375000,0,-4.4,0,0,10,765.994269
5.416670,0.6,-4.4,0,0,7.5,765.994269
5.458330,1.7,-3.9,0,0,7.5,765.994269
5.500000,2.8,-3.9,0,0,10,765.994269
5.541670,3.3,-3.3,0,0,10,765.031169
5.583330,3.9,-2.8,0,0,10,765.031169
5.625000,3.9,-3.3,0,0,10,765.031169
5.666670,3.9,-2.8,0,0,10,765.031169
5.708330,3.3,-2.8,0,0,10,765.031169
5.750000,2.8,-2.2,0,0,10,765.031169
5.791670,2.2,-2.2,0,0,7.5,765.994269
5.833330,1.1,-2.8,0,0,7.5,765.994269
5.875000,1.1,-1.7,0,0,10,765.994269
5.916670,1.7,-1.1,0,0,10,765.994269
5.958330,1.7,-1.7,0,0,7.5,765.994269
6.000000,1.7,-1.7,0,0,0,765.994269
6.041670,1.1,-1.7,0,0,0,765.031169
6.083330,0.6,-1.7,0,0,0,765.031169
6.125000,-0.6,-2.2,1.34,3.14,0,765.031169
6.166670,-1.1,-2.8,0,0,0,765.031169
6.208330,0,-2.2,0,0,10,765.031169
6.250000,0,-1.7,0,0,10,764.068069
6.291670,0.6,-1.7,0,0,10,764.068069
6.333330,1.1,-1.1,0,0,10,764.068069
6.375000,1.7,-0.6,0,0,7.5,764.068069
6.416670,2.2,-0.6,0,0,7.5,765.031169
6.458330,3.9,-0.6,0,0,2,764.068069
6.500000,7.2,1.1,0,0,0,764.068069
6.541670,8.3,1.7,0,0,2,763.104969
6.583330,10,2.8,0,0,4.4,762.141869
6.625000,10.6,2.8,0,0,2,762.141869
6.666670,11.1,4.4,2.68,5.41,10,762.141869
6.708330,9.4,3.9,0,0,10,762.141869
6.750000,9.4,4.4,0,0,10,762.141869
6.791670,6.7,3.3,0,0,2,762.141869
6.833330,5,2.2,1.34,3.31,0,761.178769
6.875000,3.9,1.7,0,0,0,761.178769
6.916670,3.9,1.1,1.34,1.57,0,761.178769
6.958330,2.8,1.1,1.34,3.31,0,761.178769
7.000000,3.3,1.1,0,0,0,761.178769
7.041670,2.2,0.6,1.34,1.39,0,761.178769
7.083330,1.7,0,0,0,0,761.178769
7.125000,1.1,-0.6,0,0,10,761.178769
7.166670,1.7,0.6,0,0,10,760.215669
7.208330,1.7,0.6,0,0,10,760.215669
7.250000,2.2,1.1,0,0,10,760.215669
7.291670,2.2,0.6,0,0,10,760.215669
7.333330,2.2,0.6,0,0,10,760.215669
7.375000,2.8,1.1,1.34,2.79,7.5,760.215669
7.416670,3.3,1.7,0,0,10,759.252569
7.458330,5,2.8,1.34,3.14,4.4,759.252569
7.500000,6.7,3.3,0,0,2,758.289469
7.541670,6.7,3.3,0,0,0,757.326369
7.583330,8.3,3.9,0,0,2,757.326369
7.625000,10,2.8,0,0,10,757.326369
7.666670,9.4,4.4,4.47,5.06,10,757.326369
7.708330,7.8,4.4,4.91,5.93,10,757.326369
7.750000,7.8,3.9,1.34,5.58,10,757.326369
7.791670,7.8,3.9,4.91,5.23,10,757.326369
7.833330,7.2,2.8,2.68,5.23,2,756.363269
7.875000,7.2,1.7,4.91,5.06,2,757.326369
7.916670,6.7,0,4.91,5.23,0,757.326369
7.958330,6.1,-1.1,6.7,5.41,0,757.326369
8.000000,5,-2.2,1.34,5.23,0,758.289469
8.041670,5.6,-3.3,3.12,5.23,0,758.289469
8.083330,5,-3.3,3.12,5.58,0,759.252569
8.125000,4.4,-3.3,4.47,5.06,0,759.252569
8.166670,5,-2.8,3.12,5.23,10,760.215669
8.208330,5.6,-2.8,1.34,5.58,10,760.215669
8.250000,3.9,-2.8,0,0,10,760.215669
8.291670,3.9,-2.2,1.34,1.39,10,760.215669
8.333330,1.7,-3.3,0,0,2,760.215669
8.375000,3.9,-2.2,2.68,4.01,4.4,760.215669
8.416670,5.6,0,4.91,5.58,0,760.215669
8.458330,6.1,0,6.25,5.76,10,759.252569
8.500000,6.7,0,6.25,5.93,7.5,759.252569
8.541670,6.1,-0.6,5.81,5.23,7.5,759.252569
8.583330,8.3,-1.1,4.02,5.06,0,758.289469
8.625000,7.2,-1.1,5.81,5.23,0,758.289469
8.666670,6.1,-1.1,6.7,5.41,0,758.289469
8.708330,4.4,-1.7,5.81,5.41,2,759.252569
8.750000,3.9,-2.2,4.91,4.88,0,759.252569
8.791670,1.7,-2.2,2.68,5.06,0,759.252569
8.833330,3.3,-1.1,3.57,5.23,2,758.289469
8.875000,1.7,-1.7,0,0,0,759.252569
8.916670,1.7,-2.2,0,0,0,759.252569
8.958330,0,-2.8,2.23,4.36,0,759.252569
9.000000,0,-3.3,3.57,4.36,2,759.252569
9.041670,-0.6,-3.9,0,0,0,759.252569
9.083330,1.1,-2.8,1.34,1.92,7.5,759.252569
9.125000,0,-3.3,2.68,2.26,10,759.252569
9.166670,-0.6,-3.9,2.23,2.61,4.4,759.252569
9.208330,0,-2.8,1.34,2.61,0,759.252569
9.250000,-1.1,-3.9,1.34,2.44,4.4,759.252569
9.291670,-0.6,-3.9,0,0,4.4,759.252569
