$ THE DALLES-POOLELEV.npt based on $//THE DALLES-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
40985,49.402
40986,49.49
40987,49.301
40988,49.256
40989,49.247
40990,49.311
40991,49.341
40992,49.432
40993,49.274
40994,49.189
40995,49.222
40996,49.509
40997,49.423
40998,49.405
40999,49.295
41000,49.234
41001,49.286
41002,49.222
41003,49.298
41004,49.07
41005,49.243
41006,49.295
41007,49.186
41008,49.186
41009,49.07
41010,49.051
41011,49.173
41012,49.243
41013,49.207
41014,49.277
41015,49.119
41016,49.32
41017,49.307
41018,49.265
41019,49.265
41020,49.109
41021,48.926
41022,49.405
41023,49.35
41024,49.329
41025,49.314
41026,49.384
41027,49.436
41028,49.317
41029,49.545
41030,49.146
41031,49.158
41032,49.161
41033,49.164
41034,49.436
41035,49.311
41036,49.332
41037,49.256
41038,49.253
41039,49.368
41040,49.146
41041,49.091
41042,49.436
41043,49.329
41044,49.402
41045,49.429
41046,49.277
41047,49.414
41048,49.496
41049,49.353
41050,49.384
41051,49.265
41052,49.179
41053,49.414
41054,49.173
41055,49.381
41056,49.469
41057,49.195
41058,49.207
41059,49.411
41060,49.372
41061,49.234
41062,49.317
41063,49.359
41064,49.332
41065,49.344
41066,49.341
41067,49.234
41068,49.42
41069,49.189
41070,49.314
41071,49.237
41072,49.32
41073,49.332
41074,49.326
41075,49.106
41076,49.365
41077,49.362
41078,49.496
41079,49.359
41080,49.381
41081,49.463
41082,49.469
41083,49.402
41084,49.219
41085,49.475
41086,49.347
41087,49.243
41088,49.289
41089,49.286
41090,49.228
41091,49.283
41092,49.28
41093,49.195
41094,49.283
41095,49.082
41096,49.155
41097,49.097
41098,49.228
41099,49.243
41100,49.198
41101,49.225
41102,49.277
41103,49.292
41104,49.237
41105,49.131
41106,49.195
41107,49.112
41108,49.146
41109,49.253
41110,49.408
41111,49.295
41112,49.493
41113,49.329
41114,49.213
41115,49.265
41116,49.24
41117,49.335
41118,49.25
41119,49.219
41120,49.28
41121,49.384
41122,49.326
41123,49.295
41124,49.164
41125,49.378
41126,49.274
41127,49.298
41128,49.356
41129,49.466
41130,49.311
41131,49.307
41132,49.286
41133,49.347
41134,49.527
41135,49.39
41136,49.301
41137,49.329
41138,49.445
41139,49.375
41140,49.323
41141,49.347
41142,49.268
41143,49.423
41144,49.307
41145,49.39
41146,49.359
41147,49.42
41148,49.42
41149,49.338
41150,49.426
41151,49.451
41152,49.381
41153,49.317
41154,49.143
41155,49.557
41156,49.42
41157,49.402
41158,49.448
41159,49.426
41160,49.448
41161,49.429
41162,49.496
41163,49.439
41164,49.475
41165,49.429
41166,49.402
41167,49.408
41168,49.314
41169,49.439
41170,49.454
41171,49.372
41172,49.399
41173,49.432
41174,49.426
41175,49.35
41176,49.451
41177,49.414
41178,49.323
41179,49.436
41180,49.457
41181,49.493
41182,49.524
41183,49.439
41184,49.493
41185,49.536
41186,49.384
41187,49.457
41188,49.496
41189,49.53
41190,49.454
41191,49.451
41192,49.39
41193,49.454
41194,49.466
41195,49.478
41196,49.475
41197,49.384
41198,49.408
41199,49.429
41200,49.475
41201,49.551
41202,49.518
41203,49.49
41204,49.567
41205,49.524
41206,49.463
41207,49.478
41208,49.32
41209,49.408
41210,49.24
41211,49.17
41212,49.439
41213,49.384
41214,49.201
41215,49.262
41216,49.414
41217,49.417
41218,49.478
41219,49.343
41220,49.283
41221,49.376
41222,49.401
41223,49.449
41224,49.442
41225,49.494
41226,49.38
41227,49.395
41228,49.489
41229,49.467
41230,49.34
41231,49.288
41232,49.275
41233,49.37
41234,49.418
41235,49.435
41236,49.404
41237,49.42
41238,49.3
41239,49.295
41240,49.392
41241,49.367
41242,49.336
41243,49.309
41244,49.191
41245,49.226
41246,49.258
41247,49.311
41248,49.229
41249,49.246
41250,49.357
41251,49.336
41252,49.151
41253,49.236
41254,49.398
41255,49.376
41256,49.345
41257,49.204
41258,49.303
41259,49.366
41260,49.339
41261,49.364
41262,49.397
41263,49.373
41264,49.296
41265,49.313
41266,49.448
41267,49.401
41268,49.382
41269,49.404
41270,49.326
41271,49.381
41272,49.357
41273,49.406
41274,49.376
41275,49.304
41276,49.477
41277,49.373
41278,49.167
41279,49.392
41280,49.347
41281,49.309
41282,49.468
41283,49.458
41284,49.512
41285,49.351
41286,49.403
41287,49.437
41288,49.368
41289,49.4
41290,49.414
41291,49.289
41292,49.342
41293,49.233
41294,49.231
41295,49.263
41296,49.385
41297,49.323
41298,49.337
41299,49.429
41300,49.278
41301,49.364
41302,49.357
41303,49.161
41304,49.436
41305,49.348
41306,49.394
41307,49.253
41308,49.398
41309,49.478
41310,49.385
41311,49.307
41312,49.456
41313,49.434
41314,49.447
41315,49.465
41316,49.419
41317,49.528
41318,49.498
41319,49.429
41320,49.406
41321,49.425
41322,49.327
41323,49.297
41324,49.333
41325,49.423
41326,49.342
41327,49.37
41328,49.386
41329,49.41
41330,49.353
41331,49.339
41332,49.3
41333,49.418
41334,49.432
41335,49.453
41336,49.445
41337,49.459
41338,49.513
41339,49.5
41340,49.491
41341,49.499
41342,49.476
41343,49.423
41344,49.286
41345,48.853
41346,48.923
41347,49.448
41348,49.396
41349,49.311
41350,49.323
41351,49.283
41352,49.131
41353,49.207
41354,49.359
41355,49.25
41356,49.448
41357,49.375
41358,49.393
41359,49.326
41360,49.253
41361,49.344
41362,49.32
41363,49.173
41364,49.356
41365,49.384
41366,49.222
41367,49.07
41368,49.076
41369,49.219
41370,49.234
41371,49.17
41372,49.317
41373,49.469
41374,49.167
41375,49.247
41376,49.079
41377,49.411
41378,49.109
41379,49.155
41380,49.356
41381,49.243
41382,49.134
41383,49.179
41384,49.414
41385,49.301
41386,49.472
41387,49.222
41388,49.24
41389,49.222
41390,49.176
41391,49.225
41392,49.39
41393,49.387
41394,49.454
41395,49.362
41396,49.347
41397,49.274
41398,49.356
41399,49.451
41400,49.417
41401,49.39
41402,49.326
41403,49.21
41404,49.192
41405,49.46
41406,49.469
41407,49.426
41408,49.396
41409,49.347
41410,49.423
41411,49.311
41412,49.332
41413,49.326
41414,49.201
41415,49.307
41416,49.35
41417,49.332
41418,49.432
41419,49.311
41420,49.216
41421,49.17
41422,49.216
41423,49.231
41424,49.362
41425,49.49
41426,49.509
41427,49.365
41428,49.338
41429,49.493
41430,49.195
41431,49.35
41432,49.225
41433,49.39
41434,49.396
41435,49.402
41436,49.323
41437,49.256
41438,49.329
41439,49.301
41440,49.234
41441,49.432
41442,49.396
41443,49.277
41444,49.362
41445,49.329
41446,49.347
41447,49.365
41448,49.307
41449,49.414
41450,49.28
41451,49.307
41452,49.329
41453,49.384
41454,49.326
41455,49.344
41456,49.35
41457,49.332
41458,49.481
41459,49.439
41460,49.478
41461,49.475
41462,49.475
41463,49.262
41464,49.283
41465,49.347
41466,49.368
41467,49.393
41468,49.429
41469,49.378
41470,49.207
41471,49.405
41472,49.402
41473,49.329
41474,49.408
41475,49.35
41476,49.521
41477,49.338
41478,49.381
41479,49.429
41480,49.326
41481,49.417
41482,49.466
41483,49.344
41484,49.423
41485,49.384
41486,49.42
41487,49.277
41488,49.326
41489,49.408
41490,49.39
41491,49.426
41492,49.457
41493,49.439
41494,49.277
41495,49.39
41496,49.314
41497,49.39
41498,49.271
41499,49.469
41500,49.518
41501,49.347
41502,49.329
41503,49.21
41504,49.399
41505,49.347
41506,49.378
41507,49.35
41508,49.274
41509,49.28
41510,49.265
41511,49.243
41512,49.326
41513,49.399
41514,49.475
41515,49.463
41516,49.451
41517,49.484
41518,49.426
41519,49.344
41520,49.417
41521,49.439
41522,49.445
41523,49.359
41524,49.344
41525,49.414
41526,49.436
41527,49.429
41528,49.472
41529,49.506
41530,49.524
41531,49.484
41532,49.347
41533,49.42
41534,49.481
41535,49.396
41536,49.484
41537,49.484
41538,49.484
41539,49.442
41540,49.475
41541,49.557
41542,49.509
41543,49.365
41544,49.353
41545,49.381
41546,49.387
41547,49.417
41548,49.417
41549,49.402
41550,49.463
41551,49.423
41552,49.405
41553,49.445
41554,49.411
41555,49.42
41556,49.381
41557,49.439
41558,49.411
41559,49.429
41560,49.475
41561,49.457
41562,49.396
41563,49.402
41564,49.344
41565,49.405
41566,49.32
41567,49.298
41568,49.253
41569,49.326
41570,49.304
41571,49.368
41572,49.423
41573,49.301
41574,49.353
41575,49.387
41576,49.487
41577,49.487
41578,49.445
41579,49.326
41580,49.332
41581,49.375
41582,49.365
41583,49.447
41584,49.404
41585,49.358
41586,49.397
41587,49.384
41588,49.387
41589,49.232
41590,49.272
41591,49.292
41592,49.447
41593,49.428
41594,49.38
41595,49.304
41596,49.322
41597,49.293
41598,49.286
41599,49.292
41600,49.377
41601,49.483
41602,49.429
41603,49.386
41604,49.343
41605,49.329
41606,49.355
41607,49.304
41608,49.354
41609,49.356
41610,49.386
41611,49.299
41612,49.485
41613,49.467
41614,49.492
41615,49.479
41616,49.405
41617,49.472
41618,49.437
41619,49.43
41620,49.429
41621,49.409
41622,49.332
41623,49.393
41624,49.44
41625,49.319
41626,49.314
41627,49.401
41628,49.434
41629,49.427
41630,49.435
41631,49.468
41632,49.443
41633,49.407
41634,49.408
41635,49.434
41636,49.509
41637,49.351
41638,49.379
41639,49.425
41640,49.423
41641,49.432
41642,49.482
41643,49.4
41644,49.414
41645,49.341
41646,49.464
41647,49.443
41648,49.351
41649,49.388
41650,49.407
41651,49.414
41652,49.423
41653,49.406
41654,49.487
41655,49.461
41656,49.498
41657,49.38
41658,49.427
41659,49.429
41660,49.485
41661,49.452
41662,49.334
41663,49.338
41664,49.42
41665,49.382
41666,49.249
41667,49.282
41668,49.307
41669,49.311
41670,49.211
41671,49.429
41672,49.459
41673,49.565
41674,49.573
41675,49.593
41676,49.509
41677,49.497
41678,49.347
41679,49.44
41680,49.439
41681,49.304
41682,49.354
41683,49.359
41684,49.362
41685,49.485
41686,49.596
41687,49.483
41688,49.58
41689,49.532
41690,49.436
41691,49.471
41692,49.437
41693,49.336
41694,49.417
41695,49.403
41696,49.376
41697,49.439
41698,49.418
41699,49.338
41700,49.303
41701,49.351
41702,49.412
41703,49.3
41704,49.354
41705,49.438
41706,49.296
41707,49.389
41708,49.416
41709,49.478
41710,49.405
41711,49.545
41712,49.451
41713,49.192
41714,49.399
41715,49.289
41716,49.329
41717,49.198
41718,49.417
41719,49.286
41720,49.243
41721,49.393
41722,49.247
41723,49.225
41724,49.493
41725,49.311
41726,49.341
41727,49.381
41728,49.228
41729,49.274
41730,49.344
41731,49.277
41732,49.384
41733,49.332
41734,49.347
41735,49.207
41736,49.365
41737,49.372
41738,49.384
41739,49.359
41740,49.423
41741,49.216
41742,49.277
41743,49.381
41744,49.25
41745,49.289
41746,49.265
41747,49.295
41748,49.198
41749,49.338
41750,49.454
41751,49.372
41752,49.42
41753,49.295
41754,49.414
41755,49.423
41756,49.445
41757,49.49
41758,49.378
41759,49.423
41760,49.408
41761,49.405
41762,49.323
41763,49.35
41764,49.399
41765,49.445
41766,49.457
41767,49.463
41768,49.469
41769,49.304
41770,49.347
41771,49.429
41772,49.591
41773,49.301
41774,49.326
41775,49.448
41776,49.368
41777,49.448
41778,49.304
41779,49.387
41780,49.237
41781,49.436
41782,49.362
41783,49.414
41784,49.457
41785,49.265
41786,49.112
41787,49.237
41788,49.439
41789,49.338
41790,49.198
41791,49.301
41792,49.307
41793,49.286
41794,49.439
41795,49.362
41796,49.301
41797,49.341
41798,49.329
41799,49.49
41800,49.393
41801,49.426
41802,49.323
41803,49.375
41804,49.368
41805,49.387
41806,49.484
41807,49.347
41808,49.362
41809,49.375
41810,49.271
41811,49.186
41812,49.368
41813,49.442
41814,49.417
41815,49.295
41816,49.307
41817,49.393
41818,49.344
41819,49.21
41820,49.396
41821,49.46
41822,49.496
41823,49.399
41824,49.448
41825,49.432
41826,49.301
41827,49.314
41828,49.326
41829,49.39
41830,49.381
41831,49.356
41832,49.378
41833,49.42
41834,49.304
41835,49.106
41836,49.335
41837,49.405
41838,49.445
41839,49.466
41840,49.399
41841,49.454
41842,49.39
41843,49.396
41844,49.39
41845,49.417
41846,49.356
41847,49.365
41848,49.353
41849,49.487
41850,49.475
41851,49.405
41852,49.399
41853,49.314
41854,49.283
41855,49.356
41856,49.429
41857,49.259
41858,49.259
41859,49.378
41860,49.481
41861,49.39
41862,49.454
41863,49.475
41864,49.426
41865,49.463
41866,49.365
41867,49.448
41868,49.408
41869,49.481
41870,49.411
41871,49.332
41872,49.335
41873,49.347
41874,49.341
41875,49.341
41876,49.445
41877,49.17
41878,49.417
41879,49.457
41880,49.518
41881,49.426
41882,49.503
41883,49.405
41884,49.28
41885,49.274
41886,49.362
41887,49.457
41888,49.457
41889,49.436
41890,49.429
41891,49.408
41892,49.39
41893,49.323
41894,49.423
41895,49.393
41896,49.478
41897,49.457
41898,49.372
41899,49.39
41900,49.399
41901,49.393
41902,49.391
41903,49.39
41904,49.384
41905,49.478
41906,49.475
41907,49.448
41908,49.42
41909,49.469
41910,49.426
41911,49.439
41912,49.417
41913,49.426
41914,49.463
41915,49.408
41916,49.451
41917,49.451
41918,49.439
41919,49.436
41920,49.387
41921,49.408
41922,49.46
41923,49.524
41924,49.46
41925,49.475
41926,49.509
41927,49.387
41928,49.411
41929,49.49
41930,49.53
41931,49.432
41932,49.341
41933,49.338
41934,49.436
41935,49.509
41936,49.484
41937,49.5
41938,49.411
41939,49.436
41940,49.481
41941,49.436
41942,49.372
41943,49.521
41944,49.457
41945,49.384
41946,49.393
41947,49.437
41948,49.45
41949,49.395
41950,49.553
41951,49.435
41952,49.409
41953,49.429
41954,49.429
41955,49.488
41956,49.461
41957,49.404
41958,49.399
41959,49.364
41960,49.333
41961,49.364
41962,49.479
41963,49.446
41964,49.357
41965,49.277
41966,49.321
41967,49.329
41968,49.469
41969,49.501
41970,49.351
41971,49.408
41972,49.458
41973,49.504
41974,49.494
41975,49.537
41976,49.466
41977,49.492
41978,49.333
41979,49.329
41980,49.276
41981,49.388
41982,49.355
41983,49.382
41984,49.378
41985,49.398
41986,49.449
41987,49.392
41988,49.346
41989,49.356
41990,49.38
41991,49.442
41992,49.319
41993,49.311
41994,49.293
41995,49.322
41996,49.372
41997,49.573
41998,49.488
41999,49.514
42000,49.515
42001,49.477
42002,49.469
42003,49.489
42004,49.464
42005,49.451
42006,49.468
42007,49.373
42008,49.412
42009,49.44
42010,49.477
42011,49.478
42012,49.481
42013,49.402
42014,49.347
42015,49.385
42016,49.454
42017,49.463
42018,49.387
42019,49.317
42020,49.296
42021,49.325
42022,49.469
42023,49.414
42024,49.414
42025,49.362
42026,49.479
42027,49.429
42028,49.464
42029,49.466
42030,49.425
42031,49.45
42032,49.521
42033,49.428
42034,49.464
42035,49.472
42036,49.265
42037,49.332
42038,49.309
42039,49.354
42040,49.514
42041,49.433
42042,49.538
42043,49.434
42044,49.45
42045,49.401
42046,49.276
42047,49.437
42048,49.348
42049,49.496
42050,49.476
42051,49.405
42052,49.387
42053,49.518
42054,49.492
42055,49.283
42056,49.198
42057,49.385
42058,49.332
42059,49.326
42060,49.402
42061,49.417
42062,49.49
42063,49.575
42064,49.407
42065,49.326
42066,49.367
42067,49.421
42068,49.353
42069,49.461
42070,49.352
42071,49.303
42072,49.246
42073,49.25
42074,49.082
42075,48.987
42076,49.436
42077,49.341
42078,49.311
42079,49.286
42080,49.353
42081,49.478
42082,49.307
42083,49.417
42084,49.393
42085,49.307
42086,49.359
42087,49.347
42088,49.396
42089,49.32
42090,49.454
42091,49.445
42092,49.463
42093,49.515
42094,49.509
42095,49.338
42096,49.295
42097,49.158
42098,49.356
42099,49.5
42100,49.347
42101,49.292
42102,49.362
42103,49.335
42104,49.396
42105,49.381
42106,49.295
42107,49.204
42108,49.411
42109,49.286
42110,49.304
42111,49.24
42112,49.414
42113,49.396
42114,49.347
42115,49.594
42116,49.378
42117,49.317
42118,49.335
42119,49.436
42120,49.442
42121,49.472
42122,49.506
42123,49.469
42124,49.368
42125,49.451
42126,49.408
42127,49.304
42128,49.381
42129,49.341
42130,49.344
42131,49.405
42132,49.518
42133,49.402
42134,49.463
42135,49.417
42136,49.396
42137,49.338
42138,49.417
42139,49.381
42140,49.439
42141,49.262
42142,49.368
42143,49.445
42144,49.432
42145,49.356
42146,49.344
42147,49.335
42148,49.323
42149,49.454
42150,49.439
42151,49.359
42152,49.39
42153,49.329
42154,49.347
42155,49.286
42156,49.323
42157,49.606
42158,49.493
42159,49.442
42160,49.512
42161,49.554
42162,49.536
42163,49.472
42164,49.463
42165,49.402
42166,49.329
42167,49.341
42168,49.387
42169,49.311
42170,49.25
42171,49.368
42172,49.353
42173,49.317
42174,49.253
42175,49.253
42176,49.439
42177,49.554
42178,49.564
42179,49.57
42180,49.475
42181,49.564
42182,49.548
42183,49.439
42184,49.466
42185,49.262
42186,49.393
42187,49.411
42188,49.399
42189,49.426
42190,49.515
42191,49.536
42192,49.475
42193,49.484
42194,49.475
42195,49.423
42196,49.46
42197,49.53
42198,49.423
42199,49.478
42200,49.396
42201,49.388
42202,49.381
42203,49.329
42204,49.304
42205,49.353
42206,49.457
42207,49.344
42208,49.484
42209,49.5
42210,49.432
42211,49.515
42212,49.481
42213,49.466
42214,49.542
42215,49.445
42216,49.39
42217,49.39
42218,49.372
42219,49.448
42220,49.417
42221,49.475
42222,49.423
42223,49.365
42224,49.39
42225,49.539
42226,49.442
42227,49.451
42228,49.381
42229,49.341
42230,49.432
42231,49.405
42232,49.359
42233,49.326
42234,49.457
42235,49.524
42236,49.368
42237,49.347
42238,49.335
42239,49.432
42240,49.506
42241,49.399
42242,49.466
42243,49.49
42244,49.436
42245,49.381
42246,49.368
42247,49.551
42248,49.372
42249,49.527
42250,49.576
42251,49.536
42252,49.509
42253,49.503
42254,49.49
42255,49.454
42256,49.487
42257,49.527
42258,49.46
42259,49.405
42260,49.39
42261,49.381
42262,49.402
42263,49.393
42264,49.466
42265,49.405
42266,49.527
42267,49.506
42268,49.475
42269,49.445
42270,49.5
42271,49.551
42272,49.551
42273,49.463
42274,49.512
42275,49.46
42276,49.448
42277,49.478
42278,49.509
42279,49.436
42280,49.493
42281,49.365
42282,49.481
42283,49.341
42284,49.356
42285,49.439
42286,49.429
42287,49.436
42288,49.521
42289,49.478
42290,49.432
42291,49.368
42292,49.527
42293,49.478
42294,49.542
42295,49.396
42296,49.378
42297,49.375
42298,49.332
42299,49.429
42300,49.46
42301,49.387
42302,49.429
42303,49.405
42304,49.436
42305,49.393
42306,49.408
42307,49.307
42308,49.372
42309,49.432
42310,49.469
42311,49.402
42312,49.396
42313,49.332
42314,49.405
42315,49.423
42316,49.511
42317,49.532
42318,49.466
42319,49.381
42320,49.401
42321,49.335
42322,49.382
42323,49.337
42324,49.42
42325,49.397
42326,49.519
42327,49.422
42328,49.528
42329,49.495
42330,49.356
42331,49.324
42332,49.32
42333,49.404
42334,49.484
42335,49.332
42336,49.332
42337,49.35
42338,49.441
42339,49.407
42340,49.429
42341,49.429
42342,49.461
42343,49.39
42344,49.413
42345,49.405
42346,49.461
42347,49.448
42348,49.398
42349,49.498
42350,49.421
