"Name","Segment","Parameter","Units","Data_Column","Filename","Output_Timestep"
"Time Series File 7 Segment 41 Depth 30.00 m","41","T2","Celsius","3/20","TDA_tsr_7_seg41.opt",    0.041667
"Time Series File 7 Segment 41 Depth 30.00 m","41","U","m/s","4/20","TDA_tsr_7_seg41.opt",    0.041667
"Time Series File 7 Segment 41 Depth 30.00 m","41","Q","m^3/s","5/20","TDA_tsr_7_seg41.opt",    0.041667
"Time Series File 7 Segment 41 Depth 30.00 m","41","SRON","W/m^2","6/20","TDA_tsr_7_seg41.opt",    0.041667
"Time Series File 7 Segment 41 Depth 30.00 m","41","EXT","1/m","7/20","TDA_tsr_7_seg41.opt",    0.041667
"Time Series File 7 Segment 41 Depth 30.00 m","41","Depth","m","8/20","TDA_tsr_7_seg41.opt",    0.041667
"Time Series File 7 Segment 41 Depth 30.00 m","41","WIDTH","m","9/20","TDA_tsr_7_seg41.opt",    0.041667
"Time Series File 7 Segment 41 Depth 30.00 m","41","SHADE","","10/20","TDA_tsr_7_seg41.opt",    0.041667
"Time Series File 7 Segment 41 Depth 30.00 m","41","Tvolavg","W/m^2","11/20","TDA_tsr_7_seg41.opt",    0.041667
"Time Series File 7 Segment 41 Depth 30.00 m","41","NetRad","W/m^2","12/20","TDA_tsr_7_seg41.opt",    0.041667
"Time Series File 7 Segment 41 Depth 30.00 m","41","SWSolar","W/m^2","13/20","TDA_tsr_7_seg41.opt",    0.041667
"Time Series File 7 Segment 41 Depth 30.00 m","41","LWRad","W/m^2","14/20","TDA_tsr_7_seg41.opt",    0.041667
"Time Series File 7 Segment 41 Depth 30.00 m","41","BackRad","W/m^2","15/20","TDA_tsr_7_seg41.opt",    0.041667
"Time Series File 7 Segment 41 Depth 30.00 m","41","EvapF","W/m^2","16/20","TDA_tsr_7_seg41.opt",    0.041667
"Time Series File 7 Segment 41 Depth 30.00 m","41","ConducF","W/m^2","17/20","TDA_tsr_7_seg41.opt",    0.041667
"Time Series File 7 Segment 41 Depth 30.00 m","41","N2","g/m^3","18/20","TDA_tsr_7_seg41.opt",    0.041667
"Time Series File 7 Segment 41 Depth 30.00 m","41","DO","g/m^3","19/20","TDA_tsr_7_seg41.opt",    0.041667
"Time Series File 7 Segment 41 Depth 30.00 m","41","Oxygen % Gas Saturation","","20/20","TDA_tsr_7_seg41.opt",    0.041667
"Segment 41 Withdrawal flow","41","QWD","m^3/s","1/1","qwo_41.opt",    0.041667
"Segment 41 Withdrawal Temperature","41","T","Celsius","1/1","two_41.opt",    0.041667
"Segment 41 Withdrawal constituent","41","N2","g/m^3","1/2","cwo_41.opt",    0.041667
"Segment 41 Withdrawal constituent","41","DO","g/m^3","2/2","cwo_41.opt",    0.041667
"Segment 41 Withdrawal Derived Constituent","41","Oxygen % Gas Saturation","","1/1","dwo_41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate1_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate1_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate1_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate1_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate1_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate2_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate2_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate2_seg41.opt",    0.041667
