FRICT,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,
LAYER,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),scale
1,0,387.93,400.23,383.976,361.554,454.848,410.292,395.748,279.75,326.568,501.234,463.638,424.08,550.182,669.438,533.274,798.516,650.424,518.046,604.38,633.588,603.42,692.412,585.036,419.814,426.516,584.52,509.736,632.196,760.932,788.568,795.792,675.3,595.392,645.156,728.88,567.432,416.562,418.428,395.784,354.726,0,,10,21102680.55,299035993.9,242432.7868,46.5,152.5590551,
1,0,378.898,369.7943,371.6056,327.2848,416.5518,388.8513,376.4023,268.0075,315.6087,472.0354,433.7916,414.4455,521.3476,606.4846,502.9219,769.1358,628.2792,503.329,585.9703,606.0893,557.1547,665.3076,567.816,405.1766,414.8526,559.1843,498.5854,618.8864,731.2342,768.9647,753.017,653.4486,574.8547,633.2234,715.5815,557.0544,407.0823,403.7075,379.0986,347.3389,0,,11,20236701.57,277933313.3,225324.5398,45.5,149.2782152,
1,0,361.6749545,329.3897727,359.8161818,298.1307273,389.5858636,372.4054091,358.4616818,260.6914091,307.5535909,445.5190909,418.3352727,409.4518636,490.4404091,553.8439091,476.913,752.4159545,610.9909091,491.3961818,571.6576364,576.8704091,512.3997273,623.5332273,554.9228182,395.9068636,406.35,549.1354091,492.0411818,607.5137727,704.6625,757.9277727,706.3101818,639.0835909,556.506,628.1479091,710.016,552.7298182,401.4773182,394.5699545,371.1505909,342.2897727,0,,12,19518736.72,257696611.8,208918.3544,44.5,145.9973753,
1,0,332.1720273,280.9969182,313.2159091,261.5571364,361.0403364,358.7094273,344.9279273,253.4630545,295.6816455,421.8187909,407.5128364,401.0620455,469.9520636,498.1852,449.3701364,732.4707,576.5795,461.2228091,550.2810182,541.2370909,474.7653909,551.5630182,535.2583091,386.2899091,395.6193727,540.2989,483.4305455,594.4575727,673.2306455,735.4659182,665.2647636,623.6405545,531.0859818,623.0403455,704.4531727,548.4221182,396.0564182,384.1338182,361.1335727,335.1264545,0,,13,18640763.89,238177875.1,193094.2334,43.5,142.7165354,
1,0,306.5244,235.0819545,236.8192273,231.6363636,334.3439273,342.8913091,331.3152818,246.3452727,281.5887455,397.8470364,397.5227455,390.0640545,450.2953,453.9435727,420.7732455,684.9197727,516.2190091,423.3617818,513.0108455,482.1163455,446.0505636,475.6479,507.6195091,377.2661455,378.5169818,521.1818182,471.7506182,567.7754727,624.2078818,704.8578727,633.0679727,607.8601455,504.5503273,617.8784182,698.8700727,544.1254,391.3264727,374.1216818,344.3158727,305.4299182,0,,14,17571850.41,219537111.2,177981.8977,42.5,139.4356955,
1,0,282.2547,175.9164545,176.1523909,212.0377364,308.1156273,322.7436818,316.6208455,239.7919091,269.5429091,376.0192636,387.7988182,380.3812091,402.3117818,411.4442455,396.7816636,614.1768818,443.1863182,396.5629909,466.9756091,411.4672636,415.3515818,399.8545909,474.7902818,368.3081727,356.2984364,492.8192727,454.6033364,512.1890727,560.6711182,681.9251455,591.3140727,592.3326273,486.4662545,612.7612636,693.2558455,539.8396636,386.4637636,364.8612,328.3025727,263.3222455,0,,15,16378485.55,201965260.8,163736.1455,41.5,136.1548556,
1,0,253.9215818,117.4400182,144.1153364,195.6247182,272.4885182,295.0467455,298.3575727,232.2725455,256.4375818,324.2780909,326.5024636,327.6918455,314.3341727,347.1508182,362.1038636,523.2479455,351.5195091,369.3430818,417.1242091,359.2619273,385.5884364,329.8361636,441.1748818,355.9968455,336.7894727,460.1420909,429.2067273,461.3715,500.2379818,663.3205273,543.4617182,576.7529727,473.4425818,607.7340818,687.6056455,535.5649091,380.8251909,355.4707727,319.9379909,241.5989,0,,16,15002548.61,185586775.2,150457.8714,40.5,132.8740157,
1,0,207.0113636,84.17613636,130.5909091,184.5852273,220.9488636,204.4147727,273.9943182,224.2045455,241.7556818,258.8181818,206.2272727,244.3863636,234.4886364,256.9943182,293.8920455,404.9090909,249.0056818,329.6306818,358.1136364,317.7329545,343.4261364,284.1534091,408.0738636,338.3920455,320.8465909,428.3806818,397.0738636,431.1534091,457.2613636,643.1534091,499.9488636,559.3352273,461.2727273,602.7443182,681.9545455,531.3068182,373.7272727,342.1590909,312.2727273,234.9602273,0,,17,13423780.23,170584226.6,138295.0892,39.5,129.5931759,
1,0,154.2789818,64.26220909,120.4852909,170.2104545,155.8427727,91.05553636,227.2634182,215.4079636,226.5859636,185.2612364,92.4669,167.7095182,155.2104818,167.5458,216.5935091,273.2569364,168.9402273,275.9724,257.6133818,269.9882182,278.0950909,252.1542273,370.7087727,316.9132364,300.1180091,388.6105091,364.8262091,403.9548545,426.5592545,623.6872364,457.9649182,537.8650364,448.5652364,597.7633091,676.3028727,527.0596364,366.1754727,323.6877818,305.3174727,232.0451182,0,,18,11720134.49,157160446.4,127412.2372,38.5,126.312336,
1,0,123.7645909,46.62276364,110.7458909,155.8149364,75.68907273,0,139.3466455,201.6916909,209.8809636,121.4087727,36.49274545,88.64607273,97.13262727,92.94824545,159.1018636,169.3384545,134.1694545,202.6003636,161.8727545,215.1142455,216.8642818,221.5871364,328.9170909,295.0942727,276.2589455,309.4367182,334.4813091,368.9155182,385.7371818,596.1734455,417.0863909,509.7261364,438.0139091,592.7911636,670.6509545,522.8177545,357.8151273,297.2145091,299.1608636,229.4006,0,,19,10094942.32,145440311.9,117910.5554,37.5,123.0314961,
1,0,122.9622273,41.09886364,102.3097,139.6915545,0,0,48.85052727,181.1693636,191.0330909,90.28932727,0,41.33291818,96.50291818,36.19486364,122.5721364,115.7065364,127.4259818,142.7565545,129.8947,168.4746909,180.9743182,191.2894364,258.1231545,264.3813273,255.4984,215.2577364,301.9359364,332.6472364,348.0223909,529.1471727,372.7875909,476.6019273,429.9860636,587.8279909,664.9879727,518.5868545,350.1288818,266.0921545,290.7960545,226.7431273,0,,20,8858653.557,135345369.6,109726.4403,36.5,119.7506562,
1,0,122.1598636,40.83068182,92.42959091,106.3756909,0,0,0,159.2368909,170.9407636,70.86545455,0,0,0,0,88.00603636,85.48145455,119.6629636,116.928,119.9840727,139.8264,158.8714909,159.5192455,184.5214636,215.1984545,232.6546091,145.9994455,271.3427182,303.9463636,326.3409545,438.4467818,329.9562,440.7499091,421.9096636,582.8739,659.3753727,514.3669364,345.0261818,242.1384,280.2950182,224.2227273,0,,21,7820937.024,126486716,102544.6023,35.5,116.4698163,
1,0,0,0,78.1055,75.317,0,0,0,123.6895,148.8685,0,0,0,0,0,84.13401818,61.7375,118.3476424,112.784,117.4790485,120.6095,138.9905,152.9236228,173.0897318,200.6047273,224.1790727,99.0825,264.0045387,278.795,305.019,364.1165,290.9115,404.2115,413.512,577.9345,653.8565,510.158,340.4995,226.0005,269.885,219.6645,0,,22,7067589.759,118665779,96204.05599,34.5,113.1889764,
