$ MCNARY-POOLELEV.npt based on $//MCNARY-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
40985,104.373
40986,104.351
40987,104.33
40988,104.202
40989,104.147
40990,103.906
40991,103.885
40992,104.147
40993,104.232
40994,104.175
40995,104.022
40996,104.117
40997,104.272
40998,104.415
40999,104.485
41000,104.403
41001,104.467
41002,104.342
41003,104.345
41004,104.245
41005,104.3
41006,104.33
41007,104.476
41008,104.403
41009,104.165
41010,103.998
41011,104.132
41012,104.232
41013,104.147
41014,104.114
41015,104.266
41016,104.275
41017,104.232
41018,104.324
41019,104.4
41020,104.296
41021,104.178
41022,104.257
41023,104.315
41024,104.336
41025,104.522
41026,104.455
41027,104.339
41028,104.373
41029,104.428
41030,104.351
41031,104.144
41032,104.251
41033,104.29
41034,104.357
41035,104.357
41036,104.248
41037,104.126
41038,104.086
41039,103.995
41040,103.894
41041,104.171
41042,104.357
41043,104.379
41044,104.257
41045,104.278
41046,104.345
41047,104.312
41048,104.385
41049,104.409
41050,104.175
41051,104.223
41052,104.312
41053,104.339
41054,104.403
41055,104.266
41056,104.248
41057,104.22
41058,104.184
41059,103.943
41060,104.004
41061,103.983
41062,104.178
41063,104.284
41064,104.312
41065,104.29
41066,104.333
41067,104.333
41068,104.223
41069,104.199
41070,104.391
41071,104.385
41072,104.446
41073,104.455
41074,104.251
41075,104.211
41076,104.15
41077,104.092
41078,104.175
41079,104.293
41080,104.309
41081,104.303
41082,104.175
41083,104.159
41084,104.111
41085,104.138
41086,104.175
41087,103.973
41088,104.065
41089,104.232
41090,104.034
41091,104.138
41092,104.226
41093,104.159
41094,104.165
41095,104.071
41096,104.171
41097,104.406
41098,104.269
41099,104.223
41100,104.418
41101,104.412
41102,104.303
41103,104.315
41104,104.278
41105,104.22
41106,104.19
41107,104.296
41108,104.409
41109,104.171
41110,104.263
41111,104.412
41112,104.531
41113,104.449
41114,104.242
41115,104.239
41116,104.236
41117,104.415
41118,104.54
41119,104.428
41120,104.51
41121,104.552
41122,104.348
41123,104.354
41124,104.293
41125,104.421
41126,104.479
41127,104.327
41128,104.318
41129,104.324
41130,104.339
41131,104.44
41132,104.467
41133,104.583
41134,104.632
41135,104.674
41136,104.586
41137,104.58
41138,104.626
41139,104.577
41140,104.662
41141,104.677
41142,104.69
41143,104.708
41144,104.693
41145,104.656
41146,104.626
41147,104.607
41148,104.595
41149,104.61
41150,104.62
41151,104.571
41152,104.568
41153,104.574
41154,104.488
41155,104.556
41156,104.434
41157,104.318
41158,104.232
41159,104.467
41160,104.424
41161,104.437
41162,104.458
41163,104.449
41164,104.269
41165,104.367
41166,104.495
41167,104.44
41168,104.473
41169,104.501
41170,104.498
41171,104.476
41172,104.473
41173,104.528
41174,104.437
41175,104.251
41176,104.242
41177,104.278
41178,104.272
41179,104.309
41180,104.479
41181,104.507
41182,104.446
41183,104.382
41184,104.248
41185,104.168
41186,104.208
41187,104.245
41188,104.296
41189,104.22
41190,104.245
41191,104.242
41192,104.19
41193,104.159
41194,104.223
41195,104.217
41196,104.342
41197,104.434
41198,104.412
41199,104.382
41200,104.382
41201,104.458
41202,104.397
41203,104.37
41204,104.394
41205,104.376
41206,104.287
41207,104.138
41208,104.211
41209,104.367
41210,104.479
41211,104.492
41212,104.424
41213,104.303
41214,104.184
41215,104.223
41216,104.239
41217,104.205
41218,104.239
41219,104.347
41220,104.194
41221,104.128
41222,104.123
41223,104.134
41224,104.307
41225,104.379
41226,104.265
41227,104.09
41228,104.06
41229,104.097
41230,104.122
41231,104.012
41232,104.013
41233,104.048
41234,104.05
41235,104.029
41236,104.119
41237,104.172
41238,104.16
41239,104.215
41240,104.27
41241,104.135
41242,104.161
41243,104.089
41244,104.016
41245,104.028
41246,104.028
41247,103.996
41248,104.138
41249,104.144
41250,104.278
41251,104.319
41252,104.438
41253,104.326
41254,104.312
41255,104.145
41256,104.147
41257,104.308
41258,104.253
41259,104.257
41260,104.166
41261,104.154
41262,104.092
41263,104.13
41264,104.155
41265,104.145
41266,104.2
41267,104.193
41268,104.012
41269,104.054
41270,104.149
41271,104.08
41272,104.261
41273,104.219
41274,104.287
41275,104.422
41276,104.401
41277,104.365
41278,104.209
41279,104.158
41280,104.247
41281,104.426
41282,104.48
41283,104.43
41284,104.433
41285,104.34
41286,104.155
41287,104.025
41288,104.159
41289,104.189
41290,104.289
41291,104.498
41292,104.478
41293,104.222
41294,104.275
41295,104.31
41296,104.335
41297,104.459
41298,104.324
41299,104.341
41300,104.266
41301,104.058
41302,104.19
41303,104.275
41304,104.313
41305,104.171
41306,104.2
41307,104.363
41308,104.343
41309,104.301
41310,104.296
41311,104.168
41312,104.092
41313,104.121
41314,104.091
41315,104.218
41316,104.332
41317,104.365
41318,104.317
41319,104.213
41320,104.287
41321,104.168
41322,104.122
41323,104.193
41324,104.07
41325,103.93
41326,104.179
41327,104.201
41328,104.079
41329,104.144
41330,104.171
41331,104.262
41332,104.257
41333,104.111
41334,104.131
41335,104.173
41336,104.303
41337,104.431
41338,104.481
41339,104.506
41340,104.328
41341,104.166
41342,104.314
41343,104.21
41344,104.196
41345,104.153
41346,104.254
41347,104.193
41348,104.193
41349,104.159
41350,104.3
41351,104.281
41352,104.303
41353,104.446
41354,104.312
41355,104.232
41356,104.217
41357,104.248
41358,104.281
41359,104.239
41360,104.211
41361,104.187
41362,104.098
41363,104.117
41364,104.263
41365,104.312
41366,104.318
41367,104.434
41368,104.507
41369,104.3
41370,104.409
41371,104.495
41372,104.537
41373,104.501
41374,104.519
41375,104.36
41376,104.272
41377,104.132
41378,104.168
41379,104.107
41380,104.29
41381,104.421
41382,104.184
41383,104.135
41384,104.037
41385,104.175
41386,104.193
41387,104.281
41388,104.104
41389,103.998
41390,104.168
41391,104.245
41392,104.385
41393,104.388
41394,104.284
41395,104.245
41396,104.406
41397,104.348
41398,104.373
41399,104.254
41400,104.229
41401,104.296
41402,104.236
41403,104.19
41404,104.29
41405,104.415
41406,104.467
41407,104.519
41408,104.315
41409,104.312
41410,104.446
41411,104.458
41412,104.437
41413,104.364
41414,104.351
41415,104.226
41416,104.312
41417,104.236
41418,104.348
41419,104.418
41420,104.269
41421,104.382
41422,104.409
41423,104.281
41424,104.083
41425,104.156
41426,104.306
41427,104.309
41428,104.062
41429,104.104
41430,104.132
41431,104.19
41432,104.376
41433,104.364
41434,104.281
41435,104.397
41436,104.516
41437,104.525
41438,104.443
41439,104.296
41440,104.312
41441,104.333
41442,104.245
41443,104.092
41444,104.211
41445,104.324
41446,104.357
41447,104.391
41448,104.406
41449,104.211
41450,104.077
41451,104.062
41452,104.156
41453,104.062
41454,104.232
41455,104.315
41456,104.242
41457,104.211
41458,104.312
41459,104.357
41460,104.467
41461,104.431
41462,104.409
41463,104.391
41464,104.409
41465,104.171
41466,104.114
41467,104.114
41468,104.004
41469,104.159
41470,104.367
41471,104.278
41472,104.168
41473,104.159
41474,104.159
41475,104.333
41476,104.409
41477,104.507
41478,104.482
41479,104.409
41480,104.281
41481,104.357
41482,104.488
41483,104.495
41484,104.458
41485,104.525
41486,104.488
41487,104.44
41488,104.437
41489,104.376
41490,104.379
41491,104.33
41492,104.345
41493,104.434
41494,104.37
41495,104.217
41496,104.26
41497,104.409
41498,104.397
41499,104.446
41500,104.455
41501,104.412
41502,104.187
41503,104.144
41504,104.281
41505,104.379
41506,104.485
41507,104.403
41508,104.397
41509,104.364
41510,104.382
41511,104.354
41512,104.458
41513,104.345
41514,104.196
41515,104.33
41516,104.379
41517,104.394
41518,104.379
41519,104.4
41520,104.476
41521,104.424
41522,104.318
41523,104.351
41524,104.424
41525,104.385
41526,104.492
41527,104.376
41528,104.428
41529,104.552
41530,104.495
41531,104.434
41532,104.418
41533,104.309
41534,104.367
41535,104.452
41536,104.488
41537,104.397
41538,104.373
41539,104.409
41540,104.385
41541,104.418
41542,104.428
41543,104.4
41544,104.394
41545,104.345
41546,104.409
41547,104.482
41548,104.437
41549,104.315
41550,104.382
41551,104.367
41552,104.333
41553,104.306
41554,104.324
41555,104.29
41556,104.284
41557,104.321
41558,104.367
41559,104.4
41560,104.421
41561,104.36
41562,104.394
41563,104.336
41564,104.327
41565,104.321
41566,104.437
41567,104.516
41568,104.482
41569,104.498
41570,104.428
41571,104.397
41572,104.12
41573,104.101
41574,104.089
41575,104.111
41576,104.162
41577,104.129
41578,104.138
41579,104.275
41580,104.461
41581,104.424
41582,104.309
41583,104.154
41584,104.092
41585,104.308
41586,104.28
41587,104.199
41588,104.17
41589,104.183
41590,104.219
41591,104.293
41592,104.142
41593,104.202
41594,104.208
41595,104.123
41596,104.21
41597,104.316
41598,104.365
41599,104.276
41600,104.214
41601,104.185
41602,104.216
41603,104.141
41604,104.272
41605,104.334
41606,104.286
41607,104.299
41608,104.311
41609,104.335
41610,104.295
41611,104.296
41612,104.3
41613,104.469
41614,104.602
41615,104.365
41616,104.293
41617,104.296
41618,104.291
41619,104.176
41620,104.212
41621,104.22
41622,104.27
41623,104.246
41624,104.294
41625,104.34
41626,104.333
41627,104.353
41628,104.281
41629,104.135
41630,104.17
41631,104.317
41632,104.455
41633,104.33
41634,104.295
41635,104.188
41636,104.219
41637,104.226
41638,104.332
41639,104.374
41640,104.323
41641,104.33
41642,104.429
41643,104.364
41644,104.179
41645,104.198
41646,104.357
41647,104.308
41648,104.23
41649,104.162
41650,104.296
41651,104.3
41652,104.098
41653,104.095
41654,104.075
41655,104.15
41656,104.279
41657,104.372
41658,104.209
41659,104.31
41660,104.382
41661,104.265
41662,104.371
41663,104.276
41664,104.26
41665,104.269
41666,104.252
41667,104.102
41668,104.043
41669,104.064
41670,104.071
41671,104.214
41672,104.346
41673,104.348
41674,104.141
41675,103.995
41676,104.012
41677,103.952
41678,103.92
41679,104.053
41680,104.082
41681,104.247
41682,104.228
41683,104.221
41684,104.071
41685,104.135
41686,104.211
41687,104.173
41688,104.361
41689,104.414
41690,104.369
41691,104.311
41692,104.364
41693,104.355
41694,104.398
41695,104.356
41696,104.366
41697,104.27
41698,104.234
41699,104.25
41700,104.417
41701,104.314
41702,104.277
41703,104.211
41704,104.267
41705,104.143
41706,104.182
41707,104.476
41708,104.492
41709,104.236
41710,104.111
41711,104.452
41712,104.458
41713,104.485
41714,104.504
41715,104.543
41716,104.339
41717,104.272
41718,104.473
41719,104.531
41720,104.495
41721,104.488
41722,104.428
41723,104.275
41724,104.211
41725,104.266
41726,104.254
41727,104.168
41728,104.373
41729,104.336
41730,104.443
41731,104.434
41732,104.373
41733,104.382
41734,104.251
41735,104.171
41736,104.184
41737,104.123
41738,104.217
41739,104.3
41740,104.382
41741,104.476
41742,104.507
41743,104.467
41744,104.458
41745,104.254
41746,104.415
41747,104.409
41748,104.424
41749,104.345
41750,104.421
41751,104.36
41752,104.309
41753,104.409
41754,104.452
41755,104.47
41756,104.449
41757,104.385
41758,104.324
41759,104.296
41760,104.333
41761,104.214
41762,104.15
41763,104.303
41764,104.321
41765,104.339
41766,104.385
41767,104.461
41768,104.364
41769,104.229
41770,104.248
41771,104.254
41772,104.412
41773,104.379
41774,104.19
41775,104.077
41776,104.111
41777,104.223
41778,104.284
41779,104.275
41780,104.394
41781,104.22
41782,104.12
41783,104.178
41784,104.168
41785,104.159
41786,104.345
41787,104.464
41788,104.47
41789,104.321
41790,104.296
41791,104.357
41792,104.223
41793,104.284
