$ Bathymetry:  McNary.  Updated to csv version by Barry.  Original provided by WEST consultants via David Gade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG: I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,,,,,,,,,,,,,,,
1,0,994.4744,1127.079,873.099,809.37,862.056,924.7249881,964.1948022,1802.418149,1388.260314,1722.699455,1672.780006,1667.817699,1590.630968,1924.6213,2331.386483,2706.71808,3128.395587,3745.762418,1375.202504,1625.307837,1372.128584,2302.561071,2030.760465,4415.877043,4442.085813,4575.80558,5823.944243,5203.732131,4588.736369,4069.59103,2754.935441,3248.574863,3160.659048,3582.133322,3547.066919,2959.236822,3026.160216,3001.695875,2861.50648,2686.360767,1724.979333,1341.01,1067.126211,1478.1875,2092.248714,1736.844143,1901.847143,1537.28,1446.275267,1480.5732,1336.079882,1207.19735,1264.33695,1257.766893,1269.291977,1356.344045,1246.902321,1437.45575,1306.229829,1390.309594,1337.14565,1419.583816,1569.4848,1471.66995,1514.468876,1694.085746,1797.726821,1852.972706,1948.162618,1864.8397,1874.1355,1758.104286,1543.872,1611.614,1678.930571,1604.6086,1629.05181,1600.34,1651.0875,1817.5985,1963.7225,1950,1861.858696,1972.561565,2054.0297,2053.3502,0,0,375.2,376.96,473.73,485.67,453.25,491.64,520.62,631.4,862.99,540.88,513.42,502.59,481.58,1467.6,0,,6,148078592.1,1837635524,1489797.584,106,347.7690289,,1.1,1,,,,,
1,0,994.4744,1127.079,873.099,809.37,862.056,924.7249881,964.1948022,1802.418149,1388.260314,1722.699455,1672.780006,1667.817699,1590.630968,1924.6213,2331.386483,2706.71808,3128.395587,3745.762418,1375.202504,1625.307837,1372.128584,2302.561071,2030.760465,4415.877043,4442.085813,4575.80558,5823.944243,5203.732131,4588.736369,4069.59103,2754.935441,3248.574863,3160.659048,3582.133322,3547.066919,2959.236822,3026.160216,3001.695875,2861.50648,2686.360767,1724.979333,1341.01,1067.126211,1478.1875,2092.248714,1736.844143,1901.847143,1537.28,1446.275267,1480.5732,1336.079882,1207.19735,1264.33695,1257.766893,1269.291977,1356.344045,1246.902321,1437.45575,1306.229829,1390.309594,1337.14565,1419.583816,1569.4848,1471.66995,1514.468876,1694.085746,1797.726821,1852.972706,1948.162618,1855.544625,1858.551875,1755.742857,1543.63,1609.6475,1674.815714,1597.64075,1625.859762,1600.32,1641.396875,1806.518125,1956.160625,1950,1861.76087,1971.136957,2047.247125,2043.95025,0,0,285.82,315.95,445.44,470.87,443.25,481.75,491.25,597.86,723.92,536.96,471.27,491.38,479.54,1112.18,0,,7,146904215.3,1689556932,1369748.137,105,344.488189,,1.1,1,,,,,
1,0,994.4744,1127.079,873.099,809.37,862.056,924.7249881,964.1948022,1802.418149,1388.260314,1722.699455,1672.780006,1667.817699,1590.630968,1924.6213,2331.386483,2706.71808,3128.395587,3745.762418,1375.202504,1625.307837,1372.128584,2302.561071,2030.760465,4415.877043,4442.085813,4575.80558,5823.944243,5203.732131,4588.736369,4069.59103,2754.935441,3248.574863,3160.659048,3582.133322,3547.066919,2959.236822,3026.160216,3001.695875,2861.50648,2686.360767,1724.979333,1341.01,1067.126211,1478.1875,2092.248714,1736.844143,1901.847143,1537.28,1446.275267,1480.5732,1336.079882,1207.19735,1264.33695,1257.766893,1269.291977,1356.344045,1246.902321,1437.45575,1306.229829,1390.309594,1337.14565,1419.583816,1569.4848,1471.66995,1514.468876,1694.085746,1797.726821,1852.972706,1948.162618,1846.24955,1842.96825,1753.381429,1543.388,1607.681,1670.700857,1590.6729,1622.667714,1600.3,1631.70625,1795.43775,1948.59875,1950,1861.663043,1969.712348,2040.46455,2034.5503,0,0,203.29,218.58,324.39,358.81,419.11,445.48,392.41,489.98,588.72,527.66,464.68,451.6,474.29,867.92,0,,8,145428357.5,1542652717,1250650.774,104,341.2073491,Active Range,1.1,1,,,,,
1,0,994.4744,1127.079,873.099,809.37,862.056,924.7249881,964.1948022,1802.418149,1388.260314,1722.699455,1672.780006,1667.817699,1590.630968,1924.6213,2331.386483,2706.71808,3128.395587,3745.762418,1375.202504,1625.307837,1372.128584,2302.561071,2030.760465,4415.877043,4442.085813,4575.80558,5823.944243,5203.732131,4588.736369,4069.59103,2754.935441,3248.574863,3160.659048,3582.133322,3547.066919,2959.236822,3026.160216,3001.695875,2861.50648,2686.360767,1724.979333,1341.01,1067.126211,1478.1875,2092.248714,1736.844143,1901.847143,1537.28,1446.275267,1480.5732,1336.079882,1207.19735,1264.33695,1257.766893,1269.291977,1356.344045,1246.902321,1437.45575,1306.229829,1390.309594,1337.14565,1419.583816,1569.4848,1471.66995,1514.468876,1694.085746,1797.726821,1852.972706,1948.162618,1836.954475,1827.384625,1751.02,1543.146,1605.7145,1666.586,1583.70505,1619.475667,1600.28,1622.015625,1784.357375,1941.036875,1950,1861.565217,1968.287739,2033.681975,2025.15035,0,0,157.03,169.21,138.8,178.05,378.55,296.36,281.97,444.94,479.4,523.11,453.3,429.23,471.12,816.21,0,,9,144249181.3,1397224359,1132749.91,103,337.9265092,Active Range,1.1,1,,,,,
1,0,994.4744,1127.079,873.099,809.37,739.92,904.034,964.1948022,1192.0576,1012.8592,1069.8824,1043.9612,1066.3924,1368.5848,1355.1532,1530.9032,1594.5508,1677.3236,2347.748,990.2177143,1237.509429,1135.222,1686.197143,1601.776857,2932.278857,2973.419714,3092.304571,3499.998,2922.263429,2570.227143,2867.532857,2400.940857,2527.563143,2311.247143,2601.300857,2551.636,2266.559714,2293.161143,2312.67,2292.042286,2118.454571,1724.979333,1341.01,1067.126211,1478.1875,2092.248714,1736.844143,1901.847143,1537.28,1373.8596,1480.5732,1336.079882,1207.19735,1264.33695,1257.766893,1269.291977,1356.344045,1246.902321,1437.45575,1306.229829,1390.309594,1337.14565,1419.583816,1569.4848,1471.66995,1514.468876,1694.085746,1797.726821,1852.972706,1948.162618,1827.6594,1811.801,1748.658571,1542.904,1603.748,1662.471143,1576.7372,1616.283619,1600.26,1612.325,1773.277,1933.475,1950,1861.467391,1966.86313,2026.8994,2015.7504,0,0,99.26,111.17,96.09,113.96,232.61,145.16,217.05,331.47,438.62,489.8,435.19,413.38,468.31,714.9,0,,10,119291339,1252975178,1015805.022,102,334.6456693,Active Range,1.1,1,,,,,
1,0,994.4744,1127.079,873.099,809.37,712.68,880.537,964.1948022,1075.0048,934.5416,949.3252,927.5326,953.5002,1304.8604,1240.4486,1378.1236,1394.3234,1425.1978,2088.294,910.9974286,1152.281857,1074.581,1557.084286,1502.232714,2646.973714,2689.388429,2803.395143,3077.809,2519.408857,2214.149286,2625.250714,2294.394714,2363.977286,2133.599286,2397.694714,2346.998,2113.058429,2133.106286,2158.665,2156.152571,1986.720143,1724.979333,1340.88375,1054.905737,1468.885938,2092.248714,1736.844143,1901.539286,1529.275,1332.1033,1459.62735,1336.079882,1207.19735,1264.33695,1257.766893,1269.291977,1356.344045,1246.902321,1437.45575,1306.229829,1390.309594,1337.14565,1419.583816,1569.4848,1471.66995,1514.468876,1694.085746,1797.726821,1852.972706,1948.162618,1818.364325,1796.217375,1746.297143,1542.662,1601.7815,1658.356286,1569.76935,1613.091571,1600.24,1602.634375,1762.196625,1925.913125,1950,1861.369565,1965.438522,2020.116825,2006.35045,0,0,99.26,111.17,96.09,113.96,101.71,89.7,176.86,185.22,408.99,393.42,405.59,397.33,461.4,598.4,0,,11,113584458.4,1133683839,919093.8151,101,331.3648294,,1.1,1,,,,,
1,0,610.31,1127.079,873.099,809.37,428.4,535.65,964.1948022,598.72,535.14,517.98,506.94,525.38,775.71,703.59,765.84,746.31,733.17,1828.84,831.7771429,1067.054286,1013.94,1427.971429,1402.688571,2361.668571,2405.357143,2514.485714,2655.62,2116.554286,1858.071429,2382.968571,2187.848571,2200.391429,1955.951429,2194.088571,2142.36,1959.557143,1973.051429,2004.66,2020.262857,1854.985714,1724.979333,1340.7575,1042.685263,1459.584375,2092.248714,1736.844143,1901.231429,1521.27,1290.347,1438.6815,1336.079882,1207.19735,1264.33695,1257.766893,1269.291977,1356.344045,1246.902321,1437.45575,1306.229829,1390.309594,1337.14565,1419.583816,1569.4848,1471.66995,1514.468876,1694.085746,1797.726821,1852.972706,1948.162618,1809.06925,1780.63375,1743.935714,1542.42,1599.815,1654.241429,1562.8015,1609.899524,1600.22,1592.94375,1751.11625,1918.35125,1950,1861.271739,1964.013913,2013.33425,1996.9505,0,0,99.26,111.17,96.09,113.96,101.71,81.78,136.72,96.08,317.84,271.22,383.17,381.28,395.93,499.24,0,,12,104094007.8,1020099381,827009.2588,100,328.0839895,,1.1,1,,,,,
1,0,369.3,1127.079,873.099,385.07,353.92,365.21,714.4,569.84,489.96,377.18,367.66,383.58,669.86,520.98,538.35,598.49,569.49,1569.386,752.5568571,981.8267143,953.299,1298.858571,1303.144429,2076.363429,2121.325857,2225.576286,2233.431,1713.699714,1501.993571,2140.686429,2081.302429,2036.805571,1778.303571,1990.482429,1937.722,1806.055857,1812.996571,1850.655,1884.373143,1723.251286,1724.979333,1340.63125,1030.464789,1450.282813,2092.248714,1736.844143,1900.923571,1513.265,1248.5907,1417.73565,1336.079882,1207.19735,1264.33695,1257.766893,1269.291977,1356.344045,1246.902321,1437.45575,1306.229829,1390.309594,1337.14565,1419.583816,1569.4848,1471.66995,1514.468876,1694.085746,1797.726821,1852.972706,1948.162618,1799.774175,1765.050125,1741.574286,1542.178,1597.8485,1650.126571,1555.83365,1606.707476,1600.2,1583.253125,1740.035875,1910.789375,1950,1861.173913,1962.589304,2006.551675,1987.55055,0,0,0,0,0,0,0,81.78,121.46,57.71,194.2,218.18,355.98,340.63,250.51,453.52,0,,13,97077534.45,916005372.8,742618.7476,99,324.8031496,,1.1,1,,,,,
1,0,161.25,319.58,375.46,285.73,307.58,315.77,686.06,454.91,461.04,287.74,288.86,363.67,565.18,389.46,448.1,472.24,506.52,1309.932,673.3365714,896.5991429,892.658,1169.745714,1203.600286,1791.058286,1837.294571,1936.666857,1811.242,1310.845143,1145.915714,1898.404286,1974.756286,1873.219714,1600.655714,1786.876286,1733.084,1652.554571,1652.941714,1696.65,1748.483429,1591.516857,1724.979333,1340.505,1018.244316,1440.98125,2092.248714,1736.844143,1900.615714,1505.26,1206.8344,1396.7898,1336.079882,1207.19735,1264.33695,1257.766893,1269.291977,1356.344045,1246.902321,1437.45575,1306.229829,1390.309594,1337.14565,1419.583816,1569.4848,1471.66995,1514.468876,1694.085746,1797.726821,1852.972706,1948.162618,1790.4791,1749.4665,1739.212857,1541.936,1595.882,1646.011714,1548.8658,1603.515429,1600.18,1573.5625,1728.9555,1903.2275,1950,1861.076087,1961.164696,1999.7691,1978.1506,0,0,0,0,0,0,0,0,0,0,74.151,187.462,289.795,202.829,215.204,430.738,0,,14,90352486.95,818927838.3,663916.5923,98,321.5223097,,1.1,1,,,,,
1,0,52.93,221.87,236.55,232.51,263.02,293.47,321.55,332.96,330.01,237.46,254.21,342.67,490.18,326.28,336.54,367.28,473.95,1050.478,594.1162857,811.3715714,832.017,1040.632857,1104.056143,1505.753143,1553.263286,1647.757429,1389.053,907.9905714,789.8378571,1656.122143,1868.210143,1709.633857,1423.007857,1583.270143,1528.446,1499.053286,1492.886857,1542.645,1612.593714,1459.782429,1724.979333,1340.37875,1006.023842,1431.679688,2092.248714,1736.844143,1900.307857,1497.255,1165.0781,1375.84395,1336.079882,1207.19735,1264.33695,1257.766893,1269.291977,1356.344045,1246.902321,1437.45575,1306.229829,1390.309594,1337.14565,1419.583816,1569.4848,1471.66995,1514.468876,1694.085746,1797.726821,1852.972706,1948.162618,1781.184025,1733.882875,1736.851429,1541.694,1593.9155,1641.896857,1541.89795,1600.323381,1600.16,1563.871875,1717.875125,1895.665625,1950,1860.978261,1959.740087,1992.986525,1968.75065,0,0,0,0,0,0,0,0,0,0,0,138.908,122.32,151.327,195.36,160.435,0,,15,84539080.02,728575351.4,590666.53,97,318.2414698,,1.1,1,,,,,
