$ Bathymetry:  McNary.  Updated to csv version by Barry.  Original provided by WEST consultants via David Gade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG: I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,,,,,,,,,,,,,,,
1,0,0,92.38,158.07,215.34,193.71,278.67,105.31,239.21,166.71,202.43,236.88,310.93,336.51,258.24,236.27,292.79,439.25,494.39,321.81,453.84,482.11,569.7,627.82,762.78,793.27,849.28,604.29,315.71,271.1,883.65,1101.04,966.28,778.35,862.29,827.38,840.97,833.02,867.9,922.94,830.03,1724.979333,1340.2525,993.8033684,1422.378125,1311.04,1087.86,1900,1489.25,1123.3218,1354.8981,1062.1761,1207.19735,1264.33695,1257.766893,1000.92965,1104.5756,1207.32505,1437.45575,1189.4787,1229.3142,1337.14565,1405.18095,1569.4848,1471.66995,1337.01175,1427.593,1462.8281,1616.99925,1948.162618,1771.88895,1718.29925,1734.49,1541.452,1591.949,1637.782,1534.9301,1597.131333,1600.14,1554.18125,1706.79475,1888.10375,1950,1860.880435,1958.315478,1986.20395,1959.3507,0,0,0,0,0,0,0,0,0,0,0,0,122.32,127.765,164.329,0,0,,16,68858384.07,644036271.3,522129.4803,96,314.9606299,,1.1,1,,,,,
1,0,0,0,128.28,215.34,167.46,242.77,0,206.13,91.87,174.86,226.9,288.2,195.93,181.35,210.49,251.55,353.85,378.24,272.79,303.54,353.97,508.96,598.22,691.01,401.93,535.7,167.86,74.08,75,737.42,954.35,952.34,760.47,796.25,746.88,732.7,805.47,846.55,809.66,817.3,1079.5,1340.12625,981.5828947,1413.076563,1260.95,1086,1235.11,1481.245,1081.5655,1333.95225,1025.34725,1192.247875,1253.503875,1257.766893,965.359625,1069.066,1188.386125,1431.341875,1164.26075,1199.8495,1327.464625,1385.808875,1559.798,1454.266375,1304.766875,1386.6675,1415.67725,1576.200625,1948.162618,1762.593875,1702.715625,1732.128571,1541.21,1589.9825,1633.667143,1527.96225,1593.939286,1600.12,1544.490625,1695.714375,1880.541875,1950,1860.782609,1956.89087,1979.421375,1949.95075,0,0,0,0,0,0,0,0,0,0,0,0,0,127.765,75.471,0,0,,17,63995574.09,575177887.3,466304.9967,95,311.67979,,1.1,1,,,,,
1,0,0,0,98.15,215.34,142.91,190.61,0,0,0,148.43,219.49,264.68,123.55,117.22,197.28,211.71,212,268.98,234.29,165.13,308.4,476.24,547.93,561.81,127.92,308.75,0,0,0,737.42,954.35,952.34,760.47,796.25,746.88,732.7,805.47,846.55,809.66,817.3,1079.5,1340.12625,981.5828947,1413.076563,1260.95,1086,1235.11,1481.245,1081.5655,1333.95225,1025.34725,1192.247875,1253.503875,1257.766893,965.359625,1069.066,1188.386125,1431.341875,1164.26075,1199.8495,1327.464625,1385.808875,1559.798,1454.266375,1304.766875,1386.6675,1415.67725,1576.200625,1948.162618,1753.2988,1687.132,1729.767143,1540.968,1588.016,1629.552286,1520.9944,1590.747238,1600.1,1534.8,1684.634,1872.98,1950,1860.684783,1955.466261,1972.6388,1940.5508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,61972524.56,511182313.2,414422.8631,94,308.3989501,,1.1,1,,,,,
1,0,0,0,73.4,215.34,119.88,140.88,0,0,0,130.09,205.14,229.31,0,100.46,188.21,177.73,188.05,138.76,225.42,133.43,254.82,476.24,458.08,259.67,0,0,0,0,0,737.42,954.35,952.34,760.47,796.25,746.88,732.7,805.47,846.55,809.66,817.3,1079.5,1340.12625,981.5828947,1413.076563,1260.95,1086,1235.11,1481.245,1081.5655,1333.95225,1025.34725,1192.247875,1253.503875,1257.766893,965.359625,1069.066,1188.386125,1431.341875,1164.26075,1199.8495,1327.464625,1385.808875,1559.798,1454.266375,1304.766875,1386.6675,1415.67725,1576.200625,1948.162618,1744.003725,1671.548375,1727.405714,1540.726,1586.0495,1625.437429,1514.02655,1587.55519,1600.08,1525.109375,1673.553625,1865.418125,1950,1860.586957,1954.041652,1965.856225,1931.15085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,60753965.33,449209788.6,364180.8449,93,305.1181102,,1.1,1,,,,,
1,0,0,0,55.5,215.34,119.88,140.88,0,0,0,114.82,184.7,172.49,0,84.13,188.21,168.18,144.41,68.61,0,0,140.79,476.24,323.46,0,0,0,0,0,0,0,0,304.42,600,550.43,527.8,468.01,696.49,669.39,700,693.39,695.09,750,944.9214737,900,1000,1086,1100,686.01,956.2966,1271.1147,914.8607,1147.39945,1221.00465,1212.74445,858.64955,962.5372,1131.56935,1413.00025,1088.6069,1111.4554,1298.42155,1327.69265,1530.7376,1402.05565,1208.03225,1263.891,1274.2247,1453.80475,1948.162618,1734.70865,1655.96475,1725.044286,1540.484,1584.083,1621.322571,1507.0587,1584.363143,1600.06,1515.41875,1662.47325,1857.85625,1950,1860.48913,1952.617043,1959.07365,1921.7509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,53484911.97,388455823.3,314926.7303,92,301.8372703,,1.1,1,,,,,
1,0,0,0,0,0,0,0,0,0,0,107.53,184.7,139.61,0,77.65,188.21,156.58,115.02,0,0,0,0,476.24,99.71,0,0,0,0,0,0,0,0,300,580,396.528,364.44,418.68,549.34,530,650,516.55,521.73,750,932.701,900,900,1086,1100,600,914.5403,1250.16885,878.03185,1132.449975,1210.171575,1197.602475,823.079525,927.0276,1112.630425,1406.886375,1063.38895,1081.9907,1288.740525,1308.320575,1521.0508,1384.652075,1175.787375,1222.9655,1227.07385,1413.006125,1948.162618,1725.413575,1640.381125,1722.682857,1540.242,1582.1165,1617.207714,1500.09085,1581.171095,1600.04,1505.728125,1651.392875,1850.294375,1950,1860.391304,1951.192435,1952.291075,1912.35095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,51186585.61,334970911.3,271565.7419,91,298.5564304,,1.1,1,,,,,
1,0,0,0,0,0,0,0,0,0,0,104.3041,179.159,0,0,75.3205,182.5637,112.2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.852,571.967,393.472,278.574,400,458.9395,521.9275,608.739,508.428,507.1085,748.577,900,892.8955,619.3965,1085.7745,988.871,583.5815,872.784,1229.223,841.203,1117.5005,1199.3385,1182.4605,787.5095,891.518,1093.6915,1400.7725,1038.171,1052.526,1279.0595,1288.9485,1511.364,1367.2485,1143.5425,1182.04,1179.923,1372.2075,1889.717739,1716.1185,1624.7975,1720.321429,1540,1580.15,1613.092857,1493.123,1577.979048,1600.02,1496.0375,1640.3125,1842.7325,1950,1860.293478,1949.767826,1945.5085,1902.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,49427271.47,283784325.7,230068.0398,90,295.2755906,,1.45,0.97,,,,,
1,0,0,0,0,0,0,0,0,0,0,104.3041,179.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.587,571.967,269.671,0,185.1505,274.7025,379.7985,451.907,404.811,430.8095,535.6445,856.6455,589.106,453.705,1085.7745,820.758,469.655,694.5645,839.0715,648.6285,979.678,1102.5655,1006.735,760.38,824.8905,940.7165,1005.198,862.3875,742.9365,938.0485,1172.528,1259.6295,1062.647,1046.7695,975.4585,1121.836,1301.5925,1833.026207,1545.4535,1597.3635,1717.96,1466.7475,1578.1835,1608.978,1421.7105,1574.787,1600,1351.5305,1547.585,1729.6325,1865.0335,1860.195652,1948.343217,1921.7575,1825.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,43596978.08,234357054.2,189996.639,89,291.9947507,,1.45,0.97,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571.967,150.2635,0,0,88.305,264.8425,250.676,320.2615,297.6995,456.1845,340.721,375.7965,335.791,1085.7745,510.748,446.629,613.64,359.513,440.597,792.715,823.02,783.58,733.99,763.657,886.8055,731.177,642.4805,572.5035,720.534,1021.3945,1073.6815,896.071,1008.4315,807.7805,1037.939,1161.6095,1778.035421,1363.0725,1573.1195,1459.802,1340.2495,1576.217,1311.7425,1284.1055,1378.3845,1412.503,1194.6405,1495.617,1684.465,1799.4355,1860.097826,1946.918609,1898.253,1794.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,37259811.51,190760076.2,154651.941,88,288.7139108,,1.45,0.97,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.433,237.1765,456.1845,204.4355,227.7515,193.1545,1085.7745,258.1725,446.629,541.285,272.484,400.606,607.7675,615.3075,716.068,704.4825,691.389,824.818,609.3045,522.29,537.6455,658.5465,910.165,930.32,807.505,968.4405,764.1645,862.837,1102.0725,1724.694358,1231.4705,1554.487,1116.0795,1176.443,1574.2505,1120.0815,1054.324,1261.587,1190.305,1126.07,1464.9205,1661.236,1742.001,1860,1945.494,1876.3,1763.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,32799759.42,153500264.7,124444.8752,87,285.4330709,,1.45,0.97,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.8985,155.6575,456.1845,0,0,180,1085.7745,116.8845,446.629,411.4085,238.5685,400.606,273.673,337.328,644.583,668.8415,569.6325,768.9785,579.6955,489.955,526.379,592.8035,715.981,750.3605,716.619,942.297,731.09,799.095,1056.5715,1141.933,1072.0285,1529.7935,962.6405,1057.282,1444.3305,992.757,881.9625,1187.6225,1022.221,1035.4305,1303.753,1596.885,1694.412,1787.5455,1880.5485,1847.503,1724.0645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,29036927.04,120700505.2,97853.63786,86,282.152231,,1.45,0.97,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.351,124.8885,456.1845,0,0,0,0,0,446.629,294.93,195.4165,400.606,179.3505,158.224,453.734,604.824,569.6325,706.933,521.7825,439.205,511.2265,536.0215,538.2835,307.3565,553.03,864.3885,694.9705,773.198,913.935,686.5895,810.5355,1294.908,806.316,852.426,1034.053,935.946,853.499,1110.033,945.0665,971.4275,1152.547,1490.02,1518.0195,1725.1955,1773.6545,1816.1395,1696.1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,24333192.72,91663578.19,74312.98294,85,278.8713911,,1.45,0.97,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.629,252.3725,133.226,400.606,0,98.7015,252.793,543.576,569.6325,570.9085,444.9905,363.6455,495.3635,491.115,449.3695,130.094,259.898,769.6165,659.8805,733.004,659.17,326.4095,515.8085,567.269,634.665,596.733,564.6155,890.9525,829.9365,914.0075,912.8765,911.6005,1065.6485,1339.7565,1338.901,1540.9585,1725.5725,1788.314,1667.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28,19604586.51,67330385.47,54585.71316,84,275.5905512,,1.45,0.97,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.6395,400.606,0,95.8305,152.54,476.354,569.6325,331.354,238.583,300.3965,477.978,424.415,327.5405,74.7765,168.0115,494.9865,625.6315,686.4155,504.716,200.4045,253.0395,186.5715,478.4275,290.5075,315.955,846.3215,808.172,813.3775,878.3955,833.344,958.2905,979.011,1231.746,1290.2535,1497.618,1761.721,1618.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,29,15667625.92,47725798.97,38691.99255,83,272.3097113,,1.45,0.97,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.016,569.6325,222.633,157.441,251.0965,437.8855,337.009,222.6185,0,0,279.734,590.73,607.0425,194.4305,0,127.078,76.0525,172.3325,195.663,197.8525,725.5365,776.7215,678.0345,824.4845,782.1155,869.0865,732.279,776.1415,1057.3545,1179.3285,1722.3825,1572.4525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30,11979863.26,32058173.05,25990.02257,82,269.0288714,,1.45,0.97,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.3255,271.614,249.574,0,0,0,222.6765,549.434,483.0385,0,0,0,0,86.652,195.663,155.411,479.631,672.713,321.523,737.383,703.6705,679.267,448.3545,409.1465,465.8995,338.4445,1345.368,1543.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,31,7821759.682,20078309.79,16277.7749,81,265.7480315,,1.45,0.97,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.3775,184.3095,140.2585,0,0,0,171.0275,493.203,333.036,0,0,0,0,0,195.663,111.0555,279.1685,672.713,163.9515,559.8015,637.6955,398.518,219.1095,382.0895,234.2185,138.33,1121.401,1355.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32,5946631.896,12256550.11,9936.561684,80,262.4671916,,1.45,0.97,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.105,88.7835,0,0,0,159.4855,187.166,181.6705,0,0,0,0,0,195.663,111.0555,0,0,0,374.5205,576.9695,217.6595,178.611,382.0895,0,108.924,668.6385,1120.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,33,3627975.439,6309918.21,5115.541565,79,259.1863517,,1.45,0.97,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.663,111.0555,0,0,0,177.219,576.9695,0,0,0,0,102.3845,252.938,948.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,34,1964692.457,2681942.771,2174.289628,78,255.9055118,,1.45,0.97,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.3845,100,630.9095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35,717250.3134,717250.3134,581.4851586,77,252.6246719,,1.45,0.97,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,36,0,0,0,76,249.343832,,1,0.97,,,,,229.6587927
