$ QGT_MCN_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_MCN_2011_2015_daily_ave.csv ; all outlets scaled to total flow from MCNARY_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 41754, 42296 that are  2, 21 days long
"JDAY","POWER","SB1","SB2","SB3","SB4","SB5","SB6","SB7","SB8","SB9","SB10","SB11","SB12","SB13","SB14","SB15","SB16","SB17","SB18","SB19","SB20","SB21","SB22","MISC"
42.000000,4590.054,0,0,0,0,81.061,0,81.177,0,81.833,0,81.148,0,82.759,81.078,101.914,94.863,102.505,115.816,103.216,101.959,0,0,0
43.000000,4930.952,0,0,0.467,0.572,55.359,0,99.795,0,105.459,0,109.863,0,112.321,99.67,111.777,118.803,112.346,130.569,112.989,111.844,44.541,0,0
44.000000,5009.24,0,0,0,0,0,0,20.407,0,40.939,0,60.268,0,61.403,20.51,75.225,23.679,75.58,84.067,80.694,75.234,20.831,0,0
45.000000,4054.566,53.551,0,99.932,54.341,0,0,117.267,53.598,117.432,53.586,116.233,57.413,116.828,107.904,115.965,117.28,109.409,111.068,103.78,100.942,64.997,5.334,0
46.000000,3536.5,143.227,0,228.123,133.174,0,0,134.544,131.78,132.243,122.528,122.802,122.047,122.074,111.531,121.957,111.189,113.69,111.098,114.597,111.196,61.008,61.817,0
47.000000,4059.792,144.466,0,248.793,139.495,0,0,139.561,137.723,138.424,133.593,133.901,133.05,133.083,114.961,132.955,115.292,117.325,115.277,117.03,115.833,27.55,27.713,0
48.000000,4778.309,83.753,1.675,144.444,83.702,0,0,127.88,78.314,126.877,77.46,125.061,124.707,125.662,127.34,127.854,126.896,128.299,103.128,93.989,103.307,59.903,47.887,0
49.000000,4911.892,0,0,0,0,0,0,109.797,0,110.38,0,107.719,34.597,109.094,117.423,110.963,127.805,116.686,128.769,110.419,118.104,117.69,34.469,0
50.000000,4993.319,0,0,0,0,0,0,45.167,0,59.589,0,73.103,0,74.155,45.519,73.801,52.425,101.437,121.843,116.023,112.28,45.232,0,0
51.000000,5019.564,0,0,0,0,0,0,26.37,0,50.801,0,72.037,0,73.233,26.715,94.418,31.466,96.082,107.412,102.285,94.95,26.217,0,0
52.000000,5339.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.13,0,92.26,98.43,100.309,92.169,0,0,0
53.000000,4469.508,0,0,0,0,0,0.533,5.834,0,17.227,0,26.855,0,27.388,5.822,72.633,6.708,72.376,77.704,77.829,72.066,5.798,0,0
54.000000,4227.65,0,0,0,0,0,0,103.835,62.397,103.569,0,103.587,0,105.688,103.798,105.593,119.796,104.658,119.902,103.645,103.61,43.909,0.222,0
55.000000,4182.108,0,0,0,0,0,0,102.662,50.788,102.385,0,102.419,0,104.496,103.249,104.435,118.141,103.758,117.637,102.469,102.479,54.198,0,0
56.000000,4535.602,0,0,0,0,0,0,117.021,0,116.711,0,116.801,0,119.105,117.8,119.157,135.413,118.337,135.083,116.853,116.926,117.312,0,0
57.000000,3959.645,0,0,0,0,0,0,102.321,0,102.048,0,102.173,0,104.144,103.028,104.223,118.328,103.485,118.075,102.182,102.267,102.498,0,0
58.000000,4120.205,0,0,0,0,0,0,106.767,0,106.467,0,106.536,0,108.65,107.468,108.682,122.641,107.969,122.353,106.617,106.664,106.945,0,0
59.000000,4386.137,0,0,0,0,0,0,112.019,0,111.707,0,115.638,74.59,115.59,127.024,118.647,133.35,128.443,133.051,99.404,127.191,127.858,76.928,0
60.000000,4655.542,88.472,161.994,162.118,88.936,52.957,88.293,135.081,0,135.458,88.283,122.309,120.521,118.583,128.688,122.22,129.158,130.294,85.934,47.848,55.666,56.057,47.084,0
61.000000,4010.624,45.855,82.674,82.841,46.097,109.479,45.754,110.78,0,111.238,45.788,102.301,37.587,101.056,101.508,102.303,110.227,102.68,72.922,64.747,63.212,0,1.13,0
62.000000,4617.731,0,0,0,0,98.752,0,99.586,0,100.063,0,99.682,0,98.3,98.53,99.261,115.401,99.624,115.306,64.104,98.287,35.45,0,0
63.000000,4501.635,0,0,0,0,115.668,0,114.654,0,115.63,0,118.105,68.59,116.025,116.676,116.508,127.356,115.154,127.484,0,116.966,116.521,81.366,0
64.000000,4150.308,0,0,0,0,106.27,0,105.347,0,106.225,0,108.451,51.756,106.428,107.314,106.869,115.961,105.128,117.611,0,107.322,107.065,88.122,0
65.000000,4453.45,0,0,0,0,111.447,0,110.462,0,111.415,0,113.743,0,111.592,112.537,112.072,128.894,110.25,127.769,0,112.522,112.195,0,0
66.000000,4331.278,0,0,0,0,107.859,0,106.916,0,107.835,0,110.092,0,108.012,108.871,108.418,124.743,106.678,123.612,0,108.864,108.62,0,0
67.000000,4268.852,0,0,0,0,106.572,0,105.653,0,106.573,0,108.791,0,106.728,107.54,107.09,123.267,105.39,122.132,0,107.555,107.337,0,0
68.000000,4447.778,0,0,0,0,109.48,0,108.534,0,109.509,0,111.686,0,109.655,110.476,110.017,126.358,108.282,125.303,0,110.499,110.285,0,0
69.000000,4541.043,0,0,0,0,110.636,0,109.676,0,110.641,0,112.847,0,110.81,111.676,111.234,129.74,109.462,129.108,0,111.687,111.446,0,0
70.000000,4641.17,0,0,0,0,91.144,0,91.132,0,91.272,0,92.091,0,90.171,91.528,91.363,108.414,91.3,108.797,0,92.12,91.368,0,0
71.000000,4150.384,0,0,0,0,104.644,0,104.694,0,104.82,0,105.693,0,103.006,104.992,104.945,124.806,104.814,125.199,0,105.713,104.896,0,0
72.000000,4201.815,11.804,18.734,18.81,13.656,112.783,11.604,109.234,0,109.331,11.75,110.253,11.572,110.304,110.4,109.489,113.415,111.121,100.513,0,98.456,98.34,0,0
73.000000,4869.443,0,0,0,0,128.699,0,126.159,0,126.306,0,127.358,4.583,127.9,127.874,126.541,128.669,129.264,126.984,0,127.373,127.488,7.919,0
74.000000,4107.521,0,0,0,0,108.745,0,106.626,0,106.721,0,123.5,113.275,123.713,126.26,123.685,128.952,126.573,129.98,0,126.721,126.991,115.29,0
75.000000,3947.2,0,0,0,0,104.091,0,102.06,0,102.153,0,114.733,63.366,113.654,113.656,113.745,114.307,113.885,114.51,0,114.182,114.237,0,0
76.000000,4502.954,78.692,130.387,131.732,78.846,128.784,78.739,127.768,0,115.548,64.931,126.141,124.833,125.113,124.203,125.027,124.459,124.61,59.287,0,130.57,59.277,2.536,0
77.000000,4103.848,0,0,0,0,103.434,0,103.781,0,103.98,31.504,117.485,108.917,125.369,121.118,125.451,135.538,123.598,135.404,0.082,80.912,120.155,117.262,0
78.000000,4584.648,0,0,0,0,114.141,0,114.448,0,114.734,0,113.452,0,113.41,114.711,113.838,132.897,113.467,132.925,0,0,112.124,113.05,0
79.000000,4908.424,0,0,0,0,49.993,0,56.678,0,61.012,0,60.352,0,60.333,50.249,73.385,68.191,77.44,85.487,0,0,49.136,49.544,0
80.000000,4807.687,0,0,0,0,57.422,0,58.135,0,58.252,0,74.16,58.093,72.494,57.759,73.357,66.632,72.382,83.707,0,0,58.874,0,0
81.000000,4742.02,0,0,0,0,12.433,0,12.504,0,12.371,0,49.297,12.517,48.443,12.359,48.816,14.325,48.436,55.5,0,0,12.475,0,0
82.000000,4769.176,0.023,0,0,0,109.023,14.918,108.839,0,107.665,15.947,113.832,112.941,113.175,113.906,113.161,131.817,114.028,131.694,0,0,113.751,0,0
83.000000,4691.653,0,0.07,0.101,10.646,110.788,23.893,109.623,0,108.431,27.547,110.623,108.816,108.401,114.714,109.98,132.053,105.585,131.438,0,0,110.971,0,0
84.000000,4678.451,0,0,0,48.682,108.291,107.559,106.241,0,105.104,103.363,107.212,105.475,105.062,125.696,107.953,142.146,108.67,138.026,0,0,106.006,0,0
85.000000,4559.891,0,0,0,47.983,109.019,108.33,107.083,0,105.922,104.092,108.004,106.285,105.874,125.292,108.665,140.759,109.361,136.852,0,0,106.818,0,0
86.000000,4655.839,0,0,0,41.115,107.323,83.138,105.312,0,104.198,79.884,106.25,104.443,104.151,120.599,106.949,136.701,107.686,133.636,0,0,105.073,0,0
87.000000,4882.512,0,0,0,0,122.416,0,120.695,0.263,119.457,0,121.777,118.988,119.397,122.205,122.552,132.555,122.431,133.155,0.069,0,119.451,0,0
88.000000,4571.824,0.035,0,0,35.23,73.239,36.02,72.577,35.295,71.677,0.533,123.373,121.941,122.149,122.991,123.044,135.123,122.56,135.546,0.785,0,122.028,82.834,0
89.000000,4758.01,0,0,0,0,109.728,0,108.133,0,106.527,0,129.608,131.671,129.605,130.033,129.903,142.563,129.765,143.12,0,0,130.016,131.991,0
90.000000,4818.961,58.33,101.14,101.07,57.608,120.825,57.976,120.377,56.616,118.176,57.153,127.62,129.534,128.246,124.491,127.842,130.833,127.935,105.666,0,0,74.915,76.657,0
91.000000,3620.685,216.082,336.603,336.608,181.453,170.328,181.447,172.071,175.137,173.462,185.079,174.458,184.959,181.335,192.658,183.767,193.045,188.129,192.052,0,0,178.946,175.184,0
92.000000,3909.041,241.91,370.993,369.237,198.943,193.593,198.317,193.683,203.961,198.513,220.129,198.243,218.872,219.881,239.083,220.257,240.744,227.271,241.324,0,0,221.881,219.886,0
93.000000,3819.487,310.155,397.361,360.342,231.541,228.822,231.259,229.614,232.035,228.661,232.851,228.699,233.043,264.225,232.295,267.577,267.485,267.548,267.46,0,0,267.516,229.753,0
94.000000,3595.696,265.671,345.707,338.017,215.221,202.952,214.951,202.609,224.602,209.568,225.383,209.465,225.636,208.368,230.89,232.063,231.659,235.66,232.395,0,0,226.19,208.587,0
95.000000,3806.808,324.688,410.018,367.745,238.001,237.122,237.707,237.077,252.159,252.532,253.109,252.274,256.627,280.931,296.968,298.203,295.759,310.421,296.893,0,0,280.715,257.159,0
96.000000,3746.757,321.353,408.761,374.192,232.93,232.256,232.238,232.179,237.056,232.346,246.869,242.081,238.488,271.863,278.217,283.189,284.254,228.87,287.37,0,0,271.892,250.884,0
97.000000,3741.445,250.117,360.039,358.654,195.983,191.463,193.58,191.436,207.226,190.273,209.242,191.633,207.215,208.016,225.165,210.136,225.692,225.821,226.019,0,0.206,208.007,207.702,0
98.000000,4173.11,227.248,341.997,342.56,189.215,174.797,188.509,166.236,180.712,166.018,182.838,165.951,180.635,164.831,174.989,165.334,166.014,166.173,166.118,0,0,164.418,163.203,0
99.000000,3987.371,225.002,320.965,336.02,191.478,175.354,191.098,175.505,189.591,185.419,188.644,185.746,187.414,184.629,191.86,184.547,194.159,194.36,194.321,65.323,50.364,183.589,174.423,0
100.000000,4010.399,199.862,201.614,245.46,199.29,198.925,199.14,199.484,199.137,200.991,200.505,200.698,199.267,199.833,172.657,198.997,199.765,199.596,201.071,244.313,230.288,199.084,154.242,0
101.000000,3926.864,199.92,201.706,244.776,173.56,199.023,173.249,199.578,172.709,201.089,174.276,200.787,173.623,187.054,164.28,199.073,173.996,199.681,203.743,236.625,228.713,173.629,153.879,0
102.000000,3787.494,179.265,180.08,248.014,215.233,225.843,180.258,191.845,155.46,177.539,157.211,180.122,156.974,166.049,157.28,178.165,157.29,179.43,205.143,237.521,228.253,203.76,155.791,0
103.000000,3441.168,146.118,146.516,229.644,250.425,229.578,187.601,182.503,176.294,176.622,171.061,170.961,148.539,157.436,171.303,176.05,177.101,176.627,189.747,222.323,212.904,229.459,145.382,0
104.000000,3524.241,143.149,143.863,210.191,264.526,230.619,187.806,163.771,162.87,160.375,159.726,149.155,143.907,148.508,153.95,158.934,164.709,164.35,189.657,234.862,221.899,210.017,143.108,0
105.000000,3931.689,112.246,114.143,201.887,279.236,208.866,161.136,152.177,150.62,152.764,148.479,145.814,134.154,143.694,145.804,151.86,153.066,152.759,161.212,247.672,233.656,203.055,112.194,0
106.000000,3836.425,59.5,62.138,161.362,281.558,162.004,114.211,112.973,111.083,102.228,94.443,63.555,62.371,62.355,79.988,100.361,104.299,112.758,112.963,249.874,235.771,161.913,59.302,0
107.000000,4316,60.336,104.522,166.054,287.01,166.951,115.815,115.8,115.799,116.565,115.593,108.842,108.186,108.611,114.765,115.944,115.61,115.72,115.428,254.794,240.374,167.331,77.986,0
108.000000,4081.948,92.585,101.799,191.648,275.867,190.854,144.557,140.264,138.393,138.361,133.577,110.51,110.897,113.132,110.703,137.891,138.341,137.907,143.782,244.934,231.072,190.872,95.979,0
109.000000,4144.961,70.56,74.913,169.498,275.575,169.664,123.085,117.366,113.132,113.75,113.334,110.421,90.814,110.454,110.55,112.339,112.922,112.786,121.865,264.57,251.837,169.588,69.527,0
110.000000,4042.469,121.873,123.025,219.853,203.431,174.753,154.614,153.508,136.816,149.893,134.742,135.545,122.068,135.53,122.296,149.822,149.779,149.676,155.352,269.526,260.575,175.588,124.163,0
111.000000,4000.333,127.856,129.722,239.632,151.872,150.098,149.877,150.112,138.052,149.944,149.859,149.921,138.011,149.87,128.823,150.133,149.906,149.655,150.407,262.653,253.858,151.969,129.09,0
112.000000,3998.957,133.026,133.423,219.606,151.925,138.646,137.311,138.44,134.965,138.063,138.109,144.985,135.96,138.025,130.919,137.98,149.984,149.666,150.458,228.414,219.596,152.026,129.789,0
113.000000,4090.405,132.428,132.454,207.077,139.269,133.298,123.476,132.933,123.248,126.262,124.76,140.456,124.098,125.694,125.995,132.129,146.131,145.706,153.948,225.924,216.914,147.51,132.091,0
114.000000,4156.911,136.271,122.837,194.356,94.972,119.266,112.55,117.669,111.035,113.811,113.708,119.765,111.012,114.008,113.05,118.536,118.886,118.882,125.066,244.884,232.41,137.023,135.908,0
115.000000,3964.851,134.034,128.79,200.48,129.969,128.598,123.234,129.144,121.875,125.327,123.008,131.491,121.818,125.482,122.747,129.042,141.435,142.599,147.707,259.941,250.857,146.365,133.854,0
116.000000,4059.405,134.76,128.928,213.985,136.817,129.888,127.911,135.709,126.344,129.859,127.84,143.322,127.576,135.519,127.205,128.078,143.307,143.303,143.586,253.877,243.405,151.305,135.568,0
117.000000,4150.616,134.417,134.859,209.022,136.705,126.029,125.788,126.087,125.498,126.019,125.587,126.568,125.053,124.548,124.138,125.41,137.051,137.493,136.761,239.84,226.715,155.497,135.231,0
118.000000,4179.147,125.268,124.877,206.138,127.262,122.921,122.716,122.66,120.165,123.348,122.882,123.901,120.138,121.441,120.542,122.915,132.075,132.478,134.758,241.991,228.998,150.856,135.682,0
119.000000,4047.728,132.113,122.947,192.134,86.72,110.873,110.548,110.41,89.365,111.877,111.061,111.776,106.807,109.688,110.94,111.268,113.459,113.634,114.453,233.755,220.279,152.63,133.311,0
120.000000,3954.244,138.863,116.52,190.276,63.255,115.768,86.753,115.292,75.954,116.846,81.772,116.749,80.17,114.534,106.3,116.191,96.793,116.885,116.196,256.748,243.754,141.326,140.182,0
121.000000,3985.014,130.054,108.849,179.091,56.316,108.13,106.486,107.687,90.557,109.164,106.995,109.073,106.721,106.994,106.445,108.564,106.549,109.2,108.565,263.666,254.81,132.392,131.316,0
122.000000,4103.494,133.634,120.738,191.895,96.833,119.791,119.021,119.769,108.847,121.272,118.989,120.25,119.017,119.131,118.629,119.802,122.864,124.468,128.905,273.191,264.094,144.221,134.913,0
123.000000,4115.464,134.063,120.13,191.756,103.959,116.392,109.232,115.642,110.441,114.325,111.565,116.534,110.841,112.711,111.494,115.579,116.304,114.816,120.878,255.75,246.634,136.88,135.346,0
124.000000,4266.032,138.734,116.463,189.817,80.844,116.132,113.025,116.128,100.932,116.355,115.453,116.262,114.712,113.496,115.365,114.849,116.323,115.108,116.151,271.013,258.552,141.656,140.065,0
125.000000,4111.205,134.016,110.926,182.025,81.834,110.58,109.026,111.196,94.992,112.615,110.886,112.525,109.99,109.698,110.801,111.195,111.321,111.452,112.454,262.194,248.465,135.617,135.416,0
126.000000,4253.241,138.281,115.547,187.592,103.33,112.995,113.163,114.425,112.039,115.954,113.212,115.856,112.921,112.967,113.14,114.522,115.981,115.18,116.165,267.832,253.764,137.464,138.739,0
127.000000,4206.836,135.903,114.42,183.962,111.76,111.431,111.608,112.853,111.881,114.346,111.66,114.248,111.377,111.387,111.565,112.937,114.32,113.592,114.54,262.934,249.051,135.109,136.325,0
128.000000,4209.661,136.385,114.574,185.102,111.273,111.578,111.734,112.972,111.652,114.473,111.77,114.377,111.484,111.525,111.712,113.067,114.464,113.729,114.707,256.436,245.111,135.583,136.832,0
129.000000,3976.401,138.702,141.503,226.782,133.014,150.223,150.459,151.136,136.487,150.159,149.491,151.141,145.549,149.815,142.016,149.1,142.698,175.446,175.648,260.172,251.085,147.201,148.249,0
130.000000,4093.925,161.579,155.631,223.182,129.638,139.936,136.35,153.067,122.871,136.521,130.222,151.826,125.511,141.863,136.628,136.304,143.033,161.033,161.371,250.144,237.504,150.777,144.251,0
131.000000,4221.033,156.213,153.412,226.5,134.395,140.235,132.687,145.462,131.116,140.782,131.714,141.41,130.705,140.118,132.035,134.632,142.203,153.186,157.827,234.359,220,159.001,146.53,0
132.000000,3837.812,187.562,189.383,238.335,182.745,189.939,180.184,190.252,180.178,181.6,179.853,189.693,181.055,182.636,170.653,180.699,182.525,204.282,205.065,221.002,207.897,178.691,149.427,0
133.000000,3742.805,244.788,245.286,290.412,249.913,249.635,244.266,249.254,245.01,244.49,244.014,249.011,249.917,249.894,243.212,250,250.727,252.86,249.734,231.798,218.164,249.53,165.118,0
134.000000,3657.574,242.156,242.427,286.133,285.345,284.976,241.533,277.67,242.372,241.85,241.268,277.451,285.357,285.444,285.152,285.294,285.331,286.225,285.305,224.825,211.601,285.235,198.658,0
135.000000,3640.813,317.121,315.533,330.35,328.375,329.794,321.25,326.162,324.989,319.13,324.921,328.252,337.956,333.538,338.247,333.837,338.125,333.642,338.147,240.937,229.172,318.818,262.044,0
136.000000,3485.551,378.49,384.046,379.247,384.863,378.912,384.513,379.804,385.994,379.838,387.298,382.287,387.416,385.996,386.344,386.172,383.406,383.757,383.821,272.726,264.826,379.792,380.632,0
137.000000,3722.59,390.422,390.105,391.876,390.761,390.806,391.145,390.971,391.72,390.845,390.528,390.401,390.187,390.157,391.168,390.269,389.752,389.42,390.035,273.76,266.087,383.296,384.299,0
138.000000,3861.821,365.556,364.585,364.82,364.455,359.886,360.223,360.234,367.187,369.439,369.41,369.128,367.365,368.158,369.916,368.196,369.528,368.433,369.71,262.482,251.067,369.697,368.345,0
139.000000,3985.62,378.476,384.031,377.784,384.156,375.2,380.958,374.031,383.558,378.034,385.218,377.558,383.893,377.732,385.364,382.368,387.306,386.352,388.43,256.594,243.198,387.776,366.005,0
140.000000,3805.066,346.775,350.582,347.055,350.85,347.623,350.029,347.577,358.154,351.228,358.522,356.316,359.281,358.421,359.404,358.941,359.693,358.861,361.027,216.649,207.843,359.557,359.878,0
141.000000,3862.569,382.722,394.992,388.904,395.738,389.314,393.667,391.618,395.057,390.815,395.459,390.919,395.339,391.229,388.553,383.629,387.455,380.715,383.534,212.796,202.855,387.329,385.812,0
142.000000,3881.317,387.078,387.943,409.399,388.295,410.124,388.33,410.071,387.594,409.256,388.143,409.502,388.051,408.414,390.426,387.309,386.416,386.303,386.136,211.753,201.195,408.202,408.98,0
143.000000,4013.281,286.14,437.644,438.379,438.283,439.456,439.588,441.62,461.35,459.985,458.562,458.697,458.629,455.771,457.227,455.83,468.214,467.935,469.303,226.361,217.73,471.661,468.244,0
144.000000,4017.322,0,437.816,438.199,437.998,438.016,439.056,447.165,445.695,447.416,446.485,446.471,464.646,464.543,465.995,464.789,480.854,480.906,488.264,226.69,217.745,487.909,481.15,0
145.000000,4241.316,0,446.574,446.977,478.039,463.152,477.797,463.377,477.47,463.781,479.557,463.807,488.063,472.26,489.088,472.855,473.499,489.123,487.073,237.654,228.319,488.788,482.983,0
146.000000,4066.884,0,429.028,428.275,443.121,428.345,463.195,427.913,442.583,428.604,443.604,432.36,440.011,423.918,439.976,424.632,425.482,465.697,463.776,226.911,217.91,465.427,439.006,0
147.000000,4179.945,0,462.066,481.71,461.704,481.962,473.665,481.417,478.073,471.968,479.655,482.559,479.367,471.992,480.113,481.889,488.182,489.771,474.215,227.844,218.726,475.967,489.339,0
148.000000,3947.228,0,452.954,456.363,452.98,459.098,483.326,483.691,482.633,494.967,493.548,493.389,493.408,493.578,462.3,487.4,483.79,483.844,454.297,227.598,215.198,455.953,454.047,0
149.000000,4072.784,0,463.837,485.929,463.891,504.57,507.921,507.805,507.739,509.246,507.887,507.702,507.722,507.955,505.296,508.578,508.499,507.639,464.265,222.893,209.397,465.926,463.988,0
150.000000,3906.86,0,465.634,469.178,465.691,483.532,470.273,487.561,468.347,489.986,470.286,493.425,473.178,493.5,476.552,496.26,477.165,509.648,466.082,219.744,207.048,467.736,486.443,0
151.000000,4014.375,0,419.064,456.974,418.751,457.573,420.555,457.715,430.795,461.952,446.266,462.024,445.222,460.918,446.615,461.275,448.162,461.713,459.331,219.163,210.139,460.953,475.215,0
152.000000,3935.714,0,440.021,440.354,440.376,440.372,441.724,441.908,443.193,457.696,456.474,457.192,456.111,456.036,456.29,456.311,456.698,455.608,456.633,224.309,213.361,458.269,454.601,0
153.000000,3995.166,0,429.11,437.85,446.776,438.032,447.101,442.807,446.008,442.253,447.421,442.578,447.285,442.682,447.426,442.744,447.289,441.87,450.52,232.828,219.559,441.339,448.097,0
154.000000,3950.596,0,454.19,462.833,467.391,463.284,468.143,468.006,467.987,467.875,471.189,475.171,477.753,477.722,480.243,477.856,480.207,477.89,480.189,239.476,226.068,470.284,472.276,0
155.000000,3953.751,0,456.986,462.252,457.079,469.042,469.236,469.279,467.693,469.082,481.807,484.099,483.405,482.92,484.133,483.73,484.151,490.394,508.276,235.922,222.587,486.687,497.861,0
