$MCN Elev-Tailwater CBT-REV [m=>ft},,
CY2011-2015,,12/31/2010
JDAY,ElevFT,
40821,266.3090636,
40822,266.7683812,
40823,266.9816358,
40824,266.4009272,
40825,266.3812421,
40826,267.2211372,
40827,267.6509272,
40828,267.4015834,
40829,266.669956,
40830,267.0997461,
40831,267.5196936,
40832,267.450796,
40833,267.2998773,
40834,266.5387224,
40835,266.4206122,
40836,266.5288799,
40837,266.6797986,
40838,266.8897723,
40839,266.6207434,
40840,266.1187749,
40841,266.1089324,
40842,266.1712684,
40843,266.1286174,
40844,266.1286174,
40845,266.1089324,
40846,265.7086699,
40847,265.1804547,
40848,265.5413471,
40849,265.2690374,
40850,264.7605072,
40851,264.7309796,
40852,265.029536,
40853,264.3405596,
40854,264.291347,
40855,264.9704809,
40856,264.5899035,
40857,264.6916095,
40858,264.701452,
40859,264.8884599,
40860,264.8195623,
40861,265.5708746,
40862,265.6397723,
40863,264.9507959,
40864,265.5905597,
40865,265.6004022,
40866,265.4691686,
40867,265.111557,
40868,265.3215308,
40869,265.3510584,
40870,265.2985649,
40871,265.009851,
40872,265.0689061,
40873,265.1902972,
40874,264.7998772,
40875,264.9704809,
40876,264.6292736,
40877,264.8687749,
40878,264.8294048,
40879,264.7605072,
40880,264.3700872,
40881,264.8884599,
40882,264.5308484,
40883,265.0196935,
40884,264.701452,
40885,264.8786174,
40886,264.7801922,
40887,265.0984337,
40888,264.990166,
40889,265.0000085,
40890,265.111557,
40891,265.2001397,
40892,265.439641,
40893,265.2985649,
40894,264.7900347,
40895,264.1109008,
40896,263.9009271,
40897,264.3996148,
40898,264.6916095,
40899,264.169956,
40900,264.701452,
40901,264.8392473,
40902,264.9212683,
40903,265.5610321,
40904,265.6200872,
40905,265.2690374,
40906,265.009851,
40907,265.009851,
40908,265.4494836,
40909,265.2001397,
40910,265.3805859,
40911,264.8786174,
40912,265.3609009,
40913,264.9409534,
40914,264.2388536,
40915,263.4284861,
40916,262.959326,
40917,263.5400347,
40918,264.4094573,
40919,264.1601134,
40920,263.7007958,
40921,264.1305859,
40922,264.5308484,
40923,264.169956,
40924,264.3897722,
40925,264.3700872,
40926,264.2815045,
40927,265.1902972,
40928,265.009851,
40929,264.8097198,
40930,264.3799297,
40931,263.9895098,
40932,264.6292736,
40933,264.189641,
40934,264.2585386,
40935,264.580061,
40936,264.7998772,
40937,264.9606384,
40938,264.3307171,
40939,264.5111633,
40940,263.8484336,
40941,263.9206121,
40942,263.9402972,
40943,264.5899035,
40944,264.7112946,
40945,264.1601134,
40946,264.7703497,
40947,264.3799297,
40948,264.8589324,
40949,264.8884599,
40950,265.6200872,
40951,265.2690374,
40952,265.419956,
40953,265.1804547,
40954,265.3805859,
40955,265.6102447,
40956,265.3084074,
40957,264.8490898,
40958,265.2001397,
40959,265.4494836,
40960,265.2395098,
40961,265.4888536,
40962,265.8792736,
40963,266.0597198,
40964,266.0105072,
40965,266.3910846,
40966,265.6594573,
40967,265.439641,
40968,265.1706122,
