                                                                              Part#,Seg#,XLocationwithinSegmentfromUpstreamSide(m),Layer#,VerticalDistfromTop(m),LateralDistfromLeftBank,Branch#,ParticleInModel(=0),JDAYleftsystem,DetentionTime(days),RemovalMechanism,SedVelocity(m/d),DateStart
    199,     62.000,     0.000,   118.000,     1.200,   542.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    200,     62.000,     0.000,   118.000,     1.600,   542.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    201,     62.000,     0.000,   119.000,     0.000,   520.060,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    202,     62.000,     0.000,   119.000,     0.400,   520.060,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    203,     62.000,     0.000,   119.000,     0.800,   520.060,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    204,     62.000,     0.000,   119.000,     1.200,   520.060,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    205,     62.000,     0.000,   119.000,     1.600,   520.060,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    206,     62.000,     0.000,   120.000,     0.000,   493.545,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    207,     62.000,     0.000,   120.000,     0.400,   493.545,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    208,     62.000,     0.000,   120.000,     0.800,   493.545,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    209,     62.000,     0.000,   120.000,     1.200,   493.545,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    210,     62.000,     0.000,   120.000,     1.600,   493.545,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    211,     63.000,     0.000,   100.000,     0.000,   815.050,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    212,     63.000,     0.000,   100.000,     0.400,   815.050,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    213,     63.000,     0.000,   100.000,     0.800,   815.050,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    214,     63.000,     0.000,   100.000,     1.200,   815.050,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    215,     63.000,     0.000,   100.000,     1.600,   815.050,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    216,     63.000,     0.000,   101.000,     0.000,   802.410,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    217,     63.000,     0.000,   101.000,     0.400,   802.410,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    218,     63.000,     0.000,   101.000,     0.800,   802.410,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    219,     63.000,     0.000,   101.000,     1.200,   802.410,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    220,     63.000,     0.000,   101.000,     1.600,   802.410,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    221,     63.000,     0.000,   102.000,     0.000,   791.585,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    222,     63.000,     0.000,   102.000,     0.400,   791.585,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    223,     63.000,     0.000,   102.000,     0.800,   791.585,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    224,     63.000,     0.000,   102.000,     1.200,   791.585,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    225,     63.000,     0.000,   102.000,     1.600,   791.585,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    226,     63.000,     0.000,   103.000,     0.000,   780.350,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    227,     63.000,     0.000,   103.000,     0.400,   780.350,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    228,     63.000,     0.000,   103.000,     0.800,   780.350,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    229,     63.000,     0.000,   103.000,     1.200,   780.350,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    230,     63.000,     0.000,   103.000,     1.600,   780.350,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    231,     63.000,     0.000,   104.000,     0.000,   767.400,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    232,     63.000,     0.000,   104.000,     0.400,   767.400,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    233,     63.000,     0.000,   104.000,     0.800,   767.400,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    234,     63.000,     0.000,   104.000,     1.200,   767.400,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    235,     63.000,     0.000,   104.000,     1.600,   767.400,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    236,     63.000,     0.000,   105.000,     0.000,   752.950,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    237,     63.000,     0.000,   105.000,     0.400,   752.950,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    238,     63.000,     0.000,   105.000,     0.800,   752.950,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    239,     63.000,     0.000,   105.000,     1.200,   752.950,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    240,     63.000,     0.000,   105.000,     1.600,   752.950,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    241,     63.000,     0.000,   106.000,     0.000,   737.625,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    242,     63.000,     0.000,   106.000,     0.400,   737.625,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    243,     63.000,     0.000,   106.000,     0.800,   737.625,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    244,     63.000,     0.000,   106.000,     1.200,   737.625,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    245,     63.000,     0.000,   106.000,     1.600,   737.625,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    246,     63.000,     0.000,   107.000,     0.000,   720.695,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    247,     63.000,     0.000,   107.000,     0.400,   720.695,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    248,     63.000,     0.000,   107.000,     0.800,   720.695,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    249,     63.000,     0.000,   107.000,     1.200,   720.695,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    250,     63.000,     0.000,   107.000,     1.600,   720.695,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    251,     63.000,     0.000,   108.000,     0.000,   702.320,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    252,     63.000,     0.000,   108.000,     0.400,   702.320,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    253,     63.000,     0.000,   108.000,     0.800,   702.320,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    254,     63.000,     0.000,   108.000,     1.200,   702.320,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    255,     63.000,     0.000,   108.000,     1.600,   702.320,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    256,     63.000,     0.000,   109.000,     0.000,   684.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    257,     63.000,     0.000,   109.000,     0.400,   684.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    258,     63.000,     0.000,   109.000,     0.800,   684.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    259,     63.000,     0.000,   109.000,     1.200,   684.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    260,     63.000,     0.000,   109.000,     1.600,   684.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    261,     63.000,     0.000,   110.000,     0.000,   666.610,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    262,     63.000,     0.000,   110.000,     0.400,   666.610,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    263,     63.000,     0.000,   110.000,     0.800,   666.610,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    264,     63.000,     0.000,   110.000,     1.200,   666.610,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    265,     63.000,     0.000,   110.000,     1.600,   666.610,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    266,     63.000,     0.000,   111.000,     0.000,   648.805,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    267,     63.000,     0.000,   111.000,     0.400,   648.805,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    268,     63.000,     0.000,   111.000,     0.800,   648.805,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    269,     63.000,     0.000,   111.000,     1.200,   648.805,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    270,     63.000,     0.000,   111.000,     1.600,   648.805,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    271,     63.000,     0.000,   112.000,     0.000,   631.845,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    272,     63.000,     0.000,   112.000,     0.400,   631.845,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    273,     63.000,     0.000,   112.000,     0.800,   631.845,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    274,     63.000,     0.000,   112.000,     1.200,   631.845,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    275,     63.000,     0.000,   112.000,     1.600,   631.845,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    276,     63.000,     0.000,   113.000,     0.000,   615.395,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    277,     63.000,     0.000,   113.000,     0.400,   615.395,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    278,     63.000,     0.000,   113.000,     0.800,   615.395,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    279,     63.000,     0.000,   113.000,     1.200,   615.395,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    280,     63.000,     0.000,   113.000,     1.600,   615.395,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    281,     63.000,     0.000,   114.000,     0.000,   597.110,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    282,     63.000,     0.000,   114.000,     0.400,   597.110,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    283,     63.000,     0.000,   114.000,     0.800,   597.110,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    284,     63.000,     0.000,   114.000,     1.200,   597.110,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    285,     63.000,     0.000,   114.000,     1.600,   597.110,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    286,     63.000,     0.000,   115.000,     0.000,   578.520,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    287,     63.000,     0.000,   115.000,     0.400,   578.520,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    288,     63.000,     0.000,   115.000,     0.800,   578.520,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    289,     63.000,     0.000,   115.000,     1.200,   578.520,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    290,     63.000,     0.000,   115.000,     1.600,   578.520,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    291,     63.000,     0.000,   116.000,     0.000,   560.265,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    292,     63.000,     0.000,   116.000,     0.400,   560.265,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    293,     63.000,     0.000,   116.000,     0.800,   560.265,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    294,     63.000,     0.000,   116.000,     1.200,   560.265,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    295,     63.000,     0.000,   116.000,     1.600,   560.265,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    296,     63.000,     0.000,   117.000,     0.000,   541.140,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    297,     63.000,     0.000,   117.000,     0.400,   541.140,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    298,     63.000,     0.000,   117.000,     0.800,   541.140,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    299,     63.000,     0.000,   117.000,     1.200,   541.140,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    300,     63.000,     0.000,   117.000,     1.600,   541.140,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    301,     63.000,     0.000,   118.000,     0.000,   521.805,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    302,     63.000,     0.000,   118.000,     0.400,   521.805,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    303,     63.000,     0.000,   118.000,     0.800,   521.805,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    304,     63.000,     0.000,   118.000,     1.200,   521.805,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    305,     63.000,     0.000,   118.000,     1.600,   521.805,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    306,     63.000,     0.000,   119.000,     0.000,   502.005,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    307,     63.000,     0.000,   119.000,     0.400,   502.005,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    308,     63.000,     0.000,   119.000,     0.800,   502.005,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    309,     63.000,     0.000,   119.000,     1.200,   502.005,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    310,     63.000,     0.000,   119.000,     1.600,   502.005,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    311,     63.000,     0.000,   120.000,     0.000,   482.115,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    312,     63.000,     0.000,   120.000,     0.400,   482.115,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    313,     63.000,     0.000,   120.000,     0.800,   482.115,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    314,     63.000,     0.000,   120.000,     1.200,   482.115,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    315,     63.000,     0.000,   120.000,     1.600,   482.115,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    316,     61.000,     0.000,   100.000,     0.000,  1038.410,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    317,     61.000,     0.000,   100.000,     0.400,  1038.410,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    318,     61.000,     0.000,   100.000,     0.800,  1038.410,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    319,     61.000,     0.000,   100.000,     1.200,  1038.410,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    320,     61.000,     0.000,   100.000,     1.600,  1038.410,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    321,     61.000,     0.000,   101.000,     0.000,  1032.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    322,     61.000,     0.000,   101.000,     0.400,  1032.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    323,     61.000,     0.000,   101.000,     0.800,  1032.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    324,     61.000,     0.000,   101.000,     1.200,  1032.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    325,     61.000,     0.000,   101.000,     1.600,  1032.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    326,     61.000,     0.000,   102.000,     0.000,  1024.010,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    327,     61.000,     0.000,   102.000,     0.400,  1024.010,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    328,     61.000,     0.000,   102.000,     0.800,  1024.010,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    329,     61.000,     0.000,   102.000,     1.200,  1024.010,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    330,     61.000,     0.000,   102.000,     1.600,  1024.010,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    331,     61.000,     0.000,   103.000,     0.000,  1012.260,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    332,     61.000,     0.000,   103.000,     0.400,  1012.260,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    333,     61.000,     0.000,   103.000,     0.800,  1012.260,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    334,     61.000,     0.000,   103.000,     1.200,  1012.260,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    335,     61.000,     0.000,   103.000,     1.600,  1012.260,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    336,     61.000,     0.000,   104.000,     0.000,   998.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    337,     61.000,     0.000,   104.000,     0.400,   998.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    338,     61.000,     0.000,   104.000,     0.800,   998.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    339,     61.000,     0.000,   104.000,     1.200,   998.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    340,     61.000,     0.000,   104.000,     1.600,   998.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    341,     61.000,     0.000,   105.000,     0.000,   984.330,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    342,     61.000,     0.000,   105.000,     0.400,   984.330,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    343,     61.000,     0.000,   105.000,     0.800,   984.330,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    344,     61.000,     0.000,   105.000,     1.200,   984.330,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    345,     61.000,     0.000,   105.000,     1.600,   984.330,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    346,     61.000,     0.000,   106.000,     0.000,   969.610,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    347,     61.000,     0.000,   106.000,     0.400,   969.610,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    348,     61.000,     0.000,   106.000,     0.800,   969.610,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    349,     61.000,     0.000,   106.000,     1.200,   969.610,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    350,     61.000,     0.000,   106.000,     1.600,   969.610,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    351,     61.000,     0.000,   107.000,     0.000,   954.565,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    352,     61.000,     0.000,   107.000,     0.400,   954.565,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    353,     61.000,     0.000,   107.000,     0.800,   954.565,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    354,     61.000,     0.000,   107.000,     1.200,   954.565,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    355,     61.000,     0.000,   107.000,     1.600,   954.565,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    356,     61.000,     0.000,   108.000,     0.000,   939.760,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    357,     61.000,     0.000,   108.000,     0.400,   939.760,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    358,     61.000,     0.000,   108.000,     0.800,   939.760,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    359,     61.000,     0.000,   108.000,     1.200,   939.760,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    360,     61.000,     0.000,   108.000,     1.600,   939.760,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    361,     61.000,     0.000,   109.000,     0.000,   925.240,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    362,     61.000,     0.000,   109.000,     0.400,   925.240,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    363,     61.000,     0.000,   109.000,     0.800,   925.240,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    364,     61.000,     0.000,   109.000,     1.200,   925.240,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    365,     61.000,     0.000,   109.000,     1.600,   925.240,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    366,     61.000,     0.000,   110.000,     0.000,   910.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    367,     61.000,     0.000,   110.000,     0.400,   910.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    368,     61.000,     0.000,   110.000,     0.800,   910.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    369,     61.000,     0.000,   110.000,     1.200,   910.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    370,     61.000,     0.000,   110.000,     1.600,   910.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    371,     61.000,     0.000,   111.000,     0.000,   895.925,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    372,     61.000,     0.000,   111.000,     0.400,   895.925,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    373,     61.000,     0.000,   111.000,     0.800,   895.925,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    374,     61.000,     0.000,   111.000,     1.200,   895.925,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    375,     61.000,     0.000,   111.000,     1.600,   895.925,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    376,     61.000,     0.000,   112.000,     0.000,   880.755,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    377,     61.000,     0.000,   112.000,     0.400,   880.755,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    378,     61.000,     0.000,   112.000,     0.800,   880.755,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    379,     61.000,     0.000,   112.000,     1.200,   880.755,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    380,     61.000,     0.000,   112.000,     1.600,   880.755,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    381,     61.000,     0.000,   113.000,     0.000,   866.125,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    382,     61.000,     0.000,   113.000,     0.400,   866.125,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    383,     61.000,     0.000,   113.000,     0.800,   866.125,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    384,     61.000,     0.000,   113.000,     1.200,   866.125,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    385,     61.000,     0.000,   113.000,     1.600,   866.125,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    386,     61.000,     0.000,   114.000,     0.000,   851.600,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    387,     61.000,     0.000,   114.000,     0.400,   851.600,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    388,     61.000,     0.000,   114.000,     0.800,   851.600,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    389,     61.000,     0.000,   114.000,     1.200,   851.600,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    390,     61.000,     0.000,   114.000,     1.600,   851.600,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    391,     61.000,     0.000,   115.000,     0.000,   837.005,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    392,     61.000,     0.000,   115.000,     0.400,   837.005,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    393,     61.000,     0.000,   115.000,     0.800,   837.005,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    394,     61.000,     0.000,   115.000,     1.200,   837.005,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    395,     61.000,     0.000,   115.000,     1.600,   837.005,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    396,     61.000,     0.000,   116.000,     0.000,   822.020,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    397,     61.000,     0.000,   116.000,     0.400,   822.020,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    398,     61.000,     0.000,   116.000,     0.800,   822.020,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    399,     61.000,     0.000,   116.000,     1.200,   822.020,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    400,     61.000,     0.000,   116.000,     1.600,   822.020,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    401,     61.000,     0.000,   117.000,     0.000,   807.495,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    402,     61.000,     0.000,   117.000,     0.400,   807.495,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    403,     61.000,     0.000,   117.000,     0.800,   807.495,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    404,     61.000,     0.000,   117.000,     1.200,   807.495,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    405,     61.000,     0.000,   117.000,     1.600,   807.495,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    406,     61.000,     0.000,   118.000,     0.000,   793.320,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    407,     61.000,     0.000,   118.000,     0.400,   793.320,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
