                                                                              Part#,Seg#,XLocationwithinSegmentfromUpstreamSide(m),Layer#,VerticalDistfromTop(m),LateralDistfromLeftBank,Branch#,ParticleInModel(=0),JDAYleftsystem,DetentionTime(days),RemovalMechanism,SedVelocity(m/d),DateStart
     47,     61.000,     0.000,   109.000,     0.400,   925.240,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     48,     61.000,     0.000,   109.000,     0.800,   925.240,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     49,     61.000,     0.000,   109.000,     1.200,   925.240,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     50,     61.000,     0.000,   109.000,     1.600,   925.240,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     51,     61.000,     0.000,   110.000,     0.000,   910.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     52,     61.000,     0.000,   110.000,     0.400,   910.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     53,     61.000,     0.000,   110.000,     0.800,   910.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     54,     61.000,     0.000,   110.000,     1.200,   910.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     55,     61.000,     0.000,   110.000,     1.600,   910.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     56,     61.000,     0.000,   111.000,     0.000,   895.925,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     57,     61.000,     0.000,   111.000,     0.400,   895.925,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     58,     61.000,     0.000,   111.000,     0.800,   895.925,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     59,     61.000,     0.000,   111.000,     1.200,   895.925,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     60,     61.000,     0.000,   111.000,     1.600,   895.925,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     61,     61.000,     0.000,   112.000,     0.000,   880.755,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     62,     61.000,     0.000,   112.000,     0.400,   880.755,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     63,     61.000,     0.000,   112.000,     0.800,   880.755,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
