"Name","Parameter","Units","Data_Column","Filename","Output_Timestep"
"met_wb1","air temperature","Celsius","1/5","met.csv",    0.041840
"met_wb1","dew point temperature","Celsius","2/5","met.csv",    0.041840
"met_wb1","wind speed","m/s","3/5","met.csv",    0.041840
"met_wb1","wind direction","radians","4/5","met.csv",    0.041840
"met_wb1","cloud cover","0-10","5/5","met.csv",    0.041840
