$ THE DALLES_OUTFLOW.npt based on $//THE DALLES_OUT/FLOW/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1329.000000,3793.979
1330.000000,3883.013
1331.000000,4136.673
1332.000000,4122.271
1333.000000,3834.793
1334.000000,3828.846
1335.000000,3548.053
1336.000000,3923.074
1337.000000,3847.967
1338.000000,4009.199
1339.000000,3543.741
1340.000000,3884.296
1341.000000,2973.935
1342.000000,2913.633
1343.000000,3001.712
1344.000000,3325.356
1345.000000,3010.717
1346.000000,3131.736
1347.000000,2339.124
1348.000000,2132.948
1349.000000,2086.138
1350.000000,2383.146
1351.000000,2406.024
1352.000000,2771.563
1353.000000,2994.864
1354.000000,2561.981
1355.000000,2664.14
1356.000000,2600.911
1357.000000,2829.049
1358.000000,2554.862
1359.000000,2757.802
1360.000000,2415.203
1361.000000,2571.776
1362.000000,2536.983
1363.000000,3197.805
1364.000000,3266.191
1365.000000,3306.715
1366.000000,2801.765
1367.000000,2729.411
1368.000000,2378.975
1369.000000,2186.649
1370.000000,2299.399
1371.000000,2245.031
1372.000000,2831.757
1373.000000,2966.083
1374.000000,2271.984
1375.000000,2332.179
1376.000000,2799.206
1377.000000,2930.483
1378.000000,3245.03
1379.000000,3233.917
1380.000000,2784.563
1381.000000,2568.193
1382.000000,2587.239
1383.000000,2685.597
1384.000000,2881.767
1385.000000,2413.177
1386.000000,2902.602
1387.000000,2993.649
1388.000000,2558.53
1389.000000,2384.435
1390.000000,2294.611
1391.000000,2713.052
1392.000000,2529.597
1393.000000,2688.26
1394.000000,2838.208
1395.000000,2578.634
1396.000000,2442.463
1397.000000,2480.511
1398.000000,3172.825
1399.000000,2935.928
1400.000000,3026.52
1401.000000,3423.991
1402.000000,2874.342
1403.000000,3113.55
1404.000000,3082.899
1405.000000,2787.145
1406.000000,3037.589
1407.000000,2899.281
1408.000000,3609.072
1409.000000,3353.77
1410.000000,3129.6
1411.000000,3708.668
1412.000000,3773.616
1413.000000,4129.891
1414.000000,4292.222
1415.000000,4004.268
1416.000000,4120.163
1417.000000,4635.921
1418.000000,4966.206
1419.000000,4292.334
1420.000000,4010.79
1421.000000,4038.75
1422.000000,3856.939
1423.000000,3635.669
1424.000000,3427.185
1425.000000,3364.421
1426.000000,3366.982
1427.000000,3416.334
1428.000000,3419.938
1429.000000,3039.137
1430.000000,4066.473
1431.000000,4197.805
1432.000000,4651.23
1433.000000,5227.085
1434.000000,5130.134
1435.000000,4665.006
1436.000000,4597.199
1437.000000,3917.547
1438.000000,3837.735
1439.000000,3456.842
1440.000000,4005.191
1441.000000,4743.049
1442.000000,4199.889
1443.000000,4102.902
1444.000000,4227.754
1445.000000,4464.95
1446.000000,4279.573
1447.000000,4360.224
1448.000000,4202.528
1449.000000,4868.888
1450.000000,5029.934
1451.000000,5427.601
1452.000000,5138.632
1453.000000,5064.613
1454.000000,4133.839
1455.000000,4144.12
1456.000000,4143.827
1457.000000,4586.813
1458.000000,4655.449
1459.000000,4638.96
1460.000000,5092.381
1461.000000,5250.173
1462.000000,5578.003
1463.000000,5571.391
1464.000000,5216.458
1465.000000,5317.294
1466.000000,5792.774
1467.000000,5049.539
1468.000000,4472.292
1469.000000,5248.532
1470.000000,5175.316
1471.000000,5246.197
1472.000000,5070.656
1473.000000,5093.717
1474.000000,5229.215
1475.000000,5570.158
1476.000000,5459.395
1477.000000,5371.494
1478.000000,4831.353
1479.000000,5470.2
1480.000000,4939.685
1481.000000,5127.225
1482.000000,5148.326
1483.000000,5940.545
1484.000000,5840.849
1485.000000,5581.084
1486.000000,5013.089
1487.000000,4962.115
1488.000000,5056.88
1489.000000,5453.148
1490.000000,5677.436
1491.000000,5541.521
1492.000000,5816.994
1493.000000,5806.89
1494.000000,5803.39
1495.000000,6272.82
1496.000000,5618.793
1497.000000,6053.084
1498.000000,6396.207
1499.000000,6162.886
1500.000000,6521.675
1501.000000,6968.002
1502.000000,6032.228
1503.000000,6821.709
1504.000000,6808.777
1505.000000,7491.827
1506.000000,6683.555
1507.000000,6275.489
1508.000000,6730.076
1509.000000,6679.811
1510.000000,6514.626
1511.000000,7007.917
1512.000000,6587.288
1513.000000,6864.346
1514.000000,6527.547
1515.000000,6591.866
1516.000000,6217.393
1517.000000,6302.154
1518.000000,5711.431
1519.000000,5381.79
1520.000000,5882.963
1521.000000,5764.924
1522.000000,5451.499
1523.000000,5539.461
1524.000000,4910.31
1525.000000,4894.265
1526.000000,5603.861
1527.000000,6249.427
1528.000000,5827.125
1529.000000,5233.887
1530.000000,5106.602
1531.000000,5013.945
1532.000000,4991.144
1533.000000,4861.186
1534.000000,4721.015
1535.000000,4052.181
1536.000000,4042.625
1537.000000,5486.303
1538.000000,5408.785
1539.000000,5106.881
1540.000000,5819.498
1541.000000,5266.289
1542.000000,5308.014
1543.000000,6149.955
1544.000000,5829.816
1545.000000,5632.618
1546.000000,6052.564
1547.000000,5505.667
1548.000000,6092.852
1549.000000,5555.733
1550.000000,6501.592
1551.000000,6610.977
1552.000000,6570.199
1553.000000,6535.621
1554.000000,5712.71
1555.000000,5955.089
1556.000000,6581.145
1557.000000,6598.866
1558.000000,6408.327
1559.000000,6421.305
1560.000000,5674.173
1561.000000,5368.262
1562.000000,5066.168
1563.000000,4674.685
1564.000000,5108.622
1565.000000,5455.334
1566.000000,4960.597
1567.000000,4194.691
1568.000000,4915.056
1569.000000,4001.261
1570.000000,3971.989
1571.000000,4410.139
1572.000000,4716.52
1573.000000,4666.1
1574.000000,4476.728
1575.000000,4739.336
1576.000000,4546.387
1577.000000,4417.218
1578.000000,4696.908
1579.000000,5586.514
1580.000000,4990.221
1581.000000,4680.918
1582.000000,3790.656
1583.000000,4779.329
1584.000000,5363.894
1585.000000,5258.993
1586.000000,5170.914
1587.000000,4940.529
1588.000000,5061.612
1589.000000,5358.257
1590.000000,5297.93
1591.000000,5052.674
1592.000000,4468.299
1593.000000,4115.557
1594.000000,4808.566
1595.000000,5401.943
1596.000000,5385.386
1597.000000,5801.973
1598.000000,5538.655
1599.000000,4970.925
1600.000000,5787.338
1601.000000,6004.523
1602.000000,5982.669
1603.000000,6034.743
1604.000000,5865.58
1605.000000,6089.85
1606.000000,6463.604
1607.000000,6089.311
1608.000000,6326.794
1609.000000,6142.782
1610.000000,6322.221
1611.000000,5867.18
1612.000000,5452.885
1613.000000,5752.238
1614.000000,5632.017
1615.000000,5921.507
1616.000000,5533.607
1617.000000,5476.793
1618.000000,5388.819
1619.000000,5131.592
1620.000000,4802.053
1621.000000,5181.872
1622.000000,5616.872
1623.000000,4857.811
1624.000000,5726.564
1625.000000,6063.892
1626.000000,7011.46
1627.000000,7292.939
1628.000000,7749.635
1629.000000,7011.585
1630.000000,5484.94
1631.000000,4049.745
1632.000000,3719.084
1633.000000,3224.945
1634.000000,3647.24
1635.000000,3415.181
1636.000000,3629.127
1637.000000,3961.98
1638.000000,4080.819
1639.000000,4373.94
1640.000000,4358.011
1641.000000,4199.613
1642.000000,4772.974
1643.000000,4766.661
1644.000000,4343.648
1645.000000,4612.543
1646.000000,4350.833
1647.000000,4254.804
1648.000000,4011.342
1649.000000,4205.197
1650.000000,4577.453
1651.000000,4034.228
1652.000000,4349.368
1653.000000,3204.1
1654.000000,3029.515
1655.000000,3636.054
1656.000000,4013.25
1657.000000,4433.704
1658.000000,4049.519
1659.000000,3804.784
1660.000000,3941.206
1661.000000,4147.978
1662.000000,3809.793
1663.000000,4093.652
1664.000000,4395.928
1665.000000,4066.467
1666.000000,3372.984
1667.000000,3846.605
1668.000000,3759.573
1669.000000,3556.161
1670.000000,3729.442
1671.000000,3906.038
1672.000000,4084.848
1673.000000,4439.566
1674.000000,4338.145
1675.000000,4092.368
1676.000000,3474.024
1677.000000,3591.01
1678.000000,3874.036
1679.000000,3649.33
1680.000000,3802.583
1681.000000,4563.734
1682.000000,4254.355
1683.000000,3739.915
1684.000000,4100.475
1685.000000,3892.793
1686.000000,3861.224
1687.000000,3668.066
1688.000000,3513.606
1689.000000,3831.499
1690.000000,4184.571
1691.000000,4260.471
1692.000000,3860.995
1693.000000,4433.103
1694.000000,3794.72
1695.000000,3922.759
1696.000000,4238.447
1697.000000,4229.169
1698.000000,4364.821
1699.000000,4224.19
1700.000000,4012.654
1701.000000,3951.024
1702.000000,3883.972
1703.000000,2915.571
1704.000000,2827.836
1705.000000,3421.502
1706.000000,2671.286
1707.000000,2712.859
1708.000000,3336.404
1709.000000,3305.833
1710.000000,2465.372
1711.000000,2075.654
1712.000000,2253.8
1713.000000,2722.302
1714.000000,2849.531
1715.000000,3062.944
1716.000000,2937.491
1717.000000,2843.535
1718.000000,2396.614
1719.000000,2494.698
1720.000000,3227.744
1721.000000,3229.565
1722.000000,2695.126
1723.000000,2883.271
1724.000000,2645.036
1725.000000,2272.042
1726.000000,2423.149
1727.000000,2751.792
1728.000000,3057.42
1729.000000,3660.471
1730.000000,3178.696
1731.000000,2904.679
1732.000000,2435.35
1733.000000,2784.087
1734.000000,3541.743
1735.000000,3311.21
1736.000000,3095.604
1737.000000,2405.602
1738.000000,2502.414
1739.000000,2575.527
1740.000000,3095.035
1741.000000,3726.669
1742.000000,3672.733
1743.000000,3251.802
1744.000000,2978.676
1745.000000,2707.844
1746.000000,2564.99
1747.000000,2142.139
1748.000000,2143.63
1749.000000,2654.841
1750.000000,3207.155
1751.000000,3340.422
1752.000000,2902.084
1753.000000,2276.668
1754.000000,2703.682
1755.000000,2651.908
1756.000000,2875.412
1757.000000,2882.562
1758.000000,3151.845
1759.000000,3302.243
1760.000000,3150.787
1761.000000,3018.006
1762.000000,3270.365
1763.000000,3233.057
1764.000000,2636.658
1765.000000,2462.254
1766.000000,2748.012
1767.000000,2840.263
1768.000000,3004.086
1769.000000,3277.823
1770.000000,3057.437
1771.000000,2818.997
1772.000000,3320.142
1773.000000,3537.644
1774.000000,3314.263
1775.000000,3497.107
1776.000000,3520.388
1777.000000,3185.638
1778.000000,3645.649
1779.000000,3314.108
1780.000000,3254.466
1781.000000,2859.432
1782.000000,3886.777
1783.000000,3626.448
1784.000000,4049.028
1785.000000,3930.807
1786.000000,3783.93
1787.000000,4253.487
1788.000000,3703.191
1789.000000,3744.902
1790.000000,4142.854
1791.000000,4036.392
1792.000000,3339.376
1793.000000,3634.974
1794.000000,4164.295
1795.000000,3797.97
1796.000000,4692.889
1797.000000,3703.817
1798.000000,4000.627
1799.000000,3617.907
1800.000000,3301.122
1801.000000,3312.005
1802.000000,3224.03
1803.000000,3618.23
1804.000000,3856.674
1805.000000,3499.869
1806.000000,4315.706
1807.000000,4773.155
1808.000000,4595.316
1809.000000,3378.83
1810.000000,3722.493
1811.000000,3600.014
1812.000000,3939.443
1813.000000,3841.874
1814.000000,3971.977
1815.000000,4142.058
1816.000000,3393.412
1817.000000,3998.757
1818.000000,3653.717
1819.000000,3467.509
1820.000000,3114.625
1821.000000,2729.323
1822.000000,3482.502
1823.000000,3632.431
1824.000000,3692.105
1825.000000,4208.716
1826.000000,3748.341
1827.000000,3862.594
