FRICT,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,,,,,,,,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),MULT
1,0,117.142,117.142,160.39,160.39,199.815,240.379,197.289,233.488,251.317,204.934,190.724,237.045,407.409,464.716,361.408,364.557,360.079,454.328,370.331,489.543,396.901,436.947,635.86,662.568,487.271,499.74,475.195,475.195,437.53,437.53,406.611,538.98,690.824,605.132,602.231,550.396,851.801,764.283,786.19,912.129,948.154,982.827,0,0,149.952,149.952,149.952,138.408,150.98,214.98,0,,10,30371016.39,502983402.2,407775.888,222.92,731.365,1
1,0,94.586,94.586,132.939,132.939,176.064,229.576,178.36,205.914,227.686,196.173,174.651,220.19,374.098,429.166,342.613,343.995,334.74,419.917,351.194,467.991,381.963,420.557,610.924,637.016,469.742,483.749,461.037,461.037,425.029,425.029,395.678,524.341,673.553,590.004,587.65,537.533,836.642,751.161,773.721,896.731,926.605,967.308,0,0,119.857,119.857,119.857,118.653,140.367,188.367,0,,11,29124710.4,472612385.9,383153.668,221.92,728.084,1
1,0,72.03,72.03,105.489,105.489,152.314,218.772,159.431,178.339,204.054,187.412,158.579,203.335,340.786,393.615,323.818,323.433,309.401,385.506,332.057,446.438,367.026,404.167,585.988,611.464,452.214,467.757,446.88,446.88,412.528,412.528,384.744,509.703,656.283,574.876,573.069,524.669,821.484,738.038,761.251,881.333,905.056,951.789,0,0,89.762,89.762,89.762,98.898,129.755,161.755,0,,12,27878404.42,443487675.5,359541.845,220.92,724.803,1
1,0,49.473,49.473,78.038,78.038,128.563,207.969,140.502,150.765,180.422,178.651,142.507,186.48,307.475,358.065,305.023,302.871,284.062,351.095,312.92,424.886,352.089,387.777,561.053,585.913,434.685,451.766,432.723,432.723,400.027,400.027,373.811,495.065,639.012,559.747,558.488,511.806,806.326,724.915,748.782,865.934,883.507,936.271,0,0,59.667,59.667,59.667,79.143,119.143,135.143,0,,13,26632098.43,415609271,336940.421,219.92,721.522,1
1,0,26.917,26.917,50.588,50.588,104.813,197.165,121.573,123.191,156.79,169.89,126.434,169.625,274.164,322.515,286.228,282.309,258.723,316.684,293.783,403.333,337.152,371.387,536.117,560.361,417.157,435.775,418.565,418.565,387.526,387.526,362.877,480.426,621.742,544.619,543.908,498.943,791.168,711.792,736.312,850.536,861.958,920.752,0,0,29.571,29.571,29.571,59.388,108.531,108.531,0,,14,25385792.44,388977172.6,315349.396,218.92,718.241,1
1,0,5.05,5.05,23.369,23.369,81.873,188.225,103.671,96.573,134.49,162.74,111.466,154.298,243.261,289.834,270.107,264.364,235.717,285.096,277.392,385.598,325.436,358.547,516.293,540.158,403.624,423.981,408.452,408.452,378.776,378.776,355.463,470.446,610.516,534.786,534.62,490.94,783.77,705.656,731.081,843.489,848.813,914.285,0,0,0,0,0,39.633,97.918,81.918,0,,15,24383710.6,363591380.2,294768.768,217.92,714.961,1.01
1,0,0,0,0,0,57.885,177.314,84.553,68.723,110.622,153.891,95.232,137.275,209.616,253.928,251.124,243.596,210.125,250.341,258.064,363.83,310.35,341.993,491.108,514.35,385.921,407.83,394.153,394.153,366.15,366.15,344.42,455.661,593.072,519.506,519.893,477.948,768.46,692.402,718.487,827.937,827.048,898.611,0,0,0,0,0,19.878,87.306,55.306,0,,16,23273853.18,339207669.6,275000.543,216.92,711.68,1.01
1,0,0,0,0,0,33.897,166.402,65.435,40.873,86.754,145.042,78.999,120.251,175.972,218.022,232.141,222.828,184.532,215.586,238.735,342.062,295.263,325.439,465.923,488.543,368.217,391.679,379.854,379.854,353.524,353.524,333.377,440.876,575.629,504.226,505.167,464.956,753.15,679.148,705.892,812.384,805.284,882.937,0,0,0,0,0,0,76.694,28.694,0,,17,22228756.18,315933816.4,256132.095,215.92,708.399,1.01
1,0,0,0,0,0,9.909,14.383,46.316,13.023,62.886,136.194,62.766,103.228,142.327,182.117,213.158,202.06,158.939,180.831,219.407,320.294,280.176,308.885,440.738,462.736,350.513,375.527,365.555,365.555,340.898,340.898,322.334,426.092,558.186,488.947,490.44,451.964,737.841,665.894,693.298,796.832,783.52,867.263,0,0,0,0,0,0,66.082,20,0,,18,21007021.56,293705060.2,238110.922,214.92,705.118,1.01
1,0,0,0,0,0,0,0,27.198,0,39.018,127.345,46.533,86.204,108.682,146.211,194.175,181.293,133.347,146.076,200.078,298.526,265.09,292.331,415.553,436.929,332.809,359.376,351.256,351.256,328.272,328.272,311.291,411.307,540.743,473.667,475.714,438.972,722.531,652.639,680.704,781.28,761.755,851.589,0,0,0,0,0,0,55.469,0,0,,19,20007636.64,272698038.6,221080.227,213.92,701.837,1.01
1,0,0,0,0,0,0,0,8.08,0,15.15,118.496,30.3,69.181,75.038,110.305,175.192,160.525,107.754,111.321,180.75,276.758,250.003,275.777,390.368,411.122,315.105,343.225,336.957,336.957,315.646,315.646,300.248,396.522,523.299,458.388,460.987,425.98,707.221,639.385,668.11,765.727,739.991,835.915,0,0,0,0,0,0,44.857,0,0,,20,19063171.62,252690402,204859.748,212.92,698.556,1.01
1,0,0,0,0,0,0,0,0,0,0,109.648,14.067,52.158,41.393,74.399,156.209,139.757,82.162,76.566,161.421,254.99,234.916,259.223,365.183,385.314,297.401,327.074,322.658,322.658,303.02,303.02,289.205,381.738,505.856,443.108,446.261,412.988,691.912,626.131,655.515,750.175,718.226,820.241,0,0,0,0,0,0,34.245,0,0,,21,18141818.95,233627230.4,189404.96,211.92,695.276,1.01
1,0,0,0,0,0,0,0,0,0,0,87.825,0,30.612,6.751,33.539,119.563,103.674,49.288,36.43,123.803,203.204,191.535,211.434,296.236,313.234,243.697,270.903,268.669,268.669,253.017,253.017,242.359,319.721,425.548,372.761,375.99,348.512,589.514,533.992,560.169,640.067,606.818,701.009,0,0,0,0,0,0,0,0,0,,22,15016192.08,215485411.4,174697.126,210.92,691.995,0.88
1,0,0,0,0,0,0,0,0,0,0,80.115,0,15.78,5,0,103.023,85.579,26.989,12,106.963,184.237,178.39,197.011,274.292,290.748,228.272,256.83,256.211,256.211,242.016,242.016,232.737,306.84,410.349,359.449,363.159,337.192,576.175,522.444,549.196,626.517,587.855,687.353,0,0,0,0,0,0,0,0,0,,23,14273469.86,200469219.4,162523.283,209.92,688.714,0.88
1,0,0,0,0,0,0,0,0,0,0,72.405,0,0,5,0,86.484,67.484,0,0,90.122,165.271,165.245,182.588,252.349,268.263,212.847,242.758,243.752,243.752,231.015,231.015,223.116,293.958,395.151,346.136,350.328,325.872,562.836,510.896,538.223,612.966,568.892,673.696,0,0,0,0,0,0,0,0,0,,24,13575707.66,186195749.5,150951.576,208.92,685.433,0.88
1,0,0,0,0,0,0,0,0,0,0,64.696,0,0,5,0,69.944,49.389,0,0,73.281,146.305,152.1,168.164,230.406,245.778,197.421,228.686,231.294,231.294,220.014,220.014,213.494,281.076,379.953,332.823,337.497,314.553,549.497,499.348,527.249,599.416,549.929,660.04,0,0,0,0,0,0,0,0,0,,25,12930522.23,172620041.8,139945.554,207.92,682.152,0.88
1,0,0,0,0,0,0,0,0,0,0,56.986,0,0,5,0,53.404,31.295,0,0,56.441,127.339,138.956,153.741,208.462,223.292,181.996,214.613,218.835,218.835,209.014,209.014,203.872,268.194,364.755,319.51,324.666,303.233,536.158,487.799,516.276,585.865,530.966,646.383,0,0,0,0,0,0,0,0,0,,26,12285336.81,159689519.6,129462.593,206.92,678.871,0.88
1,0,0,0,0,0,0,0,0,0,0,49.276,0,0,5,0,36.864,13.2,0,0,39.6,108.373,125.811,139.318,186.519,200.807,166.571,200.541,206.376,206.376,198.013,198.013,194.251,255.313,349.557,306.197,311.835,291.913,522.819,476.251,505.303,572.314,512.003,632.727,0,0,0,0,0,0,0,0,0,,27,11640151.38,147404182.8,119502.694,205.92,675.591,0.88
1,0,0,0,0,0,0,0,0,0,0,41.566,0,0,5,0,20.325,0,0,0,22.759,89.406,112.666,124.895,164.575,178.321,151.146,186.468,193.918,193.918,187.012,187.012,184.629,242.431,334.359,292.884,299.004,280.594,509.479,464.703,494.33,558.764,493.04,619.07,0,0,0,0,0,0,0,0,0,,28,10999591.48,135764031.4,110065.855,204.92,672.31,0.88
1,0,0,0,0,0,0,0,0,0,0,33.857,0,0,5,0,0,0,0,0,10,70.44,99.521,110.471,142.632,155.836,135.721,172.396,181.459,181.459,176.011,176.011,175.007,229.549,319.161,279.571,286.173,269.274,496.14,453.155,483.357,545.213,474.077,605.413,0,0,0,0,0,0,0,0,0,,29,10373593.16,124764439.9,101148.328,203.92,669.029,0.88
1,0,0,0,0,0,0,0,0,0,0,26.147,0,0,5,0,0,0,0,0,0,51.474,86.376,96.048,120.689,133.35,120.296,158.324,169.001,169.001,165.01,165.01,165.386,216.668,303.963,266.258,273.341,257.954,482.801,441.607,472.383,531.663,455.114,591.757,0,0,0,0,0,0,0,0,0,,30,9771226.349,114390846.8,92738.307,202.92,665.748,0.88
1,0,0,0,0,0,0,0,0,0,0,18.856,0,0,5,0,0,0,0,0,0,33.247,74.896,83.48,100.99,113.384,107.254,147.53,160.1,160.1,157.51,157.51,159.304,208.417,295.327,258.694,266.431,252.24,480.131,439.833,471.897,529.888,446.063,591.239,0,0,0,0,0,0,0,0,0,,31,9391592.933,104619620.4,84816.633,201.92,662.467,0.9
1,0,0,0,0,0,0,0,0,0,0,10.971,0,0,5,0,0,0,0,0,0,13.849,61.452,68.729,78.547,90.388,91.478,133.138,147.358,147.358,146.259,146.259,149.464,195.243,279.784,245.079,253.308,240.663,466.489,428.022,460.674,516.029,426.669,577.272,0,0,0,0,0,0,0,0,0,,32,8789976.872,95228027.49,77202.733,200.92,659.186,0.9
