$ QGT_LWG_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_LWG_2011_2015_daily_ave.csv ; all outlets scaled to total flow from LOWER GRANITE_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 41932, 41941, 41958, 42194, 42296 that are  3, 4, 2, 3, 21 days long
"JDAY","POW","SPB1.RSW","SPB2","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8","MISC"
97.000000,2134.715,198.662,204.957,203.518,255.498,209.776,211.864,167.262,171.512,9.121
98.000000,2210.855,206.477,151.998,165.887,208.279,208.688,208.488,108.872,108.862,13.172
99.000000,2083.779,200.508,145.434,160.523,181.687,174.539,177.051,106.54,105.61,11.203
100.000000,1982.346,196.941,141.637,143.828,164.275,160.476,161.51,96.938,103.706,8.82
101.000000,2045.141,194.211,93.097,94.509,126.666,121.304,122.198,92.44,102.766,12.241
102.000000,2016.903,190.92,102.683,102.889,128.488,124.42,117.807,101.34,101.152,12.522
103.000000,2100.105,199.199,78.934,79.588,120.068,114.89,87.528,69.714,101.251,13.087
104.000000,2137.883,203.874,57.239,96.794,105.28,94.107,96.738,55.854,97.013,13.225
105.000000,2178.236,217.36,56.325,62.633,112.144,60.449,61.29,55.449,61.987,12.274
106.000000,2062.579,228.204,55.642,54.212,115.024,54.156,54.825,55.252,55.393,10.565
107.000000,2024.59,202.951,51.023,48.864,104.115,50.877,50.851,50.583,68.649,10.924
108.000000,1934.512,184.448,48.301,66.357,93.298,77.182,74.479,46.983,85.58,8.358
109.000000,1832.747,174.547,72.251,105.553,111.676,114.017,109.014,70.203,89.106,11.334
110.000000,1912.252,183.819,105.122,127.77,127.454,124.728,128.502,78.126,95.27,8.231
111.000000,1933.12,183.234,119.367,119.55,149.848,139.845,118.723,90.504,96.915,10.337
112.000000,1850.85,190.435,131.538,140.553,151.005,134.209,137.312,83.19,109.732,12.031
113.000000,2061.761,196.321,106.13,106.639,107.866,100.44,104.013,47.47,105.329,8.659
114.000000,2088.588,198.413,67.893,68.521,108.603,105.429,93.437,24.328,105.802,10.224
115.000000,2043.958,203.208,59.794,73.154,110.713,81.291,84.052,58.969,78.341,9.081
116.000000,1962.645,195.495,70.253,69.599,119.907,95.158,80.793,56.508,89.366,12.929
117.000000,1997.756,190.266,51.346,50.676,104.487,93.542,50.188,46.383,102.058,12.25
118.000000,2065.799,196.251,53.191,53.334,89.745,65.336,51.843,51.052,67.22,12.521
119.000000,2095.001,199.822,54.513,55.691,69.763,54.709,52.99,52.602,54.69,10.391
120.000000,2047.096,199.299,53.704,54.927,69.201,55.234,52.511,53.087,53.588,9.039
121.000000,1956.073,195.231,53.396,52.118,67.733,54.846,51.32,52.235,52.9,8.496
122.000000,1901.939,200.684,54.577,53.829,69.739,54.582,52.858,53.914,53.746,11.454
123.000000,1872.682,194.563,53.453,53.161,67.783,52.272,51.483,52.032,52.453,8.091
124.000000,1891.25,193.615,52.692,52.446,67.196,52.549,50.861,52.423,52.141,14.593
125.000000,1915.401,186.827,51.147,47.971,64.463,52.981,48.924,51.041,49.384,7.788
126.000000,1916.953,199.029,55.022,50.557,68.879,55.751,52.34,54.203,53.186,10.356
127.000000,1898.385,193.466,52.388,53.823,67.032,53.595,50.882,52.371,52.801,10.317
128.000000,1883.893,180.2,59.906,61.714,87.064,67.071,59.078,46.706,67.542,8.039
129.000000,2052.626,181.314,69.54,71.023,78.021,65.435,68.572,48.246,69.16,15.699
130.000000,2319.944,195.537,52.308,52.221,74.293,47.603,51.051,52.068,52.203,14.871
131.000000,2370.525,206.84,54.421,53.505,79.446,47.551,52.572,53.404,53.48,10.99
132.000000,2212.203,182.604,46.988,59.29,81.156,57.731,60.457,48.294,60.554,8.285
133.000000,2091.945,167.92,100.485,99.688,115.659,112.032,106.475,74.397,87.078,9.484
134.000000,2113.58,158.424,155.94,156.691,168.693,164.228,155.656,99.519,113.34,7.142
135.000000,2012.805,148.968,248.45,253,255.961,252.471,247.408,214.294,237.539,6.907
136.000000,2197.89,161.289,352.96,373.6,373.221,370.995,372.595,331.915,331.423,6.784
137.000000,2719.191,201.321,428.743,442.574,415.001,383.52,381.207,336.682,336.666,17.372
138.000000,2788.115,212.307,409.728,405.56,378.103,330.2,327.763,283.534,284.039,17.805
139.000000,2936.534,210.663,271.782,264.614,302.391,294.963,266.426,208.454,212.27,13.478
140.000000,2910.944,191.396,201.32,203.439,247.893,213.64,215.749,152.594,157.136,14.322
141.000000,2813.739,184.859,217.369,222.587,247.759,224.612,215.153,164.119,180.682,14.195
142.000000,2910.459,179.129,209.38,213.19,241.004,246.199,214.664,164.152,163.628,14.09
143.000000,2827.313,176.881,259.189,271.511,273.393,286.162,288.527,216.789,197,11.843
144.000000,2970.311,181.308,275.411,283.529,294.673,300.969,285.988,234.003,227.36,8.088
145.000000,2959.795,181.982,314.06,315.168,324.436,313.065,314.234,260.517,261.353,11.833
146.000000,2827.215,183.162,358.415,357.16,375.95,357.896,359.011,307.111,308.709,12.251
147.000000,3051.879,186.381,353.056,354.809,363.861,353.668,338.1,284.442,294.927,14.329
148.000000,3402.315,207.895,317.481,299.952,319.8,304.043,299.139,240.9,243.596,11.35
149.000000,3432.791,210.354,252.809,253.123,280.485,270.921,258.017,201.047,201.013,14.082
150.000000,3357.793,205.357,179.574,213.866,226.269,215.938,215.525,161.318,162.948,13.491
151.000000,3068.373,195.18,200.054,199.768,214.375,199.004,201.475,134.336,136.498,12.688
152.000000,3116.763,191.172,157.841,162.091,180.775,179.434,162.951,101.019,123.495,12.661
153.000000,3073.861,190.512,167.599,165.092,184.576,179.107,176.705,107.112,114.572,10.377
154.000000,2819.659,173.657,187.124,225.693,226.256,218.316,220.037,141.961,142.676,12.982
155.000000,3165.771,194.863,193.957,194.857,225,209.978,203.681,133.278,125.494,13.065
156.000000,3119.547,195.155,182.003,184.511,221.494,211.708,212.36,121.08,121.359,9.039
157.000000,3040.226,188.182,193.168,190.643,206.621,202.515,195.678,146.457,151.745,10.251
158.000000,2727.902,166.766,266.108,266.419,266.591,266.39,266.651,210.948,211.042,10.833
159.000000,2769.299,167.26,334.491,339.455,342.17,342.438,341.718,303.894,305.427,13.071
160.000000,3078.718,190.03,392.563,379.027,383.264,385.875,382.244,318.503,311.722,12.473
161.000000,3303.166,201.943,357.419,345.152,320.657,347.283,352.73,323.908,345.11,15.505
162.000000,3323.201,202.441,280.122,277.924,320.226,315.506,316.818,228.312,228.503,13.565
163.000000,3214.324,199.827,266.335,259.967,310.756,304.856,309.298,216.449,218.57,11.26
164.000000,3123.71,190.525,274.081,273.424,297.076,296.322,296.89,213.426,212.992,10.734
165.000000,2992.774,181.732,314.572,309.639,297.191,277.307,274.218,227.115,226.273,10.027
166.000000,3040.896,184.914,296.189,298.734,306.54,305.739,307.072,228.962,231.503,10.769
167.000000,3166.468,194.081,313.773,314.187,322.784,310.938,313.263,190.853,193.355,10.71
168.000000,3302.41,202.667,259.892,240.305,275.069,270.325,258.915,207.525,194.099,15.694
169.000000,3380.391,210.476,205.976,211.638,228.608,215.252,220.357,139.054,143.569,13.302
170.000000,3280.208,202.092,177.812,176.972,221.274,176.477,179.84,103.757,106.666,13.155
171.000000,3043.674,186.921,197.419,197.812,212.072,212.355,194.995,117.042,117.009,11.675
172.000000,3100.599,189.393,53.403,243.997,220.122,247.095,101.754,241.635,54.765,10.433
173.000000,2893.657,176.529,66.265,228,224.854,228.631,189.945,228.741,138.256,13.208
174.000000,2845.032,172.954,162.852,249.902,245.988,244.645,241.459,240.531,244.014,16.908
175.000000,2935.756,177.663,264.918,296.92,287.975,287.246,277.073,263.727,265.724,9.915
176.000000,3237.815,196.698,256.643,252.562,305.526,298.621,264.034,262.159,263.62,15.244
177.000000,3324.322,203.996,102.896,260.652,274.392,270.711,265.233,263.17,252.536,8.954
178.000000,3302.267,202.182,55.239,261.003,263.692,262.06,202.719,262.806,91.031,13.393
179.000000,3198.28,194.981,51.044,250.59,229.616,252.726,123.184,253.256,56.209,13.07
180.000000,3071.582,187.441,87.237,242.056,183.787,244.134,144.856,212.557,139.08,9.878
181.000000,2659.729,183.789,184.823,285.86,286.247,284.648,283.684,284.256,225.662,11.6
182.000000,2652.604,193.711,218.352,312.142,320.653,311.413,299.322,297.476,231.509,10.927
183.000000,3386.112,209.105,58.306,272.438,121.417,269.409,82.006,241.009,56.718,9.578
184.000000,3210.414,202.102,52.954,265.37,78.517,258.581,51.972,185.244,55.051,11.136
185.000000,3081.471,193.454,53.083,251.443,71.452,209.301,51.346,108.213,51.96,14.629
186.000000,2713.658,191.508,50.227,249.431,187.648,249.032,105.105,206.286,52.267,27.262
187.000000,2619.587,192.429,45.407,250.99,215.908,249.335,77.736,249.65,52.126,12.755
