$ QGT_CHJ_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_CHJ_2011_2015_daily_ave.csv ; all outlets scaled to total flow from CHIEF JOSEPH_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 41604 that are  2 days long
"JDAY","POW","SPB","MISC"
200.000000,3807.871,1437.807,0
201.000000,3814.496,1506.115,0
202.000000,3490.823,1594.868,0
203.000000,3600.244,1458.545,0
204.000000,3567.786,1352.394,0
205.000000,3601.882,1241.319,0
206.000000,3770.559,1319.979,0
207.000000,4046.953,719.861,0
208.000000,4823.514,0,0
209.000000,4648.559,0,0
210.000000,4559.334,0,0
211.000000,4370.274,0,0
212.000000,4340.756,0,0
213.000000,4029.421,0,0
214.000000,3934.606,101.032,0
215.000000,3741.706,479,0
216.000000,3854.031,0,0
217.000000,3501.586,0,0
218.000000,3831.195,0,0
219.000000,4083.672,0,0
220.000000,3973.762,0,0
221.000000,3796.367,0,0
222.000000,3730.868,0,0
223.000000,3863.339,0,0
224.000000,4279.199,0,0
225.000000,4313.088,0,0
226.000000,3957.438,0,0
227.000000,3654.954,0,0
228.000000,3794.537,0,0
229.000000,4337.728,0,0
230.000000,4406.215,0,0
231.000000,4569.09,0,0
232.000000,4025.114,0,0
233.000000,3483.711,0,0
234.000000,3500.995,0,0
235.000000,3709.334,0,0
236.000000,4007.72,0,0
237.000000,3876.821,0,0
238.000000,3712.466,0,0
239.000000,3931.969,0,0
240.000000,3514.536,0,0
241.000000,3367.721,0,0
242.000000,2960.008,0,0
243.000000,3172.365,0,0
244.000000,3084.002,0,0
245.000000,2686.524,0,0
246.000000,2522.092,0,0
247.000000,2175.75,0,0
248.000000,2172.378,0,0
249.000000,1857.516,0,0
250.000000,2550.917,0,0
251.000000,1857.083,0,0
252.000000,2101.092,0,0
253.000000,2199.854,0,0
254.000000,1818.325,0,0
255.000000,2145.824,0,0
256.000000,1950.188,0,0
257.000000,2110.694,0,0
258.000000,2104.983,0,0
259.000000,1899.757,0,0
260.000000,2011.178,0,0
261.000000,1733.913,0,0
262.000000,1236.92,0,0
263.000000,2078.376,0,0
264.000000,1993.897,0,0
265.000000,1769.684,0,0
266.000000,2023.617,0,0
267.000000,2462.784,0,0
268.000000,1972.689,0,0
269.000000,1790.359,0,0
270.000000,2592.219,0,0
271.000000,1774.089,0,0
272.000000,2384.626,0,0
273.000000,2225.227,0,0
274.000000,2109.892,0,0
275.000000,1852.264,0,0
276.000000,2144.904,0,0
277.000000,2400.396,0,0
278.000000,1997.825,0,0
279.000000,2352.928,0,0
280.000000,1976.975,0,0
281.000000,2113.426,0,0
282.000000,2289.158,0,0
283.000000,1683.064,0,0
284.000000,2130.645,0,0
285.000000,2353.372,0,0
286.000000,2565.012,0,0
287.000000,2549.462,0,0
288.000000,2559.858,0,0
289.000000,2027.797,0,0
290.000000,2014.968,0,0
291.000000,2508.351,0,0
292.000000,2098.653,0,0
293.000000,2281.86,0,0
294.000000,2529.644,0,0
295.000000,1962.134,0,0
296.000000,1816.247,0,0
297.000000,1945.164,0,0
298.000000,2081.688,0,0
299.000000,2567.635,0,0
300.000000,2619.95,0,0
301.000000,2661.486,0,0
302.000000,2535.083,0,0
303.000000,1718.745,0,0
304.000000,1984.818,0,0
305.000000,2406.498,0,0
306.000000,2278.629,0,0
307.000000,2210.909,0,0
308.000000,2660.109,0,0
309.000000,2053.037,0,0
310.000000,2612.857,0,0
311.000000,1965.77,0,0
312.000000,2970.111,0,0
313.000000,2645.55,0,0
314.000000,2648.129,0,0
315.000000,2815.027,0,0
316.000000,2715.517,0,0
317.000000,2718.649,0,0
318.000000,2375.415,0,0
319.000000,2822.88,0,0
320.000000,2746.704,0,0
321.000000,2890.677,0,0
322.000000,2768.901,0,0
323.000000,2561.208,0,0
324.000000,2823.236,0,0
325.000000,2719.792,0,0
326.000000,2907.042,0,0
327.000000,2514.571,0,0
328.000000,2430.082,0,0
329.000000,2430.202,0,0
330.000000,2318.431,0,0
331.000000,2461.688,0,0
332.000000,2322.809,0,0
333.000000,3033.441,0,0
334.000000,3258.884,0,0
335.000000,2763.524,0,0
336.000000,2660.066,0,0
337.000000,2365.445,0,0
338.000000,2609.974,0,0
339.000000,2687.97,0,0
340.000000,3031.244,0,0
341.000000,3451.284,0,0
342.000000,3059.046,0,0
343.000000,3178.031,0,0
344.000000,2990.865,0,0
345.000000,3090.314,0,0
346.000000,3312.115,0,0
347.000000,3266.35,0,0
348.000000,3260.574,0,0
349.000000,2931.59,0,0
350.000000,2480.824,0,0
351.000000,2660.287,0,0
352.000000,2281.315,0,0
353.000000,2008.986,0,0
354.000000,2854.7,0,0
355.000000,2458.438,0,0
356.000000,2853.542,0,0
357.000000,3232.676,0,0
358.000000,3348.383,0,0
359.000000,2627.527,0,0
360.000000,2734.385,0,0
361.000000,2927.823,0,0
362.000000,2826.245,0,0
363.000000,2002.752,0,0
364.000000,2954.406,0,0
365.000000,2280.291,0,0
366.000000,2561.637,0,0
367.000000,642.121,0,0
368.000000,3214.202,0,0
369.000000,2354.009,0,0
370.000000,2507.741,0,0
371.000000,2719.894,0,0
372.000000,2833.168,0,0
373.000000,2715.948,0,0
374.000000,2380.193,0,0
375.000000,2670.804,0,0
376.000000,2662.91,0,0
377.000000,3024.059,0,0
378.000000,3198.206,0,0
379.000000,3264.882,0,0
380.000000,3109.226,0,0
381.000000,3411.076,0,0
382.000000,3809.802,0,0
383.000000,3308.72,0,0
384.000000,3725.603,0,0
385.000000,3437.429,0,0
386.000000,2964.799,0,0
387.000000,2283.679,0,0
388.000000,2781.555,0,0
389.000000,2749.195,0,0
390.000000,2816.597,0,0
391.000000,2529.434,0,0
392.000000,2733.117,0,0
393.000000,3115.51,0,0
394.000000,1959.366,0,0
395.000000,1541.315,0,0
396.000000,1714.089,0,0
397.000000,2464.607,0,0
398.000000,2394.606,0,0
399.000000,2820.866,0,0
400.000000,2329.68,0,0
401.000000,1822.774,0,0
402.000000,1851.385,0,0
403.000000,2430.095,0,0
404.000000,2604.861,0,0
405.000000,2601.433,0,0
406.000000,3067.912,0,0
407.000000,2571.602,0,0
408.000000,2171.991,0,0
409.000000,2030.119,0,0
410.000000,3075.068,0,0
411.000000,2475.538,0,0
412.000000,1881.211,0,0
413.000000,3747.789,0,0
414.000000,3220.608,0,0
415.000000,1913.59,0,0
416.000000,2216.905,0,0
417.000000,2880.04,0,0
418.000000,2142.167,0,0
419.000000,2399.296,0,0
420.000000,2665.326,0,0
421.000000,2293.561,0,0
422.000000,1873.895,0,0
423.000000,1566.209,0,0
424.000000,2499.874,0,0
425.000000,2067.42,0,0
426.000000,2324.134,0,0
427.000000,2190.669,0,0
428.000000,2562.256,0,0
429.000000,1639.308,0,0
430.000000,1898.033,0,0
431.000000,2347.336,0,0
432.000000,2260.878,0,0
433.000000,2793.763,0,0
434.000000,2938.166,0,0
435.000000,2857.227,0,0
436.000000,2444.33,0,0
437.000000,2967.038,0,0
438.000000,2851.87,0,0
439.000000,2718.083,0,0
440.000000,3076.64,0,0
441.000000,2964.532,0,0
442.000000,2573.173,0,0
443.000000,2598.79,0,0
444.000000,2363.54,0,0
445.000000,3041.546,0,0
446.000000,2692.074,0,0
447.000000,3858.539,0,0
448.000000,4281.355,0,0
449.000000,4150.401,0,0
450.000000,4312.709,0,0
451.000000,3984.974,0,0
452.000000,4297.547,127.044,0
453.000000,3159.651,1213.98,0
454.000000,2670.091,1678.958,0
455.000000,3352.049,971.976,0
456.000000,3566.642,1009.991,0
457.000000,3404.947,939.562,0
458.000000,4068.215,170.767,0
459.000000,2823.822,1522.219,0
460.000000,2455.981,1519.757,0
461.000000,2848.643,1499.595,0
462.000000,2933.3,1371.853,0
463.000000,2913.884,1227.025,0
464.000000,3330.512,952.381,0
465.000000,3458.457,825.642,0
466.000000,3845.807,893.067,0
467.000000,3831.232,928.519,0
468.000000,3768.67,1007.164,0
469.000000,3755.139,1084.23,0
470.000000,3941.749,863.427,0
471.000000,4019.938,178.795,0
472.000000,3914.56,742.31,0
473.000000,4099.587,940.689,0
474.000000,3908.002,781.6,0
475.000000,3855.143,1072.836,0
476.000000,4110.525,1121.854,0
477.000000,3552.153,1585.281,0
478.000000,3982.893,1103.089,0
479.000000,4014.217,1282.565,0
480.000000,3522.742,1908.525,0
481.000000,3841.395,1824.052,0
482.000000,3608.482,2032.994,0
483.000000,3115.294,2014.45,0
484.000000,3455.041,1271.401,0
485.000000,3703.01,738.093,0
486.000000,2473.267,1493.888,0
487.000000,2569.639,2698.377,0
488.000000,3729.784,2275.99,0
489.000000,3443.82,3088.178,0
490.000000,3473.687,2567.023,0
491.000000,3171.056,2770.91,0
492.000000,3844.506,2163.834,0
493.000000,3897.438,1841.978,0
494.000000,3679.533,1995.192,0
495.000000,3041.978,2429.799,0
496.000000,2899.691,3155.555,0
497.000000,3315.14,2723.456,0
498.000000,3268.797,2196.578,0
499.000000,4715.126,655.742,0
500.000000,4263.246,502.916,0
501.000000,4106.357,814.554,0
502.000000,4273.832,958.144,0
503.000000,4086.056,1383.573,0
504.000000,3137.526,2029.313,0
505.000000,2859.396,2412.887,0
506.000000,3361.134,2162.866,0
507.000000,3461.468,1959.375,0
508.000000,2870.387,2569.111,0
509.000000,3627.356,2023.782,0
510.000000,3362.378,2404.073,0
511.000000,3223.142,2021.668,0
512.000000,3355.505,2062.153,0
513.000000,3946.054,1727.854,0
514.000000,4487.075,439.352,0
515.000000,4976.081,343.176,0
516.000000,4479.358,401.459,0
517.000000,4685.44,0,0
518.000000,4477.025,0,0
519.000000,4646.083,0,0
520.000000,4747.358,0,0
521.000000,5147.941,0,0
522.000000,3470.06,0,0
523.000000,4339.553,692.134,0
524.000000,3842.962,2425.525,0
525.000000,3948.884,2036.634,0
526.000000,3147.954,2866.689,0
527.000000,2964.179,3274.387,0
528.000000,3705.47,2420.027,0
529.000000,3696.974,2386.192,0
530.000000,3672.211,2197.676,0
531.000000,4018.481,1987.186,0
532.000000,5431.623,629.122,0
533.000000,5237.646,601.823,0
534.000000,5226.605,627.528,0
535.000000,5133.445,548.985,0
536.000000,5006.018,433.409,0
537.000000,5367.813,1624.228,0
538.000000,4073.222,2132.954,0
539.000000,4139.459,2022.165,0
540.000000,4928.857,1886.778,0
541.000000,5070.247,1662.75,0
542.000000,5214.107,2531.482,0
543.000000,3922.579,4096.662,0
544.000000,3549.57,3965.115,0
545.000000,4151.96,4037.033,0
546.000000,4097.189,4105.694,0
547.000000,3980.21,3755.343,0
548.000000,4444.618,3245.818,0
549.000000,4534.401,3083.637,0
550.000000,5125.492,3302.216,0
551.000000,4109.098,3418.086,0
552.000000,3894.038,3522.764,0
553.000000,4447.345,3120.333,0
554.000000,4360.135,2499.995,0
555.000000,4543.651,2373.546,0
556.000000,4841.34,2233.336,0
557.000000,4615.74,2272.967,0
558.000000,4415.728,2676.024,0
559.000000,4620.438,2279.132,0
560.000000,4317.173,2881.105,0
561.000000,3904.445,3501.261,0
562.000000,4568.807,3080.478,0
563.000000,4575.354,2962.163,0
564.000000,4053.927,3084.187,0
565.000000,4179.09,2832.668,0
566.000000,4381.576,2358.62,0
567.000000,4388.054,2575.415,0
568.000000,4269.042,3001.21,0
569.000000,4508.195,2790.924,0
570.000000,4352.558,2843.75,0
571.000000,4138.42,2915.77,0
572.000000,4299.926,3049.703,0
573.000000,3995.909,2729.41,0
574.000000,4377.025,2218.944,0
575.000000,3811.836,2591.551,0
576.000000,4472.261,1522.978,0
577.000000,4947.754,776.405,0
578.000000,4483.745,1204.838,0
579.000000,4786.927,877.892,0
580.000000,4641.835,781.321,0
581.000000,4787.134,307.642,0
582.000000,4873.005,0,0
583.000000,4883.677,0,0
584.000000,4518.802,0,0
585.000000,4867.53,0,0
586.000000,4793.636,0,0
587.000000,4607.107,0,0
588.000000,5097.311,0,0
589.000000,4948.391,0,0
590.000000,5031.988,0,0
591.000000,4441.716,0,0
592.000000,5142.061,0,0
593.000000,4276.223,0,0
594.000000,4081.243,0,0
595.000000,4005.874,0,0
596.000000,4023.382,0,0
597.000000,4036.433,0,0
598.000000,4311.847,0,0
599.000000,4209.315,0,0
600.000000,4373.855,0,0
601.000000,3777.549,0,0
602.000000,4160.811,0,0
603.000000,3760.598,0,0
604.000000,3461.992,0,0
605.000000,2985.853,0,0
606.000000,3637.591,0,0
607.000000,3142.724,0,0
608.000000,3581.565,0,0
609.000000,3560.189,0,0
610.000000,3316.279,0,0
611.000000,3406.242,0,0
612.000000,2258.606,0,0
613.000000,2381.991,0,0
614.000000,4192.127,0,0
615.000000,1587.606,0,0
616.000000,2356.997,0,0
617.000000,2619.013,0,0
618.000000,2309.746,0,0
619.000000,2279.93,0,0
620.000000,2929.251,0,0
621.000000,2186.753,0,0
622.000000,2268.556,0,0
623.000000,2854.878,0,0
624.000000,2513.977,0,0
625.000000,2377.598,0,0
626.000000,2326.983,0,0
627.000000,3106.342,0,0
628.000000,2273.567,0,0
629.000000,2400.061,0,0
630.000000,2438.55,0,0
631.000000,2522.909,0,0
632.000000,2006.45,0,0
633.000000,1910.926,0,0
634.000000,2382.923,0,0
635.000000,1575.328,0,0
636.000000,2436.162,0,0
637.000000,2441.69,0,0
638.000000,1968.173,0,0
639.000000,1939.95,0,0
640.000000,1685.787,0,0
641.000000,1775,0,0
642.000000,1779.039,0,0
643.000000,2314.465,0,0
644.000000,2275.943,0,0
645.000000,2150.943,0,0
646.000000,1831.191,0,0
647.000000,2012.673,0,0
648.000000,1932.066,0,0
649.000000,2122.273,0,0
650.000000,1919.681,0,0
651.000000,2161.482,0,0
652.000000,1765.206,0,0
