$ Bathymetry:  Chief Joseph. Original by Mike Schneider (undocumented!).  Adjusted as needed to NGVD88 and Res-Sim Storage-Elevation table provided by Evan Heisman in Columbia.dss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG: I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74,10.2,19.794,8.932,12.8,37.3,34.748,56.456,59.215,62.721,33.84,0,,61,714064.9082,3980284.201,3226.873724,238.218,781.5551181,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,9.21,18.56,8.591,11.15,30.14,30.592,50.475,53.444,56.599,30.93,0,,62,629131.2424,3266219.292,2647.971019,237.218,778.2742782,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73,8.22,17.326,8.25,9.5,22.98,26.436,44.494,47.672,50.477,28.02,0,,63,550891.3268,2637088.05,2137.92526,236.218,774.9934383,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,16.091,7.909,7.85,15.82,22.28,38.514,41.901,44.355,25.11,0,,64,459710.1611,2086196.723,1691.309728,235.218,771.7125984,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,14.857,7.568,6.2,8.66,18.124,32.533,36.129,38.233,22.2,0,,65,385575.7454,1626486.562,1318.61608,234.218,768.4317585,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,13.623,7.227,5,5,13.968,26.552,30.358,32.111,19.29,0,,66,319202.8098,1240910.817,1006.02427,233.218,765.1509186,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12.389,6.886,5,0,9.812,20.571,24.586,25.989,16.38,0,,67,255430.1942,921708.0068,747.2419551,232.218,761.8700787,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11.154,6.545,5,0,5.656,14.591,18.815,19.866,13.47,0,,68,201912.0785,666277.8126,540.1610181,231.218,758.5892388,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9.92,6.205,0,0,5,8.61,13.043,13.744,10.56,0,,69,146483.7128,464365.7341,376.4679882,230.218,755.308399,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5.864,0,0,0,5,7.272,7.622,7.65,0,,70,98464.61447,317882.0213,257.7115326,229.218,752.0275591,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,5.523,0,0,0,0,5,5,0,0,,71,49831.63409,219417.4068,177.8848517,228.218,748.7467192,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.182,0,0,0,0,0,0,0,0,,72,30982.77273,169585.7727,137.4856282,227.218,745.4658793,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,,73,27701,138603,112.3674482,226.218,742.1850394,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,,74,27701,110902,89.90984856,225.218,738.9041995,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,,75,27701,83201,67.45224892,224.218,735.6233596,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,,76,27701,55500,44.99464928,223.218,732.3425197,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,77,13899.5,27799,22.53704965,222.218,729.0616798,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,78,13899.5,13899.5,11.26852482,221.218,725.7808399,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,0,0,0,220.218,722.5,,,,,,,,,,,
