$ CSV Bathymetry file from Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG:I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1,0,387.8127,115.2369,105.805,102.3649,129.9375,106.7309,112.8512,103.9391,83.86,44.346,47.6745,102.7197,275.5462,269.6641,174.9932,240.2918,519.1172,328.6364,297.305,317.4582,352.774,369.6829,306.1318,275.2767,280.6386,514.7652,360.8793,500.3621,322.5545,332.4845,359.6794,531.2793,390.1402,471.1119,522.2628,701.8906,524.3475,682.1379,712.6989,646.5948,958.1335,0
1,0,341.6413,94.9403,90.2944,79.802,107.4708,104.6278,110.6276,101.8911,82.2076,43.4721,46.7352,100.6957,270.1168,264.3506,171.5451,235.5571,508.8885,322.1609,291.4469,311.203,345.823,362.3986,300.0999,269.8527,275.1089,504.6223,353.7686,490.503,316.199,325.9332,352.5924,520.811,382.4529,461.8292,511.9722,688.0606,514.0158,668.697,698.656,633.8543,939.2545,0
1,0,296.7612,75.2221,75.2221,57.887,85.6439,102.5663,108.4478,99.8834,80.5878,42.6156,45.8143,98.7116,264.7944,259.1418,168.1651,230.9157,498.8614,315.8131,285.7043,305.0711,339.0089,355.2579,294.1867,264.5355,269.6882,494.6792,346.798,480.8381,309.9686,319.511,345.6449,510.5489,374.9171,452.7293,501.8843,674.5031,503.8877,655.5211,684.8897,621.3648,920.7475,0
1,0,290.2009,73.5593,73.5593,56.6073,83.7506,100.2989,106.0504,97.6754,78.8063,41.6735,44.8015,96.5294,258.9407,253.4132,164.4475,225.811,487.8333,308.8316,279.3884,298.327,331.5147,347.4044,287.6832,258.6875,263.7264,483.7436,339.1314,470.2085,303.1163,312.4478,338.004,499.2625,366.629,442.7211,490.7894,659.5922,492.7485,641.0298,669.7492,607.6287,900.393,0
1,0,279.6241,70.8783,70.8783,54.5442,80.6982,96.6434,102.1853,94.1155,75.9341,40.1547,43.1687,93.0113,249.5034,244.1772,158.454,217.5811,470.0537,297.5759,269.2057,287.4542,319.4322,334.7429,277.1983,249.2594,254.1145,466.113,326.7714,453.0712,292.0688,301.0602,325.685,481.0663,353.2667,426.5856,472.902,635.5526,474.7897,617.6667,645.3394,585.483,867.5771,0
1,0,268.7661,68.126,68.126,52.4262,77.5646,92.8906,98.2174,90.4608,72.9855,38.5954,41.4924,89.3996,239.8148,234.6955,152.3011,209.1321,451.8009,286.0206,258.7521,276.2919,307.0283,321.7444,266.4343,239.5804,244.2469,448.0132,314.0825,435.4779,280.7275,289.3698,313.0382,462.3859,339.5489,410.0208,454.5386,610.8733,456.353,593.6819,620.2801,562.7479,833.8881,0
1,0,258.3295,65.4806,65.4806,50.3904,74.5526,89.2836,94.4034,86.9481,70.1514,37.0967,39.8812,85.928,230.5025,225.582,146.387,201.0112,434.257,274.9141,248.7045,265.5632,295.106,309.2507,256.0884,230.2772,234.7626,430.6164,301.8863,418.5677,269.8265,278.1331,300.8826,444.4309,326.3638,394.0992,436.8884,587.1523,438.6323,570.6286,596.1939,540.8957,801.5072,0
1,0,250.7566,63.5611,63.5611,48.9132,72.3672,86.6662,91.636,84.3993,68.0949,36.0092,38.7121,83.4091,223.7454,218.9691,142.0957,195.1187,421.5268,266.8551,241.4138,257.7783,286.455,300.1851,248.5812,223.5266,227.8806,417.993,293.0366,406.2976,261.9166,269.9797,292.0623,431.4026,316.7966,382.5462,424.0811,569.9401,425.7739,553.9008,578.7166,525.0395,778.0112,0
2,0,229.8677,58.2662,58.2662,44.8386,66.3387,79.4466,84.0024,77.3685,62.4223,33.0095,35.4872,76.4608,205.1066,200.7283,130.2586,178.8646,386.4121,244.6251,221.3031,236.3044,262.5922,275.1786,227.8735,204.906,208.8973,383.1726,268.6255,372.4515,240.098,247.4895,267.7324,395.4651,290.4062,350.6788,388.7536,522.462,390.3054,507.7588,530.5074,481.3018,713.2,0
2,0,203.6662,51.6247,51.6247,39.7276,58.7771,70.3909,74.4274,68.5497,55.3071,29.2469,31.4422,67.7455,181.7275,177.8482,115.4111,158.4767,342.3669,216.7414,196.0779,209.3693,232.6607,243.8124,201.8993,181.5498,185.0861,339.4966,238.0063,329.9975,212.7304,219.2793,237.2149,350.388,257.3043,310.7066,344.4415,462.9092,345.8164,449.8818,470.0375,426.4406,631.9059,0
