Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
 92,  1,      108627.07,   580368.81004,  5039801.62043, 10,    42.000
 93,  1,      109827.37,   579224.78010,  5040160.78645, 10,    40.000
 94,  1,      111027.66,   578048.10339,  5040380.01974, 10,    38.000
 95,  1,      112227.96,   576851.83944,  5040468.95007, 10,    36.000
 96,  1,      113428.26,   575656.37382,  5040420.15238, 10,    36.000
 97,  1,      114628.55,   574540.01303,  5040049.21536, 10,    34.000
 98,  1,      115828.85,   573521.00595,  5039416.30098, 10,    34.000
 99,  1,      117029.15,   572567.76369,  5038690.44354, 10,    34.000
100,  1,      118229.45,   571658.12521,  5037907.32282, 10,    36.000
101,  1,      119429.74,   570733.19232,  5037142.70322, 10,    38.000
