$ QGT_JDA_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_JDA_2011_2015_daily_ave.csv ; all outlets scaled to total flow from JOHN DAY_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 40544, 41754, 41974, 42024, 42055, 42172, 42192, 42223, 42265, 42285, 42296, 42321, 42328 that are  1009, 2, 2, 3, 3, 3, 4, 3, 3, 3, 24, 6, 4 days long
"JDAY","POWER","SB1","SB2","SB3","SB4","SB5","SB6","SB7","SB8","SB9","SB10","SB11","SB12","SB13","SB14","SB15","SB16","SB17","SB18","SB19","SB20","MISC"
55.000000,5622.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.000000,5811.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.000000,4996.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.000000,5038.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.000000,5517.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.000000,6242.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.000000,5560.866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.000000,6197.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.000000,6092.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64.000000,5699.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.000000,5405.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.000000,5025.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67.000000,5507.277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68.000000,5497.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69.000000,6100.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70.000000,5858.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.000000,5431.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72.000000,5919.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73.000000,6173.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74.000000,5564.649,0,21.556,21.259,14.002,14.347,15.315,2.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75.000000,5104.968,0,59.27,58.259,37.874,38.585,42.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.000000,5329.738,0,37.274,36.831,24.459,24.539,25.771,7.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.000000,5220.602,0,41.929,41.951,27.617,28.482,27.805,13.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78.000000,6274.952,0,24.38,24.187,16.364,16.843,15.962,7.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0
