$ Bathymetry:  John Day.  Original provided by WEST consultants via David Gade.  Adjusted to NAVD88 Datum provided by Res-Ops team.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG: I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,,,,,,,,,,,,,,
1,0,803.2,1182.38,1269.59,1622.57,1804.52,1503.84,1377.22,1561.25,1392.15,1271.99,1439.83,1770.16,1605.59,1290.82,1846.94,3097.63,3986.73,3909.24,3556.3,4441.75,4652.92,4896.09,4990.26,5075.62,5031.73,4872.58,4704.35,4634.28,4698.14,4315.51,4104.17,3908.4,3494.8,3060.27,3364.8,3301.31,2912.85,2347.6,1959.22,1812.01,1458.85,1458.09,1613.71,1681.79,1886.86,1740.53,1495.07,1975.43,1713.35,1592.67,1577.32,1725.07,1569.77,1695.94,1759.05,1719.64,1698.68,1625.84,1680.61,1749.04,1885.81,1701.43,1632.33,1521.12,1707.45,1732.01,1555.17,1167.71,1221.13,1152.62,1073.53,1030.33,1017.28,943.74,999.44,1031.66,1396.16,1551.97,1545.98,1466.69,1474.75,1477.8,1572.64,1573.85,1699.68,1512.16,1603.56,1738.45,1693.08,1592.13,1333.7,1276.62,1218.42,1206.93,1224.61,1026.09,1107.7,1317.19,1274.2,1500.53,0,,6,249710856.3,3931567244,3187378.19,86,282.152,,1,1,,,,
1,0,691.71,1067.52,1166.4,1440.48,1642.82,1414.87,1290.3,1459.1,1327.55,1167.84,1333.49,1693.91,1497.71,1196.04,1721.5,2782.57,3646.77,3587.28,2934.96,3688.49,4193.25,4637.42,4695.41,4815.68,4945.03,4796.51,4613.25,4605.98,4430.61,3762.91,3819.26,3685.42,3203.42,2729.92,3266.89,3272.61,2877.44,2323.34,1893.74,1760.21,1436.95,1445.23,1598.2,1658.92,1854.2,1717.94,1481.43,1951.1,1702.26,1577.94,1562.04,1688.58,1562.21,1688.36,1746.34,1710.35,1683.43,1607.32,1666.11,1730.74,1875.49,1692.65,1596.63,1477.2,1680.45,1701.46,1474.01,1149.52,1207.38,1138.8,1059.19,1015.79,991.45,929.81,986.7,1010.56,1371.88,1518.24,1525.49,1452.37,1460.41,1465.06,1556.28,1561.71,1682.61,1486.63,1582.23,1715.86,1676.92,1572.2,1321.71,1259.64,1202.29,1192.55,1211.78,1018.87,1103.82,1304.6,1257.92,1459.44,0,,7,238969988.2,3681856388,2984934,85,278.871,,1,1,,,,
1,0,652.51,1040.03,1095.81,1264.61,1412.82,1317.08,1233.87,1353,1285.82,1109.92,1278.07,1636.71,1409.21,1152.17,1651.97,2605.96,3243.83,3194.22,2521.48,3054.13,3712.47,4345.61,4421.2,4627.13,4909.35,4721.69,4530.03,4589.69,4407.06,3687.66,3597.71,3542.83,3064.37,2503.26,3146.81,3213.45,2831.36,2288.3,1811.15,1681.22,1419.36,1430.32,1584.55,1638.07,1830.85,1695.64,1470.02,1710.99,1688.73,1556.77,1537.88,1663.54,1554.4,1676.13,1729.51,1694.08,1668.76,1591.46,1642.66,1707.39,1859.91,1682.33,1567.18,1434.99,1645.41,1671,1393.62,1132.07,1192.29,1124.2,1047.19,1002.72,968.97,917.01,974.3,991.62,1359.63,1491.14,1517.32,1434.19,1446.2,1449.38,1533.47,1547.91,1660.31,1475.13,1565.75,1695.1,1659.5,1556.25,1311.06,1244.35,1180.51,1176.47,1196.64,1014.63,1099.77,1293.71,1245.32,1271.09,0,,8,230051333.9,3442886400,2791197.59,84,275.591,,1,1,,,,
1,0,630,969.69,1039.09,1172.71,1239.77,1253.94,1190.74,1268.77,1235.56,1068.76,1250.88,1551.01,1328.03,1109.47,1547.71,2371.41,2748.74,2662.61,2217.16,2567.51,3262.29,4024.96,4209.06,4502.36,4849.82,4614.35,4417.65,4570.33,4359.92,3610.53,3442.73,3416.71,2953.07,2359.2,3013.13,3145.66,2782.88,2204.16,1738.77,1612.05,1409.43,1418.94,1578.06,1620.41,1803.51,1680.22,1410.38,1476.43,1673.17,1538.15,1508.01,1649.37,1548.68,1664.96,1713.93,1673.93,1651.85,1576.68,1625.23,1691.21,1845.2,1672.4,1536.23,1416.6,1627.97,1656.74,1375.91,1128.64,1182.42,1117.78,1042.85,999.32,956.8,912.88,965.45,988.18,1353.35,1484.28,1511.85,1424.66,1437.79,1440.45,1515.68,1539.43,1635.04,1465.05,1553.11,1682.03,1647.97,1552.28,1307.15,1238.64,1168.87,1168.54,1185.46,1011.6,1095.01,1284.17,1241.18,1088.58,0,,9,221909854.5,3212835066,2604691.66,83,272.31,,1,1,,,,
1,0,615.86,886.7,974.84,1116.86,1150.67,1217.65,1147.71,1177.92,1196.69,1050.34,1219.59,1478.22,1244.41,1071.21,1389.17,2020.11,2321.33,2189.58,2028.94,2165.99,2744.71,3601.97,3965.3,4302.86,4675.41,4526.26,4326.01,4410.87,4127.81,3544.36,3344.07,3287.76,2804.54,2220.13,2863.7,3038.34,2725.51,2036.91,1687,1550.45,1388.56,1407.93,1565.37,1595.17,1775.11,1661.73,1350.33,1464.95,1661.52,1521.74,1464.37,1634.26,1543.15,1657.06,1699.86,1650.93,1629.8,1561.76,1615.81,1684.07,1837.52,1662.84,1519.02,1407.23,1604.43,1639.48,1354.85,1125.66,1174.89,1113.26,1039.58,995.86,946.87,909.6,958.4,983.53,1349.11,1480.1,1508,1421.04,1433.99,1436.43,1506.73,1534.19,1610.22,1453.37,1541.6,1672.76,1641.32,1549.19,1304.22,1234.18,1163.26,1164.21,1177.76,1006.94,1090.45,1275.77,1237.72,1073.89,0,,10,213792944.6,2990925212,2424786.14,82,269.029,,1,1,,,,
1,0,607.68,838.36,898.79,991.27,1009.83,1129.4,1119,1113.86,1168.02,1040.39,1192.74,1456.1,1176,1042.56,1235.75,1591.52,1802.14,1805.65,1867.31,1942.76,2250.07,2992.42,3540.27,3921.97,4364.59,4451.71,4247.5,4203.73,3924.83,3488.74,3184.8,3123.65,2598.28,2062.62,2694.11,2887.6,2634.41,1875.23,1646.08,1488.05,1361.18,1386.59,1545.27,1561.73,1756.78,1645.93,1335.4,1449.23,1647.15,1491.53,1419.48,1597.46,1535.6,1645.89,1682.74,1631.74,1606.64,1549.31,1606.2,1675.67,1830.03,1652.77,1506.98,1401.85,1580.92,1620.23,1334.02,1121.92,1169.74,1108.34,1034.96,991.37,938.6,905.59,954.04,977.34,1343.05,1475.91,1504.07,1417.32,1430.35,1431.95,1494.17,1526.39,1587.85,1440.49,1532.69,1663.91,1634.02,1544.95,1301.2,1229.26,1157.3,1158.78,1169.42,1001.72,1087.06,1272.29,1233.46,1055.66,0,,11,204721988.1,2777132267,2251461.12,81,265.748,,1,1,,,,
1,0,597.17,796.42,828.6,864.78,879.21,1028.36,1086.81,1082.1,1135.69,1023.7,1162.26,1418.72,1071.99,1013.51,1099.33,1223.71,1287.13,1415.33,1559.79,1689.37,1763.61,2173.78,2922.76,3375.59,3682.13,4108.72,4192.55,4136.87,3912.55,3441.35,3056.33,3016.32,2402.57,1951.05,2411.9,2757.27,2525.6,1786.4,1611.66,1447.54,1341.28,1362.94,1527.18,1536.92,1738.43,1634.51,1319.53,1434.53,1617.9,1445.79,1392.25,1564.15,1526.62,1633.61,1668.78,1620.68,1587.85,1538.94,1597.25,1666.12,1822.39,1644.21,1493.47,1396.85,1566.89,1606.26,1320.45,1117.06,1164.13,1102.51,1028.66,986.69,929.62,900.88,948.74,970.53,1335.13,1471.83,1499.36,1413.79,1427.12,1426.04,1475.46,1515.84,1572.13,1426.8,1523.69,1656.23,1624.33,1539.43,1297.16,1222.87,1151.93,1150.17,1157.18,996.57,1083.33,1269.26,1229.01,1040.74,0,,12,194684430.1,2572410279,2085490.06,80,262.467,,1,1,,,,
1,0,521.13,686.08,685.05,728.72,750.09,861.97,912.84,950.14,986.27,895.71,1007.71,1105.52,861.17,895.35,902.53,895.28,915.06,979,1098.53,1250.66,1236.28,1368.05,2100.92,2498.31,2552.98,3103.22,3531.06,3654.57,3504.03,3075.89,2730.59,2599.47,2039.78,1704.32,1939.92,2332.97,2161.94,1531.84,1404.96,1277.45,1191.64,1210.38,1357.36,1371.63,1548.24,1461.25,1168,1277.34,1415.4,1256.04,1234.56,1398.84,1365.06,1460.22,1496.34,1450.13,1416.66,1374.94,1428.17,1489.8,1633.32,1471.68,1331.42,1253.21,1396.95,1416.23,1155.35,1001.01,1043.12,986.95,919.67,884.3,830.85,806.51,849.56,866.85,1194.68,1321.17,1344.18,1269.3,1281.55,1277.32,1312.18,1354.28,1406.1,1274.35,1363.1,1483.16,1449.43,1380.29,1163.32,1094.36,1031.72,1025.99,1027.41,891.84,971.67,1140,1102.55,933.6,0,,13,166297220.1,2377725849,1927656.59,79,259.186,,0.9,1,,166297220,184774689,18477469
1,0,502.3,654.3,612.79,663.4,713.91,781.05,797.88,920.82,923.65,850.6,959.24,904.62,792.55,876.73,858.48,785.59,769.82,774.95,954.77,1105.96,1064.69,1125.99,1497.24,1780.38,1950.44,2416.29,2986.11,3431.96,3415.79,2995.06,2685.23,2420.59,1963.83,1665.49,1842.21,2161.54,1974.53,1455.75,1356.3,1243.74,1174.89,1193.05,1330.89,1357.52,1508.9,1450.5,1145.6,1260.52,1385.23,1209.07,1220.72,1389.2,1355.87,1449.91,1488.75,1440.05,1402.5,1359.3,1417.89,1479.49,1625.64,1461.45,1308.37,1245.36,1354.08,1330.97,1120.34,996.76,1038.56,981.7,913.49,880.67,824.96,802.08,845.48,860.45,1187.68,1317.59,1338.55,1266.02,1278.57,1262.91,1294.7,1344.25,1397.42,1264.92,1355.3,1474.76,1435.95,1374.97,1159.25,1087.49,1026.23,1017.28,1015.95,886.73,968.36,1137.74,1099.15,930.18,0,,14,157437779.9,2211428629,1792837.04,78,255.906,,0.9,1,,157437780,174930867,
1,0,483.19,614.43,563.84,594.86,672.87,706.3,683.19,872.79,851.34,796.97,889.3,778.07,750.43,857.07,836.98,768.6,703.34,704.61,910.37,1051.16,1027.02,998.63,1059.4,1222.9,1462.88,1813.51,2332.88,2962.26,3237.94,2878.06,2600.42,2255.81,1870.25,1623.3,1776.39,2037.82,1611.01,1399.76,1320.8,1203.44,1157.43,1167.55,1275.32,1321.79,1451.71,1438.52,1128.99,1225.86,1373.54,1170.09,1179.71,1376.1,1346.74,1431.73,1478.62,1425.65,1384.49,1335.14,1387.76,1468.02,1617.36,1447.67,1244.45,1233.14,1279.49,1210.64,1105.52,992.53,1034,976.46,907.29,877.1,819.5,797.6,841.46,854.33,1180.06,1313.69,1332.38,1262.66,1275.57,1238.41,1274.74,1333.5,1384.63,1253.79,1347.08,1465.89,1425.73,1369.6,1155.34,1080.8,1020.59,1008.77,1006.72,881.6,965.03,1135.43,1095.71,926.69,0,,15,149171814.5,2053990849,1665199.96,77,252.625,,0.9,1,,149171815,165746461,
