$ Bathymetry:  John Day.  Original provided by WEST consultants via David Gade.  Adjusted to NAVD88 Datum provided by Res-Ops team.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG: I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,,,,,,,,,,,,,,
1,0,430.98,562.62,524.14,525.82,610.97,652.04,607.11,796.76,795.37,751.26,772.86,665.63,717.93,839.36,804.74,732.1,613.52,645.42,874.63,979.1,986.27,935.88,997.11,1084.05,1148.71,1417.18,1746.52,2224.74,2855.72,2789.13,2505.44,1897.62,1694.15,1564.61,1681.34,1935.91,1299.56,1274.05,1288.52,1167.34,1135.37,1138.64,1206.73,1268.1,1403.76,1423.83,1114.92,1191.43,1365.22,1136.61,1127.01,1361.83,1337.63,1410.69,1458.5,1404.23,1357.78,1310.81,1349.11,1446.69,1609.01,1430.07,1178.71,1220.74,1213.37,1111.08,1091.74,988.15,1029.28,971.22,901.03,873.52,813.77,793.13,837.48,848.28,1172.66,1308.89,1322.67,1259.26,1272.59,1211.32,1255.28,1322.29,1357.86,1243.4,1334.44,1456.19,1417.01,1364.18,1151.53,1075.18,1015.34,1000.41,998.47,876.33,961.66,1132.95,1090.49,922.79,0,,16,141366335.1,1904819034,1544264.22,76,249.344,,0.9,1,,141366335,157073706,
1,0,357.27,492.19,459.44,431.98,496.65,580.55,550.52,717.43,750.56,706.26,619.88,586.75,684.31,819.3,764.63,684.05,488.75,584.33,835.6,913.24,941.1,900.35,956.28,1015.24,981.65,1184.98,1404.04,1593.47,2312.36,2649.44,2377.09,1540.31,1392.73,1327.81,1429.25,1744.27,1142.06,983.76,1023.61,1078.28,1111.98,1090.49,1144.79,1222.23,1360.74,1398.73,1090.33,1169.11,1356.44,1099.86,1083.91,1339.94,1326.07,1389.24,1414.9,1372.04,1328.03,1290.41,1322.79,1425.02,1598.78,1409.63,1143.46,1194.12,1152.93,1048.53,1080.38,982.98,1023.27,965.97,894.72,869.84,807.81,788.68,833.5,842.09,1166.76,1303.55,1310.56,1255.86,1269.58,1187.24,1234.77,1311.61,1320.65,1219.13,1315.31,1445.32,1406.19,1357.81,1147.69,1069.81,1010.21,989.58,992.5,870.46,957.69,1130.05,1083.49,913.73,0,,17,132923912,1763452699,1429656.5,75,246.063,,0.9,1,,132923912,147693236,
1,0,303.43,373.9,379.8,324.68,331.07,480.18,485.15,620.06,604.78,643.94,518.04,530.56,634.38,786.94,694.58,651.34,416.41,549.95,800.02,852.98,899.51,821.85,898.48,972.22,914.49,1077.25,1261.41,1283.97,1926.14,2517.92,2267.72,1436.86,1141.62,1029.36,1126.49,1430.8,997.01,752.38,750.44,932.85,1094.33,1037.93,1098.23,1190.17,1310.81,1322.22,1065.19,1146.29,1336.97,1052.79,1046.8,1320.18,1308.47,1337.66,1363.64,1330.05,1301.72,1271.39,1298.15,1392.05,1573.07,1388.35,1114.78,1164.03,1087.54,1000.03,1067.44,977.32,1014.99,960.68,888.35,865.99,802.12,784.13,829.42,835.74,1162.34,1298.4,1299.45,1252.43,1266.58,1160.78,1215.49,1302.27,1290.74,1177.43,1270.08,1431.12,1390.34,1338.01,1143.89,1064.54,1005.08,974.66,985.64,864.36,953.59,1126.47,1076.3,900.17,0,,18,125248331.7,1630528787,1321893.17,74,242.782,,0.9,1,,125248332,139164813,
1,0,262.77,225.86,302.24,218.76,146.34,337.12,420.87,415.42,357.22,528.86,456.6,497.79,591.31,748.01,610.24,628.41,391.45,533.26,767.66,794.99,848.43,715.12,827.81,898.97,830.84,1016.55,1159.93,1073.03,1685.7,2442.38,2224.26,1387.12,1047.83,912.09,978.01,1174.13,884.58,656.22,713.91,794.15,1001.28,1003.65,1073.25,1164.62,1242.3,1183.43,1043.46,1128.77,1302.91,1004.17,1023.27,1304.85,1287.97,1277.55,1334.66,1289.35,1274.8,1255.07,1272.48,1342.32,1538.61,1365.75,1090.66,1133.34,1017.02,957.5,1054.93,972.29,1005.28,955.47,882.12,859.66,795.89,779.24,825.11,824.83,1150.69,1293.64,1290.81,1249.02,1261.88,1122.66,1200.56,1294.05,1266.42,1144.52,1200.78,1411.79,1369.04,1313.35,1138.51,1056.79,998.44,958.52,978.39,858.68,949.84,1122.7,1069.56,888.72,0,,19,118782839.7,1505280456,1220352.54,73,239.501,,0.9,1,,118782840,131980933,
1,0,220.57,131.62,180.32,0,0,197.71,358.27,199.55,183.78,385.2,388.88,464.26,547.41,705.34,523.94,550.47,362.86,516.59,694.71,719.23,761.78,638.65,754.82,799.54,744.19,924.63,950.86,783.21,1484.66,2355.49,2156.39,1323.04,967.06,852.73,924.84,1073.51,814.48,589.12,692.29,713.96,895.82,969.86,1053.29,1136.66,1168.55,1053.43,1019.92,1115.46,1252.96,968.4,984.54,1264.28,1268.52,1234.89,1312.84,1261.22,1246.29,1204.46,1244.62,1290.41,1508.51,1340.05,1067.6,1089.77,936.95,923.61,1043.19,967.53,991.61,950.33,872.82,852.25,788.75,773.75,820.47,810.57,1136.28,1289.23,1284.66,1245.57,1238.39,1090.33,1188.01,1285.97,1229.72,1107.59,1112.96,1386.35,1342.58,1298.18,1128.52,1043.6,985.9,943.88,971.96,853.28,945.63,1119.19,1063.74,880.61,0,,20,112215934.5,1386497616,1124053.58,72,236.22,,0.9,1,,112215935,124684372,
1,0,178.79,91.58,80.59,0,0,0,325.67,61.88,0,217.38,338.71,407.88,499.04,465.52,381.51,425.72,331.55,499.48,620.76,625.08,662.62,580.64,680.1,716.37,692.29,808.79,719.69,538.83,1298.43,2179.56,2045.85,1215.48,908.75,798.6,889.75,1039.34,786.76,564.6,674.53,693.85,862.7,924.26,1034.06,1105.76,1106.29,976.75,1002.82,1097.86,1200.68,940.42,937.96,1201.11,1246.58,1192.81,1263.29,1241.24,1210.45,1137.38,1209.86,1222.42,1483.11,1312.51,1045.48,1055.51,864.61,894.56,1007.14,960.49,970.12,942.99,859.2,845.78,780.87,767.45,815.79,798.22,1128.04,1284.89,1278.72,1241.76,1202.35,1061.96,1178.71,1277.55,1188.05,1062.32,1032.62,1360.37,1303.39,1272.12,1110.22,1028.39,966.92,927.14,965.47,848.07,939.75,1115.57,1058.37,872.12,0,,21,105947014.3,1274281681,1033078.51,71,232.94,,0.9,1,,105947014,117718905,
1,0,146.13,71.7,71.69,0,0,0,0,0,0,81.29,293.92,332.43,458.02,232.72,272.59,324.92,296.9,479.73,575.96,505.66,535.06,488.58,589.01,633.1,637.05,682.23,553.03,432.55,1040.96,1756.94,1733.67,1071.52,872.92,758.03,856.67,972.81,758.6,532.36,657.66,678.78,836.92,870.6,1015.12,1054.86,1055.66,926.15,987.71,1061.86,1129.91,921.01,907.54,1068.03,1141.51,1143.67,1195.06,1217.19,1157.27,1098.95,1162.88,1161.56,1459.37,1287.43,1028.02,1025.43,812.96,875.64,969.29,953.19,949.82,934.59,842.27,835.12,763.61,759.81,808.91,787.92,1120.45,1279.26,1269.84,1236.34,1177.13,1026.75,1168.74,1268.5,1156.28,1012.95,989.78,1342.04,1255.47,1236.03,1088.64,1014.58,950.68,911.42,958.93,842.78,932.88,1111.74,1052.99,859.65,0,,22,99449341.87,1168334667,947185.74,70,229.659,,0.9,1,,99449342,110499269,
1,0,122.81,65.52,71.69,0,0,0,0,0,0,0,223.4,272.6,379.09,185.83,236.38,273.51,275.09,458.53,500.9,387.29,369.31,383.53,492.08,542.05,571.63,543.38,396.92,358.88,810.57,1348.59,1304.33,964.54,844.59,717.48,826.16,863.21,718.07,493.75,642.19,662.44,813.35,823.66,995.84,988.7,1009.66,876.77,970.77,1016.78,1037.94,894.11,884.57,946.38,1003.69,1079.75,1137.66,1177.52,1105.82,1057.06,1123.32,1127.34,1413.44,1259.13,1011.65,984.27,752.15,862.04,954.49,947.89,926.75,914.34,820.3,821.53,740.01,750.47,798.64,778.27,1108.55,1269.14,1256.24,1227.71,1158.88,1000.74,1153.2,1259.33,1123.79,956.95,948.9,1325.91,1218.34,1206.61,1072.11,999.74,938.31,900.59,952.5,837.12,926.99,1107.91,1046.08,828.25,0,,23,93544474.37,1068885325,866560.73,69,226.378,,0.9,1,,93544474,103938305,
1,0,101.08,59.8,0,0,0,0,0,0,0,0,146.95,232.43,295.17,139.7,209.36,253.59,269.52,431.77,379.15,291.77,242.78,322.16,387.93,423.5,503.89,447.53,308.42,320.25,708.8,1149.11,909.95,874.31,788.93,667.5,794.47,787.28,672.46,461.16,627.02,647.13,792.71,781.56,960.64,917.32,957.35,834.63,953.55,968.85,952.61,855.26,859.01,908.67,924.57,1030.06,1097.68,1115.96,1063.79,1020.76,1098.76,1103.91,1345.02,1217.05,991.33,945.02,680.2,847.16,939.66,934.89,903.57,894.1,801.22,809.37,716.83,736.82,787.56,764.24,1069.33,1236.65,1232.48,1218.32,1140.48,981.77,1135.74,1250.87,1082.51,904.8,891.48,1307.1,1191.94,1165.29,1059.53,983.68,925.99,890.63,946.22,832.11,922.47,1104.17,1038.32,799.52,0,,24,88433445.05,975340850.7,790722.87,68,223.097,,0.9,1,,88433445,98259383,
1,0,95.5,54.98,0,0,0,0,0,0,0,0,82.49,183.84,191.19,108.8,168.54,234.76,262.44,393.69,215.03,174.91,145.32,281.01,289.83,307.2,436.69,385.54,264.49,295.16,656.87,1010.67,555.35,740.46,672.06,598.43,755.78,750.99,635.2,437.66,613.08,630.81,770.58,741,920.21,855.39,889.45,795.93,938.38,919.75,881.02,821.09,833.03,875.48,852.71,1004.79,1065.47,1057.81,1025.95,981.52,1071.68,1082.74,1281.35,1176.73,974.82,901.97,624.67,827.86,918.95,915.16,890.64,886.67,788.81,798.28,699.45,718.31,777.29,748.29,998.25,1199.05,1203.12,1209.32,1114.16,945,1118.72,1243.38,1035.49,827.15,835.73,1277.39,1159.88,1114.15,1045.87,966.3,913.3,881.06,940.19,827.98,918.57,1100.48,1031.84,791.39,0,,25,83586427.12,886907405.7,719028.61,67,219.816,,0.9,1,,83586427,92873808,
1,0,95.5,54.89,0,0,0,0,0,0,0,0,0,145.11,122.45,0,106.27,209.07,255.1,351.37,89.3,79.98,74.29,247.43,221.57,213.55,354.96,317.25,218.04,254.58,586.94,905.66,330.83,488.69,487.75,481.6,691.34,713.75,607.52,418.79,600.86,613.59,714.06,698.27,865.57,812.38,824.3,741.87,921.15,877.86,829.32,779.43,808.42,837.08,789.97,981.46,1036.49,996.3,986.56,944.2,1045.97,1061.56,1197.73,1130.23,962.28,846.85,587.66,801.03,883.79,898.65,880.97,878.28,777.92,787.94,686.3,700.34,765.38,734.28,938.4,1137.4,1177.11,1199.04,1087.62,908.96,1095.38,1237.03,1002.07,747.43,790.32,1240.95,1113.16,1080.4,1030.43,946.11,898.08,871.9,934.29,823.81,914.67,1096.72,1026.21,785.48,0,,26,78609067.06,803320978.6,651263.89,66,216.535,,0.9,1,,78609067,87343408,
1,0,95.5,54.89,0,0,0,0,0,0,0,0,0,0,0,0,92.71,176.42,248.9,312.75,69.93,45.15,55.56,210.16,138.46,116.64,276.71,240.53,165.56,201.36,366.49,565.84,201.11,241.43,334.76,386.63,543.13,666.12,582.25,398,588.64,591.22,637.08,650.96,772.02,756.16,762.66,679.75,901.89,825.99,784.12,733.7,780.95,791.69,744.4,957.04,1003.61,930.09,944.42,928.77,1022.57,1017.56,1083.87,1075.96,949.09,794.04,562.19,758.4,840.56,884.2,871.59,867.83,766.66,777.57,672,684.68,755.01,722.73,902.29,1070.13,1141.34,1179.11,1032.18,887.16,1063.81,1231.11,984.09,710.33,746.68,1211.04,1059.08,1060.11,1014.77,925.82,881.17,863.11,928.04,819.29,910.74,1092.52,1020.36,779.54,0,,27,73423446.96,724711911.5,587534.38,65,213.255,,0.9,1,,73423447,81581608,
1,0,95.5,54.89,0,0,0,0,0,0,0,0,0,0,0,0,0,141.9,241.16,273.85,69.93,0,0,156.24,77.05,64.02,196.13,175.74,141.96,143.01,138.26,231.36,134.11,114.82,229.64,318.6,349.23,492.57,520.59,361.06,574.96,564.65,580.4,592.33,669.19,665.81,625.67,619.66,832.42,750.3,736.69,698.01,752.27,726.61,702.14,908.4,971.34,874.73,906.44,902.68,972.94,954.14,996.69,999.5,934.7,748.78,539.44,720.31,807.62,870.21,861.3,855.77,749.37,766.35,656.12,671.22,748.52,714.34,876.89,1034.93,1084.66,1083.52,950.5,853.06,1033.96,1220.77,964.31,692.16,703.26,1177.83,1016.22,1042.5,998.77,908.28,864.54,854.11,921.09,814.11,906.78,1085.05,1011.84,773.24,0,,28,68194476.71,651288464.5,528008.94,64,209.974,,0.9,1,,68194477,75771641,
1,0,95.5,54.89,0,0,0,0,0,0,0,0,0,0,0,0,0,101.66,232.45,215.16,0,0,0,115.97,58.16,60.73,115.91,0,0,61.47,113.54,228.16,56.22,0,138.38,218.03,172.44,244.35,431.4,326.16,556.61,528.28,526.04,517.17,537.73,556.75,507.83,548.83,725.7,657.38,680.06,661.46,726.52,626.83,666.41,792.12,926.72,812.96,872.03,854.8,910.59,890.33,929.33,915.26,920.15,706.34,518.02,679.8,779.45,853.14,847.85,843.45,730.18,753.91,635.72,659.17,742.26,704.54,859.5,990.27,1029.43,972.34,875.7,795.69,1002.93,1200.57,943.3,674.87,663.84,1141.27,979.82,1004.43,981.87,891.06,840.76,843.24,911.39,806.77,902.63,1075.79,1001.49,768.21,0,,29,63013544.86,583093987.8,472722.69,63,206.693,,0.9,1,,63013545,70015050,
1,0,95.5,54.89,0,0,0,0,0,0,0,0,0,0,0,0,0,76.7,232.45,109.16,0,0,0,115.97,58.16,0,0,0,0,0,0,0,0,0,69.35,137.07,0,80.71,322.6,310.22,523.02,463.7,431.4,433.63,400.01,441.1,466.11,482.78,636.54,564.93,615.4,616.89,659.66,534.74,636.78,638.92,856.77,732.37,811.99,775.1,850.81,823.91,842.12,865.86,903.49,665.59,498.85,604.47,751,837.18,828.6,828.37,710.87,739.6,618.02,647.65,736.16,691.98,841.19,937.7,981.04,912.93,813.6,743.98,946.04,1175.9,924.38,657.34,638.44,1113.05,935.69,959.1,961.75,870.54,810.77,831.99,898.13,798.26,896.49,1058.3,988.22,763.79,0,,30,57958331.69,520080443,421636.71,62,203.412,,0.9,1,,57958332,64398146,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.6,232.45,50.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.14,309.33,460.08,391.71,324.82,347.05,285.68,317.45,406.76,431.48,532.49,460.26,528.93,555.7,585.41,472.37,603.68,531.25,784.05,636.23,728.95,655.97,743.99,759.68,732.14,800.06,865.18,624.74,481.86,539.24,725.86,825.98,809.07,805.74,680.82,722.72,601.53,637.54,730.21,679.82,821.7,885.48,933.29,860.09,751.54,709.73,870.75,1157.72,905.8,639.7,623.94,1089.33,893.74,900.75,929.58,844.94,787.27,821.48,877.46,787.92,884.61,1037.12,976.77,758.67,0,,31,53289985.95,462122111.3,374649.05,61,200.131,,0.9,1,,53289986,59211095,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.6,232.45,50.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.42,309.33,401,334.44,235.13,235.85,142.66,184.82,320.83,378.03,403.87,321.44,364.98,446.54,498.4,417.35,562.68,453.29,661.1,515.77,661.71,559.71,643.34,693.93,627.4,714.33,794.01,577.17,466.9,512.64,700.21,814.41,787.73,770.78,650.95,703.6,581.69,628.17,724.28,669.14,801.66,850.85,906.75,817.24,705.35,683.41,775.52,1136.59,888.61,620.4,610.03,1050.54,850.26,834.13,890.56,815.79,769.3,810.37,850.4,772.24,864.58,1022.36,969.38,752.65,0,,32,49166622.8,408832125.3,331446.09,60,196.85,,0.9,1,,49166623,54629581,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.45,50.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,309.33,350.34,261.2,137.57,115.25,69.98,80.72,207.09,326.72,244.01,175.26,212.3,320.95,364.67,364.17,472.83,381.51,513.78,392.97,597.15,496.6,599.26,588.83,548.64,627.47,675.03,515.89,452.39,495.7,673.72,797.45,761.27,727.69,628.79,683.89,561.65,618.47,718.01,660.29,776.62,833.97,895.82,771.36,690.1,665.19,680.88,1086.44,872.42,586.17,596.84,1001.49,806,793.25,863.96,792.75,752.99,799.66,830.82,750.21,816.96,1005.52,959.89,746.73,0,,33,44959454.4,359665502.5,291586,59,193.57,,0.9,1,,44959454,49954949,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.32,309.33,247.06,160.14,88.72,48.03,0,0,107.9,288.75,104.03,111.16,131.63,245.05,260.27,310.73,371.04,331.62,382.52,279.92,472.96,408.95,556.52,470.5,482.02,548.82,527.22,445.55,438.43,477.65,633.27,751.15,729.55,685.25,605.12,665.29,538.55,607.69,710.77,651.2,742.95,805.47,884.24,723.39,675.34,641.24,619.61,1021.89,847.67,550.44,584.51,967.28,773.89,768.2,845.05,773.73,737.38,788.82,818.97,730.22,768.58,984.25,948.9,736.86,0,,34,40782241.14,314706048.1,255136.73,58,190.289,,0.9,1,,40782241,45313601,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.2,309.33,168.03,85.16,0,0,0,0,61.7,261.5,0,0,80.87,233.65,186.86,257.59,295.07,287.18,175.64,187.6,349.65,319.48,457.42,357.25,373.36,459.85,397.07,384.11,423.23,456.93,556.45,677.18,668.71,640.91,581.45,619.8,513.18,595.82,702.21,640.7,709.75,764.67,846.24,680.23,660.11,604.94,584.46,960.89,805.37,527.75,573.04,939.66,747.71,750.87,821.53,754.48,719.7,776.41,807.73,713.46,734.4,928.22,938.73,715.65,0,,35,37069240.7,273923807,222073.98,57,187.008,,0.9,1,,37069241,41188045,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.2,309.33,151.84,0,0,0,0,0,57.66,261.5,0,0,57.65,233.65,148.38,201.01,215.74,227.26,54.02,132.29,286.48,257.05,320.6,224.37,232.51,330.13,283.38,336.13,397.76,427.46,470.67,590.18,584.95,588.11,546.26,556.72,485.02,583.29,692.88,629.53,660.78,711.13,766.35,643.71,640.04,571.44,559.13,850.28,737.78,510.9,562.37,905.93,721.53,731.4,781.86,738.58,699.45,761.14,796.92,697.29,702.02,866.59,925.7,688.42,0,,36,33796903.79,236854566.3,192021.41,56,183.727,,0.9,1,,33796904,37552115,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.2,309.33,133.47,0,0,0,0,0,57.66,261.5,0,0,45.41,233.65,0,183.41,141.08,227.26,0,84.39,220.35,213.1,215.78,119.77,131.44,208.48,196.52,295.83,361.44,391.18,390.05,433.24,473.24,511.94,478.31,511.41,459.73,565.72,680.53,601.34,598.56,671.89,671.47,607.68,597.83,551.04,538.9,670.37,668.93,497.45,552.19,868.1,693.84,710.73,734.62,722.21,664.32,735.74,785.5,682.9,683.46,842.34,912.77,667.32,0,,37,30630808.78,203057662.5,164621.77,55,180.446,,0.9,1,,30630809,34034232,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.2,309.33,109.43,0,0,0,0,0,57.66,261.5,0,0,0,0,0,0,0,0,0,57.93,159.98,173.95,134.04,49.95,89,111.05,140.05,256.37,322.38,356.45,306.32,230.11,309.72,426.88,410.62,476.24,441.99,520.16,656.67,560.16,543.67,658.16,603.86,551.24,540.72,532.09,529.79,514.49,599.56,483.08,541.76,830.45,665.13,687.99,697.13,699.46,627.11,711.24,774.41,667.83,666.44,818.03,899.33,655.43,0,,38,26981521.08,172426853.7,139788.93,54,177.165,,0.9,1,,26981521,29979468,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.33,93.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.74,109.13,114.97,82.73,0,0,83.6,90.68,204.63,289.24,321.48,233.39,103.8,156.65,309.2,342.17,422.61,422.47,472.86,565.26,530.1,482.11,643.64,510.02,467.94,497.9,507.64,519.33,445.95,502.54,468.8,529.81,798.91,638.43,660.54,654.71,671,603.05,695.12,762.72,645.37,632.6,787.03,883.91,644.67,0,,39,23959865.36,145445332.6,117914.63,53,173.885,,0.9,1,,23959865,26622073,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.31,63.84,72.3,0,0,0,0,57.77,149.99,264.4,284.2,169.75,0,98.75,180.81,282.11,359.96,397.94,437.36,399.67,504.26,424.73,621.98,389.89,385.97,457.4,468.89,492.71,409.55,407.14,453.74,515.49,741.51,589.69,632.49,611.12,631.95,576.59,678.53,710.99,617.2,589.65,755.72,855.87,631.52,0,,40,20908373.33,121485467.3,98490.02,52,170.604,,0.9,1,,20908373,23231526,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.31,54.5,0,0,0,0,0,0,113.87,243.1,246.38,123.57,0,0,103.41,253.53,303.52,369.68,378.7,247.74,455.04,378.99,491.9,319.25,338.81,384.08,412.92,438.81,351.86,350.86,436.24,499.37,661.19,511.99,607.21,576.97,575.96,542.46,651.49,639.61,589.05,550.6,716.5,812.99,617.97,0,,41,18479868.24,100577094,81539.3,51,167.323,,0.9,1,,18479868,20533187,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.31,54.5,0,0,0,0,0,0,92.09,239.69,209.89,96.04,0,0,59.09,228.47,241.12,336.58,312.06,147.94,343.48,335.05,296.9,274.51,315.85,316.21,369.58,355.09,277.65,307.96,413,475.98,604.37,439.44,576.26,542.73,521.81,508.45,607.44,593.47,563.81,508.69,667.79,773.7,603.23,0,,42,16391153.58,82097225.72,66557.4,50,164.042,,0.9,1,,16391154,18212393,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.09,239.69,144.13,96.04,0,0,50.56,189.68,167.7,300.19,229.49,0,249.4,290.06,143.15,226.13,297.17,280.97,349.04,269.06,227.75,259.07,375.89,419.54,561.47,370.93,487.94,499.31,481.06,480.34,530,545.99,543.36,473.15,615.64,732.64,587.52,0,,43,14170519.65,65706072.14,53268.86,49,160.761,,0.9,1,,14170520,15745022,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.69,92.39,0,0,0,0,126.94,104.54,251.57,131.74,0,157.21,250.45,65.77,172.87,277.34,252.68,328.94,201.87,205.72,227.93,334.99,322.79,472.01,293.16,362.58,454.73,447.24,452,437.82,495.37,523.93,444.1,574.65,660.47,567.36,0,,44,11919671.32,51535552.49,41780.61,48,157.48,,0.9,1,,11919671,13244079,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.84,68.97,0,65.68,211.78,0,120.82,253.21,228.05,303.12,128.39,180.22,206.75,299.12,255.3,317.88,219.33,252.33,407.93,411.87,416,372.53,448.99,505.52,417.95,520.19,566.04,527.16,0,,45,9478451.772,39615881.17,32117.17,47,154.199,,0.9,1,,9478452,10531613,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.84,49.71,0,65.68,211.78,0,87.23,221.16,203.24,227.48,77.53,124.4,167.9,271.48,229.84,207.73,154.88,157.73,320.54,340.2,367.2,330,396.75,480.22,393.65,455.12,484.54,466.78,0,,46,8018524.962,30137429.4,24432.85,46,150.919,,0.9,1,,8018525,8909472,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.63,178.81,176.18,156.74,77.53,56.61,129.93,250.39,202.49,160.4,109.58,0,196.21,257.51,318.01,280.48,288.33,412.19,345.75,368.39,394.77,400.35,0,,47,5795212.029,22118904.43,17932.11,45,147.638,,0.9,1,,5795212,6439124,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.56,132.86,155.79,141.93,0,56.61,110.66,208.37,177.75,123.59,0,0,106.97,203.23,279.17,232.34,194.9,336.35,282.83,246.25,279.45,304.26,0,,48,4359223.405,16323692.4,13233.85,44,144.357,,0.9,1,,4359223,4843582,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.56,103.48,155.79,95.71,0,0,85.4,167.06,158.52,100.08,0,0,91.67,158.33,243.28,200.3,164.94,291.84,233.64,156.65,173.13,218.09,0,,49,3428529.246,11964469,9699.77,43,141.076,,0.9,1,,3428529,3809477,
