0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1
1,0,324.255,166.1,146.155,466.375,475.57,689.745,590.66,112.24,533.65,394.25,614.295,739.755,905.085,844.285,691.925,772.1,601.32,905.885,1125.835,1133.67,1201.755,1053.085,1233.465,1299.245,1255.57,1466.85,1305.255,977.25,2354.895,3952.95,3710.455,2204.445,1648.15,1448.37,1613.69,1884.99,1426.91,1023.98,1223.365,1258.395,1564.64,1676.29,1875.425,2005.455,2006.42,1771.485,1818.755,1991.125,2177.61,1705.59,1701.135,2178.395,2260.86,2163.33,2291.155,2251.18,2195.325,2062.795,2194.265,2217.03,2689.84,2380.425,1896.125,1914.325,1568.1,1622.425,1826.59,1741.99,1759.455,1710.255,1558.295,1533.955,1416.22,1391.88,1479.55,1447.685,2045.875,2330.345,2319.145,2252.11,2180.63,1926.025,2137.77,2317.025,2154.71,1926.68,1872.8,2467.23,2363.89,2307.18,2013.55,1865.13,1753.645,1681.5,1751.015,1538.1,1704.38,2023.25,1919.515,1581.715,0,.,6
1,0,299.79,153.57,135.13,431.195,439.69,637.715,546.095,103.765,493.39,364.5,567.95,683.94,836.8,780.585,639.725,713.855,555.95,837.54,1040.9,1048.14,1111.085,973.635,1140.41,1201.225,1160.845,1356.185,1206.78,903.52,2177.23,3654.72,3430.525,2038.135,1523.805,1339.105,1491.945,1742.78,1319.26,946.725,1131.07,1163.455,1446.595,1549.825,1733.94,1854.155,1855.045,1637.835,1681.54,1840.905,2013.325,1576.91,1572.79,2014.05,2090.295,2000.12,2118.305,2081.34,2029.7,1907.175,2028.72,2049.77,2486.905,2200.835,1753.075,1769.905,1449.8,1500.02,1688.785,1610.57,1626.715,1581.225,1440.73,1418.23,1309.375,1286.87,1367.93,1338.465,1891.52,2154.535,2144.185,2082.2,2016.12,1780.725,1976.485,2142.22,1992.15,1781.325,1731.51,2281.09,2185.545,2133.12,1861.64,1724.415,1621.34,1554.635,1618.915,1422.06,1575.795,1870.605,1774.7,1462.385,0,.,7
1,0,287.43,147.235,129.555,413.415,421.56,611.415,523.58,99.49,473.045,349.47,544.53,655.74,802.295,748.4,613.345,684.415,533.03,803.005,997.98,1004.92,1065.27,933.49,1093.39,1151.695,1112.975,1300.27,1157.02,866.265,2087.46,3504.025,3289.075,1954.095,1460.975,1283.885,1430.43,1670.92,1264.86,907.69,1084.43,1115.48,1386.95,1485.92,1662.445,1777.705,1778.56,1570.3,1612.205,1765,1930.31,1511.895,1507.945,1931.005,2004.1,1917.645,2030.955,1995.525,1946.005,1828.53,1945.07,1965.25,2384.36,2110.085,1680.79,1696.92,1390.02,1438.17,1619.15,1544.155,1559.64,1516.025,1381.32,1359.75,1255.385,1233.805,1311.525,1283.28,1813.53,2065.695,2055.77,1996.345,1932.985,1707.3,1894.99,2053.89,1910.01,1707.875,1660.11,2187.03,2095.43,2045.165,1784.88,1653.31,1554.49,1490.535,1552.155,1363.42,1510.82,1793.475,1701.525,1402.085,0,.,8
1,0,278.995,142.915,125.755,401.285,409.195,593.48,508.215,96.57,459.17,339.215,528.555,636.5,778.76,726.445,595.35,664.335,517.39,779.45,968.7,975.44,1034.02,906.105,1061.31,1117.91,1080.325,1262.115,1123.08,840.85,2026.215,3401.22,3192.575,1896.77,1418.115,1246.22,1388.465,1621.9,1227.75,881.06,1052.615,1082.75,1346.26,1442.325,1613.67,1725.545,1726.38,1524.235,1564.91,1713.215,1873.675,1467.535,1463.7,1874.35,1945.305,1861.385,1971.375,1936.975,1888.915,1774.885,1888.005,1907.59,2314.41,2048.18,1631.475,1647.14,1349.235,1395.98,1571.65,1498.855,1513.88,1471.555,1340.8,1319.855,1218.55,1197.615,1273.045,1245.63,1760.325,2005.095,1995.455,1937.775,1876.275,1657.205,1839.395,1993.63,1853.97,1657.77,1611.405,2122.87,2033.95,1985.16,1732.515,1604.805,1508.88,1446.805,1506.625,1323.42,1466.495,1740.86,1651.605,1360.95,0,.,9
1,0,268.83,137.71,121.17,386.66,394.28,571.85,489.695,93.05,442.43,326.855,509.29,613.305,750.38,699.97,573.65,640.125,498.535,751.04,933.39,939.885,996.335,873.075,1022.625,1077.165,1040.95,1216.12,1082.145,810.205,1952.37,3277.26,3076.22,1827.635,1366.43,1200.8,1337.86,1562.785,1183.005,848.945,1014.25,1043.29,1297.195,1389.76,1554.855,1662.66,1663.46,1468.68,1507.87,1650.775,1805.385,1414.05,1410.355,1806.04,1874.405,1793.55,1899.52,1866.38,1820.07,1710.2,1819.19,1838.07,2230.06,1973.53,1572.015,1587.105,1300.06,1345.1,1514.365,1444.23,1458.705,1417.92,1291.93,1271.75,1174.145,1153.965,1226.645,1200.235,1696.165,1932.015,1922.73,1867.15,1807.89,1596.81,1772.355,1920.97,1786.4,1597.345,1552.675,2045.5,1959.825,1912.81,1669.37,1546.32,1453.885,1394.075,1451.71,1275.185,1413.05,1677.41,1591.41,1311.35,0,.,10
1,0,258.39,132.36,116.465,371.645,378.97,549.64,470.68,89.435,425.25,314.16,489.515,589.485,721.24,672.79,551.38,615.27,479.175,721.875,897.15,903.395,957.645,839.175,982.92,1035.34,1000.53,1168.895,1040.125,778.74,1876.55,3150,2956.765,1756.665,1313.365,1154.17,1285.91,1502.1,1137.065,815.98,974.865,1002.78,1246.825,1335.795,1494.48,1598.095,1598.86,1411.65,1449.32,1586.675,1735.28,1359.14,1355.59,1735.905,1801.62,1723.9,1825.76,1793.91,1749.395,1643.79,1748.55,1766.695,2143.465,1896.9,1510.97,1525.475,1249.58,1292.87,1455.56,1388.145,1402.065,1362.86,1241.765,1222.37,1128.545,1109.155,1179.015,1153.625,1630.3,1856.995,1848.07,1794.65,1737.685,1534.805,1703.535,1846.38,1717.03,1535.32,1492.385,1966.07,1883.72,1838.535,1604.545,1486.275,1397.435,1339.94,1395.335,1225.675,1358.175,1612.275,1529.615,1260.43,0,.,11
1,0,245.99,126.01,110.875,301.91,265.23,454.055,448.095,85.15,404.85,299.09,466.025,561.205,686.635,640.505,524.92,585.745,456.185,687.235,854.1,860.045,911.695,798.91,935.755,985.66,952.525,1112.81,990.215,741.375,1786.51,2998.86,2814.895,1672.38,1250.35,1098.795,1224.205,1430.03,1082.505,776.83,928.09,954.665,1186.995,1271.695,1422.77,1521.415,1522.145,1343.92,1379.775,1510.545,1652.02,1293.925,1290.545,1652.615,1715.175,1641.19,1738.16,1707.83,1665.455,1564.915,1664.65,1681.93,2040.615,1805.88,1438.475,1452.28,1189.625,1230.835,1385.72,1321.54,1334.79,1297.47,1182.18,1163.715,1074.395,1055.935,1122.445,1098.275,1552.075,1767.89,1759.395,1708.54,1654.31,1461.16,1621.79,1757.785,1634.65,1461.66,1420.78,1871.735,1793.335,1750.32,1527.56,1414.955,1330.385,1275.65,1328.385,1166.86,1293.01,1534.915,1456.22,1199.95,0,.,12
1,0,227.43,116.505,102.51,0,0,109.84,414.29,78.725,102.1,276.525,430.87,518.865,634.83,592.18,485.315,541.555,421.77,635.39,789.665,795.16,842.915,738.635,865.16,911.3,880.66,1028.855,915.51,685.45,1651.735,2772.615,2602.53,1546.21,1156.02,1015.895,1131.85,1322.145,1000.84,718.225,858.075,882.64,1097.445,1175.755,1315.435,1406.635,1407.31,1242.525,1275.685,1396.585,1527.39,1196.305,1193.185,1527.94,1585.775,1517.37,1607.025,1578.99,1539.81,1446.85,1539.065,1555.035,1886.665,1669.64,1329.95,1342.715,1099.875,1137.975,1281.18,1221.84,1234.09,1199.58,1092.99,1075.925,993.34,976.27,1037.76,1015.41,1434.985,1634.51,1626.655,1579.64,1529.5,1350.925,1499.44,1625.175,1511.325,1351.38,1313.59,1730.525,1658.04,1618.27,1412.315,1308.21,1230.01,1179.405,1228.17,1078.83,1195.46,1419.115,1346.36,1109.42,0,.,13
1,0,210.275,107.715,94.78,0,0,0,383.03,72.785,0,255.665,398.36,479.72,586.935,547.505,448.705,500.7,389.945,587.455,730.09,735.175,779.32,682.91,799.885,842.55,814.225,951.235,846.44,633.735,1527.12,2563.435,2406.18,1429.56,1068.805,939.255,1046.46,1222.395,925.335,664.04,793.335,816.05,1014.655,1087.055,1216.19,1300.51,1301.135,1148.785,1179.44,1291.22,1412.155,1106.055,1103.16,1412.66,1466.14,1402.89,1485.785,1459.865,1423.635,1337.7,1422.95,1437.72,1744.325,1543.675,1229.61,1241.415,1016.895,1052.12,1184.52,1129.66,1140.985,1109.08,1010.535,994.755,918.4,902.62,959.47,938.81,1326.725,1511.2,1503.94,1460.465,1414.115,1249.01,1386.315,1502.56,1397.305,1249.43,1214.485,1599.965,1532.95,1496.18,1305.765,1209.515,1137.215,1090.43,1135.515,997.44,1105.27,1312.05,1244.78,1025.72,0,.,14
1,0,194.87,99.825,87.84,0,0,0,354.975,67.45,0,236.935,369.18,444.575,543.945,507.4,415.835,464.02,361.385,544.42,676.605,681.315,722.23,632.885,741.29,780.83,754.575,881.55,784.435,587.31,1415.25,2375.655,2229.92,1324.835,990.51,870.45,969.8,1132.845,857.55,615.395,735.225,756.275,940.325,1007.42,1127.105,1205.245,1205.82,1064.63,1093.04,1196.63,1308.71,1025.03,1022.355,1309.18,1358.74,1300.125,1376.945,1352.92,1319.35,1239.705,1318.71,1332.395,1616.545,1430.595,1139.54,1150.475,942.4,975.05,1097.75,1046.905,1057.405,1027.835,936.505,921.88,851.12,836.495,889.185,870.035,1229.535,1400.495,1393.77,1353.48,1310.52,1157.51,1284.765,1392.49,1294.945,1157.905,1125.52,1482.76,1420.655,1386.58,1210.11,1120.91,1053.91,1010.55,1052.33,924.37,1024.305,1215.935,1153.6,950.58,0,.,15
