$Concentration file for segment 317

JDAY,      N2,      DO,
     9.800,   19.9860,   11.9201,
     9.850,   19.9861,   11.9199,
     9.900,   19.9860,   11.9202,
     9.950,   19.9860,   11.9203,
    10.000,   19.9859,   11.9205,
    10.050,   19.9859,   11.9207,
    10.100,   19.9859,   11.9209,
    10.150,   19.9858,   11.9210,
    10.200,   19.9858,   11.9211,
    10.250,   19.9858,   11.9213,
    10.300,   19.9857,   11.9214,
    10.350,   19.9857,   11.9216,
    10.400,   19.9856,   11.9218,
    10.450,   19.9856,   11.9219,
    10.500,   19.9856,   11.9221,
    10.550,   19.9855,   11.9222,
    10.600,   19.9855,   11.9223,
    10.650,   19.9855,   11.9224,
    10.700,   19.9855,   11.9225,
    10.750,   19.9854,   11.9226,
    10.800,   19.9854,   11.9227,
    10.850,   19.9854,   11.9228,
    10.900,   19.9854,   11.9229,
    10.950,   19.9853,   11.9230,
    11.000,   19.9853,   11.9231,
    11.050,   19.9853,   11.9232,
    11.100,   19.9853,   11.9233,
    11.150,   19.9853,   11.9234,
    11.200,   19.9853,   11.9235,
    11.250,   19.9853,   11.9236,
    11.300,   19.9853,   11.9237,
    11.350,   19.9873,   11.9261,
    11.400,   19.9914,   11.9308,
    11.450,   19.9907,   11.9302,
    11.500,   19.9897,   11.9293,
    11.550,   19.9890,   11.9286,
    11.600,   19.9884,   11.9281,
    11.650,   19.9880,   11.9277,
    11.700,   19.9876,   11.9273,
    11.750,   19.9870,   11.9268,
    11.800,   19.9865,   11.9264,
    11.850,   19.9861,   11.9262,
    11.900,   19.9859,   11.9261,
    11.950,   19.9856,   11.9261,
    12.000,   19.9855,   11.9261,
    12.050,   19.9853,   11.9261,
    12.100,   19.9852,   11.9262,
    12.150,   19.9851,   11.9264,
    12.200,   19.9850,   11.9268,
    12.250,   19.9857,   11.9283,
    12.300,   19.9897,   11.9339,
    12.350,   19.9967,   11.9423,
    12.400,   20.0119,   11.9600,
    12.450,   20.0218,   11.9712,
    12.500,   20.0217,   11.9713,
    12.550,   20.0176,   11.9669,
    12.600,   20.0126,   11.9615,
    12.650,   20.0082,   11.9568,
    12.700,   20.0040,   11.9524,
    12.750,   20.0004,   11.9486,
    12.800,   19.9974,   11.9454,
    12.850,   19.9953,   11.9432,
    12.900,   19.9935,   11.9414,
    12.950,   19.9925,   11.9404,
    13.000,   19.9920,   11.9399,
    13.050,   19.9913,   11.9392,
    13.100,   19.9907,   11.9387,
    13.150,   19.9902,   11.9382,
    13.200,   19.9896,   11.9377,
    13.250,   19.9890,   11.9372,
    13.300,   19.9882,   11.9365,
    13.350,   19.9874,   11.9357,
    13.400,   19.9867,   11.9351,
    13.450,   19.9862,   11.9346,
    13.500,   19.9858,   11.9343,
    13.550,   19.9856,   11.9342,
    13.600,   19.9853,   11.9341,
    13.650,   19.9852,   11.9340,
    13.700,   19.9850,   11.9340,
    13.750,   19.9849,   11.9339,
    13.800,   19.9848,   11.9340,
    13.850,   19.9848,   11.9340,
