SEGMENT#, BRANCH#, XC, YC, UTMZONE
131, 11,   426778.27172,  5394256.95237, 11
130, 11,   426734.23504,  5394755.02218, 11
192, 12,   413826.20004,  5373892.93420, 11
191, 12,   413859.22145,  5374881.01620, 11
190, 12,   413592.21626,  5375833.95795, 11
189, 12,   413158.63970,  5376735.70414, 11
188, 12,   412752.79415,  5377648.95267, 11
187, 12,   412364.94434,  5378570.96496, 11
186, 12,   412005.46536,  5379502.79603, 11
185, 12,   411764.89168,  5380472.47798, 11
184, 12,   411637.13808,  5381463.64524, 11
183, 12,   411534.09159,  5382458.75372, 11
182, 12,   411386.33471,  5383448.55335, 11
181, 12,   411310.03648,  5384442.75987, 11
180, 12,   411263.49424,  5385440.95307, 11
179, 12,   411135.58715,  5386433.31117, 11
178, 12,   410958.24272,  5387418.03639, 11
177, 12,   410761.18147,  5388399.31240, 11
176, 12,   410510.92317,  5389366.54015, 11
175, 12,   410160.39454,  5390302.94994, 11
174, 12,   409814.63461,  5391240.87773, 11
173, 12,   409506.28838,  5392193.02436, 11
172, 12,   409202.72557,  5393146.64118, 11
171, 12,   409056.50281,  5394126.16392, 11
170, 12,   409089.91107,  5395125.81581, 11
169, 12,   409184.82204,  5396121.87139, 11
168, 12,   409392.62096,  5397096.80114, 11
167, 12,   409758.18524,  5398025.50949, 11
166, 12,   410245.91285,  5398897.45017, 11
165, 12,   410901.67488,  5399637.62702, 11
164, 12,   411531.68686,  5400393.23920, 11
163, 12,   411961.61372,  5401294.73640, 11
162, 12,   412360.39430,  5402212.25126, 11
161, 12,   412895.94374,  5403047.78282, 11
160, 12,   413536.88471,  5403816.50281, 11
159, 12,   413969.52245,  5404689.72678, 11
158, 12,   414138.54898,  5405674.40378, 11
157, 12,   414360.37671,  5406643.61132, 11
156, 12,   414793.09382,  5407539.40382, 11
155, 12,   415324.74746,  5408387.40451, 11
154, 12,   415635.55311,  5409309.81945, 11
153, 12,   415521.59793,  5410282.76557, 11
152, 12,   415336.06043,  5411257.02949, 11
151, 12,   415389.18613,  5412250.80989, 11
150, 12,   415602.39842,  5413227.16742, 11
