$Branch 8 water balance flow
 
JDAY,QDT,
   1.000,   0.000,
   2.000,  -5.051,
   3.000,  -8.682,
   4.000,  -6.512,
   5.000,  -5.170,
   6.000,  -1.229,
   7.000,   3.228,
   8.000,   3.228,
   9.000,   1.886,
  10.000,  -2.332,
  11.000,  -2.803,
  12.000,  -2.803,
  13.000,   0.446,
  14.000,   9.673,
  15.000,  10.302,
  16.000,  10.302,
  17.000,   7.054,
  18.000,  -3.273,
  19.000,  -7.553,
  20.000, -10.766,
  21.000, -10.766,
  22.000,  -6.863,
  23.000,  -5.434,
  24.000,  -7.620,
  25.000,  -8.512,
  26.000, -12.135,
  27.000,  -8.396,
  28.000,  -2.998,
  29.000,  -2.105,
  30.000,   0.973,
  31.000,  -2.689,
  32.000,  -3.702,
  33.000,  -3.702,
  34.000,  -1.322,
  35.000,   0.822,
  36.000,   1.836,
  37.000,   1.836,
  38.000,   0.000,
  39.000,  -3.678,
  40.000,  -7.235,
  41.000,  -8.155,
  42.000,  -8.908,
  43.000,  -5.230,
  44.000,  -0.824,
  45.000,   0.921,
  46.000,   2.900,
  47.000,   2.900,
  48.000,   2.624,
  49.000,   1.799,
  50.000,  -1.367,
  51.000,  -3.113,
  52.000,  -4.208,
  53.000,  -4.208,
  54.000,  -2.558,
  55.000,  -1.419,
  56.000,  -1.832,
  57.000,  -1.832,
  58.000,  -1.541,
  59.000,   0.003,
  60.000,   0.938,
  61.000,   0.938,
  62.000,   0.938,
  63.000,   0.000,
  64.000,   0.000,
  65.000,   0.000,
  66.000,  -0.734,
  67.000,  -3.266,
  68.000,  -5.271,
  69.000,  -5.271,
  70.000,  -4.537,
  71.000,  -2.005,
  72.000,   0.751,
  73.000,   0.967,
  74.000,   3.622,
  75.000,   7.607,
  76.000,   6.855,
  77.000,  10.546,
  78.000,   8.929,
  79.000,   4.944,
  80.000,  -0.135,
  81.000,  -6.734,
  82.000,  -7.771,
  83.000,  -7.771,
  84.000,  -2.444,
  85.000,   3.265,
  86.000,   3.265,
  87.000,   0.830,
  88.000,  -3.640,
  89.000,  -6.658,
  90.000,  -7.629,
  91.000,  -6.555,
  92.000,  -1.527,
  93.000,  -1.527,
  94.000,   0.027,
  95.000,   1.346,
  96.000,   0.540,
  97.000,  -1.641,
  98.000,  -4.584,
  99.000,  -4.880,
 100.000,  -4.880,
 101.000,  -2.699,
 102.000,  -0.338,
 103.000,   0.900,
 104.000,   0.900,
 105.000,   0.900,
 106.000,   4.262,
 107.000,   3.363,
 108.000,   3.363,
 109.000,  -0.932,
 110.000,  -4.295,
 111.000,  -4.647,
 112.000,  -4.647,
 113.000,  -0.352,
 114.000,  -0.352,
 115.000,   0.000,
 116.000,   0.000,
 117.000,   0.000,
 118.000,   0.000,
 119.000,   1.148,
 120.000,   1.148,
 121.000,   1.148,
 122.000,   1.148,
 123.000,   0.000,
 124.000,   0.207,
 125.000,   0.207,
 126.000,   0.207,
 127.000,   1.606,
 128.000,   1.399,
 129.000,  -1.148,
 130.000,  -4.187,
 131.000,  -5.585,
 132.000,  -5.585,
 133.000,  -2.260,
 134.000,   3.341,
 135.000,   6.538,
 136.000,   6.538,
 137.000,   5.759,
 138.000,   2.722,
 139.000,  -1.227,
 140.000,  -3.635,
 141.000,  -6.089,
 142.000,  -5.614,
 143.000,   1.978,
 144.000,   7.449,
 145.000,   9.903,
 146.000,   9.903,
 147.000,  -2.369,
 148.000,  -9.853,
 149.000,  -8.667,
 150.000,  -8.962,
 151.000,  -3.530,
 152.000,   0.891,
 153.000,  -0.295,
 154.000,  -0.185,
 155.000,  -0.676,
 156.000,  -0.676,
 157.000,   1.310,
 158.000,   7.838,
 159.000,  13.732,
 160.000,  13.732,
 161.000,   9.065,
 162.000,   2.924,
 163.000,   0.876,
 164.000,   0.033,
 165.000,   2.714,
 166.000,   3.443,
 167.000,   0.036,
 168.000,   0.879,
 169.000,   0.879,
 170.000,  -0.051,
 171.000,   2.105,
 172.000,   1.682,
 173.000,   1.136,
 174.000,   1.136,
 175.000,   1.271,
 176.000,   1.694,
 177.000,   1.859,
 178.000,  -0.523,
 179.000,  -2.764,
 180.000,  -3.100,
 181.000,  -3.226,
