$Spokane River at Long Lake (USGS 12433000)   1/1/2011 - 12/31/2015,,
,,
JDAY,QIN,
425,171.883096840692,
426,169.334583048985,
427,167.635573854514,
428,169.334583048985,
429,158.574191484,
430,169.334583048985,
431,176.41378802595,
432,175.847451627792,
433,148.66330451625,
434,169.334583048985,
435,169.334583048985,
436,169.334583048985,
437,173.298937836085,
438,180.944479211207,
439,180.944479211207,
440,180.944479211207,
441,182.926656604757,
442,184.908833998307,
443,185.475170396464,
444,188.590020586328,
445,189.722693382642,
446,302.989973014071,
447,382.27706875607,
448,396.435478709999,
449,387.940432737642,
450,370.950340792928,
451,402.09884269157,
452,492.712666396713,
453,475.722574451999,
454,487.049302415142,
455,580.49480811107,
456,784.375911447641,
457,801.366003392355,
458,818.356095337069,
459,821.187777327855,
460,821.187777327855,
461,818.356095337069,
462,784.375911447641,
463,747.564045567427,
464,685.267041770141,
465,628.633401954427,
466,617.306673991284,
467,588.989854083427,
468,583.326490101856,
469,586.158172092641,
470,597.484900055784,
471,614.474992000498,
472,620.13835598207,
473,614.474992000498,
474,625.801719963641,
475,620.13835598207,
476,625.801719963641,
477,628.633401954427,
478,685.267041770141,
479,688.098723760927,
480,750.395727558212,
481,838.177869272569,
482,917.464965014569,
483,1013.74215270128,
484,1042.05897260914,
485,1042.05897260914,
486,1008.07878871971,
487,982.59365080264,
488,962.77187686714,
489,942.95010293164,
490,951.445148903997,
491,911.801601032998,
492,863.663007189641,
493,764.554137512141,
494,719.247225659569,
495,648.455175889927,
496,659.78190385307,
497,710.752179687212,
498,688.098723760927,
499,645.623493899141,
500,620.13835598207,
501,600.31658204657,
502,603.148264037355,
503,594.653218064998,
504,600.31658204657,
505,597.484900055784,
506,594.653218064998,
507,586.158172092641,
508,563.504716166356,
509,569.168080147927,
510,569.168080147927,
511,560.67303417557,
512,555.009670193999,
513,538.019578249284,
514,512.534440332213,
515,484.217620424356,
516,458.732482507284,
517,385.108750746856,
518,339.801838894285,
519,336.970156903499,
520,376.613704774499,
521,430.415662599427,
522,481.38593843357,
523,526.692850286141,
524,560.67303417557,
525,583.326490101856,
526,600.31658204657,
527,617.306673991284,
528,631.465083945213,
529,645.623493899141,
530,656.950221862284,
531,651.286857880713,
532,634.296765935998,
533,631.465083945213,
534,605.979946028141,
535,611.643310009713,
536,580.49480811107,
537,571.999762138713,
538,529.524532276927,
539,495.544348387499,
540,453.069118525713,
541,404.930524682356,
542,353.960248848213,
543,288.831563060142,
544,305.821655004856,
545,285.999881069356,
546,259.948406754128,
547,259.665238555049,
548,248.904846990064,
549,248.055342392828,
550,213.225653906164,
551,219.738522484971,
552,213.508822105242,
553,189.722693382642,
554,183.492993002914,
555,161.405873474785,
556,151.494986507035,
