$GATE WITHDRAWAL AT SEG317                                   ELEV OF WITHDRAWAL CENTERLINE:347.     

JDAY,QWD(m3s-1)
     1.000,  555.4000
     1.050,  564.0547
     1.100,  626.6850
     1.150,  697.3792
     1.200, 1008.8195
     1.250, 1156.9534
     1.300, 1583.2970
     1.350, 1935.1966
     1.400, 1969.4165
     1.450, 1714.0730
     1.500, 1527.5449
     1.550,  939.1347
     1.600,  672.1234
     1.650,  860.1071
     1.701, 1585.0065
     1.750, 2675.0328
     1.800, 2252.4493
     1.850, 1452.6456
     1.900, 1071.8857
     1.950,  333.6151
     2.000,  301.9065
     2.050,  633.5474
     2.100,  616.7136
     2.150,  969.4437
     2.200, 1150.7250
     2.250, 1242.4927
     2.300, 1641.4825
     2.350, 2153.2297
     2.401, 2529.5451
     2.450, 2396.7974
     2.500, 2112.3010
     2.550, 1410.8315
     2.600,  971.6615
     2.650, 1477.7133
     2.700, 2760.2261
     2.750, 3139.3355
     2.800, 3219.7164
     2.850, 3018.5311
     2.900, 2145.8343
     2.950, 1574.6134
     3.000, 1262.4525
     3.050, 1178.8481
     3.100, 1134.8315
     3.150,  888.6201
     3.200, 1067.7760
     3.250, 1985.3555
     3.300, 3014.7157
     3.350, 3134.8267
     3.400, 3086.6311
     3.450, 3019.3465
     3.500, 2869.2711
     3.550, 2292.6863
     3.600, 2072.4234
     3.650, 1883.1074
     3.700, 2291.6395
     3.750, 2983.6260
     3.800, 3106.4829
     3.850, 3181.4873
     3.900, 3119.6589
     3.950, 2157.8489
     4.000, 1500.5937
     4.050, 1419.9612
     4.100, 1380.1621
     4.150, 1303.3078
     4.200, 1252.7163
     4.250, 2021.4301
     4.300, 2944.5236
     4.350, 3187.7472
     4.400, 3104.8458
     4.450, 3024.8205
     4.500, 2979.6476
     4.550, 2781.3375
     4.600, 2573.7146
     4.650, 2921.0905
     4.700, 3030.8063
     4.750, 3129.7306
     4.800, 2949.0303
     4.850, 2273.6759
     4.900, 1345.3325
     4.950,  743.5568
     5.000,    0.1254
     5.050,    0.0000
     5.100,    0.0000
     5.150,  345.1484
     5.200, 1082.0029
     5.250, 2275.5870
     5.300, 3032.8132
     5.350, 3259.8896
     5.400, 3196.2774
     5.450, 3179.5975
     5.500, 3201.9874
     5.550, 3151.2112
     5.600, 2833.9271
     5.650, 2791.6112
     5.700, 2944.8626
     5.750, 3006.5776
     5.800, 2848.7638
     5.850, 2144.4303
     5.900, 1243.1413
     5.950,  373.2620
     6.000,    1.2386
     6.050,    0.0000
     6.100,    0.0000
     6.150,  131.5986
     6.200,  444.7961
     6.250, 1469.0272
     6.300, 3160.9440
     6.350, 3245.9709
     6.400, 3135.0340
     6.450, 2643.7347
     6.500, 2509.9668
     6.550, 1931.4057
     6.600, 1794.7240
     6.650, 1907.9149
     6.700, 2656.7424
     6.750, 3196.8796
     6.800, 2891.3380
     6.850, 2049.9291
     6.900, 1346.7823
     6.950,  883.0309
     7.000,  623.3504
     7.050,  677.9482
     7.100,  646.0402
     7.150,  694.9395
     7.200,  933.7118
     7.250, 1491.8589
     7.300, 2533.1735
     7.350, 2696.2497
     7.400, 2533.9792
     7.450, 2381.2295
     7.500, 2033.3087
     7.550, 1714.0594
     7.600, 1529.3872
     7.650, 1392.4838
     7.700, 1871.3930
     7.750, 2607.6571
     7.800, 2053.9555
     7.850, 1550.8615
     7.900, 1064.4611
     7.950,  311.4935
     8.000,    1.7271
     8.050,   38.3228
     8.100,  122.8493
     8.150,    0.0000
     8.200,  165.4952
     8.250,  493.8720
     8.300,  723.0282
     8.350, 1052.8176
     8.400, 1199.9763
     8.450, 1248.6522
     8.500,  966.6501
     8.550,  743.8350
     8.600,  561.0759
     8.650,  519.2331
     8.700,  773.3377
     8.750, 1904.1172
     8.800, 1621.5594
     8.850, 1132.4087
     8.900,  699.3338
     8.950,  622.9170
     9.000,    2.7944
     9.050,  532.3213
     9.100,  778.7868
     9.150,  945.8498
     9.200,  847.3759
     9.250,  684.7641
     9.300,  635.5660
     9.350, 1174.6024
     9.400, 1590.8734
     9.450, 1455.7331
     9.500, 1248.1003
     9.550, 1169.4625
     9.600, 1253.9511
     9.650, 1355.4481
     9.700, 1673.1718
     9.750, 2823.9380
     9.800, 2412.8687
     9.850, 1533.9529
     9.900, 1023.9183
     9.950, 1127.2951
    10.000,  825.6266
    10.050,  649.3142
    10.100,  665.7407
    10.150,  869.4717
    10.200, 1313.4012
    10.250, 1989.3923
    10.300, 2712.1665
    10.350, 3178.4976
    10.400, 2941.1412
    10.450, 2637.6926
    10.500, 2484.2487
    10.550, 2394.0082
    10.600, 2214.9554
    10.650, 2151.1759
    10.700, 2398.8045
    10.750, 3072.3621
    10.800, 2959.9797
    10.850, 2715.4600
    10.900, 1929.8278
    10.950, 1065.9461
    11.000,  602.1067
    11.050,  712.6661
    11.100,  949.6358
    11.150, 1187.8910
    11.200, 1621.1045
    11.250, 2596.0263
    11.300, 3367.1178
    11.350, 3508.1807
    11.400, 3158.4553
    11.450, 2960.5537
    11.500, 2477.5667
    11.550, 2209.7273
    11.600, 1786.5748
    11.650, 1945.7080
    11.700, 2662.1417
    11.750, 3820.5642
    11.800, 3201.6834
    11.850, 2808.4915
    11.900, 2523.9200
    11.950, 1856.5858
    12.000, 1618.8952
    12.050, 1911.9393
    12.100, 1873.8070
    12.150, 1530.8890
    12.200, 1368.8254
    12.250, 2090.0473
    12.300, 3182.8334
    12.350, 3287.7805
    12.400, 3327.8328
    12.450, 3263.2915
    12.500, 2528.6534
    12.550, 2089.3865
    12.600, 1606.8907
    12.650, 1579.9210
    12.700, 2376.4157
    12.750, 3137.7361
    12.800, 2898.6548
    12.850, 2396.7406
    12.900, 2104.9935
    12.950, 1216.8659
    13.000,  674.4579
    13.050,  478.0085
    13.100,   88.0391
    13.150,  420.2809
    13.200,  640.9852
    13.250, 1086.7248
    13.300, 2430.8644
    13.350, 2822.3276
    13.400, 2967.4495
    13.450, 2749.3876
    13.500, 1900.6690
    13.550, 2034.5440
    13.600, 1920.6829
    13.650, 1912.0825
    13.700, 2133.9358
    13.750, 2978.3519
    13.800, 2203.1361
    13.850, 1250.4023
    13.900,  721.4969
    13.950,  117.3845
    14.000,    0.0000
    14.050,    0.0000
    14.100,    0.0000
    14.150,    0.0000
    14.200,  144.5401
    14.250,  846.2158
    14.300, 2284.7153
    14.350, 2782.8839
    14.400, 2769.4918
    14.450, 2580.7975
    14.500, 1896.1012
    14.550, 1282.3566
    14.600,  549.0697
    14.650,  361.7579
    14.700,  536.6140
    14.750,  707.8111
    14.800,  938.6971
    14.850,  613.3309
    14.900,   66.7205
    14.950,    0.0000
    15.000,    0.0000
    15.050,    0.0000
    15.100,    0.0000
    15.150,    0.0000
    15.200,    0.0000
    15.250,  539.5984
    15.300, 1091.5099
    15.350, 1142.8400
    15.400, 1208.2892
    15.450, 1305.1484
    15.500, 1350.4944
    15.550, 1217.6070
    15.600, 1143.3570
    15.650, 1194.9249
    15.700, 1320.5113
    15.750, 2272.5518
    15.800, 2048.9022
    15.850, 1242.5292
    15.900,  494.9501
    15.950,   41.6974
    16.000,    0.0000
    16.050,   27.3239
    16.100,  159.1136
    16.150,  136.2678
    16.200,   22.0985
    16.250,    0.0000
    16.300,  153.1977
    16.350,  105.1613
    16.400,    0.0000
    16.450,    0.0000
    16.500,    0.0000
    16.550,    0.0000
    16.600,    0.0000
    16.650,    0.0000
    16.700,  324.3326
    16.750,  786.9784
    16.800,  688.4469
    16.850,  164.7219
    16.900,    0.0000
    16.950,    0.0000
    17.000,    0.0000
    17.050,    0.0000
    17.100,    0.0000
    17.150,    0.0000
    17.200,    0.0000
    17.250,  200.7535
    17.300, 1185.0072
    17.350, 1561.1368
    17.400, 1603.9407
    17.450, 1361.4734
    17.500, 1206.9047
    17.550, 1007.4387
    17.600,  306.0426
    17.650,  319.2939
    17.700, 1044.4922
    17.750, 1629.0811
    17.800, 1469.3854
    17.850,  832.4468
    17.900,  147.8059
    17.950,    0.0000
    18.000,   87.1234
    18.050,    0.0000
    18.100,    0.0000
    18.150,    0.0000
    18.200,    0.0000
    18.250,  312.0904
    18.300, 2199.5351
    18.350, 2837.3452
    18.400, 2797.3423
    18.450, 2970.1305
    18.500, 2806.1677
    18.550, 2859.0008
    18.600, 3151.5463
    18.650, 3115.6362
    18.700, 3057.0786
    18.750, 2708.3773
    18.800, 2921.5120
    18.850, 2708.1925
    18.900, 2137.9290
    18.950, 1290.3623
    19.000,   86.0531
    19.050,    0.0000
    19.100,    0.0000
    19.150,    0.0000
    19.200,    5.3882
    19.250, 1051.9856
    19.300, 2878.6235
    19.350, 3083.6949
    19.400, 2753.7869
    19.450, 2647.2387
    19.500, 2676.0171
    19.550, 2071.1983
    19.600, 1987.6252
    19.650, 2092.9871
    19.700, 2634.7771
    19.750, 2898.4917
    19.800, 2966.2451
    19.850, 2908.1574
    19.900, 2623.9937
    19.950, 1629.8607
    20.000,  992.3328
    20.050,  981.4519
    20.100,  931.9015
    20.150, 1077.9416
    20.200, 1338.1480
    20.250, 1982.1466
