$Branch 12 water balance flow
 
JDAY,QDT,
   1.000,   0.000,
   2.000, -20.190,
   3.000, -34.706,
   4.000, -26.030,
   5.000, -20.668,
   6.000,  -4.913,
   7.000,  12.903,
   8.000,  12.903,
   9.000,   7.541,
  10.000,  -9.324,
  11.000, -11.204,
  12.000, -11.204,
  13.000,   1.783,
  14.000,  38.668,
  15.000,  41.182,
  16.000,  41.182,
  17.000,  28.195,
  18.000, -13.085,
  19.000, -30.192,
  20.000, -43.034,
  21.000, -43.034,
  22.000, -27.435,
  23.000, -21.722,
  24.000, -30.459,
  25.000, -34.027,
  26.000, -48.507,
  27.000, -33.562,
  28.000, -11.983,
  29.000,  -8.415,
  30.000,   3.888,
  31.000, -10.747,
  32.000, -14.799,
  33.000, -14.799,
  34.000,  -5.285,
  35.000,   3.286,
  36.000,   7.337,
  37.000,   7.337,
  38.000,   0.000,
  39.000, -14.701,
  40.000, -28.919,
  41.000, -32.598,
  42.000, -35.607,
  43.000, -20.905,
  44.000,  -3.294,
  45.000,   3.682,
  46.000,  11.592,
  47.000,  11.592,
  48.000,  10.488,
  49.000,   7.192,
  50.000,  -5.465,
  51.000, -12.446,
  52.000, -16.819,
  53.000, -16.819,
  54.000, -10.227,
  55.000,  -5.671,
  56.000,  -7.322,
  57.000,  -7.322,
  58.000,  -6.159,
  59.000,   0.013,
  60.000,   3.748,
  61.000,   3.748,
  62.000,   3.748,
  63.000,   0.000,
  64.000,   0.000,
  65.000,   0.000,
  66.000,  -2.934,
  67.000, -13.056,
  68.000, -21.072,
  69.000, -21.072,
  70.000, -18.137,
  71.000,  -8.016,
  72.000,   3.003,
  73.000,   3.867,
  74.000,  14.477,
  75.000,  30.406,
  76.000,  27.403,
  77.000,  42.157,
  78.000,  35.691,
  79.000,  19.762,
  80.000,  -0.541,
  81.000, -26.920,
  82.000, -31.064,
  83.000, -31.064,
  84.000,  -9.770,
  85.000,  13.053,
  86.000,  13.053,
  87.000,   3.317,
  88.000, -14.551,
  89.000, -26.613,
  90.000, -30.496,
  91.000, -26.204,
  92.000,  -6.104,
  93.000,  -6.104,
  94.000,   0.108,
  95.000,   5.380,
  96.000,   2.158,
  97.000,  -6.561,
  98.000, -18.325,
  99.000, -19.506,
 100.000, -19.506,
 101.000, -10.787,
 102.000,  -1.352,
 103.000,   3.597,
 104.000,   3.597,
 105.000,   3.597,
 106.000,  17.039,
 107.000,  13.441,
 108.000,  13.441,
 109.000,  -3.727,
 110.000, -17.168,
 111.000, -18.576,
 112.000, -18.576,
 113.000,  -1.408,
 114.000,  -1.408,
 115.000,   0.000,
 116.000,   0.000,
 117.000,   0.000,
 118.000,   0.000,
 119.000,   4.590,
 120.000,   4.590,
 121.000,   4.590,
 122.000,   4.590,
 123.000,   0.000,
 124.000,   0.827,
 125.000,   0.827,
 126.000,   0.827,
 127.000,   6.418,
 128.000,   5.592,
 129.000,  -4.588,
 130.000, -16.735,
 131.000, -22.326,
 132.000, -22.326,
 133.000,  -9.033,
 134.000,  13.354,
 135.000,  26.135,
 136.000,  26.135,
 137.000,  23.021,
 138.000,  10.882,
 139.000,  -4.905,
 140.000, -14.532,
 141.000, -24.342,
 142.000, -22.443,
 143.000,   7.905,
 144.000,  29.775,
 145.000,  39.584,
 146.000,  39.584,
 147.000,  -9.469,
 148.000, -39.386,
 149.000, -34.645,
 150.000, -35.823,
 151.000, -14.112,
 152.000,   3.563,
 153.000,  -1.178,
 154.000,  -0.740,
 155.000,  -2.702,
 156.000,  -2.702,
 157.000,   5.235,
 158.000,  31.331,
 159.000,  54.893,
 160.000,  54.893,
 161.000,  36.238,
 162.000,  11.688,
 163.000,   3.502,
 164.000,   0.132,
 165.000,  10.850,
 166.000,  13.761,
 167.000,   0.143,
 168.000,   3.513,
 169.000,   3.513,
 170.000,  -0.203,
 171.000,   8.415,
 172.000,   6.725,
 173.000,   4.540,
 174.000,   4.540,
 175.000,   5.082,
 176.000,   6.772,
 177.000,   7.430,
 178.000,  -2.092,
 179.000, -11.048,
 180.000, -12.393,
 181.000, -12.895,
 182.000, -24.754,
 183.000, -24.754,
 184.000, -23.409,
 185.000, -27.828,
 186.000, -24.564,
 187.000, -27.641,
 188.000, -30.710,
 189.000, -20.515,
 190.000,  -2.398,
 191.000,  -8.381,
 192.000, -18.890,
 193.000, -25.448,
 194.000, -27.775,
 195.000, -18.716,
 196.000,  -5.137,
 197.000,  -2.327,
 198.000,   0.000,
 199.000,   0.000,
 200.000,   0.000,
 201.000,   0.000,
 202.000,   0.000,
 203.000,  -3.354,
 204.000,  -3.354,
