Derived constituent file for segment 317

JDAY,     %DO,  TDG(%),
     9.800,   96.8030,   99.6304,
     9.850,   96.7948,   99.6213,
     9.900,   96.7897,   99.6057,
     9.950,   96.7845,   99.6063,
    10.000,   96.7793,   99.6208,
    10.050,   96.7743,   99.5999,
    10.100,   96.7692,   99.6044,
    10.150,   96.7643,   99.6020,
    10.200,   96.7592,   99.6051,
    10.250,   96.7540,   99.5920,
    10.300,   96.7486,   99.5567,
    10.350,   96.7430,   99.5356,
    10.400,   96.7375,   99.5239,
    10.450,   96.7340,   99.5256,
    10.500,   96.7334,   99.5285,
    10.550,   96.7352,   99.5028,
    10.600,   96.7366,   99.5057,
    10.650,   96.7340,   99.5367,
    10.700,   96.7300,   99.5344,
    10.750,   96.7234,   99.5093,
    10.800,   96.7164,   99.5064,
    10.850,   96.7095,   99.4948,
    10.900,   96.7025,   99.4839,
    10.950,   96.6954,   99.4736,
    11.000,   96.6884,   99.4324,
    11.050,   96.6814,   99.3895,
    11.100,   96.6742,   99.4144,
    11.150,   96.6672,   99.3996,
    11.200,   96.6602,   99.3876,
    11.250,   96.6532,   99.3867,
    11.300,   96.6467,   99.3752,
    11.350,   96.6458,   99.3753,
    11.400,   96.6537,   99.3745,
    11.450,   96.6497,   99.3760,
    11.500,   96.6491,   99.3791,
    11.550,   96.6509,   99.3679,
    11.600,   96.6503,   99.3783,
    11.650,   96.6472,   99.3747,
    11.700,   96.6419,   99.3922,
    11.750,   96.6339,   99.3835,
    11.800,   96.6256,   99.3747,
    11.850,   96.6179,   99.3710,
    11.900,   96.6102,   99.3942,
    11.950,   96.6027,   99.4204,
    12.000,   96.5954,   99.4511,
    12.050,   96.5884,   99.4736,
    12.100,   96.5816,   99.4818,
    12.150,   96.5753,   99.4694,
    12.200,   96.5696,   99.4711,
    12.250,   96.5673,   99.4705,
    12.300,   96.5762,   99.4618,
    12.350,   96.5950,   99.4673,
    12.400,   96.6440,   99.4835,
    12.450,   96.6753,   99.4786,
    12.500,   96.6732,   99.4524,
    12.550,   96.6586,   99.4371,
    12.600,   96.6410,   99.4349,
    12.650,   96.6246,   99.4680,
    12.700,   96.6071,   99.4704,
    12.750,   96.5889,   99.4714,
    12.800,   96.5730,   99.4774,
    12.850,   96.5605,   99.4597,
    12.900,   96.5490,   99.4657,
    12.950,   96.5417,   99.4515,
    13.000,   96.5365,   99.4524,
    13.050,   96.5290,   99.4358,
    13.100,   96.5215,   99.4369,
    13.150,   96.5140,   99.4441,
    13.200,   96.5064,   99.4588,
    13.250,   96.4986,   99.4400,
    13.300,   96.4898,   99.4503,
    13.350,   96.4808,   99.4404,
    13.400,   96.4734,   99.4335,
    13.450,   96.4683,   99.4416,
    13.500,   96.4650,   99.4610,
    13.550,   96.4639,   99.5087,
    13.600,   96.4630,   99.5314,
    13.650,   96.4606,   99.5096,
    13.700,   96.4576,   99.5178,
    13.750,   96.4525,   99.5266,
    13.800,   96.4478,   99.5214,
    13.850,   96.4434,   99.5152,
    13.900,   96.4389,   99.5412,
    13.950,   96.4351,   99.5364,
    14.000,   96.4315,   99.5508,
    14.050,   96.4288,   99.5477,
    14.100,   96.4256,   99.5190,
    14.150,   96.4223,   99.5185,
    14.200,   96.4196,   99.5367,
    14.250,   96.4166,   99.5383,
    14.300,   96.4129,   99.4979,
    14.350,   96.4089,   99.5097,
    14.400,   96.4069,   99.5302,
    14.450,   96.4079,   99.5341,
    14.500,   96.4118,   99.5635,
    14.550,   96.4186,   99.6035,
    14.600,   96.4247,   99.6212,
    14.650,   96.4304,   99.6320,
    14.700,   96.4324,   99.6127,
    14.750,   96.4299,   99.6036,
    14.800,   96.4281,   99.5604,
    14.850,   96.4241,   99.4833,
    14.900,   96.4209,   99.4689,
    14.950,   96.4194,   99.4673,
    15.000,   96.4169,   99.4264,
    15.050,   96.4145,   99.4277,
    15.100,   96.4137,   99.4216,
    15.150,   96.4128,   99.4399,
    15.200,   96.4111,   99.4489,
    15.250,   96.4110,   99.4490,
    15.300,   96.4117,   99.4319,
    15.350,   96.4113,   99.4373,
    15.400,   96.4108,   99.4553,
    15.450,   96.4147,   99.4398,
    15.500,   96.4247,   99.4839,
    15.550,   96.4348,   99.4769,
    15.600,   96.4434,   99.5078,
    15.650,   96.4491,   99.5190,
    15.700,   96.4510,   99.5330,
    15.750,   96.4539,   99.5381,
    15.800,   96.4553,   99.5855,
    15.850,   96.4552,   99.5926,
    15.900,   96.4527,   99.5621,
    15.950,   96.4510,   99.6021,
    16.000,   96.4532,   99.6046,
    16.050,   96.4558,   99.5899,
    16.100,   96.4576,   99.6081,
    16.150,   96.4568,   99.5703,
    16.200,   96.4551,   99.5880,
    16.250,   96.4532,   99.5472,
    16.300,   96.4512,   99.5651,
    16.350,   96.4492,   99.5362,
    16.400,   96.4475,   99.5663,
    16.450,   96.4486,   99.5984,
    16.500,   96.4537,   99.5965,
    16.550,   96.4595,   99.6171,
    16.600,   96.4655,   99.6479,
    16.650,   96.4694,   99.6422,
    16.700,   96.4745,   99.6171,
    16.750,   96.4739,   99.5976,
    16.800,   96.4699,   99.5639,
    16.850,   96.4645,   99.5615,
    16.900,   96.4648,   99.5809,
    16.950,   96.4639,   99.5519,
    17.000,   96.4647,   99.5289,
    17.050,   96.4557,   99.5141,
    17.100,   96.4532,   99.5077,
    17.150,   96.4508,   99.5252,
    17.200,   96.4495,   99.5107,
    17.250,   96.4474,   99.4999,
    17.300,   96.4451,   99.4936,
    17.350,   96.4429,   99.4963,
    17.400,   96.4411,   99.5050,
    17.450,   96.4430,   99.5063,
    17.500,   96.4512,   99.4561,
    17.550,   96.4685,   99.4672,
    17.600,   96.4770,   99.4661,
    17.650,   96.4843,   99.4642,
    17.700,   96.4865,   99.4428,
    17.750,   96.4784,   99.4180,
    17.800,   96.4717,   99.3969,
    17.850,   96.4640,   99.3534,
    17.900,   96.4561,   99.3280,
    17.950,   96.4559,   99.3551,
    18.000,   96.4478,   99.3756,
    18.050,   96.4437,   99.3884,
    18.100,   96.4403,   99.3254,
    18.150,   96.4369,   99.3686,
    18.200,   96.4330,   99.3317,
    18.250,   96.4289,   99.3337,
    18.300,   96.4253,   99.3381,
    18.350,   96.4229,   99.3308,
    18.400,   96.4220,   99.3372,
    18.450,   96.4240,   99.3410,
    18.500,   96.4335,   99.3417,
    18.550,   96.4510,   99.2892,
    18.600,   96.4713,   99.3133,
    18.650,   96.4852,   99.3680,
    18.700,   96.4918,   99.3812,
    18.750,   96.4956,   99.3656,
    18.800,   96.4971,   99.3491,
    18.850,   96.4973,   99.3145,
    18.900,   96.4929,   99.2832,
    18.950,   96.4815,   99.2589,
    19.000,   96.4749,   99.2414,
    19.050,   96.4631,   99.2270,
    19.100,   96.4582,   99.2136,
    19.150,   96.4552,   99.1860,
    19.200,   96.4502,   99.1620,
    19.250,   96.4424,   99.1406,
    19.300,   96.4293,   99.1207,
    19.350,   96.4182,   99.1168,
    19.400,   96.4447,   99.1617,
    19.450,   96.4808,   99.1567,
    19.500,   96.5001,   99.1463,
    19.550,   96.4931,   99.1723,
    19.600,   96.4859,   99.1636,
    19.650,   96.4760,   99.1985,
    19.700,   96.4600,   99.1755,
    19.750,   96.4413,   99.1683,
    19.800,   96.4251,   99.1486,
    19.850,   96.4116,   99.1364,
    19.900,   96.4005,   99.1297,
    19.950,   96.3905,   99.1322,
    20.000,   96.3831,   99.1273,
    20.050,   96.3763,   99.1139,
    20.100,   96.3701,   99.1452,
    20.150,   96.3649,   99.1397,
    20.200,   96.3605,   99.1551,
    20.250,   96.3562,   99.1525,
    20.300,   96.3519,   99.1506,
    20.350,   96.3478,   99.1701,
    20.400,   96.3436,   99.1922,
    20.450,   96.3426,   99.2186,
    20.500,   96.3465,   99.2201,
    20.550,   96.3507,   99.2208,
    20.600,   96.3544,   99.2056,
    20.650,   96.3600,   99.2310,
    20.700,   96.3802,   99.2319,
    20.750,   96.4148,   99.2197,
    20.800,   96.4420,   99.2217,
    20.850,   96.4649,   99.2156,
    20.900,   96.4841,   99.2211,
    20.950,   96.4882,   99.2100,
    21.000,   96.4639,   99.1706,
    21.050,   96.4409,   99.1677,
    21.100,   96.4245,   99.1582,
    21.150,   96.4078,   99.1468,
    21.200,   96.3847,   99.1324,
    21.250,   96.3753,   99.1254,
    21.300,   96.4008,   99.1616,
    21.350,   96.4259,   99.1789,
    21.400,   96.4475,   99.1802,
    21.450,   96.4691,   99.1988,
    21.500,   96.4852,   99.2163,
    21.550,   96.4987,   99.2210,
