$Branch 14 water balance flow
 
JDAY,QDT,
   1.000,   0.000,
   2.000, -41.388,
   3.000, -71.147,
   4.000, -53.360,
   5.000, -42.368,
   6.000, -10.071,
   7.000,  26.450,
   8.000,  26.450,
   9.000,  15.458,
  10.000, -19.113,
  11.000, -22.968,
  12.000, -22.968,
  13.000,   3.655,
  14.000,  79.268,
  15.000,  84.423,
  16.000,  84.423,
  17.000,  57.800,
  18.000, -26.823,
  19.000, -61.893,
  20.000, -88.218,
  21.000, -88.218,
  22.000, -56.240,
  23.000, -44.529,
  24.000, -62.440,
  25.000, -69.755,
  26.000, -99.437,
  27.000, -68.802,
  28.000, -24.566,
  29.000, -17.251,
  30.000,   7.970,
  31.000, -22.032,
  32.000, -30.337,
  33.000, -30.337,
  34.000, -10.834,
  35.000,   6.736,
  36.000,  15.041,
  37.000,  15.041,
  38.000,   0.000,
  39.000, -30.137,
  40.000, -59.283,
  41.000, -66.826,
  42.000, -72.993,
  43.000, -42.856,
  44.000,  -6.752,
  45.000,   7.548,
  46.000,  23.764,
  47.000,  23.764,
  48.000,  21.501,
  49.000,  14.744,
  50.000, -11.203,
  51.000, -25.513,
  52.000, -34.480,
  53.000, -34.480,
  54.000, -20.965,
  55.000, -11.625,
  56.000, -15.009,
  57.000, -15.009,
  58.000, -12.627,
  59.000,   0.027,
  60.000,   7.683,
  61.000,   7.683,
  62.000,   7.683,
  63.000,   0.000,
  64.000,   0.000,
  65.000,   0.000,
  66.000,  -6.016,
  67.000, -26.764,
  68.000, -43.197,
  69.000, -43.197,
  70.000, -37.181,
  71.000, -16.433,
  72.000,   6.156,
  73.000,   7.927,
  74.000,  29.677,
  75.000,  62.332,
  76.000,  56.175,
  77.000,  86.421,
  78.000,  73.166,
  79.000,  40.511,
  80.000,  -1.110,
  81.000, -55.185,
  82.000, -63.680,
  83.000, -63.680,
  84.000, -20.028,
  85.000,  26.758,
  86.000,  26.758,
  87.000,   6.801,
  88.000, -29.828,
  89.000, -54.557,
  90.000, -62.516,
  91.000, -53.717,
  92.000, -12.513,
  93.000, -12.513,
  94.000,   0.222,
  95.000,  11.029,
  96.000,   4.424,
  97.000, -13.450,
  98.000, -37.566,
  99.000, -39.986,
 100.000, -39.986,
 101.000, -22.113,
 102.000,  -2.772,
 103.000,   7.375,
 104.000,   7.375,
 105.000,   7.375,
 106.000,  34.929,
 107.000,  27.554,
 108.000,  27.554,
 109.000,  -7.640,
 110.000, -35.194,
 111.000, -38.080,
 112.000, -38.080,
 113.000,  -2.886,
 114.000,  -2.886,
 115.000,   0.000,
 116.000,   0.000,
 117.000,   0.000,
 118.000,   0.000,
 119.000,   9.410,
 120.000,   9.410,
 121.000,   9.410,
 122.000,   9.410,
 123.000,   0.000,
 124.000,   1.695,
 125.000,   1.695,
 126.000,   1.695,
 127.000,  13.157,
 128.000,  11.462,
 129.000,  -9.405,
 130.000, -34.306,
 131.000, -45.769,
 132.000, -45.769,
 133.000, -18.518,
 134.000,  27.376,
 135.000,  53.576,
 136.000,  53.576,
 137.000,  47.193,
 138.000,  22.308,
 139.000, -10.055,
 140.000, -29.791,
 141.000, -49.900,
 142.000, -46.007,
 143.000,  16.206,
 144.000,  61.038,
 145.000,  81.147,
 146.000,  81.147,
 147.000, -19.411,
 148.000, -80.741,
 149.000, -71.022,
 150.000, -73.437,
 151.000, -28.930,
 152.000,   7.304,
 153.000,  -2.415,
 154.000,  -1.516,
 155.000,  -5.539,
 156.000,  -5.539,
 157.000,  10.732,
 158.000,  64.227,
 159.000, 112.530,
 160.000, 112.530,
 161.000,  74.287,
 162.000,  23.959,
 163.000,   7.180,
 164.000,   0.271,
 165.000,  22.243,
 166.000,  28.210,
 167.000,   0.292,
 168.000,   7.201,
 169.000,   7.201,
 170.000,  -0.417,
 171.000,  17.251,
 172.000,  13.785,
 173.000,   9.308,
 174.000,   9.308,
 175.000,  10.417,
 176.000,  13.883,
 177.000,  15.231,
 178.000,  -4.288,
 179.000, -22.649,
 180.000, -25.405,
 181.000, -26.434,
 182.000, -50.745,
 183.000, -50.745,
 184.000, -47.989,
 185.000, -57.047,
 186.000, -50.355,
 187.000, -56.663,
 188.000, -62.954,
 189.000, -42.054,
 190.000,  -4.916,
 191.000, -17.180,
 192.000, -38.725,
 193.000, -52.169,
 194.000, -56.939,
 195.000, -38.367,
 196.000, -10.531,
 197.000,  -4.770,
 198.000,   0.000,
 199.000,   0.000,
 200.000,   0.000,
 201.000,   0.000,
 202.000,   0.000,
 203.000,  -6.876,
 204.000,  -6.876,
 205.000,  -6.876,
 206.000,  -5.875,
 207.000,   1.002,
 208.000,  10.542,
 209.000,  10.542,
 210.000,   9.540,
 211.000,   9.540,
 212.000,   0.000,
 213.000,  -1.240,
 214.000,  -1.240,
 215.000,  -1.240,
 216.000,  16.281,
 217.000,  16.742,
