$JDAY,Temp_C
4.145833333,5.8
4.15625,5.8
4.166666667,5.8
4.177083333,5.8
4.1875,5.8
4.197916667,5.8
4.208333333,5.8
4.21875,5.8
4.229166667,5.8
4.239583333,5.8
4.25,5.8
4.260416667,5.8
4.270833333,5.8
4.28125,5.8
4.291666667,5.8
4.302083333,5.8
4.3125,5.8
4.322916667,5.8
4.333333333,5.8
4.34375,5.8
4.354166667,5.8
4.364583333,5.8
4.375,5.8
4.385416667,5.8
4.395833333,5.8
4.40625,5.8
4.416666667,5.8
4.427083333,5.8
4.4375,5.8
4.447916667,5.8
4.458333333,5.8
4.46875,5.8
4.479166667,5.8
4.489583333,5.8
4.5,5.8
4.510416667,5.8
4.520833333,5.7
4.53125,5.7
4.541666667,5.8
4.552083333,5.8
4.5625,5.8
4.572916667,5.7
4.583333333,5.8
4.59375,5.7
4.604166667,5.8
4.614583333,5.8
4.625,5.8
4.635416667,5.8
4.645833333,5.7
4.65625,5.8
4.666666667,5.7
4.677083333,5.8
4.6875,5.7
4.697916667,5.7
4.708333333,5.8
4.71875,5.8
4.729166667,5.7
4.739583333,5.7
4.75,5.7
4.760416667,5.7
4.770833333,5.7
4.78125,5.7
4.791666667,5.7
4.802083333,5.7
4.8125,5.7
4.822916667,5.7
4.833333333,5.7
4.84375,5.7
4.854166667,5.7
4.864583333,5.7
4.875,5.7
4.885416667,5.7
4.895833333,5.7
4.90625,5.7
4.916666667,5.7
4.927083333,5.7
4.9375,5.7
4.947916667,5.7
4.958333333,5.7
4.96875,5.7
4.979166667,5.7
4.989583333,5.7
5,5.7
5.010416667,5.7
5.020833333,5.6
5.03125,5.6
5.041666667,5.7
5.052083333,5.7
5.0625,5.7
5.072916667,5.6
5.083333333,5.7
5.09375,5.6
5.104166667,5.6
5.114583333,5.6
5.125,5.6
5.135416667,5.6
5.145833333,5.6
5.15625,5.6
5.166666667,5.6
5.177083333,5.6
5.1875,5.6
5.197916667,5.6
5.208333333,5.6
5.21875,5.6
5.229166667,5.6
5.239583333,5.5
5.25,5.5
5.260416667,5.5
5.270833333,5.5
5.28125,5.5
5.291666667,5.6
5.302083333,5.5
5.3125,5.5
5.322916667,5.6
5.333333333,5.6
5.34375,5.6
5.354166667,5.6
5.364583333,5.6
5.375,5.6
5.385416667,5.6
5.395833333,5.6
5.40625,5.6
5.416666667,5.6
5.427083333,5.6
5.4375,5.6
5.447916667,5.6
5.458333333,5.6
5.46875,5.6
5.479166667,5.6
5.489583333,5.6
5.5,5.6
5.510416667,5.6
5.520833333,5.6
5.53125,5.6
5.541666667,5.6
5.552083333,5.6
5.5625,5.6
5.572916667,5.6
5.583333333,5.6
5.59375,5.6
5.604166667,5.6
5.614583333,5.6
5.625,5.6
5.635416667,5.6
5.645833333,5.6
5.65625,5.6
5.666666667,5.5
5.677083333,5.5
5.6875,5.6
5.697916667,5.6
5.708333333,5.6
5.71875,5.5
5.729166667,5.5
5.739583333,5.6
5.75,5.5
5.760416667,5.5
5.770833333,5.5
5.78125,5.5
5.791666667,5.5
5.802083333,5.5
5.8125,5.5
5.822916667,5.5
5.833333333,5.5
5.84375,5.5
5.854166667,5.5
5.864583333,5.5
5.875,5.5
5.885416667,5.5
5.895833333,5.5
5.90625,5.5
5.916666667,5.5
5.927083333,5.5
5.9375,5.5
5.947916667,5.5
5.958333333,5.5
5.96875,5.5
5.979166667,5.5
5.989583333,5.5
6,5.5
6.010416667,5.5
6.020833333,5.5
6.03125,5.5
6.041666667,5.4
6.052083333,5.5
6.0625,5.5
6.072916667,5.5
6.083333333,5.5
6.09375,5.4
6.104166667,5.4
6.114583333,5.5
6.125,5.5
6.135416667,5.4
6.145833333,5.5
6.15625,5.4
6.166666667,5.4
6.177083333,5.4
6.1875,5.5
6.197916667,5.5
6.208333333,5.4
6.21875,5.4
6.229166667,5.4
6.239583333,5.4
6.25,5.5
6.260416667,5.4
6.270833333,5.4
6.28125,5.4
6.291666667,5.3
6.302083333,5.3
6.3125,5.3
6.322916667,5.3
6.333333333,5.3
6.34375,5.4
6.354166667,5.3
6.364583333,5.3
6.375,5.4
6.385416667,5.4
6.395833333,5.4
6.40625,5.4
6.416666667,5.3
6.427083333,5.3
6.4375,5.4
6.447916667,5.3
6.458333333,5.4
6.46875,5.4
6.479166667,5.4
6.489583333,5.4
6.5,5.4
6.510416667,5.4
6.520833333,5.4
6.53125,5.4
6.541666667,5.4
6.552083333,5.4
6.5625,5.4
6.572916667,5.4
6.583333333,5.4
6.59375,5.4
6.604166667,5.4
6.614583333,5.4
6.625,5.4
6.635416667,5.4
6.645833333,5.4
6.65625,5.4
6.666666667,5.4
6.677083333,5.3
6.6875,5.3
6.697916667,5.3
6.708333333,5.3
6.71875,5.3
6.729166667,5.3
6.739583333,5.3
6.75,5.3
6.760416667,5.3
6.770833333,5.3
6.78125,5.2
6.791666667,5.3
6.802083333,5.3
6.8125,5.3
6.822916667,5.3
6.833333333,5.3
6.84375,5.3
6.854166667,5.3
6.864583333,5.3
6.875,5.3
6.885416667,5.3
6.895833333,5.3
6.90625,5.3
6.916666667,5.3
6.927083333,5.3
6.9375,5.3
6.947916667,5.3
6.958333333,5.3
6.96875,5.3
6.979166667,5.3
6.989583333,5.2
7,5.2
7.010416667,5.2
7.020833333,5.2
7.03125,5.2
7.041666667,5.2
7.052083333,5.2
7.0625,5.2
7.072916667,5.2
7.083333333,5.2
7.09375,5.2
7.104166667,5.2
7.114583333,5.2
7.125,5.2
7.135416667,5.2
7.145833333,5.2
7.15625,5.2
7.166666667,5.2
7.177083333,5.2
7.1875,5.2
7.197916667,5.2
7.208333333,5.1
7.21875,5.2
7.229166667,5.2
7.239583333,5.2
7.25,5.2
7.260416667,5.2
7.270833333,5.2
7.28125,5.2
7.291666667,5.2
7.302083333,5.2
7.3125,5.2
7.322916667,5.2
7.333333333,5.1
7.34375,5.2
7.354166667,5.2
7.364583333,5.2
7.375,5.2
7.385416667,5.2
7.395833333,5.2
7.40625,5.2
7.416666667,5.2
7.427083333,5.2
7.4375,5.2
7.447916667,5.2
7.458333333,5.2
7.46875,5.2
7.479166667,5.2
7.489583333,5.2
7.5,5.2
7.510416667,5.2
7.520833333,5.2
7.53125,5.2
7.541666667,5.2
7.552083333,5.2
7.5625,5.2
7.572916667,5.2
7.583333333,5.2
7.59375,5.2
7.604166667,5.2
7.614583333,5.2
7.625,5.2
7.635416667,5.2
7.645833333,5.2
7.65625,5.2
7.666666667,5.2
7.677083333,5.2
7.6875,5.2
7.697916667,5.2
7.708333333,5.2
7.71875,5.2
7.729166667,5.2
7.739583333,5.2
7.75,5.2
7.760416667,5.2
7.770833333,5.2
7.78125,5.2
7.791666667,5.2
7.802083333,5.2
7.8125,5.2
7.822916667,5.2
7.833333333,5.2
7.84375,5.2
7.854166667,5.2
7.864583333,5.1
7.875,5.2
7.885416667,5.2
7.895833333,5.2
7.90625,5.1
7.916666667,5.1
7.927083333,5.1
7.9375,5.1
7.947916667,5.2
7.958333333,5.1
7.96875,5.2
7.979166667,5.1
7.989583333,5.1
8,5.1
8.010416667,5.1
8.020833333,5
8.03125,5.1
8.041666667,5.1
8.052083333,5.1
8.0625,5.1
8.072916667,5.1
8.083333333,5.2
8.09375,5.1
8.104166667,5.1
8.114583333,5
8.125,5
8.135416667,5
8.145833333,5.1
8.15625,5.1
8.166666667,5.1
8.177083333,5.1
8.1875,5.1
8.197916667,5
8.208333333,5.1
8.21875,5
8.229166667,5
8.239583333,5
8.25,5
8.260416667,5
8.270833333,5
8.28125,5
8.291666667,5
8.302083333,5
8.3125,4.9
8.322916667,5
8.333333333,5
8.34375,5
8.354166667,5
8.364583333,5
8.375,4.9
8.385416667,4.9
8.395833333,5
8.40625,4.9
8.416666667,5
8.427083333,5
8.4375,5
8.447916667,5
8.458333333,5
8.46875,5
8.479166667,5
8.489583333,5.1
8.5,5
8.510416667,5
8.520833333,5
8.53125,5
8.541666667,5
8.552083333,5.1
8.5625,5.1
8.572916667,5
8.583333333,5.1
8.59375,5
8.604166667,5
8.614583333,5
8.625,5
8.635416667,5
8.645833333,5
8.65625,5
8.666666667,5
8.677083333,5
8.6875,5
8.697916667,5
8.708333333,5
8.71875,5
8.729166667,5
8.739583333,4.9
8.75,5
8.760416667,4.9
8.770833333,4.9
8.78125,5
8.791666667,5
8.802083333,4.9
8.8125,4.9
8.822916667,5
8.833333333,4.9
8.84375,4.9
8.854166667,5
8.864583333,4.9
8.875,4.9
8.885416667,4.9
8.895833333,4.9
8.90625,4.9
8.916666667,4.9
8.927083333,4.9
8.9375,4.9
8.947916667,4.9
8.958333333,4.9
8.96875,4.9
8.979166667,4.9
8.989583333,4.9
9,4.9
9.010416667,4.9
9.020833333,4.9
9.03125,4.9
9.041666667,4.9
9.052083333,4.9
9.0625,4.9
9.072916667,4.9
9.083333333,4.8
9.09375,4.8
9.104166667,4.9
9.114583333,4.9
9.125,4.8
9.135416667,4.9
9.145833333,4.8
9.15625,4.9
9.166666667,4.8
9.177083333,4.9
9.1875,4.9
9.197916667,4.8
9.208333333,4.9
9.21875,4.8
9.229166667,4.9
9.239583333,4.9
9.25,4.8
9.260416667,4.8
9.270833333,4.8
9.28125,4.8
9.291666667,4.8
9.302083333,4.8
9.3125,4.8
9.322916667,4.8
9.333333333,4.8
9.34375,4.8
9.354166667,4.8
9.364583333,4.8
9.375,4.8
9.385416667,4.8
9.395833333,4.8
9.40625,4.8
9.416666667,4.8
9.427083333,4.8
9.4375,4.8
9.447916667,4.8
9.458333333,4.9
9.46875,4.9
9.479166667,4.8
9.489583333,4.9
9.5,4.9
9.510416667,4.9
9.520833333,4.9
9.53125,4.9
9.541666667,4.9
9.552083333,4.9
9.5625,4.9
9.572916667,4.9
9.583333333,4.9
9.59375,4.9
9.604166667,4.9
9.614583333,4.8
9.625,4.9
9.635416667,4.9
9.645833333,4.8
9.65625,4.9
9.666666667,4.8
9.677083333,4.8
9.6875,4.8
9.697916667,4.8
9.708333333,4.8
9.71875,4.9
9.729166667,4.8
9.739583333,4.8
9.75,4.8
9.760416667,4.8
9.770833333,4.9
9.78125,4.8
9.791666667,4.8
9.802083333,4.8
9.8125,4.8
9.822916667,4.9
9.833333333,4.8
9.84375,4.8
9.854166667,4.8
9.864583333,4.8
9.875,4.8
9.885416667,4.8
9.895833333,4.9
9.90625,4.9
9.916666667,4.8
9.927083333,4.8
9.9375,4.8
9.947916667,4.8
9.958333333,4.8
9.96875,4.8
9.979166667,4.8
9.989583333,4.8
10,4.8
10.01041667,4.8
10.02083333,4.8
10.03125,4.7
10.04166667,4.8
10.05208333,4.8
10.0625,4.7
10.07291667,4.7
10.08333333,4.8
10.09375,4.8
10.10416667,4.8
10.11458333,4.8
10.125,4.8
10.13541667,4.7
10.14583333,4.7
10.15625,4.7
10.16666667,4.7
10.17708333,4.7
10.1875,4.7
10.19791667,4.7
10.20833333,4.7
10.21875,4.7
10.22916667,4.7
10.23958333,4.7
10.25,4.7
10.26041667,4.7
10.27083333,4.7
10.28125,4.7
10.29166667,4.7
10.30208333,4.7
10.3125,4.7
10.32291667,4.7
10.33333333,4.7
10.34375,4.7
10.35416667,4.7
10.36458333,4.7
10.375,4.7
10.38541667,4.8
10.39583333,4.7
10.40625,4.7
10.41666667,4.7
10.42708333,4.8
10.4375,4.8
10.44791667,4.8
10.45833333,4.8
10.46875,4.8
10.47916667,4.8
10.48958333,4.8
10.5,4.8
10.51041667,4.8
10.52083333,4.8
10.53125,4.8
10.54166667,4.8
10.55208333,4.8
10.5625,4.7
10.57291667,4.7
10.58333333,4.8
10.59375,4.8
10.60416667,4.8
10.61458333,4.8
10.625,4.8
10.63541667,4.8
10.64583333,4.8
10.65625,4.7
10.66666667,4.8
10.67708333,4.7
10.6875,4.7
10.69791667,4.7
10.70833333,4.7
10.71875,4.7
10.72916667,4.7
10.73958333,4.7
10.75,4.6
10.76041667,4.6
10.77083333,4.6
10.78125,4.7
10.79166667,4.6
10.80208333,4.6
10.8125,4.6
10.82291667,4.6
10.83333333,4.6
10.84375,4.6
10.85416667,4.6
10.86458333,4.6
10.875,4.6
10.88541667,4.6
10.89583333,4.6
10.90625,4.6
10.91666667,4.6
10.92708333,4.6
10.9375,4.6
10.94791667,4.6
10.95833333,4.6
10.96875,4.6
10.97916667,4.6
10.98958333,4.5
11,4.6
11.01041667,4.6
11.02083333,4.6
11.03125,4.6
11.04166667,4.5
11.05208333,4.6
11.0625,4.5
11.07291667,4.5
11.08333333,4.5
11.09375,4.5
11.10416667,4.5
11.11458333,4.5
11.125,4.5
11.13541667,4.5
11.14583333,4.5
11.15625,4.5
11.16666667,4.5
11.17708333,4.5
11.1875,4.5
11.19791667,4.4
11.20833333,4.4
11.21875,4.4
11.22916667,4.5
11.23958333,4.4
11.25,4.4
11.26041667,4.5
11.27083333,4.5
11.28125,4.5
11.29166667,4.4
11.30208333,4.4
11.3125,4.5
11.32291667,4.5
11.33333333,4.5
11.34375,4.5
11.35416667,4.5
11.36458333,4.5
11.375,4.5
11.38541667,4.5
11.39583333,4.5
11.40625,4.5
11.41666667,4.5
11.42708333,4.5
11.4375,4.5
11.44791667,4.5
11.45833333,4.5
11.46875,4.5
11.47916667,4.5
11.48958333,4.5
11.5,4.5
11.51041667,4.5
11.52083333,4.5
11.53125,4.4
11.54166667,4.4
11.55208333,4.4
11.5625,4.5
11.57291667,4.5
11.58333333,4.4
11.59375,4.4
11.60416667,4.4
11.61458333,4.4
11.625,4.4
11.63541667,4.4
11.64583333,4.5
11.65625,4.4
11.66666667,4.4
11.67708333,4.5
11.6875,4.4
11.69791667,4.4
11.70833333,4.4
11.71875,4.4
11.72916667,4.4
11.73958333,4.4
11.75,4.4
11.76041667,4.4
11.77083333,4.4
11.78125,4.4
11.79166667,4.4
11.80208333,4.4
11.8125,4.4
11.82291667,4.4
11.83333333,4.4
11.84375,4.4
11.85416667,4.4
11.86458333,4.4
11.875,4.4
11.88541667,4.4
11.89583333,4.4
11.90625,4.4
11.91666667,4.4
11.92708333,4.4
11.9375,4.4
11.94791667,4.4
11.95833333,4.4
11.96875,4.4
11.97916667,4.4
11.98958333,4.3
12,4.3
12.01041667,4.3
12.02083333,4.3
12.03125,4.3
12.04166667,4.3
12.05208333,4.3
12.0625,4.3
12.07291667,4.3
12.08333333,4.3
12.09375,4.3
12.10416667,4.3
12.11458333,4.3
12.125,4.3
12.13541667,4.3
12.14583333,4.3
12.15625,4.3
12.16666667,4.3
12.17708333,4.3
12.1875,4.3
12.19791667,4.3
12.20833333,4.3
12.21875,4.3
12.22916667,4.3
12.23958333,4.3
12.25,4.3
12.26041667,4.3
12.27083333,4.3
