$GATE WITHDRAWAL AT SEG317                                   ELEV OF WITHDRAWAL CENTERLINE:316.     

JDAY,     %DO,  TDG(%),
     9.700,   96.8121,   99.6498,
     9.750,   96.8060,   99.6514,
     9.800,   96.8002,   99.6299,
     9.850,   96.7948,   99.6213,
     9.900,   96.7897,   99.6057,
     9.950,   96.7845,   99.6063,
    10.000,   96.7793,   99.6208,
    10.050,   96.7743,   99.5999,
    10.100,   96.7692,   99.6044,
    10.150,   96.7643,   99.6020,
    10.200,   96.7592,   99.6051,
    10.250,   96.7540,   99.5920,
    10.300,   96.7486,   99.5567,
    10.350,   96.7430,   99.5356,
    10.400,   96.7375,   99.5239,
    10.450,   96.7340,   99.5256,
    10.500,   96.7334,   99.5285,
    10.550,   96.7347,   99.5026,
    10.600,   96.7356,   99.5054,
    10.650,   96.7340,   99.5367,
    10.700,   96.7300,   99.5344,
    10.750,   96.7234,   99.5093,
    10.800,   96.7164,   99.5064,
    10.850,   96.7095,   99.4948,
    10.900,   96.7025,   99.4839,
    10.950,   96.6954,   99.4736,
    11.000,   96.6884,   99.4324,
    11.050,   96.6814,   99.3895,
    11.100,   96.6742,   99.4144,
    11.150,   96.6672,   99.3996,
    11.200,   96.6602,   99.3876,
    11.250,   96.6532,   99.3867,
    11.300,   96.6467,   99.3752,
    11.350,   96.6472,   99.3763,
    11.400,   96.6598,   99.3779,
    11.450,   96.6550,   99.3794,
    11.500,   96.6523,   99.3814,
    11.550,   96.6523,   99.3691,
    11.600,   96.6508,   99.3791,
    11.650,   96.6475,   99.3753,
    11.700,   96.6419,   99.3923,
    11.750,   96.6339,   99.3835,
    11.800,   96.6256,   99.3747,
    11.850,   96.6179,   99.3710,
    11.900,   96.6102,   99.3942,
    11.950,   96.6027,   99.4204,
    12.000,   96.5954,   99.4511,
    12.050,   96.5884,   99.4736,
    12.100,   96.5816,   99.4818,
    12.150,   96.5753,   99.4695,
    12.200,   96.5696,   99.4711,
    12.250,   96.5673,   99.4705,
    12.300,   96.5801,   99.4645,
    12.350,   96.6043,   99.4725,
    12.400,   96.6623,   99.4913,
    12.450,   96.6985,   99.4874,
    12.500,   96.6933,   99.4600,
    12.550,   96.6763,   99.4441,
    12.600,   96.6563,   99.4411,
    12.650,   96.6404,   99.4747,
    12.700,   96.6253,   99.4789,
    12.750,   96.6053,   99.4799,
    12.800,   96.5873,   99.4857,
    12.850,   96.5722,   99.4670,
    12.900,   96.5589,   99.4724,
    12.950,   96.5477,   99.4558,
    13.000,   96.5380,   99.4535,
    13.050,   96.5295,   99.4362,
    13.100,   96.5216,   99.4369,
    13.150,   96.5141,   99.4441,
    13.200,   96.5065,   99.4588,
    13.250,   96.4987,   99.4401,
    13.300,   96.4899,   99.4503,
    13.350,   96.4809,   99.4404,
    13.400,   96.4735,   99.4336,
