$Branch 1 water balance flow
 
JDAY,QDT,
 280.000,  -6.842,
 281.000,  -6.329,
 282.000,  -3.178,
 283.000,  -3.410,
 284.000,  -6.819,
 285.000,  -7.332,
 286.000,  -7.170,
 287.000,  -0.916,
 288.000,   3.180,
 289.000,   3.180,
 290.000,   3.018,
 291.000,   0.000,
 292.000,   0.000,
 293.000,   4.587,
 294.000,   4.879,
 295.000,   4.879,
 296.000,   4.879,
 297.000, -12.030,
 298.000, -12.323,
 299.000,  -9.709,
 300.000,  -9.709,
 301.000,   5.633,
 302.000,  14.692,
 303.000,  12.078,
 304.000,  -0.477,
 305.000,  -3.496,
 306.000, -12.555,
 307.000,  -9.324,
 308.000,   3.046,
 309.000,   3.046,
 310.000,   2.863,
 311.000,  -0.369,
 312.000,  -8.702,
 313.000,  -8.702,
 314.000,  -9.717,
 315.000,  -7.520,
 316.000,   3.825,
 317.000,   3.825,
 318.000,   0.910,
 319.000,  -1.288,
 320.000,  -4.114,
 321.000,  -4.365,
 322.000,  -1.403,
 323.000,  -4.988,
 324.000,  -3.576,
 325.000,  -1.745,
 326.000,   4.443,
 327.000,   8.027,
 328.000,   2.227,
 329.000,  -3.695,
 330.000, -19.061,
 331.000, -25.552,
 332.000, -25.478,
 333.000, -20.254,
 334.000,  -9.923,
 335.000,  -3.432,
 336.000,   0.882,
 337.000,  -0.862,
 338.000,  -4.051,
 339.000,  -8.410,
 340.000,  -8.226,
 341.000,  -7.364,
 342.000,  -3.035,
 343.000,   1.325,
 344.000,   1.140,
 345.000,   1.140,
 346.000,   0.000,
 347.000,   1.466,
 348.000,   5.836,
 349.000,   5.836,
 350.000,   4.363,
 351.000,   2.897,
 352.000,  -1.472,
 353.000,  -3.601,
 354.000,  -7.032,
 355.000, -12.685,
 356.000, -14.149,
 357.000, -12.020,
 358.000,  -7.116,
 359.000,   0.199,
 360.000,   1.067,
 361.000,   1.067,
 362.000,   1.067,
 363.000,   0.655,
 364.000,   1.251,
 365.000,   5.208,
 366.000,   5.208,
 367.000,   3.957,
 368.000,  -1.564,
 369.000,  -8.011,
 370.000, -13.366,
 371.000, -13.366,
 372.000,  -4.654,
 373.000,  -2.163,
 374.000,   3.192,
 375.000,  -1.226,
 376.000,  -9.748,
 377.000,  -9.748,
 378.000,  -8.720,
 379.000,  -4.302,
 380.000,   1.029,
 381.000,   1.029,
 382.000,   0.241,
 383.000,   0.241,
 384.000,   1.678,
 385.000,   3.517,
 386.000,   3.275,
 387.000,   1.357,
 388.000,  -0.080,
 389.000,  -1.918,
 390.000,  -5.606,
 391.000, -10.853,
 392.000, -10.853,
 393.000, -10.853,
 394.000,  -7.165,
 395.000,   0.000,
 396.000,   0.000,
 397.000,   1.113,
 398.000,   3.788,
 399.000,   8.175,
 400.000,   8.175,
 401.000,   7.062,
