$Grand Coulee Dam Outflow Constituents
 
JDAY,      N2,      DO,
     9.300, 19.99    , 11.92    ,
     9.350, 19.99    , 11.92    ,
     9.400, 19.99    , 11.92    ,
     9.450, 19.99    , 11.92    ,
     9.500, 19.99    , 11.92    ,
     9.550, 19.99    , 11.92    ,
     9.600, 19.99    , 11.92    ,
     9.650, 19.99    , 11.92    ,
     9.700, 19.99    , 11.92    ,
     9.750, 19.99    , 11.92    ,
     9.800, 19.99    , 11.92    ,
     9.850, 19.99    , 11.92    ,
     9.900, 19.99    , 11.92    ,
     9.950, 19.99    , 11.92    ,
    10.000, 19.99    , 11.92    ,
    10.050, 19.99    , 11.92    ,
    10.100, 19.99    , 11.92    ,
    10.150, 19.99    , 11.92    ,
    10.200, 19.99    , 11.92    ,
    10.250, 19.99    , 11.92    ,
    10.300, 19.99    , 11.92    ,
    10.350, 19.99    , 11.92    ,
    10.400, 19.99    , 11.92    ,
    10.450, 19.99    , 11.92    ,
    10.500, 19.99    , 11.92    ,
    10.550, 19.99    , 11.92    ,
    10.600, 19.99    , 11.92    ,
    10.650, 19.99    , 11.92    ,
    10.700, 19.99    , 11.92    ,
    10.750, 19.99    , 11.92    ,
    10.800, 19.99    , 11.92    ,
    10.850, 19.99    , 11.92    ,
    10.900, 19.99    , 11.92    ,
    10.950, 19.99    , 11.92    ,
    11.000, 19.99    , 11.92    ,
    11.050, 19.99    , 11.92    ,
    11.100, 19.99    , 11.92    ,
    11.150, 19.99    , 11.92    ,
    11.200, 19.99    , 11.92    ,
    11.250, 19.99    , 11.92    ,
    11.300, 19.99    , 11.92    ,
    11.350, 19.99    , 11.93    ,
    11.400, 19.99    , 11.93    ,
    11.450, 19.99    , 11.93    ,
    11.500, 19.99    , 11.93    ,
    11.550, 19.99    , 11.93    ,
    11.600, 19.99    , 11.93    ,
    11.650, 19.99    , 11.93    ,
    11.700, 19.99    , 11.93    ,
    11.750, 19.99    , 11.93    ,
    11.800, 19.99    , 11.93    ,
    11.850, 19.99    , 11.93    ,
    11.900, 19.99    , 11.93    ,
    11.950, 19.99    , 11.93    ,
    12.000, 19.99    , 11.93    ,
    12.050, 19.99    , 11.93    ,
    12.100, 19.99    , 11.93    ,
    12.150, 19.99    , 11.93    ,
    12.200, 19.99    , 11.93    ,
    12.250, 19.99    , 11.93    ,
    12.300, 19.99    , 11.93    ,
    12.350, 20.00    , 11.94    ,
    12.400, 20.01    , 11.96    ,
    12.450, 20.02    , 11.97    ,
    12.500, 20.02    , 11.97    ,
    12.550, 20.02    , 11.97    ,
    12.600, 20.01    , 11.96    ,
    12.650, 20.01    , 11.96    ,
    12.700, 20.00    , 11.95    ,
    12.750, 20.00    , 11.95    ,
    12.800, 20.00    , 11.95    ,
    12.850, 20.00    , 11.94    ,
    12.900, 19.99    , 11.94    ,
    12.950, 19.99    , 11.94    ,
    13.000, 19.99    , 11.94    ,
    13.050, 19.99    , 11.94    ,
    13.100, 19.99    , 11.94    ,
    13.150, 19.99    , 11.94    ,
    13.200, 19.99    , 11.94    ,
    13.250, 19.99    , 11.94    ,
    13.300, 19.99    , 11.94    ,
    13.350, 19.99    , 11.94    ,
    13.400, 19.99    , 11.94    ,
    13.450, 19.99    , 11.93    ,
    13.500, 19.99    , 11.93    ,
    13.550, 19.99    , 11.93    ,
    13.600, 19.99    , 11.93    ,
    13.650, 19.99    , 11.93    ,
    13.700, 19.99    , 11.93    ,
    13.750, 19.98    , 11.93    ,
    13.800, 19.98    , 11.93    ,
    13.850, 19.98    , 11.93    ,
    13.900, 19.98    , 11.93    ,
    13.950, 19.98    , 11.93    ,
    14.000, 19.98    , 11.93    ,
    14.050, 19.98    , 11.93    ,
    14.100, 19.98    , 11.93    ,
    14.150, 19.98    , 11.93    ,
    14.200, 19.99    , 11.93    ,
    14.250, 19.99    , 11.94    ,
    14.300, 19.99    , 11.94    ,
    14.350, 19.99    , 11.94    ,
    14.400, 19.99    , 11.94    ,
    14.450, 19.99    , 11.94    ,
    14.500, 19.99    , 11.94    ,
    14.550, 19.99    , 11.94    ,
    14.600, 19.99    , 11.94    ,
    14.650, 19.99    , 11.94    ,
    14.700, 19.99    , 11.94    ,
    14.750, 19.99    , 11.94    ,
    14.800, 19.99    , 11.94    ,
    14.850, 19.99    , 11.94    ,
    14.900, 19.99    , 11.94    ,
    14.950, 19.99    , 11.94    ,
    15.000, 19.99    , 11.94    ,
    15.050, 19.99    , 11.94    ,
    15.100, 19.99    , 11.94    ,
    15.150, 19.99    , 11.94    ,
    15.200, 19.99    , 11.94    ,
    15.250, 19.99    , 11.94    ,
    15.300, 19.99    , 11.94    ,
    15.350, 19.99    , 11.94    ,
    15.400, 19.99    , 11.94    ,
    15.450, 19.99    , 11.94    ,
    15.500, 19.99    , 11.94    ,
    15.550, 19.99    , 11.94    ,
    15.600, 19.99    , 11.94    ,
    15.650, 19.99    , 11.94    ,
    15.700, 19.99    , 11.94    ,
    15.750, 19.99    , 11.94    ,
    15.800, 19.99    , 11.94    ,
    15.850, 19.99    , 11.94    ,
    15.900, 19.99    , 11.94    ,
    15.950, 19.99    , 11.94    ,
    16.000, 19.99    , 11.94    ,
    16.050, 19.99    , 11.94    ,
    16.100, 19.99    , 11.94    ,
    16.150, 19.99    , 11.94    ,
    16.200, 19.99    , 11.94    ,
    16.250, 19.99    , 11.94    ,
    16.300, 19.99    , 11.94    ,
    16.350, 19.99    , 11.94    ,
    16.400, 19.99    , 11.94    ,
    16.450, 19.99    , 11.94    ,
    16.500, 19.99    , 11.94    ,
    16.550, 19.99    , 11.94    ,
    16.600, 19.99    , 11.94    ,
    16.650, 19.99    , 11.94    ,
    16.700, 19.99    , 11.94    ,
    16.750, 19.99    , 11.94    ,
    16.800, 19.99    , 11.94    ,
    16.850, 19.99    , 11.94    ,
    16.900, 19.99    , 11.94    ,
    16.950, 19.99    , 11.94    ,
    17.000, 19.99    , 11.94    ,
    17.050, 19.99    , 11.94    ,
    17.100, 19.99    , 11.95    ,
    17.150, 19.99    , 11.95    ,
    17.200, 19.99    , 11.95    ,
    17.250, 19.99    , 11.95    ,
    17.300, 19.99    , 11.95    ,
    17.350, 19.99    , 11.95    ,
    17.400, 19.99    , 11.95    ,
    17.450, 19.99    , 11.95    ,
    17.500, 19.99    , 11.95    ,
    17.550, 19.99    , 11.95    ,
    17.600, 19.99    , 11.95    ,
    17.650, 19.99    , 11.95    ,
    17.700, 19.99    , 11.95    ,
    17.750, 19.99    , 11.95    ,
    17.800, 19.99    , 11.95    ,
    17.850, 19.99    , 11.95    ,
    17.900, 19.99    , 11.95    ,
    17.950, 19.99    , 11.95    ,
    18.000, 19.99    , 11.95    ,
    18.050, 19.99    , 11.95    ,
    18.100, 19.99    , 11.95    ,
    18.150, 19.99    , 11.95    ,
    18.200, 19.99    , 11.95    ,
    18.250, 19.99    , 11.95    ,
    18.300, 19.99    , 11.95    ,
    18.350, 19.99    , 11.95    ,
    18.400, 19.99    , 11.95    ,
    18.450, 19.99    , 11.95    ,
    18.500, 19.99    , 11.95    ,
    18.550, 19.99    , 11.96    ,
    18.600, 20.00    , 11.96    ,
    18.650, 20.00    , 11.96    ,
    18.700, 20.00    , 11.97    ,
    18.750, 20.00    , 11.97    ,
    18.800, 20.00    , 11.97    ,
    18.850, 20.00    , 11.97    ,
    18.900, 20.00    , 11.97    ,
    18.950, 20.00    , 11.97    ,
    19.000, 20.00    , 11.97    ,
    19.050, 20.00    , 11.97    ,
    19.100, 20.00    , 11.97    ,
    19.150, 20.00    , 11.97    ,
    19.200, 20.00    , 11.97    ,
    19.250, 20.00    , 11.97    ,
    19.300, 20.00    , 11.96    ,
    19.350, 20.00    , 11.96    ,
    19.400, 20.00    , 11.97    ,
    19.450, 20.01    , 11.98    ,
    19.500, 20.02    , 11.99    ,
    19.550, 20.01    , 11.98    ,
    19.600, 20.01    , 11.98    ,
    19.650, 20.01    , 11.98    ,
    19.700, 20.00    , 11.97    ,
    19.750, 20.00    , 11.97    ,
    19.800, 20.00    , 11.97    ,
    19.850, 20.00    , 11.96    ,
    19.900, 19.99    , 11.96    ,
    19.950, 19.99    , 11.96    ,
    20.000, 19.99    , 11.96    ,
    20.050, 19.99    , 11.96    ,
    20.100, 19.99    , 11.96    ,
    20.150, 19.99    , 11.96    ,
    20.200, 19.99    , 11.96    ,
    20.250, 19.99    , 11.96    ,
    20.300, 19.99    , 11.96    ,
    20.350, 19.99    , 11.96    ,
    20.400, 19.99    , 11.96    ,
    20.450, 19.99    , 11.96    ,
    20.500, 19.99    , 11.96    ,
    20.550, 19.99    , 11.96    ,
    20.600, 19.99    , 11.96    ,
    20.650, 19.99    , 11.96    ,
    20.700, 19.99    , 11.97    ,
    20.750, 20.00    , 11.98    ,
    20.800, 20.01    , 11.99    ,
    20.850, 20.02    , 11.99    ,
    20.900, 20.02    , 12.00    ,
    20.950, 20.03    , 12.00    ,
    21.000, 20.02    , 12.00    ,
    21.050, 20.02    , 11.99    ,
    21.100, 20.01    , 11.99    ,
    21.150, 20.01    , 11.99    ,
    21.200, 20.01    , 11.98    ,
    21.250, 20.01    , 11.98    ,
    21.300, 20.01    , 11.99    ,
    21.350, 20.02    , 12.00    ,
    21.400, 20.02    , 12.00    ,
    21.450, 20.03    , 12.01    ,
    21.500, 20.03    , 12.02    ,
    21.550, 20.04    , 12.02    ,
    21.600, 20.04    , 12.02    ,
    21.650, 20.04    , 12.03    ,
    21.700, 20.04    , 12.03    ,
    21.750, 20.04    , 12.03    ,
    21.800, 20.04    , 12.03    ,
    21.850, 20.04    , 12.03    ,
    21.900, 20.04    , 12.03    ,
    21.950, 20.05    , 12.04    ,
    22.000, 20.06    , 12.05    ,
    22.050, 20.06    , 12.06    ,
    22.100, 20.06    , 12.05    ,
    22.150, 20.05    , 12.04    ,
    22.200, 20.05    , 12.04    ,
    22.250, 20.04    , 12.03    ,
    22.300, 20.03    , 12.02    ,
    22.350, 20.03    , 12.01    ,
    22.400, 20.03    , 12.01    ,
    22.450, 20.02    , 12.01    ,
    22.500, 20.02    , 12.00    ,
    22.550, 20.01    , 12.00    ,
    22.600, 20.01    , 11.99    ,
    22.650, 20.01    , 11.99    ,
    22.700, 20.01    , 11.99    ,
    22.750, 20.01    , 11.99    ,
    22.800, 20.01    , 11.99    ,
    22.850, 20.00    , 11.99    ,
    22.900, 20.00    , 11.99    ,
    22.950, 20.00    , 11.99    ,
    23.000, 20.00    , 11.98    ,
    23.050, 20.00    , 11.98    ,
    23.100, 20.00    , 11.98    ,
    23.150, 20.00    , 11.98    ,
    23.200, 20.00    , 11.98    ,
    23.250, 20.00    , 11.98    ,
    23.300, 20.00    , 11.98    ,
    23.350, 20.00    , 11.98    ,
    23.400, 20.00    , 11.98    ,
    23.450, 19.99    , 11.98    ,
    23.500, 19.99    , 11.98    ,
    23.550, 19.99    , 11.98    ,
    23.600, 19.99    , 11.98    ,
    23.650, 19.99    , 11.98    ,
    23.700, 19.99    , 11.98    ,
    23.750, 19.99    , 11.98    ,
    23.800, 19.99    , 11.98    ,
    23.850, 19.99    , 11.98    ,
    23.900, 19.99    , 11.98    ,
    23.950, 19.99    , 11.98    ,
    24.000, 19.99    , 11.98    ,
    24.050, 19.99    , 11.98    ,
    24.100, 19.99    , 11.98    ,
    24.150, 19.99    , 11.98    ,
    24.200, 19.99    , 11.98    ,
    24.250, 19.99    , 11.98    ,
    24.300, 19.99    , 11.98    ,
    24.350, 19.99    , 11.98    ,
    24.400, 20.00    , 11.98    ,
    24.450, 20.00    , 11.98    ,
    24.500, 20.00    , 11.99    ,
    24.550, 20.00    , 11.99    ,
    24.600, 20.00    , 11.99    ,
    24.650, 20.00    , 11.99    ,
    24.700, 20.00    , 11.99    ,
    24.750, 20.01    , 12.00    ,
    24.800, 20.02    , 12.01    ,
    24.850, 20.02    , 12.01    ,
    24.900, 20.02    , 12.01    ,
    24.950, 20.01    , 12.01    ,
    25.000, 20.01    , 12.00    ,
    25.050, 20.01    , 12.00    ,
    25.100, 20.01    , 12.00    ,
    25.150, 20.00    , 12.00    ,
    25.200, 20.00    , 12.00    ,
    25.250, 20.00    , 11.99    ,
    25.300, 20.00    , 11.99    ,
    25.350, 20.00    , 11.99    ,
    25.400, 20.00    , 11.99    ,
    25.450, 20.00    , 12.00    ,
    25.500, 20.01    , 12.00    ,
    25.550, 20.01    , 12.01    ,
    25.600, 20.02    , 12.02    ,
    25.650, 20.03    , 12.03    ,
    25.700, 20.03    , 12.03    ,
    25.750, 20.04    , 12.04    ,
    25.800, 20.04    , 12.05    ,
    25.850, 20.03    , 12.03    ,
    25.900, 20.02    , 12.02    ,
    25.950, 20.02    , 12.02    ,
    26.000, 20.01    , 12.01    ,
    26.050, 20.01    , 12.01    ,
    26.100, 20.01    , 12.00    ,
    26.150, 20.01    , 12.00    ,
    26.200, 20.00    , 12.00    ,
    26.250, 20.00    , 12.00    ,
    26.300, 20.01    , 12.01    ,
    26.350, 20.02    , 12.01    ,
    26.400, 20.02    , 12.02    ,
    26.450, 20.03    , 12.03    ,
    26.500, 20.03    , 12.04    ,
    26.550, 20.04    , 12.04    ,
    26.600, 20.04    , 12.05    ,
    26.650, 20.04    , 12.05    ,
    26.700, 20.04    , 12.05    ,
    26.750, 20.04    , 12.05    ,
    26.800, 20.04    , 12.05    ,
    26.850, 20.04    , 12.05    ,
    26.900, 20.04    , 12.05    ,
    26.950, 20.05    , 12.05    ,
    27.000, 20.05    , 12.05    ,
    27.050, 20.04    , 12.04    ,
    27.100, 20.03    , 12.03    ,
    27.150, 20.02    , 12.02    ,
    27.200, 20.02    , 12.02    ,
