$Branch 2 water balance flow
 
JDAY,QDT,
   1.000,   0.000,
   2.000,  -3.960,
   3.000,  -6.807,
   4.000,  -5.105,
   5.000,  -4.053,
   6.000,  -0.963,
   7.000,   2.530,
   8.000,   2.530,
   9.000,   1.479,
  10.000,  -1.829,
  11.000,  -2.197,
  12.000,  -2.197,
  13.000,   0.350,
  14.000,   7.584,
  15.000,   8.077,
  16.000,   8.077,
  17.000,   5.530,
  18.000,  -2.566,
  19.000,  -5.921,
  20.000,  -8.440,
  21.000,  -8.440,
  22.000,  -5.380,
  23.000,  -4.260,
  24.000,  -5.974,
  25.000,  -6.673,
  26.000,  -9.513,
  27.000,  -6.582,
  28.000,  -2.350,
  29.000,  -1.650,
  30.000,   0.762,
  31.000,  -2.108,
  32.000,  -2.902,
  33.000,  -2.902,
  34.000,  -1.037,
  35.000,   0.644,
  36.000,   1.439,
  37.000,   1.439,
  38.000,   0.000,
  39.000,  -2.883,
  40.000,  -5.672,
  41.000,  -6.393,
  42.000,  -6.983,
  43.000,  -4.100,
  44.000,  -0.646,
  45.000,   0.722,
  46.000,   2.274,
  47.000,   2.274,
  48.000,   2.057,
  49.000,   1.411,
  50.000,  -1.072,
  51.000,  -2.441,
  52.000,  -3.299,
  53.000,  -3.299,
  54.000,  -2.006,
  55.000,  -1.112,
  56.000,  -1.436,
  57.000,  -1.436,
  58.000,  -1.208,
  59.000,   0.003,
  60.000,   0.735,
  61.000,   0.735,
  62.000,   0.735,
  63.000,   0.000,
  64.000,   0.000,
  65.000,   0.000,
  66.000,  -0.575,
  67.000,  -2.560,
  68.000,  -4.133,
  69.000,  -4.133,
  70.000,  -3.557,
  71.000,  -1.572,
  72.000,   0.589,
  73.000,   0.758,
  74.000,   2.839,
  75.000,   5.963,
  76.000,   5.374,
  77.000,   8.268,
  78.000,   7.000,
  79.000,   3.876,
  80.000,  -0.106,
  81.000,  -5.279,
  82.000,  -6.092,
  83.000,  -6.092,
  84.000,  -1.916,
  85.000,   2.560,
  86.000,   2.560,
  87.000,   0.651,
  88.000,  -2.854,
  89.000,  -5.219,
  90.000,  -5.981,
  91.000,  -5.139,
  92.000,  -1.197,
  93.000,  -1.197,
  94.000,   0.021,
  95.000,   1.055,
  96.000,   0.423,
  97.000,  -1.287,
  98.000,  -3.594,
  99.000,  -3.825,
 100.000,  -3.825,
 101.000,  -2.116,
