$USGS 12434590 - SANPOIL RIVER ABOVE JACK CREEK AT KELLER WA  1/1/2012-12/31/2015,,
,,
JDAY,QIN,
417.822916666664,1.33938558164164,
417.833333333336,1.33938558164164,
417.84375,1.33938558164164,
417.854166666664,1.33938558164164,
417.864583333336,1.33938558164164,
417.875,1.33938558164164,
417.885416666664,1.33938558164164,
417.895833333336,1.33938558164164,
417.90625,1.33938558164164,
417.916666666664,1.33938558164164,
417.927083333336,1.33938558164164,
417.9375,1.33938558164164,
417.947916666664,1.33938558164164,
417.958333333336,1.33938558164164,
417.96875,1.33938558164164,
417.979166666664,1.33938558164164,
417.989583333336,1.33938558164164,
418,1.33938558164164,
418.010416666664,1.33938558164164,
418.020833333336,1.33938558164164,
418.03125,1.33938558164164,
418.041666666664,1.33938558164164,
418.052083333336,1.33938558164164,
418.0625,1.33938558164164,
418.072916666664,1.33938558164164,
418.083333333336,1.33938558164164,
418.09375,1.33938558164164,
418.104166666664,1.33938558164164,
418.114583333336,1.33938558164164,
418.125,1.31106876173378,
418.135416666664,1.33938558164164,
418.145833333336,1.33938558164164,
418.15625,1.33938558164164,
418.166666666664,1.33938558164164,
418.177083333336,1.33938558164164,
418.1875,1.33938558164164,
418.197916666664,1.33938558164164,
418.208333333336,1.33938558164164,
418.21875,1.33938558164164,
418.229166666664,1.33938558164164,
418.239583333336,1.33938558164164,
418.25,1.33938558164164,
418.260416666664,1.33938558164164,
418.270833333336,1.31106876173378,
418.28125,1.33938558164164,
418.291666666664,1.33938558164164,
418.302083333336,1.31106876173378,
418.3125,1.33938558164164,
418.322916666664,1.31106876173378,
418.333333333336,1.31106876173378,
418.34375,1.31106876173378,
418.354166666664,1.33938558164164,
418.364583333336,1.33938558164164,
418.375,1.31106876173378,
418.385416666664,1.31106876173378,
418.395833333336,1.33938558164164,
418.40625,1.33938558164164,
418.416666666664,1.33938558164164,
418.427083333336,1.31106876173378,
418.4375,1.33938558164164,
418.447916666664,1.33938558164164,
418.458333333336,1.33938558164164,
418.46875,1.33938558164164,
418.479166666664,1.31106876173378,
418.489583333336,1.33938558164164,
418.5,1.33938558164164,
418.510416666664,1.33938558164164,
418.520833333336,1.33938558164164,
418.53125,1.33938558164164,
418.541666666664,1.33938558164164,
418.552083333336,1.33938558164164,
