$Grand Coulee Dam Flows
 
JDAY,QWO,
    14.200,    999.66,
    14.250,   1700.09,
    14.300,   3568.51,
    14.350,   4017.40,
    14.400,   3994.36,
    14.450,   3902.56,
    14.500,   3156.59,
    14.550,   2667.02,
    14.600,   1985.55,
    14.650,   1631.87,
    14.700,   1629.01,
    14.750,   2099.10,
    14.800,   2288.33,
    14.850,   2079.33,
    14.900,   1481.09,
    14.950,   1167.86,
    15.000,   1104.43,
    15.050,    976.18,
    15.100,   1173.87,
    15.150,   1371.24,
    15.200,   1338.86,
    15.250,   1595.82,
    15.300,   2230.00,
    15.350,   2285.52,
    15.400,   2405.03,
    15.450,   2557.56,
    15.500,   2658.57,
    15.550,   2451.29,
    15.600,   2304.37,
    15.650,   2363.27,
    15.700,   2608.82,
    15.750,   3633.73,
    15.800,   3410.11,
    15.850,   2660.39,
    15.900,   2061.18,
    15.950,   1323.43,
    16.000,    957.51,
    16.050,    819.36,
    16.100,   1261.39,
    16.150,   1406.84,
    16.200,   1156.24,
    16.250,   1078.98,
    16.300,   1148.50,
    16.350,   1260.02,
    16.400,   1126.61,
    16.450,   1157.61,
    16.500,   1017.72,
    16.550,    855.17,
    16.600,    761.22,
    16.650,    685.38,
    16.700,    762.46,
    16.750,   2019.23,
    16.800,   1911.12,
    16.850,   1583.87,
    16.900,    979.89,
    16.950,    634.82,
    17.000,    170.84,
    17.050,     67.96,
    17.100,     69.10,
    17.150,     70.79,
    17.200,     97.87,
    17.250,    645.14,
    17.300,   1770.01,
    17.350,   2383.30,
    17.400,   2456.03,
    17.450,   2268.69,
    17.500,   2284.99,
    17.550,   1879.84,
    17.600,   1503.84,
    17.650,   1057.41,
    17.700,   1708.41,
    17.750,   2655.66,
    17.800,   2360.25,
    17.850,   1864.98,
    17.900,   1225.43,
    17.950,    560.05,
    18.000,    177.42,
    18.050,    102.47,
    18.100,     69.10,
    18.150,     70.79,
    18.200,     91.12,
    18.250,    645.78,
    18.300,   3073.98,
    18.350,   3876.36,
    18.400,   3816.59,
    18.450,   4062.45,
    18.500,   3856.38,
    18.550,   3844.77,
    18.600,   3999.90,
    18.650,   3971.18,
    18.700,   4031.08,
    18.750,   3862.52,
    18.800,   4116.15,
    18.850,   3925.98,
    18.900,   3254.52,
    18.950,   2501.13,
    19.000,   1662.19,
    19.050,    718.38,
    19.100,     99.63,
    19.150,     70.79,
    19.200,    122.78,
    19.250,   1759.25,
    19.300,   4107.62,
    19.350,   4372.66,
    19.400,   3966.61,
    19.450,   3848.83,
    19.500,   3912.79,
    19.550,   3421.00,
    19.600,   3135.24,
    19.650,   3248.56,
    19.700,   3778.23,
    19.750,   4076.54,
    19.800,   4183.03,
    19.850,   4088.06,
    19.900,   3731.06,
    19.950,   2782.42,
    20.000,   2261.54,
    20.050,   2233.95,
    20.100,   2171.90,
    20.150,   2121.99,
    20.200,   2447.56,
    20.250,   2996.19,
    20.300,   3998.84,
    20.350,   3923.49,
    20.400,   3887.77,
    20.450,   4046.94,
    20.500,   4299.31,
    20.550,   4158.85,
    20.600,   3843.75,
    20.650,   3876.74,
    20.700,   4155.03,
    20.750,   4353.98,
    20.800,   4443.96,
    20.850,   4208.25,
    20.900,   3840.89,
    20.950,   2782.81,
    21.000,   2274.25,
    21.050,   2456.32,
    21.100,   2117.48,
    21.150,   2012.09,
    21.200,   2560.98,
    21.250,   3779.56,
    21.300,   4668.90,
    21.350,   4788.98,
    21.400,   4496.03,
    21.450,   4392.40,
    21.500,   4425.66,
    21.550,   4302.17,
    21.600,   4054.54,
    21.650,   3869.14,
    21.700,   4515.31,
    21.750,   5137.47,
    21.800,   5181.79,
    21.850,   4606.59,
    21.900,   3707.73,
    21.950,   3083.73,
    22.000,   2160.76,
    22.050,   1906.78,
    22.100,   1633.71,
    22.150,   1760.92,
    22.200,   1763.61,
    22.250,   2038.39,
    22.300,   3470.83,
    22.350,   4361.11,
    22.400,   4312.07,
    22.450,   4438.08,
    22.500,   4474.16,
