$ QGT_LGS_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_LGS_2011_2015_daily_ave.csv ; all outlets scaled to total flow from LITTLE GOOSE_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 40565, 40952, 41182, 41731, 41865, 42153, 42296 that are  2, 2, 2, 2, 7, 3, 34 days long
"JDAY","POW","SPB1TSW1","SPB1TSW2","SPB2","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8","MISC"
94.000000,2378.135,315.593,103.39,74.378,103.39,62.561,103.39,51.803,103.39,315.593,16.322
95.000000,2174.869,267.924,115.071,93.047,87.922,87.772,87.772,71.51,87.772,267.924,10.395
96.000000,2189.059,269.224,131.821,100.011,95.922,90.015,90.015,90.015,88.199,269.224,17.607
97.000000,2281.625,302.991,112.106,101.844,99.45,99.277,99.45,71.189,98.934,302.991,18.654
98.000000,2155.206,314.336,102.977,102.977,102.977,53.911,102.977,51.595,102.977,314.336,16.024
99.000000,1955,301.784,108.897,87.684,107.027,78.458,94.921,60.174,98.864,301.784,15.289
100.000000,1804.84,286.546,106.428,95.532,100.406,67.695,85.903,66.881,93.873,286.546,11.325
101.000000,1817.618,297.023,88.896,59.05,81.304,40.984,73.041,48.76,97.312,297.023,12.051
102.000000,1807.231,281.752,92.304,50.08,82.704,49.92,82.223,46.246,92.304,281.752,18.639
103.000000,1765.584,293.16,96.033,48.112,65.29,48.112,65.29,48.112,96.033,293.16,16.693
104.000000,1791.589,304.543,99.773,49.989,69.532,49.989,49.989,49.989,99.773,304.543,15.405
105.000000,1729.539,317.527,78.083,52.111,60.779,30.417,52.111,52.111,104.016,317.527,14.453
106.000000,1613.202,332.086,54.506,54.506,54.506,0,54.506,43.36,108.791,332.086,15.346
107.000000,1617.346,301.082,74.203,49.429,49.429,36.891,49.429,40.841,98.646,301.082,14.979
108.000000,1570.926,275.321,80.523,45.196,52.386,45.196,45.196,45.196,90.201,275.321,13.809
109.000000,1613.768,255.145,83.587,41.881,73.276,41.881,72.986,41.881,83.587,255.145,11.298
110.000000,1746.922,278.247,91.155,53.103,79.613,45.672,69.98,45.672,91.155,278.247,15.207
111.000000,1797.196,276.416,90.552,54.943,90.552,45.37,84.75,45.37,90.552,276.416,14.201
112.000000,1764.138,279.479,91.561,45.879,91.561,45.879,66.986,45.879,91.561,279.479,12.586
113.000000,1787.475,297.672,97.516,48.86,77.223,48.86,48.86,48.86,97.516,297.672,12.324
114.000000,1723.598,292.285,87.973,47.98,74.047,47.98,47.98,47.98,95.76,292.285,12.407
115.000000,1675.681,299.863,82.078,49.222,63.699,41.531,49.222,41.531,98.238,299.863,12.292
116.000000,1631.409,283.143,83.112,46.475,61.741,46.475,46.475,46.475,92.759,283.143,12.332
117.000000,1613.119,286.228,81.928,46.985,47.132,46.985,46.985,46.985,93.774,286.228,17.867
118.000000,1610.022,287.934,82.875,47.261,54.949,37.235,47.261,47.261,94.327,287.934,18.622
119.000000,1593.739,293.051,60.247,48.099,48.099,48.099,48.099,48.099,96.004,293.051,13.981
120.000000,1582.373,295.076,50.442,48.434,48.434,48.434,48.434,48.434,96.669,295.076,15.038
121.000000,1512.911,283.111,46.464,46.464,46.464,45.335,46.464,46.464,92.744,283.111,13.524
122.000000,1467.463,298.842,49.049,49.049,49.049,10.556,49.049,31.489,97.901,298.842,14.795
123.000000,1465.755,286.734,47.076,47.076,47.076,27.802,47.076,37.436,93.943,286.734,15.636
124.000000,1471.922,279.327,49.663,45.855,45.855,30.594,45.855,45.855,91.513,279.327,14.221
125.000000,1445.608,273.393,44.876,44.876,44.876,38.335,44.1,44.876,89.566,273.393,20.9
126.000000,1494.833,286.353,52.198,40.624,47.005,38.661,47.005,39.152,93.814,286.353,16.065
127.000000,1482.583,287.15,55.119,47.14,52.837,11.937,47.14,47.14,94.08,287.15,15.984
128.000000,1504.997,267.668,58.536,43.943,55.037,43.943,48.955,43.943,87.697,267.668,11.941
129.000000,1628.08,267.586,87.66,43.919,82.342,43.919,45.742,43.919,87.66,267.586,15.251
130.000000,1498.958,295.014,124.168,100.843,113.942,94.537,94.598,76.864,114.945,295.014,15.019
131.000000,1822.126,302.37,95.621,49.624,87.548,49.624,51.691,49.624,99.052,302.37,17.126
132.000000,1646.331,270.843,95.894,60.857,91.129,60.704,60.551,53.689,88.727,270.843,14.721
133.000000,1672.714,264.376,109.29,109.29,109.29,109.141,99.429,81.916,93.042,264.376,17.075
134.000000,1556.949,247.63,175.209,175.209,169.475,169.475,169.337,138.119,135.222,247.63,9.874
135.000000,1451.062,233.257,273.83,266.002,252.288,252.288,252.288,237.252,237.252,233.257,10.412
136.000000,1579.629,254.895,374.431,374.158,374.158,370.477,365.687,365.687,334.994,254.895,14.568
137.000000,1957.573,313.964,421.451,411.496,409.46,403.016,403.016,398.771,376.657,313.964,15.903
138.000000,2103.083,335.927,378.188,378.188,378.188,325.317,325.317,325.317,325.317,335.927,19.23
139.000000,2134.633,330.347,313.262,310.159,290.477,268.951,267.486,268.044,263.814,330.347,21.958
140.000000,1142.371,306.333,397.808,360.626,360.462,356.035,351.805,351.805,351.805,306.333,16.984
141.000000,1850.646,286.806,283.23,274.109,274.109,250.168,244.652,244.652,237.85,286.806,13.119
142.000000,1745.877,278.395,306.396,294.19,291.603,291.603,269.093,265.595,262.588,278.395,12.731
143.000000,1814.473,275.287,326.604,324.497,319.11,296.963,296.963,291.087,288.106,275.287,9.999
144.000000,584.438,290.918,536.997,522.493,514.839,513.784,511.831,511.68,504.185,290.918,10.338
145.000000,130.639,294.35,619.537,603.368,602.605,601.231,601.231,596.146,591.104,294.35,21.116
146.000000,129.119,291.435,631.122,631.122,615.851,606.459,602.782,602.782,593.268,291.435,14.843
147.000000,129.212,291.377,636.562,636.562,636.562,628.514,623.538,623.538,607.836,291.377,13.346
148.000000,144.611,325.612,646.105,643.739,619.302,619.302,617.105,602.18,602.18,325.612,18.312
149.000000,145.784,328.807,599.872,619.197,587.671,587.671,587.671,581.371,574.329,328.807,15.058
150.000000,142.982,322.082,561.63,561.63,537.109,537.109,537.109,512.259,512.259,322.082,14.769
151.000000,136.946,304.017,508.586,508.586,500.186,473.09,468.382,462.234,462.234,304.017,15.485
