$ Bathymetry: Little Goose.  Original provided by Mike Schneider - unknown/undocumented source.  Adjusted to NAVD88 Datum provided by Res-Ops team.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,
DLX,0,1277.7,1722,1423.3,1664.5,2516.1,1920.8,2601.9,2951,2435,2966.9,2781,3042.3,2660.1,1029.9,1080.7,1859.5,1487.8,2543.7,1550,2229,2097,2592.6,2567.3,2638.1,2249.6,1665.8,1526.9,1320.1,0,,,,,,,,
ELWS,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,,,,,,,,
PHIO,3.142,2.27,2.767,2.81,2.1,0.75,1.05,1.7,1.32,1.8,2.471,1.7,1.5,0.9,0.591,0.211,0.276,0.249,0.95,1.376,1.8,1,0.1,1.25,1.85,1.442,1.48,1.69,1.305,3.142,,,,,,,,
FRICT,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,,,,,,,,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),MULT
1,0,146.7,97.2,135.9,177.3,219.6,166.5,322.2,288,305.1,316.8,318.6,483.3,509.4,542.7,351,480.6,375.3,503.1,978.3,604.8,648.9,716.4,698.4,687.6,878.4,747.9,452.7,581.4,0,,17,26838360.99,326867240.6,264995.979,185.375,608.187,0.9
1,0,78.3,40.5,63.9,131.4,181.8,104.4,278.1,263.7,285.3,292.5,292.5,396,447.3,491.4,320.4,434.7,342,484.2,866.7,548.1,586.8,570.6,684,673.2,837,737.1,448.2,564.3,0,,18,24157939.95,300028879.6,243237.734,184.375,604.906,0.9
1,0,45,20.7,12.6,51.3,94.5,26.1,192.6,226.8,246.6,236.7,250.2,290.7,331.2,361.8,279.9,325.8,278.1,415.8,597.6,434.7,459,390.6,656.1,661.5,750.6,724.5,443.7,540.9,0,,19,19757981.07,275870939.7,223652.544,183.375,601.625,0.9
1,0,33.3,0,0,10.8,36.9,0,136.8,187.2,206.1,192.6,215.1,250.2,279.9,288,255.6,252.9,254.7,346.5,516.6,381.6,442.8,351,635.4,650.7,702.9,712.8,439.2,524.7,0,,20,17512034.31,256112958.6,207634.464,182.375,598.344,0.9
1,0,26.1,0,0,0,0,0,87.3,141.3,162,142.2,175.5,208.8,239.4,221.4,229.5,209.7,228.6,275.4,436.5,342.9,426.6,323.1,616.5,639.9,651.6,700.2,434.7,514.8,0,,21,15580155.15,238600924.3,193437.206,181.375,595.064,0.9
1,0,20.7,0,0,0,0,0,39.6,96.3,118.8,91.8,135,167.4,200.7,169.2,202.5,184.5,201.6,218.7,364.5,315,411.3,306.9,601.2,629.1,613.8,687.6,429.3,496.8,0,,22,13952225.61,223020769.2,180806.149,180.375,591.783,0.9
1,0,18.9,0,0,0,0,0,12.6,65.7,77.4,45,96.3,127.8,158.4,131.4,175.5,161.1,174.6,179.1,306.9,290.7,396.9,296.1,586.8,619.2,585.9,675.9,424.8,466.2,0,,23,12562321.68,209068543.5,169494.879,179.375,588.502,0.9
1,0,18.9,0,0,0,0,0,12.6,65.7,77.4,45,96.3,127.8,158.4,131.4,175.5,161.1,174.6,179.1,306.9,290.7,396.9,296.1,586.8,619.2,585.9,675.9,424.8,466.2,0,,24,12562321.68,196506221.9,159310.424,178.375,585.221,0.9
1,0,0,0,0,0,0,0,0,0,41.4,27,62.1,86.4,101.7,107.1,144.9,138.6,144.9,144,251.1,263.7,380.7,284.4,570.6,606.6,558,662.4,419.4,446.4,0,,25,11159705.43,183943900.2,149125.969,177.375,581.94,0.9
1,0,0,0,0,0,0,0,0,0,0,0,29.7,52.2,38.7,83.7,110.7,114.3,112.5,112.5,189.9,235.8,363.6,273.6,531.9,586.8,536.4,620.1,412.2,436.5,0,,26,9866861.91,172784194.8,140078.635,176.375,578.659,0.9
